fact_unit,2009-08-06,2009-11-05,2010-02-23,2010-04-29,2010-08-05,2010-10-12,2010-11-03,2011-02-22,2011-05-04,2011-08-03,2011-11-02,2012-02-21,2012-05-02,2012-08-01,2012-10-31,2013-02-26,2013-05-01,2013-07-31,2013-11-06,2014-02-25,2014-05-07,2014-08-06,2014-09-18,2014-11-05,2015-02-25,2015-05-06,2015-08-05,2015-11-05,2016-02-23,2016-05-04,2016-08-03,2016-11-02,2017-02-28,2017-05-03,2017-07-06,2017-08-02,2017-11-01,2018-02-27,2018-05-02,2018-08-01,2018-10-31,2019-02-26,2019-05-01,2019-07-31,2019-10-30,2020-02-25,2020-04-29,2020-07-29,2020-10-28,2021-02-23,2021-04-28,2021-08-04,2021-11-03,2022-03-01,2022-05-04,2022-08-09,2022-11-02,2023-02-28,2023-05-03,2023-08-08,2023-11-01,2024-02-27,2024-05-01,2024-08-06,2024-10-30,2025-02-25,2025-04-30,2025-08-05,2025-10-29
AccountsPayableCurrent / USD,1122761000.0,1122761000.0,1122761000.0,1240207000.0,1240207000.0,1122761000.0,1240207000.0,1240207000.0,1215468000.0,1215468000.0,1215468000.0,1212323000.0,1341718000.0,1341718000.0,1341718000.0,1341718000.0,1333489000.0,1333489000.0,1333489000.0,1333489000.0,1273102000.0,1273102000.0,1078222000.0,1273102000.0,1273102000.0,891413000.0,891413000.0,891413000.0,891413000.0,615982000.0,615982000.0,615982000.0,615982000.0,874731000.0,615982000.0,874731000.0,874731000.0,874731000.0,1140571000.0,1140571000.0,1140571000.0,1140571000.0,1116337000.0,1116337000.0,1116337000.0,1116337000.0,1209900000.0,1209900000.0,1209900000.0,1209900000.0,719302000.0,719302000.0,719302000.0,719302000.0,1332391000.0,1332391000.0,1332391000.0,1332391000.0,1359000000.0,1359000000.0,1359000000.0,1359000000.0,1564000000.0,1564000000.0,1564000000.0,1564000000.0,2187000000.0,2187000000.0,2187000000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,14500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000000.0,136000000.0,136000000.0,136000000.0,215000000.0,215000000.0,215000000.0,215000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2212850000.0,2212850000.0,2212850000.0,2352142000.0,2352142000.0,2212850000.0,2352142000.0,2352142000.0,2541302000.0,2541302000.0,2541302000.0,2540873000.0,2733601000.0,2733601000.0,2733601000.0,2733601000.0,2974651000.0,2974651000.0,2974651000.0,2974651000.0,1738302000.0,1738302000.0,1524240000.0,1738302000.0,1738302000.0,1940210000.0,1940210000.0,1940210000.0,1940210000.0,2156471000.0,2156471000.0,2156471000.0,2156471000.0,2507094000.0,2156471000.0,2507094000.0,2507094000.0,2507094000.0,2861541000.0,2861541000.0,2861541000.0,2861541000.0,3264312000.0,3264312000.0,3264312000.0,3264312000.0,3702807000.0,3702807000.0,3702807000.0,3702807000.0,3918007000.0,3918007000.0,3918007000.0,3918007000.0,4500665000.0,4500665000.0,4500665000.0,4500665000.0,5063000000.0,5063000000.0,5063000000.0,5063000000.0,5757000000.0,5757000000.0,5757000000.0,5757000000.0,6339000000.0,6339000000.0,6339000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,,,,125904000.0,125904000.0,-113903000.0,-151741000.0,-151741000.0,151741000.0,125904000.0,162802000.0,162802000.0,162802000.0,151741000.0,79676000.0,79676000.0,151741000.0,79676000.0,162802000.0,99959000.0,99959000.0,99959000.0,79676000.0,84543000.0,84543000.0,84543000.0,99959000.0,101236000.0,99959000.0,101236000.0,101236000.0,84543000.0,105411000.0,105411000.0,105411000.0,101236000.0,121785000.0,121785000.0,121785000.0,105411000.0,131481000.0,131481000.0,131481000.0,121785000.0,157635000.0,157635000.0,157635000.0,131481000.0,107659000.0,107659000.0,107659000.0,157635000.0,55000000.0,55000000.0,,48000000.0,,,,-64000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-70616000.0,-70616000.0,-70616000.0,-118613000.0,-118613000.0,-70616000.0,-118613000.0,-118613000.0,-108802000.0,-108802000.0,-108802000.0,-118613000.0,-206121000.0,-206121000.0,-206121000.0,-108802000.0,-216798000.0,-216798000.0,-216798000.0,-206121000.0,-121987000.0,-121987000.0,-206121000.0,-121987000.0,-216798000.0,-136353000.0,-136353000.0,-136353000.0,-121987000.0,-127242000.0,-127242000.0,-127242000.0,-136353000.0,-154350000.0,-136353000.0,-154350000.0,-154350000.0,-127242000.0,-188530000.0,-188530000.0,-188530000.0,-154350000.0,-188239000.0,-188239000.0,-188239000.0,-188530000.0,-374000000.0,-374000000.0,-374000000.0,-188239000.0,-551449000.0,-551449000.0,-551449000.0,-374000000.0,-471351000.0,-471351000.0,-471351000.0,-551449000.0,-108000000.0,-108000000.0,-108000000.0,-108000000.0,-33000000.0,-33000000.0,-33000000.0,-33000000.0,-96000000.0,-96000000.0,-96000000.0
AdditionalPaidInCapital / USD,1301153000.0,1301153000.0,1301153000.0,1322340000.0,1322340000.0,1301153000.0,1322340000.0,1322340000.0,1392671000.0,1392671000.0,1392671000.0,1392671000.0,1418414000.0,1417185000.0,1417185000.0,1417185000.0,1324698000.0,1324698000.0,1324698000.0,1324698000.0,1433600000.0,1433600000.0,1324698000.0,1433600000.0,1433600000.0,1541583000.0,1541583000.0,1541583000.0,1541583000.0,1378444000.0,1378444000.0,1378444000.0,1378444000.0,1234314000.0,1378444000.0,1234314000.0,1234314000.0,1234314000.0,6588878000.0,6588878000.0,6588878000.0,6588878000.0,7615138000.0,7615138000.0,7615138000.0,7615138000.0,7403895000.0,7403895000.0,7403895000.0,7403895000.0,7353396000.0,7353396000.0,7353396000.0,7353396000.0,7213861000.0,7213861000.0,7213861000.0,7213861000.0,7253000000.0,7253000000.0,7253000000.0,7253000000.0,16320000000.0,16320000000.0,16320000000.0,16320000000.0,16354000000.0,16354000000.0,16354000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000.0,,19500000.0,,,11500000.0,,,,30700000.0,,,,27700000.0,,,,33200000.0,,,,46500000.0,,,,29400000.0,,,,54000000.0,,,,53000000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,7700000.0,,,,7700000.0,,,,7700000.0,,,7700000.0,,7700000.0,,,,8700000.0,,,,11800000.0,,11800000.0,,,11900000.0,,,,11900000.0,,,,11900000.0,,,,11900000.0,,,,11900000.0,,,,10800000.0,,,,10000000.0,,,,10000000.0,,,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58000000.0,,,,31000000.0,,,
Assets / USD,13126062000.0,13126062000.0,13126062000.0,12827683000.0,12827683000.0,13126062000.0,12827683000.0,12827683000.0,12499175000.0,12119911000.0,11929753000.0,12827683000.0,13039596000.0,13036333000.0,13171124000.0,12499175000.0,14252076000.0,13817191000.0,15364307000.0,13696635000.0,15446219000.0,15842274000.0,13707539000.0,17610343000.0,15900973000.0,13653134000.0,14384538000.0,14312196000.0,17692165000.0,15485044000.0,15651180000.0,15508298000.0,15261773000.0,15501149000.0,15261773000.0,15822900000.0,15982035000.0,15446111000.0,16067558000.0,16672923000.0,16764841000.0,16138751000.0,16432347000.0,16913720000.0,17911314000.0,16845937000.0,18934325000.0,19751594000.0,21335907000.0,18231671000.0,21969440000.0,22992467000.0,22780876000.0,21812121000.0,23179929000.0,23437248000.0,23872331000.0,23078754000.0,23993000000.0,24527000000.0,24439000000.0,23622000000.0,24464000000.0,24038000000.0,43939000000.0,24379000000.0,44390000000.0,44535000000.0,51050000000.0
AssetsCurrent / USD,3377602000.0,3377602000.0,3377602000.0,2588464000.0,2588464000.0,3377602000.0,2588464000.0,2588464000.0,2379045000.0,2379045000.0,2379045000.0,2379735000.0,2318812000.0,2318812000.0,2318812000.0,2318812000.0,2764660000.0,2764660000.0,2764660000.0,2764660000.0,2404724000.0,2404724000.0,2808530000.0,2404724000.0,2404724000.0,1307244000.0,1307244000.0,1307244000.0,1307244000.0,975210000.0,975210000.0,975210000.0,975210000.0,1429684000.0,975210000.0,1429684000.0,1429684000.0,1429684000.0,1764458000.0,1764458000.0,1764458000.0,1764458000.0,1398632000.0,1398632000.0,1398632000.0,1398632000.0,1470334000.0,1470334000.0,1470334000.0,1470334000.0,1869775000.0,1869775000.0,1869775000.0,1869775000.0,2374374000.0,2374374000.0,2374374000.0,2374374000.0,2548000000.0,2548000000.0,2548000000.0,2548000000.0,3108000000.0,3108000000.0,3108000000.0,3108000000.0,4238000000.0,4238000000.0,4238000000.0
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3258000000.0,,,
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27617000000.0,,,
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500000.0,29500000.0,30000000.0,,29500000.0,29500000.0,30000000.0,,,,30000000.0,,,,,,,,,,,,,,,0.0,0.0,,,133000000.0,0.0,3000000.0,7000000.0,17000000.0
CashAndCashEquivalentsAtCarryingValue / USD,19105000.0,19105000.0,68268000.0,510058000.0,510058000.0,68268000.0,510058000.0,19105000.0,29399000.0,29399000.0,29399000.0,496018000.0,30341000.0,30341000.0,30341000.0,30917000.0,65953000.0,65953000.0,65953000.0,30341000.0,579578000.0,579578000.0,26190000.0,579578000.0,56684000.0,145565000.0,145565000.0,145565000.0,577022000.0,172812000.0,172812000.0,172812000.0,145565000.0,97619000.0,145565000.0,97619000.0,97619000.0,172812000.0,248875000.0,248875000.0,248875000.0,97619000.0,37193000.0,37193000.0,37193000.0,248875000.0,11975000.0,11975000.0,11975000.0,37193000.0,20958000.0,20958000.0,20958000.0,11975000.0,524496000.0,524496000.0,524496000.0,20958000.0,220000000.0,220000000.0,220000000.0,220000000.0,338000000.0,338000000.0,338000000.0,338000000.0,733000000.0,733000000.0,733000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146000000.0,146000000.0,146000000.0,524000000.0,220000000.0,220000000.0,220000000.0,146000000.0,338000000.0,338000000.0,338000000.0
