fact_unit,2010-11-05,2011-02-04,2011-05-06,2011-09-01,2011-11-07,2012-02-06,2012-05-04,2012-08-27,2012-11-07,2013-02-07,2013-05-06,2013-08-27,2013-11-08,2014-02-06,2014-05-07,2014-08-27,2014-11-05,2015-06-25,2015-09-11,2015-11-06,2016-02-05,2016-05-09,2016-08-29,2016-11-08,2017-02-09,2017-05-08,2017-08-25,2017-11-09,2018-02-08,2018-05-07,2018-08-24,2018-11-08,2019-02-07,2019-05-09,2019-08-26,2019-11-08,2020-02-07,2020-05-08,2020-08-25,2020-11-06,2021-02-09,2021-05-07,2021-08-25,2021-11-09,2022-02-09,2022-05-06,2022-08-25,2022-11-09,2023-02-09,2023-05-08,2023-08-24,2023-11-09,2024-02-08,2024-05-09,2024-08-26,2024-11-08,2025-02-07,2025-05-12,2025-08-25,2025-11-07
AccountsPayableCurrent / USD,13500000.0,13500000.0,13500000.0,13500000.0,12829000.0,12829000.0,12829000.0,12829000.0,16317000.0,16317000.0,16317000.0,16317000.0,11701000.0,11701000.0,11701000.0,11701000.0,10516000.0,11701000.0,10516000.0,9933000.0,9933000.0,9933000.0,9933000.0,14596000.0,14596000.0,14596000.0,14596000.0,6841000.0,6841000.0,6841000.0,6841000.0,34510000.0,34510000.0,34510000.0,30360000.0,9850000.0,9850000.0,9850000.0,9850000.0,9880000.0,9880000.0,9880000.0,9880000.0,18485000.0,18485000.0,18485000.0,18485000.0,21034000.0,21034000.0,21034000.0,21034000.0,19156000.0,19156000.0,19156000.0,19156000.0,25314000.0,25314000.0,25314000.0,25314000.0,28186000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310080000.0,310080000.0,300945000.0,300945000.0,300945000.0,300945000.0,306564000.0,306564000.0,306564000.0,306564000.0,348072000.0,348072000.0,348072000.0,348072000.0,361252000.0,361252000.0,361252000.0,361252000.0,333033000.0,333033000.0,333033000.0,333033000.0,317977000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,5543000.0,5543000.0,5543000.0,5543000.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9679000.0
AccruedLiabilitiesCurrent / USD,46187000.0,46403000.0,46403000.0,46403000.0,49479000.0,49479000.0,49479000.0,49479000.0,58260000.0,58260000.0,58260000.0,58260000.0,68528000.0,68528000.0,68528000.0,68528000.0,63299000.0,68528000.0,63299000.0,78962000.0,78962000.0,78962000.0,78962000.0,85411000.0,85411000.0,85411000.0,85411000.0,81574000.0,81574000.0,81574000.0,81574000.0,88764000.0,88764000.0,88764000.0,88764000.0,120360000.0,120360000.0,120360000.0,120360000.0,166689000.0,166689000.0,166689000.0,166689000.0,182517000.0,182517000.0,182517000.0,182517000.0,192042000.0,192042000.0,192042000.0,192042000.0,172629000.0,172629000.0,172629000.0,172629000.0,200770000.0,200770000.0,200770000.0,200770000.0,207434000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,200321000.0,,,,223650000.0,,,,241429000.0,,,,272586000.0,,272586000.0,286927000.0,,,,319873000.0,328159000.0,328159000.0,328159000.0,328159000.0,345014000.0,345014000.0,345014000.0,345014000.0,364153000.0,364153000.0,364153000.0,364153000.0,388481000.0,388481000.0,388481000.0,388481000.0,404388000.0,404388000.0,404388000.0,404388000.0,435169000.0,435169000.0,435169000.0,435169000.0,454879000.0,454879000.0,454879000.0,454879000.0,466711000.0,466711000.0,466711000.0,466711000.0,486168000.0,486168000.0,486168000.0,486168000.0,499928000.0
AdditionalPaidInCapital / USD,334817000.0,334817000.0,334817000.0,334817000.0,361131000.0,361131000.0,361131000.0,361131000.0,381919000.0,381919000.0,381919000.0,381919000.0,400710000.0,400710000.0,400710000.0,400710000.0,412512000.0,400710000.0,412512000.0,424536000.0,424536000.0,424536000.0,424536000.0,440123000.0,440123000.0,440123000.0,440123000.0,452016000.0,452016000.0,452016000.0,452016000.0,464138000.0,464138000.0,464138000.0,464138000.0,472029000.0,472029000.0,472029000.0,472029000.0,495005000.0,495005000.0,495005000.0,495005000.0,518960000.0,518960000.0,518960000.0,518960000.0,551360000.0,551360000.0,551360000.0,551360000.0,583836000.0,583836000.0,583836000.0,583836000.0,619805000.0,619805000.0,619805000.0,619805000.0,652218000.0
AdjustmentForAmortization / USD,6862000.0,15265000.0,24559000.0,25288000.0,11946000.0,24160000.0,36210000.0,34919000.0,12625000.0,25337000.0,37150000.0,48602000.0,12130000.0,24037000.0,36120000.0,49297000.0,12893000.0,49297000.0,48374000.0,15817000.0,31945000.0,48063000.0,54836000.0,18211000.0,37012000.0,57013000.0,64841000.0,21746000.0,44568000.0,66882000.0,79077000.0,23856000.0,48711000.0,75787000.0,90109000.0,27827000.0,56146000.0,84605000.0,104011000.0,29380000.0,58873000.0,89160000.0,113255000.0,30352000.0,61164000.0,92189000.0,119599000.0,31016000.0,62610000.0,94563000.0,123233000.0,33194000.0,68946000.0,105609000.0,126835000.0,37183000.0,75366000.0,114270000.0,142006000.0,39221000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6719000.0,6719000.0,6719000.0,6719000.0,6719000.0,6719000.0,6719000.0,6719000.0,7267000.0,7267000.0,7267000.0,7266000.0,7616000.0,7616000.0,7616000.0,7616000.0,7955000.0,7955000.0,7955000.0,7955000.0,7477000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540000.0,910000.0,1450000.0,2130000.0,540000.0,910000.0,1450000.0,2130000.0,540000.0,840000.0,1200000.0,1740000.0,480000.0,960000.0,1380000.0,1800000.0,480000.0,960000.0,1440000.0,1920000.0,480000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023000.0,1286000.0,1538000.0,2070000.0,1023000.0,1286000.0,1538000.0,2070000.0,145000.0,373000.0,754000.0,1389000.0,65000.0,390000.0,834000.0,1458000.0,231000.0,783000.0,1425000.0,2209000.0,629000.0
