fact_unit,2010-11-01,2011-02-04,2011-05-06,2011-08-22,2011-11-04,2012-02-06,2012-05-07,2012-08-17,2012-11-02,2013-02-06,2013-05-03,2013-08-23,2013-11-01,2014-02-05,2014-05-02,2014-08-20,2014-11-04,2015-02-05,2015-05-05,2015-08-20,2015-11-02,2016-02-05,2016-05-03,2016-08-24,2016-11-02,2017-02-02,2017-05-03,2017-08-25,2017-11-01,2018-02-02,2018-05-02,2018-08-24,2018-10-31,2019-02-05,2019-05-01,2019-08-23,2019-10-31,2020-02-06,2020-05-01,2020-08-28,2020-11-02,2021-02-05,2021-05-03,2021-08-27,2021-11-02,2022-02-03,2022-05-03,2022-08-24,2022-11-02,2023-02-02,2023-05-03,2023-08-18,2023-11-01,2024-02-05,2024-05-01,2024-08-19,2024-10-31,2025-02-04,2025-05-01,2025-08-20,2025-10-30
AccountsPayableTradeCurrent / USD,,,,,,,,,493800000.0,493800000.0,493800000.0,493800000.0,481700000.0,481700000.0,481700000.0,481700000.0,524500000.0,524500000.0,524500000.0,524500000.0,635400000.0,635400000.0,635400000.0,635400000.0,717000000.0,717000000.0,717000000.0,717000000.0,835000000.0,835000000.0,835000000.0,835000000.0,1182000000.0,1182000000.0,1182000000.0,1182000000.0,1490000000.0,1490000000.0,1490000000.0,1490000000.0,1177000000.0,1177000000.0,1177000000.0,1177000000.0,1692000000.0,1692000000.0,1692000000.0,1692000000.0,1822000000.0,1822000000.0,1822000000.0,1822000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1440000000.0,1440000000.0,1440000000.0,1440000000.0,1497000000.0
AccountsReceivableNetCurrent / USD,746200000.0,746200000.0,746200000.0,746200000.0,945600000.0,945600000.0,945600000.0,945600000.0,1060300000.0,1060300000.0,1060300000.0,1060300000.0,1171700000.0,1171700000.0,1171700000.0,1171700000.0,1379300000.0,1379300000.0,1379300000.0,1379300000.0,1174500000.0,1174500000.0,1174500000.0,1174500000.0,1258000000.0,1258000000.0,1258000000.0,1258000000.0,1395000000.0,1395000000.0,1395000000.0,1395000000.0,1487000000.0,1487000000.0,1487000000.0,1487000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1194000000.0,1194000000.0,1194000000.0,1831000000.0,1702000000.0,1702000000.0,1702000000.0,1702000000.0,1629000000.0,1629000000.0,1629000000.0,1629000000.0,1452000000.0,1452000000.0,1452000000.0,1452000000.0,1727000000.0,1727000000.0,1727000000.0,1727000000.0,1530000000.0
AccruedIncomeTaxesCurrent / USD,5600000.0,5600000.0,5600000.0,5600000.0,62300000.0,62300000.0,62300000.0,62300000.0,97200000.0,97200000.0,97200000.0,97200000.0,81300000.0,81300000.0,81300000.0,81300000.0,113600000.0,113600000.0,113600000.0,113600000.0,96900000.0,96900000.0,96900000.0,,,,,,,169000000.0,94000000.0,,90000000.0,90000000.0,90000000.0,,,,,,208000000.0,208000000.0,208000000.0,,237000000.0,237000000.0,237000000.0,,267000000.0,267000000.0,267000000.0,,,,222000000.0,222000000.0,335000000.0,335000000.0,335000000.0,335000000.0,282000000.0
AccruedMarketingCostsCurrent / USD,,,,373500000.0,,,,401900000.0,,,,318600000.0,338400000.0,318600000.0,318600000.0,318600000.0,301700000.0,301700000.0,301700000.0,301700000.0,293800000.0,293800000.0,293800000.0,293800000.0,283000000.0,283000000.0,283000000.0,283000000.0,319000000.0,319000000.0,319000000.0,319000000.0,348000000.0,348000000.0,348000000.0,348000000.0,352000000.0,352000000.0,352000000.0,352000000.0,256000000.0,256000000.0,256000000.0,256000000.0,294000000.0,294000000.0,294000000.0,294000000.0,,250000000.0,250000000.0,,,,235000000.0,,276000000.0,276000000.0,276000000.0,276000000.0,287000000.0
AccruedPayrollTaxesCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000.0,,,,359000000.0,345000000.0,345000000.0,345000000.0,,297000000.0,297000000.0,297000000.0,297000000.0,333000000.0,333000000.0,333000000.0,333000000.0,307000000.0
AccruedSalariesCurrent / USD,,,,366300000.0,,,,422400000.0,,,,431400000.0,433300000.0,433300000.0,433300000.0,433300000.0,468200000.0,468200000.0,468200000.0,468200000.0,463300000.0,463300000.0,463300000.0,463300000.0,504000000.0,504000000.0,504000000.0,504000000.0,522000000.0,522000000.0,522000000.0,522000000.0,579000000.0,579000000.0,579000000.0,579000000.0,574000000.0,574000000.0,574000000.0,574000000.0,424000000.0,424000000.0,424000000.0,424000000.0,670000000.0,670000000.0,670000000.0,670000000.0,693000000.0,693000000.0,693000000.0,693000000.0,546000000.0,546000000.0,546000000.0,546000000.0,576000000.0,576000000.0,576000000.0,576000000.0,551000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1501400000.0,1501400000.0,1501400000.0,1501400000.0,1719000000.0,1719000000.0,1719000000.0,1719000000.0,1736600000.0,1736600000.0,1736600000.0,1736600000.0,1876900000.0,1876900000.0,1876900000.0,1876900000.0,2027300000.0,2027300000.0,2027300000.0,2027300000.0,2089400000.0,2089400000.0,2089400000.0,2089400000.0,2213000000.0,2213000000.0,2213000000.0,2213000000.0,2348000000.0,2348000000.0,2348000000.0,2348000000.0,2612000000.0,2612000000.0,2612000000.0,2612000000.0,2763000000.0,2763000000.0,2763000000.0,2763000000.0,3079000000.0,3079000000.0,3079000000.0,3079000000.0,3338000000.0,3338000000.0,3338000000.0,3338000000.0,3490000000.0,3490000000.0,3490000000.0,3490000000.0,3729000000.0,3729000000.0,3729000000.0,3729000000.0,4030000000.0,4030000000.0,4030000000.0,4030000000.0,4553000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-196700000.0,-196700000.0,-196700000.0,-117100000.0,17700000.0,17700000.0,17700000.0,-196700000.0,-212900000.0,-212900000.0,-212900000.0,17700000.0,-157500000.0,-157500000.0,-157500000.0,-212900000.0,-100300000.0,-100300000.0,-100300000.0,-100300000.0,-381500000.0,-381500000.0,-381500000.0,-381500000.0,-545000000.0,-545000000.0,-545000000.0,-545000000.0,-484000000.0,-484000000.0,-484000000.0,-484000000.0,-434000000.0,-434000000.0,-434000000.0,-434000000.0,-563000000.0,-563000000.0,-563000000.0,-563000000.0,-665000000.0,-665000000.0,-665000000.0,-563000000.0,-470000000.0,-470000000.0,-470000000.0,-470000000.0,-762000000.0,-762000000.0,-762000000.0,-762000000.0,-934000000.0,-934000000.0,-934000000.0,-934000000.0,-1140000000.0,-1140000000.0,-1140000000.0,-934000000.0,-1127000000.0
AdditionalPaidInCapitalCommonStock / USD,1428700000.0,1428700000.0,1428700000.0,1428700000.0,1735600000.0,1735600000.0,1735600000.0,1735600000.0,2006100000.0,2006100000.0,2006100000.0,2006100000.0,2289900000.0,2289900000.0,2289900000.0,2289900000.0,2562700000.0,2562700000.0,2562700000.0,2562700000.0,2871600000.0,2871600000.0,2871600000.0,2871600000.0,3161000000.0,3161000000.0,3161000000.0,3161000000.0,3559000000.0,3559000000.0,3559000000.0,3559000000.0,3972000000.0,3972000000.0,3972000000.0,3972000000.0,4403000000.0,4403000000.0,4403000000.0,4403000000.0,4790000000.0,4790000000.0,4790000000.0,4790000000.0,5335000000.0,5335000000.0,5335000000.0,5335000000.0,5796000000.0,5796000000.0,5796000000.0,5796000000.0,6153000000.0,6153000000.0,6153000000.0,6153000000.0,6685000000.0,6685000000.0,6685000000.0,6685000000.0,7012000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,36000000.0,36000000.0,36000000.0,36000000.0,20000000.0,20000000.0,20000000.0,36000000.0,10000000.0,10000000.0,10000000.0,20000000.0,16000000.0,16000000.0,16000000.0,10000000.0,14000000.0,14000000.0,14000000.0,16000000.0,26000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,1000000.0,1000000.0,12000000.0,1000000.0,,1000000.0,7000000.0,,1000000.0,2000000.0,0.0,0.0,1000000.0,1000000.0,2000000.0,1000000.0
