fact_unit,2012-07-31,2012-10-24,2013-02-01,2013-05-02,2013-07-25,2013-11-01,2014-01-31,2014-04-25,2014-07-24,2014-10-30,2015-01-29,2015-04-23,2015-07-31,2015-11-05,2016-01-28,2016-04-28,2016-07-28,2016-11-03,2017-02-03,2017-05-04,2017-07-27,2017-11-02,2018-02-01,2018-04-26,2018-07-26,2018-10-31,2019-01-31,2019-04-25,2019-07-25,2019-10-31,2020-01-30,2020-04-30,2020-07-31,2020-10-30,2021-01-28,2021-04-29,2021-07-29,2021-10-26,2022-02-03,2022-04-28,2022-07-28,2022-10-27,2023-02-02,2023-04-27,2023-07-27,2023-10-26,2024-02-02,2024-04-25,2024-08-01,2024-10-31,2025-01-30,2025-05-01,2025-07-31,2025-10-30
AccountsPayableTradeCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541000000.0,886000000.0,,,886000000.0,1331000000.0,1331000000.0,1331000000.0,1331000000.0,4083000000.0,4083000000.0,4083000000.0,4083000000.0,4990000000.0,4990000000.0,4990000000.0,4990000000.0,4849000000.0,4849000000.0,4849000000.0,4849000000.0,7687000000.0,7687000000.0,7687000000.0
AccountsReceivableNetCurrent / USD,547000000.0,547000000.0,547000000.0,719000000.0,719000000.0,719000000.0,719000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1678000000.0,1678000000.0,1678000000.0,1678000000.0,2559000000.0,2559000000.0,2559000000.0,2559000000.0,3993000000.0,3993000000.0,3993000000.0,3993000000.0,5832000000.0,5832000000.0,5832000000.0,5832000000.0,7587000000.0,7587000000.0,7587000000.0,7587000000.0,9518000000.0,9518000000.0,9518000000.0,9518000000.0,11335000000.0,11335000000.0,11335000000.0,11335000000.0,14039000000.0,14039000000.0,14039000000.0,14039000000.0,13466000000.0,13466000000.0,13466000000.0,13466000000.0,16169000000.0,16169000000.0,16169000000.0,16169000000.0,16994000000.0,16994000000.0,16994000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5651000000.0,,,,5025000000.0,,,,5938000000.0,6645000000.0,6645000000.0,6645000000.0,6645000000.0,7514000000.0,7514000000.0,7514000000.0,7514000000.0,9987000000.0,9987000000.0,9987000000.0
AccruedLiabilitiesCurrent / USD,296000000.0,296000000.0,296000000.0,423000000.0,423000000.0,423000000.0,423000000.0,555000000.0,555000000.0,555000000.0,555000000.0,866000000.0,866000000.0,866000000.0,866000000.0,1449000000.0,1449000000.0,1449000000.0,1449000000.0,2203000000.0,2203000000.0,2203000000.0,2203000000.0,2892000000.0,2892000000.0,2892000000.0,2892000000.0,5509000000.0,5509000000.0,5509000000.0,5509000000.0,11735000000.0,11735000000.0,11735000000.0,11735000000.0,11152000000.0,11152000000.0,11152000000.0,11152000000.0,14312000000.0,14312000000.0,14312000000.0,14873000000.0,19552000000.0,19552000000.0,19552000000.0,19552000000.0,25488000000.0,25488000000.0,25488000000.0,25488000000.0,23967000000.0,23967000000.0,23967000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,,,,,12000000.0,,,,-227000000.0,,,,-430000000.0,,,,-582000000.0,,,,-16000000.0,,,,-466000000.0,,,,-617000000.0,,,,439000000.0,,,,-677000000.0,,,,-1860000000.0,,,,-1240000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-6000000.0,-6000000.0,-6000000.0,2000000.0,2000000.0,2000000.0,2000000.0,14000000.0,14000000.0,14000000.0,14000000.0,-228000000.0,-228000000.0,-228000000.0,-228000000.0,-455000000.0,-455000000.0,-455000000.0,-455000000.0,-703000000.0,-703000000.0,-703000000.0,-703000000.0,-227000000.0,-227000000.0,-227000000.0,-227000000.0,-760000000.0,-760000000.0,-760000000.0,-760000000.0,-489000000.0,-489000000.0,-489000000.0,-489000000.0,927000000.0,927000000.0,927000000.0,927000000.0,-693000000.0,-693000000.0,-693000000.0,-693000000.0,-3530000000.0,-3530000000.0,-3530000000.0,-3530000000.0,-2155000000.0,-2155000000.0,-2155000000.0,-2155000000.0,-3097000000.0,-3097000000.0,-3097000000.0
AdditionalPaidInCapital / USD,2684000000.0,2684000000.0,2684000000.0,10094000000.0,10094000000.0,10094000000.0,10094000000.0,12297000000.0,12297000000.0,12297000000.0,12297000000.0,30225000000.0,30225000000.0,30225000000.0,30225000000.0,34886000000.0,34886000000.0,34886000000.0,34886000000.0,38227000000.0,38227000000.0,38227000000.0,38227000000.0,40584000000.0,40584000000.0,40584000000.0,40584000000.0,42906000000.0,42906000000.0,42906000000.0,42906000000.0,45851000000.0,45851000000.0,45851000000.0,45851000000.0,50018000000.0,50018000000.0,50018000000.0,50018000000.0,55811000000.0,55811000000.0,55811000000.0,55811000000.0,64444000000.0,64444000000.0,64444000000.0,64444000000.0,73253000000.0,73253000000.0,73253000000.0,73253000000.0,83228000000.0,83228000000.0,83228000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,73000000.0,,,,20000000.0,,,2360000000.0,6000000.0,832000000.0,1758000000.0,2663000000.0,3246000000.0,512000000.0,1362000000.0,1954000000.0,3208000000.0,690000000.0,1444000000.0,2444000000.0,2581000000.0,1077000000.0,2432000000.0,4007000000.0,3564000000.0,925000000.0,1927000000.0,2938000000.0,5515000000.0,1009000000.0,2701000000.0,4789000000.0,3595000000.0,3162000000.0,6370000000.0,9913000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,,,,,,1786000000.0,,,,2960000000.0,,,2909000000.0,3218000000.0,955000000.0,2141000000.0,3180000000.0,3723000000.0,1010000000.0,2313000000.0,3562000000.0,4152000000.0,1335000000.0,3030000000.0,4752000000.0,4836000000.0,1830000000.0,4379000000.0,6757000000.0,6536000000.0,2498000000.0,5850000000.0,8984000000.0,9164000000.0,3051000000.0,7111000000.0,10603000000.0,11992000000.0,3562000000.0,8178000000.0,12428000000.0
AdvertisingExpense / USD,,,8000000.0,,,,28000000.0,,,,67000000.0,,,,117000000.0,,,,135000000.0,,,,281000000.0,,,,310000000.0,,,,324000000.0,,,,1100000000.0,,,,1570000000.0,,,,2260000000.0,,,,2990000000.0,,,,2650000000.0,,,
