fact_unit,2013-05-14,2013-08-01,2013-10-31,2014-02-13,2014-05-01,2014-07-31,2014-10-30,2015-02-12,2015-04-29,2015-07-29,2015-10-28,2016-02-11,2016-05-03,2016-07-27,2016-11-03,2017-02-16,2017-05-08,2017-08-04,2017-10-27,2018-02-16,2018-05-04,2018-07-27,2018-10-25,2019-02-19,2019-05-02,2019-07-24,2019-11-01,2020-02-18,2020-04-30,2020-07-23,2020-10-22,2021-02-12,2021-04-23,2021-07-28,2021-10-22,2022-02-16,2022-04-28,2022-07-22,2022-10-27,2023-02-15,2023-04-28,2023-08-01,2023-11-01,2024-02-15,2024-05-02,2024-07-22,2024-10-31,2025-02-13,2025-05-06,2025-07-22,2025-10-28
AccountsPayableAndOtherAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,2295000000.0,2295000000.0,2295000000.0,2295000000.0,2512000000.0,2512000000.0,2512000000.0,2512000000.0,2813000000.0,2813000000.0,2813000000.0,2813000000.0,2981000000.0,2981000000.0,2981000000.0,2981000000.0,3316000000.0,3316000000.0,3316000000.0,3316000000.0,3564000000.0,3564000000.0,3564000000.0,3564000000.0,3684000000.0,3684000000.0,3684000000.0
AccountsReceivableGrossCurrent / USD,747342000.0,747342000.0,747342000.0,747342000.0,925901000.0,925901000.0,925901000.0,925901000.0,977253000.0,977253000.0,977253000.0,977253000.0,1168033000.0,1168033000.0,1168033000.0,1168000000.0,1721000000.0,1721000000.0,1721000000.0,1721000000.0,2112000000.0,2112000000.0,2112000000.0,2112000000.0,2409000000.0,2409000000.0,2409000000.0,2409000000.0,2598000000.0,2598000000.0,2598000000.0,2598000000.0,2444000000.0,2444000000.0,2444000000.0,2444000000.0,2584000000.0,2584000000.0,2584000000.0,2584000000.0,2953000000.0,2953000000.0,2953000000.0,2953000000.0,3415000000.0,3415000000.0,3415000000.0,3415000000.0,3246000000.0,3246000000.0,3246000000.0
AccruedIncomeTaxesCurrent / USD,9639000.0,9639000.0,9639000.0,9639000.0,35778000.0,35778000.0,35778000.0,35778000.0,55694000.0,55694000.0,55694000.0,55694000.0,35173000.0,35173000.0,35173000.0,35000000.0,76000000.0,76000000.0,76000000.0,76000000.0,72000000.0,72000000.0,72000000.0,72000000.0,100000000.0,100000000.0,100000000.0,100000000.0,108000000.0,108000000.0,108000000.0,108000000.0,102000000.0,102000000.0,102000000.0,102000000.0,137000000.0,137000000.0,137000000.0,137000000.0,161000000.0,161000000.0,161000000.0,161000000.0,116000000.0,116000000.0,116000000.0,116000000.0,156000000.0,156000000.0,156000000.0
AccruedLiabilitiesCurrent / USD,,,,658119000.0,,,,761189000.0,,,,733644000.0,,,,761000000.0,,,,1493000000.0,,,,1664000000.0,,,,1858000000.0,,,,1937000000.0,,,,2232000000.0,,,,2360000000.0,,,,2671000000.0,,,,2855000000.0,,,
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,,10000000.0,,,,69000000.0,,,,76000000.0,,,,91000000.0,,,,80000000.0,,,,92000000.0,,,,102000000.0,,,,99000000.0,,,,112000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,257466000.0,,,,281548000.0,,,,305928000.0,,,,322000000.0,,,,363000000.0,,,,483000000.0,,,,567000000.0,,,,597000000.0,,,,673000000.0,,,,765000000.0,,,,840000000.0,,,,803000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,7695000.0,7695000.0,22871000.0,45577000.0,7695000.0,-376000.0,-376000.0,22871000.0,-59091000.0,-59091000.0,-59091000.0,-59091000.0,-111366000.0,-111366000.0,-111366000.0,-111000000.0,-570000000.0,-570000000.0,-570000000.0,-570000000.0,49000000.0,49000000.0,49000000.0,49000000.0,-224000000.0,-224000000.0,-224000000.0,-224000000.0,-311000000.0,-311000000.0,-311000000.0,-311000000.0,-205000000.0,-205000000.0,-205000000.0,-205000000.0,-406000000.0,-406000000.0,-406000000.0,-406000000.0,-727000000.0,-727000000.0,-727000000.0,-727000000.0,-867000000.0,-867000000.0,-867000000.0,-867000000.0,-1038000000.0,-1038000000.0,-1038000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,25774000.0,,,23288000.0,20784000.0,,,,26000000.0,,,,31000000.0,,,,76000000.0,20000000.0,20000000.0,20000000.0,180000000.0,21000000.0,21000000.0,21000000.0,108000000.0,7000000.0,7000000.0,7000000.0,137000000.0,30000000.0,30000000.0,30000000.0,90000000.0,35000000.0,35000000.0,35000000.0,157000000.0,69000000.0,69000000.0,69000000.0,192000000.0,49000000.0,49000000.0,49000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,1969000.0,1969000.0,1969000.0,1969000.0,1696000.0,1696000.0,1696000.0,1696000.0,1998000.0,1998000.0,1998000.0,1998000.0,2284000.0,2284000.0,2284000.0,2000000.0,14000000.0,14000000.0,14000000.0,14000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,16000000.0,16000000.0,16000000.0,16000000.0,34000000.0,34000000.0,34000000.0,34000000.0,33000000.0,33000000.0,33000000.0,33000000.0,36000000.0,36000000.0,36000000.0,36000000.0,34000000.0,34000000.0,34000000.0,34000000.0,42000000.0,42000000.0,42000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,1634000.0,3586000.0,5689000.0,30016000.0,2875000.0,15258000.0,16944000.0,9237000.0,1595000.0,3191000.0,4787000.0,21825000.0,1677000.0,5800000.0,7485000.0,7000000.0,2000000.0,3000000.0,5000000.0,9000000.0,2000000.0,4000000.0,6000000.0,30000000.0,3000000.0,5000000.0,8000000.0,9000000.0,3000000.0,6000000.0,10000000.0,11000000.0,3000000.0,8000000.0,13000000.0,13000000.0,5000000.0,10000000.0,14000000.0,18000000.0,4000000.0,7000000.0,11000000.0,17000000.0,4000000.0,8000000.0,13000000.0,15000000.0,5000000.0,11000000.0,16000000.0
