fact_unit,2017-06-06,2017-08-08,2017-11-07,2018-03-06,2018-05-09,2018-08-08,2018-11-07,2019-02-27,2019-05-08,2019-08-07,2019-11-06,2020-02-26,2020-05-06,2020-08-05,2020-10-29,2021-02-25,2021-05-06,2021-08-05,2021-11-04,2022-02-24,2022-05-10,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-07-19,2023-11-02,2024-02-22,2024-05-01,2024-07-31,2024-10-30,2025-02-19,2025-05-07,2025-07-30,2025-10-29
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,28164000.0,28164000.0,28164000.0,50306000.0,50306000.0,50306000.0,50306000.0,117524000.0,121415000.0,121415000.0,121415000.0,234443000.0,234443000.0,234443000.0,234443000.0,342000000.0,342000000.0,342000000.0,342000000.0,656000000.0,656000000.0,656000000.0,656000000.0,777000000.0,777000000.0,777000000.0,777000000.0,596000000.0,596000000.0,596000000.0,596000000.0,856000000.0,856000000.0,856000000.0
AccountsPayableCurrent / USD,,6208000.0,6208000.0,6208000.0,10546000.0,10546000.0,10546000.0,10546000.0,29141000.0,33032000.0,33032000.0,33032000.0,63576000.0,63576000.0,63576000.0,63576000.0,67000000.0,67000000.0,67000000.0,67000000.0,141000000.0,141000000.0,141000000.0,141000000.0,232000000.0,232000000.0,232000000.0,232000000.0,231000000.0,231000000.0,231000000.0,231000000.0,236000000.0,236000000.0,236000000.0
AccountsReceivableNetCurrent / USD,,5692000.0,5692000.0,5692000.0,14105000.0,14105000.0,14105000.0,14105000.0,33120000.0,33120000.0,33120000.0,33120000.0,39864000.0,39864000.0,39864000.0,39864000.0,79000000.0,79000000.0,79000000.0,79000000.0,206000000.0,206000000.0,206000000.0,206000000.0,253000000.0,253000000.0,253000000.0,253000000.0,266000000.0,266000000.0,266000000.0,266000000.0,303000000.0,303000000.0,303000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,76000000.0,76000000.0,76000000.0,,77000000.0,77000000.0,77000000.0,,,,
AccruedAdvertisingCurrent / USD,,1281000.0,1281000.0,1281000.0,4265000.0,4265000.0,4265000.0,4265000.0,4398000.0,4398000.0,4398000.0,4398000.0,11403000.0,11403000.0,11403000.0,11403000.0,21000000.0,21000000.0,21000000.0,21000000.0,40000000.0,40000000.0,40000000.0,40000000.0,7000000.0,7000000.0,7000000.0,7000000.0,4000000.0,4000000.0,4000000.0,4000000.0,18000000.0,18000000.0,18000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,,
AccruedInsuranceCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63000000.0,63000000.0,63000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,41375000.0,41375000.0,41375000.0,41375000.0,41375000.0,147916000.0,147916000.0,147916000.0,147916000.0,280994000.0,280994000.0,280994000.0,280994000.0,742000000.0,742000000.0,742000000.0,742000000.0,795000000.0,795000000.0,795000000.0,795000000.0,1558000000.0,1558000000.0,1558000000.0,1558000000.0,1869000000.0,1869000000.0,1869000000.0,1869000000.0,2676000000.0,2676000000.0,2676000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,299000.0,399000.0,704000.0,160000.0,299000.0,399000.0,704000.0,160000.0,160000.0,160000.0,704000.0,433000.0,433000.0,433000.0,2509000.0,2000000.0,2000000.0,2000000.0,6000000.0,9000000.0,9000000.0,9000000.0,23000000.0,12000000.0,12000000.0,12000000.0,39000000.0,0.0,2000000.0,2000000.0,8000000.0,4000000.0,4000000.0,4000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,1944000.0,3831000.0,5453000.0,1510000.0,1944000.0,3831000.0,5453000.0,1510000.0,1510000.0,1510000.0,5453000.0,8022000.0,8022000.0,8022000.0,25745000.0,7000000.0,7000000.0,7000000.0,36000000.0,10000000.0,10000000.0,10000000.0,31000000.0,43000000.0,43000000.0,43000000.0,47000000.0,17000000.0,17000000.0,17000000.0,93000000.0,24000000.0,24000000.0,24000000.0
