fact_unit,2017-07-28,2017-10-31,2018-02-23,2018-04-27,2018-07-30,2018-10-30,2018-11-13,2019-02-19,2019-04-30,2019-08-01,2019-10-30,2020-02-13,2020-04-24,2020-07-24,2020-10-23,2021-02-25,2021-04-23,2021-07-23,2021-10-22,2022-02-11,2022-04-20,2022-07-21,2022-10-20,2023-02-14,2023-04-19,2023-07-19,2023-10-26,2024-02-05,2024-04-24,2024-07-26,2024-10-23,2025-02-04,2025-04-23,2025-07-23,2025-10-24
AccountsPayableCurrent / USD,,1898000000.0,1898000000.0,3377000000.0,3377000000.0,3377000000.0,1896000000.0,3377000000.0,4025000000.0,4025000000.0,4025000000.0,4025000000.0,4268000000.0,4268000000.0,4268000000.0,4268000000.0,3532000000.0,3532000000.0,3532000000.0,3532000000.0,3745000000.0,3745000000.0,3745000000.0,3745000000.0,4298000000.0,4298000000.0,4298000000.0,4298000000.0,4471000000.0,4471000000.0,4471000000.0,4471000000.0,4542000000.0,4542000000.0,4542000000.0
AccountsReceivableGrossCurrent / USD,,2749000000.0,2749000000.0,6345000000.0,6345000000.0,6345000000.0,2750000000.0,6345000000.0,6296000000.0,6296000000.0,6296000000.0,6296000000.0,6739000000.0,6739000000.0,6739000000.0,6739000000.0,5995000000.0,5995000000.0,5995000000.0,5995000000.0,6051000000.0,6051000000.0,6051000000.0,6051000000.0,6299000000.0,6299000000.0,6299000000.0,6299000000.0,7425000000.0,7425000000.0,7425000000.0,7425000000.0,7354000000.0,7354000000.0,7354000000.0
AccrualForEnvironmentalLossContingencies / USD,,,,,,,,,,,,,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,2065000000.0,2065000000.0,2817000000.0,2817000000.0,2817000000.0,2065000000.0,2817000000.0,3625000000.0,3625000000.0,3625000000.0,3625000000.0,4384000000.0,4384000000.0,4384000000.0,4384000000.0,5115000000.0,5115000000.0,5115000000.0,5115000000.0,5003000000.0,5003000000.0,5003000000.0,5003000000.0,5121000000.0,5121000000.0,5121000000.0,5121000000.0,5678000000.0,5678000000.0,5678000000.0,5678000000.0,6056000000.0,6056000000.0,6056000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-1894000000.0,-1894000000.0,-703000000.0,-703000000.0,-703000000.0,-1888000000.0,-703000000.0,-1219000000.0,-1219000000.0,-1219000000.0,-1219000000.0,-1636000000.0,-1636000000.0,-1636000000.0,-1636000000.0,-1778000000.0,-1778000000.0,-1778000000.0,-1778000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2385000000.0,-2971000000.0,-2971000000.0,-2971000000.0,-2971000000.0,-2796000000.0,-2796000000.0,-2796000000.0,-2796000000.0,-3161000000.0,-3161000000.0,-3161000000.0
AdditionalPaidInCapitalCommonStock / USD,,0.0,0.0,15083000000.0,15083000000.0,15083000000.0,0.0,15083000000.0,18659000000.0,18659000000.0,18659000000.0,18659000000.0,23565000000.0,23565000000.0,23565000000.0,23565000000.0,24613000000.0,24613000000.0,24613000000.0,24613000000.0,27375000000.0,27375000000.0,27375000000.0,27375000000.0,28126000000.0,28126000000.0,28126000000.0,28126000000.0,26983000000.0,26983000000.0,26983000000.0,26983000000.0,25896000000.0,25896000000.0,25896000000.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000000.0,628000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,24000000.0,37000000.0,30000000.0,60000000.0,23000000.0,37000000.0,37000000.0,30000000.0,60000000.0,90000000.0,37000000.0,40000000.0,87000000.0,136000000.0,121000000.0,56000000.0,112000000.0,164000000.0,187000000.0,50000000.0,102000000.0,153000000.0,210000000.0,52000000.0,102000000.0,155000000.0,205000000.0,49000000.0,98000000.0,148000000.0,207000000.0,51000000.0,101000000.0,154000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,186000000.0,,,,330000000.0,,,,327000000.0,,,,323000000.0,,,,373000000.0,,,,400000000.0,,,,341000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,186000000.0,186000000.0,330000000.0,330000000.0,330000000.0,186000000.0,330000000.0,327000000.0,327000000.0,327000000.0,327000000.0,323000000.0,323000000.0,323000000.0,323000000.0,373000000.0,373000000.0,373000000.0,373000000.0,400000000.0,400000000.0,400000000.0,400000000.0,341000000.0,341000000.0,341000000.0,341000000.0,350000000.0,350000000.0,350000000.0,350000000.0,232000000.0,232000000.0,232000000.0
AllowanceForDoubtfulAccountsReceivableRecoveries / USD,,,,,,,,,,,,,,,,,,,,,,,,39000000.0,,,,44000000.0,,,,31000000.0,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,23000000.0,,,,43000000.0,,,,52000000.0,,,,,,,,23000000.0,,,,34000000.0,,,,26000000.0,,,
AmortizationOfIntangibleAssets / USD,,192000000.0,179000000.0,63000000.0,149000000.0,301000000.0,239000000.0,239000000.0,139000000.0,240000000.0,352000000.0,387000000.0,96000000.0,193000000.0,278000000.0,455000000.0,84000000.0,156000000.0,231000000.0,365000000.0,69000000.0,134000000.0,193000000.0,308000000.0,55000000.0,110000000.0,164000000.0,253000000.0,63000000.0,126000000.0,190000000.0,222000000.0,68000000.0,133000000.0,200000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0
Assets / USD,0.0,21721000000.0,21721000000.0,56500000000.0,56500000000.0,56500000000.0,21466000000.0,56500000000.0,52439000000.0,52439000000.0,52439000000.0,52439000000.0,53369000000.0,53369000000.0,53369000000.0,53369000000.0,38007000000.0,38007000000.0,38007000000.0,38007000000.0,35308000000.0,35308000000.0,35308000000.0,35308000000.0,34181000000.0,34181000000.0,34181000000.0,34181000000.0,36945000000.0,36945000000.0,36945000000.0,36945000000.0,38363000000.0,38363000000.0,38363000000.0
AssetsCurrent / USD,,7401000000.0,7401000000.0,18424000000.0,18424000000.0,18424000000.0,7344000000.0,18424000000.0,14971000000.0,14971000000.0,14971000000.0,14971000000.0,15222000000.0,15222000000.0,15222000000.0,15222000000.0,16455000000.0,16455000000.0,16455000000.0,16455000000.0,15065000000.0,15065000000.0,15065000000.0,15065000000.0,14592000000.0,14592000000.0,14592000000.0,14592000000.0,16301000000.0,16301000000.0,16301000000.0,16301000000.0,17211000000.0,17211000000.0,17211000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,7030000000.0,981000000.0,981000000.0,1432000000.0,1432000000.0,7030000000.0,7030000000.0,7030000000.0,981000000.0,3723000000.0,3723000000.0,3723000000.0,7030000000.0,3249000000.0,3249000000.0,3249000000.0,3723000000.0,4132000000.0,4132000000.0,4132000000.0,3249000000.0,3853000000.0,3853000000.0,3853000000.0,4132000000.0,2488000000.0,2488000000.0,2488000000.0,3853000000.0,2646000000.0,2646000000.0,2646000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,-451000000.0,-1399000000.0,-2151000000.0,-2265000000.0,6049000000.0,-650000000.0,-585000000.0,-915000000.0,-3307000000.0,-239000000.0,883000000.0,812000000.0,-474000000.0,250000000.0,-219000000.0,-206000000.0,883000000.0,-662000000.0,-925000000.0,-1002000000.0,-279000000.0,-73000000.0,317000000.0,713000000.0,-1365000000.0,71000000.0,-362000000.0,18000000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,,,0.0001,,,
ComprehensiveIncomeNetOfTax / USD,,0.0,0.0,0.0,0.0,-32000000.0,0.0,0.0,188000000.0,-33000000.0,-54000000.0,-57000000.0,117000000.0,30000000.0,14000000.0,-35000000.0,-10395000000.0,-10557000000.0,-10673000000.0,121000000.0,-483000000.0,-399000000.0,-502000000.0,-9897000000.0,98000000.0,-885000000.0,-1247000000.0,-354000000.0,521000000.0,1162000000.0,1567000000.0,-879000000.0,396000000.0,849000000.0,1759000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,-66000000.0,-36000000.0,0.0,7000000.0,-47000000.0,-83000000.0,-83000000.0,109000000.0,-247000000.0,-278000000.0,-250000000.0,126000000.0,46000000.0,64000000.0,-255000000.0,-5968000000.0,-6101000000.0,-6172000000.0,142000000.0,-164000000.0,-134000000.0,-150000000.0,-5821000000.0,8000000.0,8000000.0,13000000.0,-127000000.0,5000000.0,10000000.0,16000000.0,20000000.0,8000000.0,10000000.0,18000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,0.0,90000000.0,-1210000000.0,141000000.0,-20000000.0,-106000000.0,-185000000.0,-185000000.0,297000000.0,-280000000.0,-332000000.0,-334000000.0,243000000.0,76000000.0,78000000.0,-290000000.0,-16363000000.0,-16658000000.0,-16845000000.0,263000000.0,-647000000.0,-533000000.0,-652000000.0,-15718000000.0,106000000.0,-877000000.0,-1234000000.0,-481000000.0,526000000.0,1171000000.0,1583000000.0,-859000000.0,404000000.0,859000000.0,1777000000.0
ContractWithCustomerAssetNetNoncurrent / USD,,,,,1233000000.0,1233000000.0,1080000000.0,1233000000.0,1684000000.0,1684000000.0,1684000000.0,1694000000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,1820000000.0,1820000000.0,1820000000.0,1820000000.0,1414000000.0,1414000000.0,1414000000.0,1414000000.0,1347000000.0,1347000000.0,1347000000.0,1347000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,1593000000.0,1593000000.0,1593000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,2038000000.0,2038000000.0,2757000000.0,2038000000.0,1775000000.0,1775000000.0,1775000000.0,1765000000.0,2870000000.0,2870000000.0,2870000000.0,2870000000.0,3454000000.0,3454000000.0,3454000000.0,3454000000.0,3232000000.0,3232000000.0,3232000000.0,3232000000.0,3822000000.0,3822000000.0,3822000000.0,3822000000.0,5542000000.0,5542000000.0,5542000000.0,5542000000.0,5672000000.0,5672000000.0,5672000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,1035000000.0,1289000000.0,2401000000.0,1525000000.0,602000000.0,1006000000.0,1287000000.0,1392000000.0,553000000.0,848000000.0,1004000000.0,1239000000.0,507000000.0,827000000.0,1328000000.0,1962000000.0,878000000.0,1585000000.0,2033000000.0,2398000000.0,739000000.0,1253000000.0,1720000000.0,2185000000.0,962000000.0,1468000000.0,2349000000.0,2999000000.0,1476000000.0,2868000000.0,3712000000.0
ContractWithCustomerPerformanceObligationSatisfiedInPreviousPeriod / USD,,,,30000000.0,40000000.0,50000000.0,113000000.0,44000000.0,10000000.0,22000000.0,25000000.0,26000000.0,7000000.0,21000000.0,-9000000.0,-1000000.0,6000000.0,30000000.0,22000000.0,17000000.0,0.0,9000000.0,18000000.0,14000000.0,-4000000.0,13000000.0,14000000.0,20000000.0,1000000.0,14000000.0,20000000.0,15000000.0,-1000000.0,-4000000.0,-5000000.0
CostsAndExpenses / USD,0.0,9378000000.0,16826000000.0,2978000000.0,6059000000.0,11553000000.0,12625000000.0,12625000000.0,5440000000.0,10910000000.0,16293000000.0,17463000000.0,5439000000.0,11161000000.0,16746000000.0,,21484000000.0,26271000000.0,31370000000.0,,4618000000.0,9566000000.0,14281000000.0,,4556000000.0,9629000000.0,14729000000.0,19192000000.0,5278000000.0,11078000000.0,17005000000.0,19971000000.0,,,
CurrentFederalTaxExpenseBenefit / USD,,,158000000.0,,,,-114000000.0,-114000000.0,,,,-75000000.0,,,,63000000.0,,,,-12000000.0,,,,-59000000.0,,,,11000000.0,,,,6000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,411000000.0,,,,325000000.0,325000000.0,,,,453000000.0,,,,444000000.0,,,,443000000.0,,,,458000000.0,,,,614000000.0,,,,489000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,569000000.0,,,,211000000.0,211000000.0,,,,378000000.0,,,,507000000.0,,,,431000000.0,,,,399000000.0,,,,625000000.0,,,,495000000.0,,,
DebtAndEquitySecuritiesGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,-118000000.0,,,,,,,52000000.0,71000000.0,171000000.0
DebtAndEquitySecuritiesRealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,-170000000.0,,392000000.0,391000000.0,489000000.0,,27000000.0,45000000.0,146000000.0
DebtAndEquitySecuritiesUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,-25000000.0,,,,2000000.0,,,,1400000000.0,,,,-843000000.0,,,,-271000000.0,,,
DebtCurrent / USD,,239000000.0,239000000.0,2037000000.0,2037000000.0,2037000000.0,239000000.0,2037000000.0,942000000.0,942000000.0,942000000.0,942000000.0,321000000.0,321000000.0,321000000.0,321000000.0,889000000.0,889000000.0,889000000.0,889000000.0,40000000.0,40000000.0,40000000.0,40000000.0,677000000.0,677000000.0,677000000.0,677000000.0,148000000.0,148000000.0,148000000.0,148000000.0,53000000.0,53000000.0,53000000.0
