fact_unit,2009-10-29,2010-01-28,2010-01-29,2010-04-30,2010-08-13,2010-10-28,2011-01-28,2011-04-29,2011-08-10,2011-10-27,2012-01-27,2012-02-10,2012-04-27,2012-08-08,2012-10-25,2013-01-25,2013-04-24,2013-08-08,2013-10-25,2013-10-28,2014-01-24,2014-04-23,2014-08-08,2014-10-24,2015-01-27,2015-04-23,2015-08-07,2015-10-23,2015-10-26,2016-01-26,2016-04-26,2016-08-09,2016-10-25,2017-01-20,2017-04-26,2017-08-07,2017-10-20,2018-01-23,2018-04-19,2018-08-07,2018-10-19,2018-10-22,2019-01-23,2019-04-23,2019-08-06,2019-10-22,2020-01-23,2020-04-20,2020-08-06,2020-08-07,2020-10-20,2021-01-20,2021-04-20,2021-08-06,2021-10-19,2022-01-19,2022-04-20,2022-08-05,2022-10-19,2023-01-19,2023-04-21,2023-08-04,2023-10-18,2024-01-23,2024-04-19,2024-08-05,2024-10-18,2025-01-22,2025-04-24,2025-08-04,2025-10-24
AssetsCurrent / USD,21905000000.0,21905000000.0,24515000000.0,21905000000.0,21905000000.0,18782000000.0,18782000000.0,18782000000.0,18782000000.0,21970000000.0,21970000000.0,18782000000.0,21970000000.0,21970000000.0,21910000000.0,21910000000.0,21910000000.0,21910000000.0,23990000000.0,21910000000.0,23990000000.0,23990000000.0,23990000000.0,31617000000.0,31617000000.0,31617000000.0,31617000000.0,29646000000.0,31617000000.0,29646000000.0,29646000000.0,29646000000.0,33782000000.0,33782000000.0,33782000000.0,33782000000.0,26494000000.0,26494000000.0,26494000000.0,26494000000.0,23320000000.0,26494000000.0,23320000000.0,23320000000.0,23320000000.0,22473000000.0,22473000000.0,22473000000.0,22473000000.0,22473000000.0,27987000000.0,27987000000.0,27987000000.0,27987000000.0,23091000000.0,23091000000.0,23091000000.0,23091000000.0,21653000000.0,21653000000.0,21653000000.0,21653000000.0,22648000000.0,22648000000.0,22648000000.0,22648000000.0,24709000000.0,24709000000.0,24709000000.0,24709000000.0,25392000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569000000.0,2569000000.0,5569000000.0,5569000000.0,4239000000.0,4239000000.0,4239000000.0,2569000000.0,16181000000.0,16181000000.0,16181000000.0,4239000000.0,10288000000.0,10288000000.0,10288000000.0,16181000000.0,7214000000.0,7214000000.0,7214000000.0,10288000000.0,8246000000.0,8246000000.0,8246000000.0,7214000000.0,9482000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127000000.0,169000000.0,-3000000000.0,-3000000000.0,5065000000.0,2040000000.0,11154000000.0,1670000000.0,-2789000000.0,-4240000000.0,-6174000000.0,11942000000.0,82000000.0,1256000000.0,-1762000000.0,-5893000000.0,-504000000.0,-360000000.0,382000000.0,-3074000000.0,1487000000.0,-356000000.0,-1418000000.0,1032000000.0,2675000000.0
CashEquivalentsAtCarryingValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000000.0,2956000000.0,2956000000.0,2956000000.0,3000000000.0,3000000000.0,14600000000.0,14600000000.0,14600000000.0,14600000000.0,9100000000.0,9100000000.0,9100000000.0,9100000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6800000000.0,6800000000.0,6800000000.0,6800000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8300000000.0
CollateralAlreadyPostedAggregateFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219000000.0,219000000.0,219000000.0,1088000000.0,1088000000.0,1088000000.0,1088000000.0,307000000.0,307000000.0,307000000.0,307000000.0,1100000000.0
CommercialPaper / USD,,,,,5027000000.0,,,,7838000000.0,,,7838000000.0,,6950000000.0,,,,4574000000.0,,4574000000.0,,,7642000000.0,,,,10818000000.0,,10818000000.0,,,8807000000.0,,,,8690000000.0,,,,11705000000.0,,11705000000.0,,,7761000000.0,,,,6183000000.0,6183000000.0,,,,8545000000.0,,,,5171000000.0,,,,4805000000.0,,,,6236000000.0,,,,3327000000.0,
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9407,1.8814,2.8221,3.6806,1.0065
CommonStockParOrStatedValuePerShare / USD/shares,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,
CommonStockSharesAuthorized / shares,,,10000000000.0,,10000000000.0,,,,10000000000.0,,,10000000000.0,,10000000000.0,,,,10000000000.0,,10000000000.0,,,10000000000.0,,,,10000000000.0,,10000000000.0,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,10000000000.0,,,10000000000.0,,,,10000000000.0,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,
CommonStockSharesIssued / shares,4007300000.0,4007300000.0,4001800000.0,4007300000.0,4007300000.0,4007600000.0,4007600000.0,4007600000.0,4007600000.0,4007900000.0,4007900000.0,4007600000.0,4007900000.0,4007900000.0,4008400000.0,4008400000.0,4008400000.0,4008400000.0,4009200000.0,4008400000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0,4009200000.0
