fact_unit,2019-03-18,2019-05-10,2019-08-09,2019-11-06,2020-02-05,2020-05-07,2020-08-10,2020-11-03,2021-02-09,2021-05-06,2021-08-10,2021-11-04,2022-02-09,2022-05-10,2022-08-12,2022-11-01,2023-02-08,2023-05-09,2023-08-11,2023-11-02,2024-02-07,2024-05-08,2024-08-08,2024-11-04,2025-02-04,2025-05-12,2025-08-06,2025-10-30
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,,,1906000000.0,1906000000.0,2253000000.0,2253000000.0,2253000000.0,2253000000.0,2296000000.0,2296000000.0,2296000000.0,2296000000.0,2514000000.0,2514000000.0,2514000000.0,2514000000.0,2353000000.0,2353000000.0,2353000000.0,2353000000.0,2897000000.0
AccountsReceivableGross / USD,,,1866000000.0,,,,2007000000.0,,,,1981000000.0,,,,2106000000.0,,,,2182000000.0,,,,2221000000.0,,,,2408000000.0,
AccountsReceivableNet / USD,,,1838000000.0,,,,1972000000.0,,,,1888000000.0,,,,2029000000.0,,,,2128000000.0,,,,2177000000.0,,,,2364000000.0,
AccountsReceivableNetCurrent / USD,1833000000.0,1833000000.0,1833000000.0,1967000000.0,1967000000.0,1967000000.0,1967000000.0,1888000000.0,1888000000.0,1888000000.0,1888000000.0,2029000000.0,2029000000.0,2029000000.0,2029000000.0,2128000000.0,2128000000.0,2128000000.0,2128000000.0,2177000000.0,2177000000.0,2177000000.0,2177000000.0,2364000000.0,2364000000.0,2364000000.0,2364000000.0,2472000000.0
AccruedLiabilitiesCurrent / USD,530000000.0,530000000.0,530000000.0,835000000.0,835000000.0,835000000.0,835000000.0,907000000.0,907000000.0,907000000.0,907000000.0,1077000000.0,1077000000.0,1077000000.0,1077000000.0,992000000.0,992000000.0,992000000.0,992000000.0,1028000000.0,1028000000.0,1028000000.0,1028000000.0,1006000000.0,1006000000.0,1006000000.0,1006000000.0,1081000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,59000000.0,,,,49000000.0,,,,308000000.0,,,,417000000.0,,,,318000000.0,,,,219000000.0,,,,145000000.0,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,,,,,,,,,0.0,,,,0.0,,,,-7000000.0,,,,-4000000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,81000000.0,81000000.0,-59000000.0,-308000000.0,-308000000.0,-308000000.0,81000000.0,-417000000.0,-417000000.0,-417000000.0,-308000000.0,-318000000.0,-318000000.0,-318000000.0,-417000000.0,-226000000.0,-226000000.0,-226000000.0,-318000000.0,-149000000.0,-149000000.0,-149000000.0,-226000000.0,-107000000.0,-107000000.0,-107000000.0,-149000000.0,-124000000.0
AdditionalPaidInCapitalCommonStock / USD,,0.0,0.0,9891000000.0,9891000000.0,9891000000.0,9891000000.0,9831000000.0,9831000000.0,9831000000.0,9831000000.0,9453000000.0,9453000000.0,9453000000.0,9453000000.0,9098000000.0,9098000000.0,9098000000.0,9098000000.0,8253000000.0,8253000000.0,8253000000.0,8253000000.0,7678000000.0,7678000000.0,7678000000.0,7678000000.0,7603000000.0
AdvertisingExpense / USD,,,366000000.0,,,,392000000.0,,,,388000000.0,,,,425000000.0,,,,558000000.0,,,,708000000.0,,,,680000000.0,
AllocatedShareBasedCompensationExpense / USD,28000000.0,69000000.0,57000000.0,21000000.0,33000000.0,71000000.0,100000000.0,32000000.0,74000000.0,115000000.0,103000000.0,31000000.0,75000000.0,112000000.0,156000000.0,15000000.0,47000000.0,75000000.0,147000000.0,7000000.0,32000000.0,55000000.0,102000000.0,24000000.0,48000000.0,69000000.0,74000000.0,34000000.0
AllowanceForDoubtfulAccountsReceivable / USD,28000000.0,28000000.0,28000000.0,,,,35000000.0,,,,93000000.0,,,,77000000.0,,,,54000000.0,,,,44000000.0,,,,44000000.0,
AmortizationOfIntangibleAssets / USD,,,15000000.0,,13000000.0,21000000.0,14000000.0,,,,15000000.0,,,,36000000.0,,,,63000000.0,,,,66000000.0,,,,74000000.0,
