fact_unit,2016-06-10,2016-09-06,2016-12-09,2017-03-31,2017-06-09,2017-09-08,2017-12-12,2018-03-29,2018-06-12,2018-08-06,2018-09-11,2018-12-10,2019-03-29,2019-06-10,2019-09-10,2019-12-09,2020-03-27,2020-06-08,2020-09-04,2020-12-07,2021-03-26,2021-06-07,2021-09-03,2021-12-03,2022-03-24,2022-06-06,2022-09-01,2022-12-05,2023-03-30,2023-06-12,2023-09-12,2023-12-08,2024-03-25,2024-06-11,2024-09-10,2024-12-10,2025-03-25,2025-06-10,2025-09-08
AccountsPayableCurrent / USD,12761000000.0,12746000000.0,12881000000.0,12881000000.0,14422000000.0,14422000000.0,14422000000.0,14422000000.0,18334000000.0,14422000000.0,18334000000.0,18334000000.0,18334000000.0,19213000000.0,19213000000.0,19213000000.0,19213000000.0,20065000000.0,20065000000.0,20065000000.0,20065000000.0,21696000000.0,21696000000.0,21696000000.0,21572000000.0,27143000000.0,27143000000.0,27143000000.0,27143000000.0,18598000000.0,,,,19389000000.0,19389000000.0,19389000000.0,19226000000.0,20832000000.0,20832000000.0
AccountsReceivableNetCurrent / USD,5092000000.0,4848000000.0,4887000000.0,4887000000.0,9420000000.0,9420000000.0,9420000000.0,9420000000.0,11721000000.0,9889000000.0,11721000000.0,11721000000.0,11721000000.0,12371000000.0,12371000000.0,12371000000.0,12371000000.0,12484000000.0,12484000000.0,12484000000.0,12484000000.0,12788000000.0,12788000000.0,12788000000.0,10731000000.0,12912000000.0,12912000000.0,12912000000.0,12912000000.0,12482000000.0,,,,9343000000.0,9343000000.0,9343000000.0,9343000000.0,10298000000.0,10298000000.0
AccruedLiabilitiesCurrent / USD,,,,4217000000.0,7119000000.0,7119000000.0,7119000000.0,7119000000.0,8026000000.0,7406000000.0,8026000000.0,8026000000.0,8026000000.0,8495000000.0,8495000000.0,8495000000.0,8495000000.0,9773000000.0,9773000000.0,9773000000.0,9773000000.0,9549000000.0,9549000000.0,9549000000.0,7166000000.0,7578000000.0,7578000000.0,7578000000.0,7578000000.0,8874000000.0,8874000000.0,8874000000.0,8874000000.0,6805000000.0,6805000000.0,6805000000.0,6828000000.0,6597000000.0,6597000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,258000000.0,,,,7461000000.0,,7461000000.0,,,7883000000.0,,,,8348000000.0,,,,8572000000.0,8753000000.0,8753000000.0,8753000000.0,7051000000.0,6891000000.0,6891000000.0,6891000000.0,6891000000.0,6883000000.0,6883000000.0,6883000000.0,6883000000.0,7185000000.0,7185000000.0,7185000000.0,7185000000.0,7760000000.0,7760000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-324000000.0,-324000000.0,-324000000.0,-324000000.0,-595000000.0,-595000000.0,-595000000.0,-595000000.0,130000000.0,-595000000.0,130000000.0,130000000.0,130000000.0,-467000000.0,-467000000.0,-467000000.0,-467000000.0,-709000000.0,-709000000.0,-709000000.0,-709000000.0,-314000000.0,-314000000.0,-314000000.0,-314000000.0,-431000000.0,-431000000.0,-431000000.0,-431000000.0,-1001000000.0,-1001000000.0,-1001000000.0,-1001000000.0,-800000000.0,-800000000.0,-800000000.0,-800000000.0,-939000000.0,-939000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,53000000.0,72000000.0,14000000.0,33000000.0,183000000.0,398000000.0,201000000.0,398000000.0,411000000.0,631000000.0,398000000.0,199000000.0,415000000.0,671000000.0,839000000.0,263000000.0,564000000.0,886000000.0,918000000.0,370000000.0,783000000.0,1219000000.0,1262000000.0,435000000.0,934000000.0,1406000000.0,1609000000.0,232000000.0,468000000.0,703000000.0,1622000000.0,225000000.0,448000000.0,675000000.0,931000000.0,210000000.0,401000000.0
AdvertisingExpense / USD,,,,582000000.0,,,,594000000.0,,772000000.0,,,772000000.0,,,,1000000000.0,,,,1100000000.0,,,,1100000000.0,,,,1000000000.0,,,,1300000000.0,,,,1100000000.0,,
AllocatedShareBasedCompensationExpense / USD,,,53000000.0,72000000.0,,,,72000000.0,,398000000.0,,,398000000.0,,,,835000000.0,,,,918000000.0,,,,1262000000.0,,,,1609000000.0,,,,1622000000.0,,,,931000000.0,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,34000000.0,46000000.0,,,,46000000.0,,276000000.0,,,276000000.0,,,,567000000.0,,,,658000000.0,,,,870000000.0,,,,1296000000.0,,,,1326000000.0,,,,768000000.0,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,94000000.0,94000000.0,94000000.0,103000000.0,94000000.0,94000000.0,94000000.0,84000000.0,90000000.0,90000000.0,90000000.0,90000000.0,78000000.0,78000000.0,78000000.0,78000000.0,71000000.0,71000000.0,71000000.0,71000000.0,63000000.0,63000000.0
AllowanceForNotesAndLoansReceivableCurrent / USD,,,,,,,,,,,,,,,,,,109000000.0,109000000.0,109000000.0,109000000.0,228000000.0,228000000.0,228000000.0,228000000.0,142000000.0,142000000.0,142000000.0,142000000.0,142000000.0,142000000.0,142000000.0,142000000.0,79000000.0,79000000.0,79000000.0,79000000.0,78000000.0,78000000.0
AllowanceForNotesAndLoansReceivableNoncurrent / USD,,,,,,,,,,,,,,,,,,40000000.0,40000000.0,40000000.0,40000000.0,93000000.0,93000000.0,93000000.0,93000000.0,47000000.0,47000000.0,47000000.0,47000000.0,59000000.0,59000000.0,59000000.0,59000000.0,91000000.0,91000000.0,91000000.0,91000000.0,75000000.0,75000000.0
AmortizationOfIntangibleAssets / USD,529000000.0,986000000.0,1478000000.0,2100000000.0,491000000.0,982000000.0,2146000000.0,2000000000.0,1800000000.0,3700000000.0,3500000000.0,5300000000.0,3700000000.0,1500000000.0,3000000000.0,4600000000.0,7000000000.0,1200000000.0,2300000000.0,3300000000.0,6100000000.0,900000000.0,1700000000.0,2500000000.0,3000000000.0,445000000.0,887000000.0,1300000000.0,2100000000.0,243000000.0,487000000.0,732000000.0,1600000000.0,200000000.0,408000000.0,613000000.0,1000000000.0,200000000.0,300000000.0
