fact_unit,2017-11-13,2018-03-28,2018-05-04,2018-08-02,2018-11-01,2019-02-14,2019-05-01,2019-07-31,2019-10-31,2020-02-20,2020-04-30,2020-07-29,2020-10-28,2021-02-18,2021-04-29,2021-07-28,2021-10-27,2022-02-23,2022-05-04,2022-07-27,2022-10-27,2023-02-23,2023-05-01,2023-07-26,2023-10-25,2024-02-22,2024-05-01,2024-07-31,2024-10-31,2025-02-20,2025-04-30,2025-07-30,2025-10-30
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,757142000.0,-52125000.0,141635000.0,734617000.0,757142000.0,-52125000.0,141635000.0,24195000.0,635105000.0,-134937000.0,401041000.0,1269191000.0,2578643000.0,-957836000.0,503446000.0,6537000.0,91529000.0,353521000.0,-785900000.0,-170912000.0,-125613000.0,-221231000.0,423621000.0,38740000.0,529860000.0,301951000.0,-530681000.0,-37256000.0,-175414000.0,-166907000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,0.16,0.16,0.2625,0.0,0.16,0.16,0.16,0.0,0.2875,0.2875,0.2875,0.9975,0.2975,0.2975,0.2975,1.17,0.33,0.33,0.33,1.255,0.36,0.36,0.36,1.38,0.39,0.39,0.39,1.5,0.415,0.415,0.415
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,100000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,700000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0
CommonStockSharesIssued / shares,1000.0,177160494.0,300278938.0,300278938.0,300278938.0,177160494.0,404729616.0,404729616.0,404729616.0,404729616.0,461004742.0,461004742.0,461004742.0,461004742.0,536669722.0,536669722.0,536669722.0,536669722.0,628942092.0,628942092.0,628942092.0,628942092.0,963096563.0,963096563.0,963096563.0,963096563.0,1042702763.0,1042702763.0,1042702763.0,1042702763.0,1056366685.0,1056366685.0,1056366685.0
CommonStockSharesOutstanding / shares,1000.0,300278938.0,300278938.0,300278938.0,300278938.0,300278938.0,404729616.0,300278938.0,300278938.0,300278938.0,404729616.0,404729616.0,404729616.0,404729616.0,461004742.0,461004742.0,461004742.0,461004742.0,536669722.0,536669722.0,536669722.0,461004742.0,628942092.0,628942092.0,628942092.0,536669722.0,963096563.0,1042702763.0,1042702763.0,1042702763.0,1056366685.0,1056366685.0,1056366685.0
CommonStockValue / USD,0.0,3003000.0,3003000.0,3003000.0,3003000.0,3003000.0,4047000.0,4047000.0,4047000.0,4047000.0,4610000.0,4610000.0,4610000.0,4610000.0,5367000.0,5367000.0,5367000.0,5367000.0,6289000.0,6289000.0,6289000.0,6289000.0,9631000.0,9631000.0,9631000.0,9631000.0,10427000.0,10427000.0,10427000.0,10427000.0,10564000.0,10564000.0,10564000.0
ComprehensiveIncomeNetOfTax / USD,,,,246526000.0,386543000.0,42662000.0,112122000.0,246526000.0,386543000.0,42662000.0,133658000.0,255019000.0,392341000.0,501495000.0,-77150000.0,153203000.0,564484000.0,503010000.0,282179000.0,592216000.0,824893000.0,864231000.0,348994000.0,379120000.0,704064000.0,1107256000.0,503828000.0,1197759000.0,1766659000.0,1302156000.0,592786000.0,1325659000.0,2052051000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,7715000.0,9307000.0,8939000.0,19857000.0,29140000.0,18428000.0,9809000.0,21132000.0,32665000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,596882000.0,831881000.0,868765000.0,351299000.0,380938000.0,711779000.0,1116563000.0,512767000.0,1217616000.0,1795799000.0,1320584000.0,602595000.0,1346791000.0,2084716000.0
CostOfGoodsAndServicesSold / USD,,,,,12832000.0,4126000.0,4095000.0,8608000.0,12832000.0,4126000.0,4092000.0,8940000.0,14363000.0,17371000.0,4370000.0,8509000.0,13181000.0,18901000.0,4506000.0,9738000.0,14881000.0,17632000.0,5285000.0,11144000.0,16330000.0,20762000.0,5952000.0,12542000.0,18874000.0,22602000.0,6511000.0,13324000.0,20148000.0
CurrentFederalTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,1693000.0,,,,1100000.0,,,,381000.0,,,,1066000.0,,,,1758000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,11000.0,,,,11000.0,,,,11000.0,,,,1819000.0,,,,1663000.0,,,,680000.0,,,,2541000.0,,,,2416000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,11000.0,,,,11000.0,,,,11000.0,,,,126000.0,,,,563000.0,,,,299000.0,,,,1475000.0,,,,658000.0,,,
DebtInstrumentCarryingAmount / USD,,4917000000.0,4785756000.0,4785756000.0,4785756000.0,4917000000.0,4148480000.0,4148480000.0,4148480000.0,4148480000.0,4848480000.0,6850000000.0,6850000000.0,6850000000.0,6850000000.0,6850000000.0,4750000000.0,4750000000.0,5350000000.0,13950000000.0,13950000000.0,13950000000.0,17053572000.0,17055728000.0,17108348000.0,17123804000.0,17120140000.0,17118975000.0,17117704000.0,17098846000.0,17195916000.0,17273519000.0,17097906000.0
DebtInstrumentFaceAmount / USD,,,,,,,,,,,,4848480000.0,4848480000.0,4848480000.0,6850000000.0,6850000000.0,6850000000.0,6850000000.0,4750000000.0,4750000000.0,4750000000.0,4750000000.0,13950000000.0,13950000000.0,13950000000.0,13950000000.0,17123804000.0,17123804000.0,17123804000.0,17123804000.0,17098846000.0,17273519000.0,17097906000.0
DebtWeightedAverageInterestRate / pure,,,,,,,,,,,,,,,,,,,,0.04105,0.04105,0.04105,0.04496,0.04496,0.04496,0.04496,0.04351,0.04351,0.04351,0.04351,0.04413,0.04475,0.04466
DeferredFederalIncomeTaxExpenseBenefit / USD,,-1909000.0,,,,-1909000.0,,,,-1909000.0,,,,-459000.0,,,,46000.0,,,,148000.0,,,,358000.0,,,,469000.0,,,
DeferredFinanceCostsNet / USD,,,,,,,,6190000.0,6190000.0,,14575000.0,14575000.0,14575000.0,14575000.0,8879000.0,8879000.0,8879000.0,8879000.0,24928000.0,24928000.0,24928000.0,24928000.0,18646000.0,18646000.0,18646000.0,18646000.0,11332000.0,11332000.0,11332000.0,11332000.0,8029000.0,8029000.0,8029000.0
