fact_unit,2009-12-04,2010-03-01,2010-05-28,2010-09-16,2010-12-06,2011-03-01,2011-06-01,2011-09-14,2011-12-01,2012-02-29,2012-05-25,2012-09-13,2012-11-29,2013-03-01,2013-05-30,2013-09-13,2013-11-22,2014-02-21,2014-05-21,2014-09-12,2014-11-21,2015-02-19,2015-05-22,2015-09-01,2015-11-20,2016-02-25,2016-05-24,2016-09-01,2016-11-18,2017-02-23,2017-05-23,2017-09-01,2017-11-20,2018-02-22,2018-05-22,2018-08-31,2018-11-20,2019-02-22,2019-05-23,2019-08-30,2019-11-21,2020-02-24,2020-05-21,2020-08-31,2020-11-19,2021-02-23,2021-05-25,2021-09-08,2021-11-18,2022-03-02,2022-05-24,2022-09-02,2022-11-29,2023-02-23,2023-05-23,2023-09-01,2023-11-28,2024-02-22,2024-05-23,2024-09-04,2024-11-21,2025-02-25,2025-05-22,2025-09-03,2025-11-20
AccountsPayableCurrent / USD,105000000.0,103000000.0,103000000.0,103000000.0,143000000.0,143000000.0,143000000.0,143000000.0,129000000.0,129000000.0,129000000.0,129000000.0,157000000.0,157000000.0,157000000.0,139000000.0,137000000.0,137000000.0,137000000.0,137000000.0,161000000.0,161000000.0,161000000.0,145000000.0,190000000.0,190000000.0,190000000.0,190000000.0,184000000.0,184000000.0,184000000.0,184000000.0,157000000.0,157000000.0,157000000.0,157000000.0,178000000.0,178000000.0,178000000.0,178000000.0,274000000.0,274000000.0,274000000.0,274000000.0,305000000.0,305000000.0,305000000.0,305000000.0,623000000.0,623000000.0,623000000.0,623000000.0,737000000.0,737000000.0,737000000.0,737000000.0,638000000.0,638000000.0,638000000.0,638000000.0,721000000.0,721000000.0,721000000.0,721000000.0,721000000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446000000.0,446000000.0,,405000000.0,405000000.0,405000000.0,,457000000.0,457000000.0,457000000.0,,530000000.0
AccountsReceivableNetCurrent / USD,147000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,171000000.0,171000000.0,171000000.0,171000000.0,183000000.0,183000000.0,183000000.0,142000000.0,130000000.0,130000000.0,130000000.0,130000000.0,134000000.0,134000000.0,134000000.0,115000000.0,91000000.0,91000000.0,91000000.0,91000000.0,108000000.0,108000000.0,108000000.0,108000000.0,103000000.0,103000000.0,103000000.0,103000000.0,98000000.0,98000000.0,98000000.0,98000000.0,87000000.0,87000000.0,87000000.0,87000000.0,149000000.0,149000000.0,149000000.0,149000000.0,391000000.0,391000000.0,391000000.0,391000000.0,446000000.0,,,446000000.0,,,,405000000.0,,,,457000000.0,457000000.0
AccruedIncomeTaxesCurrent / USD,,0.0,0.0,0.0,14000000.0,14000000.0,14000000.0,14000000.0,,,0.0,,,,0.0,0.0,,,2000000.0,,,,6000000.0,,,,7000000.0,,,,4000000.0,,,,5000000.0,,,,3000000.0,,,,4000000.0,,,,11000000.0,,3000000.0,3000000.0,3000000.0,3000000.0,8000000.0,,8000000.0,8000000.0,698000000.0,698000000.0,698000000.0,698000000.0,8000000.0,8000000.0,8000000.0,,
AccruedIncomeTaxesNoncurrent / USD,,,,48000000.0,20000000.0,20000000.0,20000000.0,20000000.0,42000000.0,42000000.0,42000000.0,42000000.0,41000000.0,41000000.0,41000000.0,41000000.0,38000000.0,38000000.0,38000000.0,38000000.0,32000000.0,32000000.0,32000000.0,32000000.0,45000000.0,45000000.0,45000000.0,45000000.0,54000000.0,54000000.0,54000000.0,54000000.0,53000000.0,53000000.0,53000000.0,53000000.0,61000000.0,61000000.0,61000000.0,61000000.0,89000000.0,89000000.0,89000000.0,89000000.0,10000000.0,10000000.0,10000000.0,10000000.0,24000000.0,24000000.0,24000000.0,24000000.0,44000000.0,44000000.0,44000000.0,44000000.0,76000000.0,76000000.0,76000000.0,76000000.0,157000000.0,157000000.0,157000000.0,157000000.0,157000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,807000000.0,,,,882000000.0,,,,963000000.0,,,,852000000.0,,,,945000000.0,,,,982000000.0,,,,1061000000.0,,,,1209000000.0,,,,1389000000.0,,,,1382000000.0,,,,1381000000.0,,,,1294000000.0,,,,1340000000.0,,,,1438000000.0,,,,1472000000.0,,,,1363000000.0,1363000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,7000000.0,7000000.0,7000000.0,7000000.0,11000000.0,11000000.0,11000000.0,11000000.0,15000000.0,15000000.0,15000000.0,15000000.0,25000000.0,25000000.0,25000000.0,25000000.0,20000000.0,20000000.0,20000000.0,20000000.0,-2000000.0,-2000000.0,-2000000.0,-2000000.0,-30000000.0,-30000000.0,-30000000.0,-30000000.0,-32000000.0,-32000000.0,-32000000.0,-32000000.0,-22000000.0,-22000000.0,-22000000.0,-22000000.0,-36000000.0,-36000000.0,-36000000.0,-36000000.0,-36000000.0,-36000000.0,-36000000.0,-36000000.0,-32000000.0,-32000000.0,-32000000.0,-32000000.0,-24000000.0,-24000000.0,-24000000.0,-24000000.0,-60000000.0,-60000000.0,-60000000.0,-60000000.0,-55000000.0,-55000000.0,-55000000.0,-55000000.0,-54000000.0,-54000000.0,-54000000.0,-54000000.0,-54000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,2544000000.0,,,,2725000000.0,,,,2883000000.0,,,,3015000000.0,,,,3198000000.0,,,,3558000000.0,,,,4007000000.0,,,,4442000000.0,,,,4854000000.0,,,,5335000000.0,,,,5772000000.0,,,,6179000000.0,,,,10545000000.0,,,,17722000000.0,,,,19026000000.0,,,,20248000000.0,20248000000.0
AdjustmentForAmortization / USD,27000000.0,57000000.0,84000000.0,100000000.0,36000000.0,68000000.0,87000000.0,126000000.0,19000000.0,39000000.0,58000000.0,108000000.0,28000000.0,45000000.0,55000000.0,77000000.0,14000000.0,30000000.0,45000000.0,71000000.0,11000000.0,25000000.0,37000000.0,66000000.0,18000000.0,36000000.0,55000000.0,53000000.0,10000000.0,19000000.0,30000000.0,74000000.0,6000000.0,11000000.0,18000000.0,43000000.0,5000000.0,10000000.0,18000000.0,22000000.0,6000000.0,13000000.0,19000000.0,25000000.0,8000000.0,16000000.0,23000000.0,26000000.0,9000000.0,60000000.0,128000000.0,29000000.0,69000000.0,233000000.0,396000000.0,197000000.0,162000000.0,324000000.0,484000000.0,559000000.0,158000000.0,314000000.0,470000000.0,646000000.0,646000000.0
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities / USD,137000000.0,235000000.0,339000000.0,323000000.0,85000000.0,143000000.0,205000000.0,452000000.0,126000000.0,224000000.0,338000000.0,305000000.0,102000000.0,203000000.0,311000000.0,484000000.0,107000000.0,212000000.0,368000000.0,361000000.0,139000000.0,236000000.0,333000000.0,452000000.0,121000000.0,236000000.0,611000000.0,457000000.0,141000000.0,269000000.0,102000000.0,774000000.0,136000000.0,258000000.0,388000000.0,311000000.0,160000000.0,300000000.0,474000000.0,592000000.0,155000000.0,302000000.0,437000000.0,715000000.0,170000000.0,338000000.0,455000000.0,634000000.0,171000000.0,419000000.0,824000000.0,540000000.0,361000000.0,944000000.0,1647000000.0,1097000000.0,637000000.0,1061000000.0,1602000000.0,2259000000.0,610000000.0,1141000000.0,1773000000.0,2061000000.0,2061000000.0
