fact_unit,2009-08-07,2009-11-05,2010-02-25,2010-05-03,2010-08-05,2010-11-05,2011-02-25,2011-05-06,2011-08-04,2011-11-04,2012-02-24,2012-05-02,2012-07-06,2012-08-03,2012-10-31,2013-03-01,2013-05-09,2013-08-07,2013-11-06,2014-02-21,2014-05-02,2014-08-01,2014-11-06,2015-02-26,2015-05-05,2015-05-08,2015-08-05,2015-11-05,2016-02-26,2016-05-04,2016-08-08,2016-11-02,2017-02-24,2017-05-02,2017-08-01,2017-11-07,2018-02-23,2018-05-03,2018-08-01,2018-11-07,2019-02-22,2019-05-07,2019-08-02,2019-11-07,2020-02-21,2020-05-05,2020-07-30,2020-10-29,2021-02-12,2021-04-29,2021-08-03,2021-10-28,2022-02-11,2022-05-05,2022-08-01,2022-10-31,2023-02-22,2023-05-08,2023-08-03,2023-11-07,2024-02-14,2024-05-02,2024-08-06,2024-10-29,2025-02-13,2025-05-12,2025-08-05,2025-10-29
AccountsPayableCurrent / USD,,282883000.0,282883000.0,176657000.0,176657000.0,176657000.0,176657000.0,181033000.0,181033000.0,181033000.0,181033000.0,289653000.0,181033000.0,289653000.0,289653000.0,289653000.0,414143000.0,414143000.0,414143000.0,414143000.0,435465000.0,435465000.0,435465000.0,435465000.0,445453000.0,445453000.0,445453000.0,445453000.0,445453000.0,513950000.0,513950000.0,513950000.0,513950000.0,522415000.0,522415000.0,522415000.0,456619000.0,509116000.0,509116000.0,509116000.0,509116000.0,463270000.0,463270000.0,463270000.0,463270000.0,403840000.0,403840000.0,403840000.0,403840000.0,434253000.0,434253000.0,434253000.0,434253000.0,402049000.0,402049000.0,402049000.0,402049000.0,479780000.0,479780000.0,479780000.0,479780000.0,514533000.0,514533000.0,514533000.0,514533000.0,547200000.0,547200000.0,547200000.0
AccountsReceivableNetCurrent / USD,1075457000.0,1075457000.0,1075457000.0,1105903000.0,1105903000.0,1105903000.0,1105903000.0,1048976000.0,1048976000.0,1048976000.0,1048976000.0,1195163000.0,1048976000.0,1195163000.0,1195163000.0,1195163000.0,1424303000.0,1424303000.0,1424303000.0,1424303000.0,1485163000.0,1485163000.0,1485163000.0,1485163000.0,1525849000.0,1525849000.0,1525849000.0,1525849000.0,1525849000.0,1724228000.0,1724228000.0,1724228000.0,1724228000.0,1917302000.0,1917302000.0,1917302000.0,1503950000.0,1714750000.0,1714750000.0,1714750000.0,1714750000.0,1858608000.0,1858608000.0,1858608000.0,1858608000.0,1795598000.0,1795598000.0,1795598000.0,1795598000.0,1824282000.0,1824282000.0,1824282000.0,1824282000.0,1957583000.0,1957583000.0,1957583000.0,1957583000.0,2132070000.0,2132070000.0,2132070000.0,2132070000.0,1986856000.0,1986856000.0,1986856000.0,1986856000.0,2146975000.0,2146975000.0,2146975000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,11581000.0,,,,9995000.0,,9995000.0,,,15174000.0,,,,17976000.0,,,,18366000.0,,,,,25909000.0,,,,29291000.0,,,,23643000.0,,,,28317000.0,,,,28663000.0,,,,36285000.0,,,,39075000.0,,,,41784000.0,,,,42806000.0,,,,47391000.0,,,
AccruedIncomeTaxesCurrent / USD,,0.0,0.0,23064000.0,23064000.0,23064000.0,23064000.0,,,38800000.0,37412000.0,37412000.0,37412000.0,37412000.0,37412000.0,37412000.0,37983000.0,,,,83054000.0,,48732000.0,,23130000.0,23130000.0,,,,,,,,,,,,,,,,,,,0.0,42412000.0,42412000.0,42412000.0,42412000.0,7768000.0,7768000.0,7768000.0,7768000.0,53792000.0,53792000.0,53792000.0,53792000.0,18039000.0,18039000.0,18039000.0,18039000.0,28507000.0,28507000.0,28507000.0,28507000.0,10303000.0,10303000.0,10303000.0
AccruedInsuranceCurrent / USD,,,,,,,59734000.0,,,,65950000.0,,65950000.0,,,72835000.0,,,,78073000.0,,,,84882000.0,,,,,92928000.0,,,,80355000.0,,,,76857000.0,,,,64924000.0,,,,58569000.0,,,,58941000.0,,,,54438000.0,,,,55548000.0,,,,68440000.0,,,,74337000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,970393000.0,,,,1139745000.0,,1139745000.0,,,1304492000.0,,,,1522183000.0,,,,1778259000.0,,,,,2029506000.0,,,,2397007000.0,,,,2698276000.0,,,,3103662000.0,,,,3524098000.0,,,,3969566000.0,,,,4480429000.0,,,,4763135000.0,,,,5265372000.0,,,,5759514000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-14339000.0,-14339000.0,-14339000.0,-5548000.0,-5548000.0,-5548000.0,-14339000.0,503000.0,503000.0,503000.0,-5548000.0,-19484000.0,-5548000.0,-19484000.0,-19484000.0,503000.0,-15297000.0,-15297000.0,-15297000.0,-15297000.0,-2645000.0,-2645000.0,-2645000.0,-2645000.0,-25017000.0,-25017000.0,-25017000.0,-25017000.0,-25017000.0,-59826000.0,-59826000.0,-59826000.0,-59826000.0,-89643000.0,-89643000.0,-89643000.0,-89643000.0,13235000.0,13235000.0,13235000.0,13235000.0,-34924000.0,-34924000.0,-34924000.0,-34924000.0,-47498000.0,-47498000.0,-47498000.0,-47498000.0,-66154000.0,-66154000.0,-66154000.0,-66154000.0,-139247000.0,-139247000.0,-139247000.0,-139247000.0,-69186000.0,-69186000.0,-69186000.0,-69186000.0,-52084000.0,-52084000.0,-52084000.0,-52084000.0,-310796000.0,-310796000.0,-310796000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,1108211000.0,1108211000.0,1108211000.0,1118326000.0,1118326000.0,1118326000.0,1118326000.0,1027182000.0,1027182000.0,1027182000.0,1027182000.0,1042899000.0,1042899000.0,1042899000.0,1042899000.0,995006000.0,995006000.0,995006000.0,995006000.0,749043000.0,749043000.0,749043000.0,749043000.0,597073000.0,597073000.0,597073000.0,597073000.0,540321000.0,540321000.0,540321000.0,540321000.0,606935000.0,606935000.0,606935000.0,606935000.0,509804000.0,509804000.0,509804000.0,509804000.0,286270000.0,286270000.0,286270000.0
AmortizationOfFinancingCosts / USD,,,,,,,9772000.0,,,,9655000.0,,9655000.0,,,9342000.0,,,,13423000.0,,,,18447000.0,,,,,28803000.0,,,,24544000.0,,,,18625000.0,,,,20103000.0,,,,24293000.0,,,,25538000.0,,,,24185000.0,,,,21179000.0,,,,18205000.0,,,,17772000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,,1420000.0,,,,565000.0,,565000.0,,,19085000.0,,,,21589000.0,,,,47489000.0,,,,,160960000.0,,,,167956000.0,,,,19185000.0,,,,14552000.0,,,,15782000.0,,,,16236000.0,,,,14247000.0,,,,13809000.0,,,,12860000.0,,,,11469000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,13585000.0,13125000.0,10053000.0,651000.0,1149000.0,1368000.0,9912000.0,558000.0,9912000.0,1249000.0,1777000.0,1452000.0,2309000.0,2344000.0,3282000.0,4775000.0,2187000.0,3353000.0,3871000.0,2616000.0,2999000.0,2999000.0,1995000.0,1804000.0,4194000.0,5992000.0,1046000.0,1092000.0,1715000.0,2273000.0,2042000.0,2153000.0,1365000.0,3427000.0,3603000.0,5239000.0,2523000.0,3453000.0,4840000.0,4987000.0,4350000.0,6150000.0,5974000.0,6414000.0,5295000.0,3207000.0,3211000.0,3063000.0,5936000.0,27000.0,84000.0,103000.0,2301000.0,171000.0,686000.0,878000.0,116000.0,1295000.0,787000.0,615000.0,1058000.0,391000.0,197000.0,135000.0
Assets / USD,7286083000.0,7286083000.0,7286083000.0,7558236000.0,7558236000.0,7558236000.0,7558236000.0,8114424000.0,8114424000.0,8114424000.0,8114424000.0,8892172000.0,8114424000.0,8892172000.0,8892172000.0,8903808000.0,16004363000.0,16004363000.0,16009614000.0,16014633000.0,17098877000.0,17098877000.0,17098877000.0,17098877000.0,17942715000.0,17942715000.0,17942715000.0,17942715000.0,17617432000.0,18514875000.0,18514875000.0,18514875000.0,18514875000.0,18741257000.0,18741257000.0,18741257000.0,18755776000.0,18948193000.0,18948193000.0,18948193000.0,18974536000.0,19110252000.0,19110252000.0,19110252000.0,19110252000.0,17311394000.0,17311394000.0,17311394000.0,17311394000.0,16988516000.0,16988516000.0,16988516000.0,16988516000.0,17121488000.0,17121488000.0,17121488000.0,17121488000.0,16928252000.0,16928252000.0,16928252000.0,16928252000.0,16893578000.0,16893578000.0,16893578000.0,16893578000.0,17285268000.0,17285268000.0,17285268000.0
AssetsCurrent / USD,2128296000.0,2128296000.0,2128296000.0,2302521000.0,2302521000.0,2302521000.0,2302521000.0,2622854000.0,2622854000.0,2622854000.0,2622854000.0,2281608000.0,2622854000.0,2281608000.0,2281608000.0,2293244000.0,2881794000.0,2881794000.0,2881794000.0,2887050000.0,3472278000.0,3472278000.0,3472278000.0,3472278000.0,3876797000.0,3876797000.0,3876797000.0,3876797000.0,3636170000.0,4503280000.0,4503280000.0,4503280000.0,4503280000.0,3980228000.0,3980228000.0,3980228000.0,3994748000.0,8744358000.0,8744358000.0,8744358000.0,8770701000.0,8424159000.0,8424159000.0,8424159000.0,8424159000.0,3690170000.0,3690170000.0,3690170000.0,3690170000.0,3148724000.0,3148724000.0,3148724000.0,3148724000.0,3167723000.0,3167723000.0,3167723000.0,3167723000.0,3155292000.0,3155292000.0,3155292000.0,3155292000.0,3137906000.0,3137906000.0,3137906000.0,3137906000.0,3746072000.0,3746072000.0,3746072000.0
BuildingsAndImprovementsGross / USD,,,,,,,34294000.0,,,,33937000.0,,33937000.0,,,34173000.0,,,,148881000.0,,,,157998000.0,,,,,387621000.0,,,,437283000.0,,,,429039000.0,,,,473489000.0,,,,467181000.0,,,,392256000.0,,,,400616000.0,,,,496455000.0,,,,427962000.0,,,,436460000.0,,,
BusinessAcquisitionProFormaEarningsPerShareBasic / USD/shares,,,,,,,4.21,,,,4.65,,4.65,,,8.65,,,,4.1,,,,3.1,,,,,3.48,-0.51,0.3,1.44,1.32,,0.79,3.57,5.22,,,,4.89,,,,3.75,,,,4.69,,,,6.66,,,,9.35,,,,5.92,,,,8.07,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted / USD/shares,,,,,,,4.19,,,3.51,4.58,,4.58,,,8.48,,,,4.02,,,,3.03,,,,,3.41,-0.51,0.3,1.41,1.3,,0.77,3.51,5.14,,,,4.82,,,,3.71,,,,4.67,,,,6.51,,,,8.95,,,,5.74,,,,7.86,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount / USD,,,,,,,109000000.0,75000000.0,135000000.0,,,,,,,,,,,,19196000.0,27789000.0,124105000.0,491457000.0,,,,,221454000.0,6851000.0,72190000.0,108874000.0,175247000.0,,,,,,,,,,,,,,,,,5456000.0,27159000.0,49501000.0,,4442000.0,,,,,,,,59521000.0,60065000.0,61506000.0,,,,7439000.0
