fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
OtherNoncurrentAssets / USD,14413000.0,42000000.0,42000000.0,42000000.0,34000000.0,46000000.0,46000000.0,46000000.0,25000000.0,24000000.0,24000000.0,47000000.0,47000000.0,22000000.0
OtherNoncurrentFinancialAssets / USD,34054000.0,40000000.0,40000000.0,40000000.0,40000000.0,137000000.0,137000000.0,137000000.0,137000000.0,110000000.0,110000000.0,85000000.0,85000000.0,85000000.0
OtherNoncurrentLiabilities / USD,412666000.0,1445000000.0,1445000000.0,1445000000.0,1445000000.0,1474000000.0,1474000000.0,1474000000.0,1474000000.0,1190000000.0,1190000000.0,1022000000.0,1022000000.0,1022000000.0
OtherNoncurrentPayables / USD,57769000.0,,,,30000000.0,,,,56000000.0,,26000000.0,85000000.0,85000000.0,85000000.0
OtherOperatingIncomeExpense / USD,74055000.0,6000000.0,-20000000.0,-19000000.0,442000000.0,9000000.0,24000000.0,32000000.0,-8000000.0,-45000000.0,22000000.0,-2000000.0,-6000000.0,-11000000.0
OtherProvisions / USD,337765000.0,2500000.0,2500000000.0,2500000000.0,353000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,298000000.0,33000000.0,36000000.0,44000000.0
OtherTaxEffectsForReconciliationBetweenAccountingProfitAndTaxExpenseIncome / USD,449000.0,,,,4000000.0,,,,-4000000.0,,2000000.0,,,
ParValuePerShare / USD/shares,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities / USD,73249000.0,,,,78000000.0,,,,89000000.0,,77000000.0,,,
PaymentsToAcquireOrRedeemEntitysShares / USD,,,,,,,,,,0.0,0.0,,200000000.0,200000000.0
PostemploymentBenefitExpenseDefinedBenefitPlans / USD,34434000.0,,,,22000000.0,,,,29000000.0,,31000000.0,,,
PostemploymentBenefitExpenseDefinedContributionPlans / USD,33809000.0,,,,32000000.0,,,,31000000.0,,32000000.0,,,
ProceedsFromBorrowingsClassifiedAsFinancingActivities / USD,2814827000.0,117000000.0,265000000.0,429000000.0,2801000000.0,214000000.0,443000000.0,612000000.0,617000000.0,46000000.0,971000000.0,,0.0,29000000.0
ProceedsFromDisposalsOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets / USD,252158000.0,46000000.0,265000000.0,296000000.0,109000000.0,9000000.0,24000000.0,39000000.0,324000000.0,,41000000.0,,,
ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities / USD,335222000.0,,,,312000000.0,,,,83000000.0,,93000000.0,,,
ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities / USD,,,,,,,,,0.0,,0.0,,,
ProceedsFromIssuingOtherEquityInstruments / USD,0.0,,85000000.0,88000000.0,0.0,0.0,94000000.0,156000000.0,1444000000.0,47000000.0,168000000.0,23000000.0,23000000.0,
ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities / USD,17150000.0,,,,375000000.0,,,,375000000.0,,300000000.0,,,
ProfitLoss / USD,-1371186000.0,-127000000.0,-301000000.0,-296000000.0,-1353000000.0,178000000.0,442000000.0,778000000.0,-254000000.0,740000000.0,1446000000.0,134000000.0,289000000.0,467000000.0
ProfitLossAttributableToNoncontrollingInterests / USD,0.0,-1000000.0,-2000000.0,-3000000.0,-3000000.0,-1000000.0,-1000000.0,-2000000.0,-4000000.0,-3000000.0,-2000000.0,1000000.0,1000000.0,2000000.0
ProfitLossAttributableToOwnersOfParent / USD,-1371186000.0,-126000000.0,-299000000.0,-293000000.0,-1350000000.0,179000000.0,443000000.0,780000000.0,-250000000.0,743000000.0,1448000000.0,133000000.0,288000000.0,465000000.0
ProfitLossBeforeTax / USD,-1147125000.0,-116000000.0,-271000000.0,-244000000.0,-1365000000.0,207000000.0,501000000.0,856000000.0,-176000000.0,785000000.0,1532000000.0,155000000.0,322000000.0,517000000.0
ProfitLossFromOperatingActivities / USD,-1624796000.0,-95000000.0,-198000000.0,-146000000.0,-1656000000.0,225000000.0,522000000.0,879000000.0,-60000000.0,826000000.0,1167000000.0,147000000.0,302000000.0,487000000.0
PropertyPlantAndEquipment / USD,8226202000.0,8713000000.0,8713000000.0,8713000000.0,8713000000.0,10596000000.0,10596000000.0,10596000000.0,,,9829000000.0,7762000000.0,7762000000.0,7762000000.0
PropertyPlantAndEquipmentIncludingRightofuseAssets / USD,,,,,,,,,10596000000.0,9829000000.0,,,,
ProvisionUsedOtherProvisions / USD,0.0,,,,3000000.0,,,,52000000.0,,136000000.0,,,
PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities / USD,184884000.0,42000000.0,68000000.0,82000000.0,,31000000.0,47000000.0,59000000.0,,77000000.0,,,,
PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities / USD,587934000.0,260000000.0,657000000.0,1036000000.0,592000000.0,612000000.0,1408000000.0,2009000000.0,1767000000.0,1499000000.0,3059000000.0,227000000.0,328000000.0,490000000.0
PurchaseOfTreasuryShares / USD,,,,,,,,,,,200000000.0,,,
PurchasesOfGoodsRelatedPartyTransactions / USD,186146000.0,,,,58000000.0,,,,60000000.0,,60000000.0,,,
RawMaterials / USD,232407000.0,205000000.0,205000000.0,205000000.0,260000000.0,314000000.0,314000000.0,314000000.0,315000000.0,625000000.0,625000000.0,665000000.0,665000000.0,665000000.0
RawMaterialsAndConsumablesUsed / USD,1796906000.0,,,,1187000000.0,,,,1726000000.0,,1834000000.0,,,
RepaymentsOfNoncurrentBorrowings / USD,3283861000.0,,,,882000000.0,,,,301000000.0,,228000000.0,,,
ResearchAndDevelopmentExpense / USD,582974000.0,103000000.0,235000000.0,349000000.0,476000000.0,128000000.0,248000000.0,372000000.0,478000000.0,323000000.0,482000000.0,124000000.0,245000000.0,375000000.0
RestructuringProvision / USD,,,,,0.0,86000000.0,86000000.0,86000000.0,0.0,31000000.0,86000000.0,,,
RetainedEarnings / USD,-15218509000.0,-15469000000.0,-15469000000.0,-15469000000.0,-15469000000.0,-14021000000.0,-14021000000.0,-14021000000.0,-14021000000.0,-13001000000.0,-13001000000.0,-13266000000.0,-13266000000.0,-13266000000.0
Revenue / USD,5812788000.0,1418000000.0,3038000000.0,4738000000.0,4851000000.0,1940000000.0,3933000000.0,6007000000.0,6585000000.0,5538000000.0,8108000000.0,1549000000.0,3181000000.0,4920000000.0
RevenueFromContractsWithCustomers / USD,5812788000.0,1418000000.0,3038000000.0,4738000000.0,4851000000.0,1940000000.0,3933000000.0,6007000000.0,6585000000.0,5538000000.0,8108000000.0,1549000000.0,3181000000.0,4920000000.0
RevenueFromGovernmentGrants / USD,156793000.0,,,,51000000.0,,,,33000000.0,,42000000.0,,,
RevenueThatWasIncludedInContractLiabilityBalanceAtBeginningOfPeriod / USD,123573000.0,,,,1894000000.0,,,,1189000000.0,,805000000.0,381000000.0,381000000.0,381000000.0
ReversalOfProvisionsForCostOfRestructuring / USD,,,,,5000000.0,39000000.0,80000000.0,107000000.0,5000000.0,31000000.0,126000000.0,,,
RightofuseAssets / USD,280415000.0,,,,292000000.0,,,,305000000.0,335000000.0,282000000.0,498000000.0,498000000.0,498000000.0
SellingGeneralAndAdministrativeExpense / USD,445628000.0,91000000.0,293000000.0,427000000.0,445000000.0,116000000.0,237000000.0,366000000.0,595000000.0,386000000.0,496000000.0,122000000.0,236000000.0,334000000.0
ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax / USD,0.0,-7000000.0,-5000000.0,-9000000.0,0.0,-2000000.0,-11000000.0,-19000000.0,-12000000.0,-1000000.0,-23000000.0,-6000000.0,-4000000.0,1000000.0
ShareOfProfitLossOfJointVenturesAccountedForUsingEquityMethod / USD,7859000.0,1000000.0,2000000.0,3000000.0,0.0,1000000.0,2000000.0,3000000.0,0.0,,403000000.0,,,
TaxEffectOfExpenseNotDeductibleInDeterminingTaxableProfitTaxLoss / USD,-569000.0,,,,0.0,,,,4000000.0,,21000000.0,,,
TaxEffectOfForeignTaxRates / USD,10347000.0,,,,-59000000.0,,,,75000000.0,,98000000.0,,,
TaxExpenseIncomeAtApplicableTaxRate / USD,-10567000.0,,,,0.0,,,,0.0,,0.0,,,
TaxRateEffectFromChangeInTaxRate / pure,0.1953,,0.111,0.213,-0.009,0.14,0.118,0.091,0.443,0.057,-0.056,0.135,0.102,0.097
TradeAndOtherCurrentPayables / USD,1342488000.0,2586000000.0,2586000000.0,2586000000.0,2586000000.0,2849000000.0,2849000000.0,2849000000.0,2849000000.0,2403000000.0,2349000000.0,2092000000.0,2092000000.0,2092000000.0
TradeAndOtherCurrentPayablesToTradeSuppliers / USD,414547000.0,,,,551000000.0,,,,532000000.0,,511000000.0,406000000.0,406000000.0,406000000.0
TradeAndOtherCurrentReceivablesDueFromRelatedParties / USD,8734000.0,8000000.0,8000000.0,8000000.0,8000000.0,11000000.0,11000000.0,11000000.0,11000000.0,12000000.0,12000000.0,,,
UndrawnBorrowingFacilities / USD,878098000.0,2145000000.0,2145000000.0,2145000000.0,2144000000.0,1118000000.0,1118000000.0,1118000000.0,1118000000.0,1058000000.0,1058000000.0,1114000000.0,1114000000.0,1114000000.0
UnusedTaxCreditsForWhichNoDeferredTaxAssetRecognised / USD,3231522000.0,,,,3355000000.0,,,,3708000000.0,,3665000000.0,,,
WeightedAverageExercisePriceOfShareOptionsExercisableInSharebasedPaymentArrangement2019 / USD/shares,,,,,10.02,,,,10.03,,10.04,,,
WeightedAverageExercisePriceOfShareOptionsExercisedInSharebasedPaymentArrangement2019 / USD/shares,21.54,,,,,,,,10.0,,10.02,,,
WeightedAverageExercisePriceOfShareOptionsForfeitedInSharebasedPaymentArrangement2019 / USD/shares,17.69,,,,10.0,,,,10.0,,10.0,,,
WeightedAverageExercisePriceOfShareOptionsOutstandingInSharebasedPaymentArrangement2019 / USD/shares,21.54,,,,10.04,,,,10.03,,10.02,,,
WeightedAverageShares / shares,504003126.0,500000000.0,500000000.0,500000000.0,500000000.0,532000000.0,534000000.0,537000000.0,506000000.0,552000000.0,539000000.0,555000000.0,554000000.0,554000000.0
WorkInProgress / USD,930107000.0,916000000.0,916000000.0,916000000.0,961000000.0,1025000000.0,1025000000.0,1025000000.0,1024000000.0,1005000000.0,1005000000.0,1088000000.0,1088000000.0,1088000000.0
