fact_unit,2015-02-27,2015-06-23,2015-09-09,2015-12-09,2016-03-09,2016-06-28,2016-09-07,2016-12-05,2017-03-03,2017-06-27,2017-09-01,2017-12-04,2018-03-02,2018-06-22,2018-08-31,2018-11-29,2019-03-01,2019-06-21,2019-08-30,2019-12-03,2020-02-28,2020-06-19,2020-09-03,2020-12-03,2021-03-05,2021-06-25,2021-09-02,2021-12-02,2022-03-03,2022-06-23,2022-09-01,2022-12-01,2023-03-01,2023-06-22,2023-08-31,2023-11-30,2024-02-27,2024-06-20,2024-08-27,2024-11-26,2025-02-25,2025-06-20,2025-08-26,2025-11-25
AccountsPayableCurrent / USD,37000000.0,742000000.0,1610000000.0,1610000000.0,1610000000.0,1610000000.0,1709000000.0,1709000000.0,1709000000.0,1709000000.0,1731000000.0,1731000000.0,1731000000.0,1555000000.0,1628000000.0,1628000000.0,1628000000.0,1628000000.0,1953000000.0,1953000000.0,1953000000.0,1953000000.0,1996000000.0,1996000000.0,1996000000.0,1996000000.0,2106000000.0,2106000000.0,2106000000.0,2106000000.0,2276000000.0,2276000000.0,2276000000.0,2276000000.0,2662000000.0,2662000000.0,2662000000.0,2662000000.0,2410000000.0,2410000000.0,2410000000.0,2410000000.0,2449000000.0,2449000000.0
AccountsReceivableNetCurrent / USD,,3811000000.0,5112000000.0,5112000000.0,5112000000.0,5112000000.0,5562000000.0,5562000000.0,5562000000.0,5562000000.0,5591000000.0,5591000000.0,5591000000.0,5591000000.0,5987000000.0,5987000000.0,5987000000.0,5987000000.0,6222000000.0,6222000000.0,6222000000.0,6222000000.0,4645000000.0,4645000000.0,4645000000.0,4645000000.0,5462000000.0,5462000000.0,5462000000.0,5462000000.0,5551000000.0,5551000000.0,5551000000.0,5551000000.0,5998000000.0,5998000000.0,5998000000.0,5998000000.0,6128000000.0,6128000000.0,6128000000.0,6128000000.0,6515000000.0,6515000000.0
AccruedIncomeTaxesCurrent / USD,,164000000.0,935000000.0,935000000.0,935000000.0,935000000.0,,,566000000.0,566000000.0,633000000.0,633000000.0,633000000.0,633000000.0,979000000.0,979000000.0,979000000.0,979000000.0,567000000.0,567000000.0,567000000.0,567000000.0,502000000.0,502000000.0,502000000.0,502000000.0,435000000.0,435000000.0,435000000.0,435000000.0,704000000.0,704000000.0,704000000.0,704000000.0,840000000.0,840000000.0,840000000.0,840000000.0,1330000000.0,1330000000.0,1330000000.0,1330000000.0,1358000000.0,1358000000.0
AccruedIncomeTaxesNoncurrent / USD,,1343000000.0,2476000000.0,2476000000.0,2476000000.0,2476000000.0,2903000000.0,2903000000.0,2903000000.0,2903000000.0,2405000000.0,2405000000.0,2405000000.0,2405000000.0,3051000000.0,3051000000.0,3051000000.0,3051000000.0,2838000000.0,2838000000.0,2838000000.0,2838000000.0,2682000000.0,2682000000.0,2682000000.0,2682000000.0,2251000000.0,2251000000.0,2251000000.0,2251000000.0,2087000000.0,2087000000.0,2087000000.0,2087000000.0,2360000000.0,2360000000.0,2360000000.0,2360000000.0,1859000000.0,1859000000.0,1859000000.0,1859000000.0,1574000000.0,1574000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-473000000.0,-597000000.0,-597000000.0,-597000000.0,-1184000000.0,-1868000000.0,-1868000000.0,-1868000000.0,-1868000000.0,-2613000000.0,-2613000000.0,-2613000000.0,-2613000000.0,-1786000000.0,-1786000000.0,-1786000000.0,-1786000000.0,-2711000000.0,-2711000000.0,-2711000000.0,-2711000000.0,-3560000000.0,-3560000000.0,-3560000000.0,-3560000000.0,-3485000000.0,-3485000000.0,-3485000000.0,-3485000000.0,-2265000000.0,-2265000000.0,-2265000000.0,-2265000000.0,-3499000000.0,-3499000000.0,-3499000000.0,-3499000000.0,-3318000000.0,-3318000000.0,-3318000000.0,-3318000000.0,-4284000000.0,-4284000000.0
AdditionalPaidInCapital / USD,73000.0,,,,,,,,,32227000000.0,29551000000.0,29551000000.0,29551000000.0,29551000000.0,28127000000.0,28127000000.0,28127000000.0,28127000000.0,26532000000.0,26532000000.0,26532000000.0,26532000000.0,26165000000.0,26165000000.0,26165000000.0,26165000000.0,26319000000.0,26319000000.0,26319000000.0,26319000000.0,24566000000.0,24566000000.0,24566000000.0,24566000000.0,24590000000.0,24590000000.0,24590000000.0,24590000000.0,23129000000.0,23129000000.0,23129000000.0,23129000000.0,20833000000.0,20833000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,152000000.0,,,,145000000.0,79000000.0,190000000.0,272000000.0,439000000.0,92000000.0,190000000.0,272000000.0,375000000.0,92000000.0,198000000.0,270000000.0,348000000.0,64000000.0,64000000.0,64000000.0,344000000.0,61000000.0,61000000.0,61000000.0,290000000.0,70000000.0,70000000.0,70000000.0,297000000.0,69000000.0,69000000.0,69000000.0,344000000.0,62000000.0,62000000.0,62000000.0,359000000.0,73000000.0,73000000.0,73000000.0,355000000.0,83000000.0,83000000.0
AllocatedShareBasedCompensationExpense / USD,,152000000.0,34000000.0,82000000.0,115000000.0,145000000.0,96000000.0,209000000.0,290000000.0,439000000.0,79000000.0,190000000.0,272000000.0,375000000.0,92000000.0,198000000.0,270000000.0,348000000.0,64000000.0,168000000.0,228000000.0,344000000.0,61000000.0,169000000.0,235000000.0,290000000.0,70000000.0,210000000.0,275000000.0,297000000.0,69000000.0,209000000.0,287000000.0,344000000.0,62000000.0,199000000.0,280000000.0,359000000.0,73000000.0,219000000.0,303000000.0,355000000.0,83000000.0,242000000.0
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,109000000.0,25000000.0,59000000.0,84000000.0,105000000.0,67000000.0,146000000.0,204000000.0,301000000.0,58000000.0,136000000.0,195000000.0,267000000.0,67000000.0,141000000.0,201000000.0,250000000.0,53000000.0,136000000.0,188000000.0,262000000.0,51000000.0,140000000.0,195000000.0,236000000.0,59000000.0,174000000.0,229000000.0,246000000.0,58000000.0,172000000.0,236000000.0,285000000.0,51000000.0,162000000.0,230000000.0,297000000.0,62000000.0,183000000.0,253000000.0,295000000.0,70000000.0,204000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,115000000.0,144000000.0,144000000.0,144000000.0,144000000.0,161000000.0,161000000.0,161000000.0,161000000.0,155000000.0,155000000.0,155000000.0,155000000.0,193000000.0,193000000.0,193000000.0,193000000.0,190000000.0,190000000.0,190000000.0,190000000.0,208000000.0,208000000.0,208000000.0,208000000.0,241000000.0,241000000.0,241000000.0,241000000.0,230000000.0,230000000.0,230000000.0,230000000.0,176000000.0,176000000.0,176000000.0,176000000.0,173000000.0,173000000.0,173000000.0,173000000.0,199000000.0,199000000.0
