fact_unit,2011-08-09,2011-10-27,2012-03-12,2012-05-08,2012-08-27,2012-11-05,2013-03-05,2013-05-02,2013-08-06,2013-10-28,2014-03-10,2014-05-01,2014-07-29,2014-10-31,2015-03-02,2015-05-06,2015-08-03,2015-10-28,2016-02-29,2016-05-06,2016-07-29,2016-11-03,2017-03-01,2017-05-05,2017-07-31,2017-11-06,2018-03-01,2018-05-08,2018-08-02,2018-11-02,2019-03-01,2019-05-10,2019-08-02,2019-11-01,2020-02-28,2020-05-11,2020-08-03,2020-11-06,2021-03-01,2021-05-10,2021-08-09,2021-11-08,2022-02-25,2022-05-10,2022-08-05,2022-11-09,2023-02-24,2023-05-05,2023-08-04,2023-11-08,2024-02-29,2024-05-03,2024-08-02,2024-11-06,2025-03-03,2025-05-05,2025-08-04,2025-11-05
AccountsPayableCurrent / USD,8979000.0,8979000.0,8979000.0,8904000.0,8904000.0,8904000.0,8904000.0,9859000.0,9859000.0,9859000.0,9859000.0,10694000.0,10694000.0,10694000.0,10694000.0,13138000.0,13138000.0,13138000.0,13138000.0,13487000.0,13487000.0,13487000.0,13487000.0,17427000.0,17427000.0,17427000.0,17427000.0,22813000.0,22813000.0,22813000.0,22813000.0,22678000.0,22678000.0,22678000.0,22678000.0,27271000.0,27271000.0,27271000.0,27271000.0,38169000.0,38169000.0,38169000.0,38169000.0,83027000.0,83027000.0,83027000.0,83027000.0,61461000.0,61461000.0,61461000.0,61461000.0,62958000.0,62958000.0,62958000.0,62958000.0,102526000.0,102526000.0,102526000.0
AccountsReceivableNetCurrent / USD,18347000.0,18347000.0,18347000.0,15097000.0,15097000.0,15097000.0,15097000.0,19383000.0,19383000.0,19383000.0,19383000.0,23730000.0,23730000.0,23730000.0,23730000.0,25630000.0,25630000.0,25630000.0,25630000.0,30830000.0,30830000.0,30830000.0,30830000.0,34248000.0,34248000.0,34248000.0,34248000.0,38037000.0,38037000.0,38037000.0,38037000.0,55214000.0,55214000.0,55214000.0,55214000.0,52704000.0,52704000.0,52704000.0,52704000.0,66843000.0,66843000.0,66843000.0,66843000.0,104813000.0,104813000.0,104813000.0,104813000.0,182714000.0,182714000.0,182714000.0,182714000.0,179858000.0,179858000.0,179858000.0,179858000.0,172518000.0,172518000.0,172518000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-808000.0,-1122000.0,-1976000.0,-121000.0,-216000.0,-384000.0,-1353000.0,-494000.0,-1121000.0,-1984000.0,-729000.0,-813000.0,-1926000.0,-3231000.0,-2979000.0,-1348000.0,-2580000.0,-3682000.0,-4674000.0,-260000.0,-56000.0,1591000.0,-4375000.0,4123000.0,10040000.0,16684000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,465000.0,465000.0,465000.0,465000.0,465000.0,1239000.0,1239000.0,1239000.0,1239000.0,2861000.0,2861000.0,2861000.0,2861000.0,7018000.0,7018000.0,7018000.0,7018000.0,2435000.0,2435000.0,2435000.0,2435000.0,3755000.0,3755000.0,3755000.0,,4921000.0,4921000.0,4921000.0,4921000.0,15595000.0,15595000.0,15595000.0,15595000.0,8063000.0,8063000.0,8063000.0,,10534000.0,10534000.0,10534000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,5876000.0,2941000.0,2941000.0,2941000.0,2941000.0,3870000.0,3870000.0,3870000.0,3870000.0,31621000.0,31621000.0,31621000.0,31621000.0,34375000.0,34375000.0,34375000.0,34375000.0,37596000.0,37596000.0,37596000.0,37596000.0,37062000.0,37062000.0,37062000.0,37062000.0,47669000.0,47669000.0,47669000.0,47669000.0,53509000.0,53509000.0,53509000.0,53509000.0,60724000.0,60724000.0,60724000.0,60724000.0,65193000.0,65193000.0,65193000.0
AccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,14703000.0,14703000.0,14703000.0,19984000.0,19984000.0,19984000.0,19984000.0,22916000.0,22916000.0,22916000.0,22916000.0,27507000.0,27507000.0,27507000.0,27507000.0,38962000.0,38962000.0,38962000.0,38962000.0,44790000.0,44790000.0,44790000.0,44790000.0,62960000.0,62960000.0,62960000.0,62960000.0,81282000.0,81282000.0,81282000.0,81282000.0,113679000.0,113679000.0,113679000.0,113679000.0,115791000.0,115791000.0,115791000.0,115791000.0,128123000.0,128123000.0,128123000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,-39057000.0,,,,46017000.0,,,,58987000.0,,,,70900000.0,,,,77124000.0,,,,85290000.0,,,,102613000.0,,,,109547000.0,,,,118931000.0,,,,143149000.0,,,,171878000.0,,,,194141000.0,,,,229444000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,1979000.0,1979000.0,1979000.0,3593000.0,3593000.0,3593000.0,3593000.0,4175000.0,4175000.0,4175000.0,3593000.0,6260000.0,6260000.0,6260000.0,4175000.0,5811000.0,5811000.0,5811000.0,6260000.0,1466000.0,1466000.0,1466000.0,5811000.0,-4215000.0,-4215000.0,-4215000.0,-4215000.0,1813000.0,1813000.0,1813000.0,1813000.0,-5543000.0,-5543000.0,-5543000.0,-5543000.0,-5476000.0,-5476000.0,-5476000.0,-5476000.0,10140000.0,10140000.0,10140000.0,10140000.0,15880000.0,15880000.0,15880000.0,15880000.0,-23077000.0,-23077000.0,-23077000.0,-23077000.0,-27062000.0,-27062000.0,-27062000.0,-27062000.0,-48511000.0,-48511000.0,-48511000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,13123000.0,,,,,,,,20715000.0,,,,33459000.0,,,,41650000.0,,,,44934000.0,15049000.0,30950000.0,45787000.0,52625000.0,15995000.0,38753000.0,60029000.0,60657000.0,18569000.0,39646000.0,62639000.0,78682000.0,28621000.0,60758000.0,92340000.0,85598000.0,39636000.0,82545000.0,125545000.0,123533000.0,37008000.0,75003000.0,108607000.0,160815000.0,45915000.0,98227000.0,149623000.0
AllocatedShareBasedCompensationExpense / USD,,,,,6662000.0,10036000.0,16810000.0,3315000.0,7144000.0,11326000.0,2900000.0,,,,12123000.0,,,24872000.0,20701000.0,9219000.0,18716000.0,29191000.0,33454000.0,8979000.0,20726000.0,34241000.0,41563000.0,11662000.0,26789000.0,40759000.0,44989000.0,15030000.0,30921000.0,45765000.0,52617000.0,16010000.0,38719000.0,60019000.0,60607000.0,18562000.0,39606000.0,62581000.0,78699000.0,28583000.0,60710000.0,92282000.0,85551000.0,39811000.0,82726000.0,125723000.0,123479000.0,37009000.0,75001000.0,108603000.0,160992000.0,45926000.0,98232000.0,149630000.0
