fact_unit,2009-08-04,2009-10-29,2010-02-24,2010-04-28,2010-08-26,2010-10-28,2011-02-25,2011-04-28,2011-07-28,2011-10-27,2012-02-16,2012-04-26,2012-07-26,2012-10-30,2013-02-27,2013-04-25,2013-07-24,2013-10-24,2014-02-26,2014-04-24,2014-07-22,2014-10-30,2015-02-25,2015-04-23,2015-07-29,2015-10-29,2016-02-25,2016-04-28,2016-07-27,2016-10-27,2017-02-27,2017-05-02,2017-07-27,2017-10-26,2018-02-27,2018-04-26,2018-07-26,2018-10-25,2019-02-26,2019-04-25,2019-07-30,2019-10-31,2020-02-25,2020-04-30,2020-05-19,2020-07-30,2020-10-30,2021-02-26,2021-04-29,2021-05-26,2021-07-29,2021-10-28,2022-02-25,2022-04-28,2022-06-01,2022-07-28,2022-10-27,2023-02-27,2023-04-27,2023-06-01,2023-08-01,2023-10-26,2024-02-27,2024-04-25,2024-06-05,2024-07-31,2024-10-31,2025-02-26,2025-04-29,2025-06-04,2025-07-30,2025-10-30
AccountsPayableCurrent / USD,,510000000.0,510000000.0,494000000.0,494000000.0,494000000.0,494000000.0,529000000.0,529000000.0,529000000.0,529000000.0,503000000.0,503000000.0,503000000.0,503000000.0,451000000.0,451000000.0,451000000.0,451000000.0,409000000.0,409000000.0,409000000.0,409000000.0,416000000.0,416000000.0,416000000.0,416000000.0,400000000.0,400000000.0,400000000.0,400000000.0,425000000.0,425000000.0,425000000.0,425000000.0,374000000.0,374000000.0,374000000.0,374000000.0,399000000.0,399000000.0,399000000.0,399000000.0,325000000.0,,325000000.0,325000000.0,325000000.0,380000000.0,,380000000.0,380000000.0,380000000.0,449000000.0,,449000000.0,449000000.0,449000000.0,552000000.0,,552000000.0,552000000.0,552000000.0,582000000.0,,582000000.0,582000000.0,582000000.0,700000000.0,,700000000.0,700000000.0
AccruedMarketingCostsCurrent / USD,,,,,,,,,447000000.0,447000000.0,447000000.0,430000000.0,430000000.0,430000000.0,430000000.0,568000000.0,568000000.0,568000000.0,568000000.0,512000000.0,512000000.0,512000000.0,512000000.0,618000000.0,618000000.0,618000000.0,618000000.0,695000000.0,695000000.0,695000000.0,695000000.0,747000000.0,747000000.0,747000000.0,747000000.0,695000000.0,695000000.0,695000000.0,695000000.0,586000000.0,586000000.0,586000000.0,586000000.0,393000000.0,,393000000.0,393000000.0,393000000.0,523000000.0,,523000000.0,523000000.0,523000000.0,664000000.0,,664000000.0,664000000.0,664000000.0,599000000.0,,599000000.0,599000000.0,599000000.0,716000000.0,,716000000.0,716000000.0,716000000.0,688000000.0,,688000000.0,688000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,3145000000.0,3145000000.0,3145000000.0,3460000000.0,3460000000.0,3460000000.0,3460000000.0,2770000000.0,2770000000.0,2770000000.0,2770000000.0,2512000000.0,2512000000.0,2512000000.0,2512000000.0,2648000000.0,2648000000.0,2648000000.0,2648000000.0,2789000000.0,2789000000.0,2789000000.0,2789000000.0,2772000000.0,2772000000.0,2772000000.0,2772000000.0,2895000000.0,2895000000.0,2895000000.0,2895000000.0,2877000000.0,2877000000.0,2877000000.0,2877000000.0,2965000000.0,2965000000.0,2965000000.0,2965000000.0,3012000000.0,3012000000.0,3012000000.0,3012000000.0,3075000000.0,,3075000000.0,3075000000.0,3075000000.0,3138000000.0,,3138000000.0,3138000000.0,3138000000.0,2879000000.0,,2879000000.0,2879000000.0,2879000000.0,2819000000.0,,2819000000.0,2819000000.0,2819000000.0,2930000000.0,,2930000000.0,2930000000.0,2930000000.0,2920000000.0,,2920000000.0,2920000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,-2221000000.0,-2221000000.0,-1846000000.0,,,,-1811000000.0,,,,-2062000000.0,,,,,,,,,,,,,,,,,,,,,,,,1839000000.0,,,,2168000000.0,,,,,2192000000.0,,,,,2420000000.0,,,,,1612000000.0,,,,,1436000000.0,,,,,1493000000.0,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2181000000.0,-2181000000.0,-2181000000.0,-1561000000.0,-2181000000.0,-2181000000.0,-1561000000.0,-1484000000.0,-1484000000.0,-1484000000.0,-1484000000.0,-1887000000.0,-1484000000.0,-1484000000.0,-1561000000.0,-1887000000.0,-1887000000.0,-1887000000.0,-1484000000.0,-2040000000.0,-2040000000.0,-2040000000.0,-1887000000.0,-1378000000.0,-1378000000.0,-1378000000.0,-2040000000.0,-2682000000.0,-2682000000.0,-3280000000.0,-3280000000.0,-2052000000.0,-2052000000.0,-2052000000.0,-2052000000.0,-1897000000.0,-1897000000.0,-1897000000.0,-1897000000.0,-2547000000.0,-2547000000.0,-2547000000.0,-2547000000.0,-2864000000.0,,-2864000000.0,-2864000000.0,-2864000000.0,-4341000000.0,,-4341000000.0,-4341000000.0,-4341000000.0,-3056000000.0,,-3056000000.0,-3056000000.0,-3056000000.0,-2771000000.0,,-2771000000.0,-2771000000.0,-2771000000.0,-2673000000.0,,-2673000000.0,-2673000000.0,-2673000000.0,-2400000000.0,,-2400000000.0,-2400000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,5997000000.0,5997000000.0,5997000000.0,5997000000.0,5751000000.0,5751000000.0,5751000000.0,5751000000.0,5674000000.0,5674000000.0,5674000000.0,5674000000.0,5688000000.0,5688000000.0,5688000000.0,5688000000.0,5714000000.0,5714000000.0,5714000000.0,5714000000.0,5735000000.0,5735000000.0,5735000000.0,5735000000.0,5813000000.0,5813000000.0,5813000000.0,5813000000.0,5893000000.0,5893000000.0,5893000000.0,5893000000.0,5952000000.0,5952000000.0,5952000000.0,5952000000.0,5961000000.0,5961000000.0,5961000000.0,5961000000.0,5970000000.0,,5970000000.0,5970000000.0,5970000000.0,5910000000.0,,5910000000.0,5910000000.0,5910000000.0,5857000000.0,,5857000000.0,5857000000.0,5857000000.0,5887000000.0,,5887000000.0,5887000000.0,5887000000.0,5906000000.0,,5906000000.0,5906000000.0,5906000000.0,5905000000.0,,5905000000.0,5905000000.0
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
AmortizationOfIntangibleAssets / USD,3000000.0,5000000.0,0.0,6000000.0,9000000.0,16000000.0,7000000.0,6000000.0,10000000.0,16000000.0,20000000.0,6000000.0,11000000.0,16000000.0,20000000.0,5000000.0,10000000.0,15000000.0,20000000.0,,,,20000000.0,,,,20000000.0,,,,20000000.0,,,,21000000.0,,,,21000000.0,,,30000000.0,21000000.0,,,,,38000000.0,,,,,44000000.0,,,,53000000.0,72000000.0,17000000.0,,35000000.0,54000000.0,72000000.0,18000000.0,,45000000.0,87000000.0,73000000.0,27000000.0,,64000000.0,102000000.0
AssetImpairmentCharges / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,354000000.0,
Assets / USD,27215000000.0,27215000000.0,27215000000.0,36677000000.0,36677000000.0,36677000000.0,36677000000.0,37402000000.0,37402000000.0,37402000000.0,37402000000.0,36962000000.0,36962000000.0,36962000000.0,36751000000.0,35329000000.0,35329000000.0,35329000000.0,35329000000.0,34859000000.0,34859000000.0,34859000000.0,34859000000.0,34475000000.0,34475000000.0,34475000000.0,34475000000.0,32463000000.0,32463000000.0,32463000000.0,31459000000.0,45932000000.0,45932000000.0,45932000000.0,45932000000.0,43202000000.0,43202000000.0,43202000000.0,43202000000.0,55638000000.0,55638000000.0,55638000000.0,55459000000.0,49271000000.0,,49271000000.0,49271000000.0,49271000000.0,47414000000.0,,47414000000.0,47414000000.0,47414000000.0,39523000000.0,,39523000000.0,39523000000.0,39523000000.0,36954000000.0,,36954000000.0,36954000000.0,36954000000.0,38570000000.0,,38570000000.0,38570000000.0,38570000000.0,35177000000.0,,35177000000.0,35177000000.0
AssetsCurrent / USD,11076000000.0,11076000000.0,11076000000.0,5773000000.0,5773000000.0,5773000000.0,5773000000.0,5981000000.0,5981000000.0,5981000000.0,5981000000.0,7131000000.0,7131000000.0,7131000000.0,6920000000.0,6315000000.0,6315000000.0,6315000000.0,6315000000.0,6590000000.0,6590000000.0,6590000000.0,6590000000.0,6878000000.0,6878000000.0,6878000000.0,6878000000.0,6086000000.0,6086000000.0,6086000000.0,4911000000.0,7260000000.0,7260000000.0,7260000000.0,7260000000.0,4344000000.0,4344000000.0,4344000000.0,4344000000.0,4299000000.0,4299000000.0,4299000000.0,4299000000.0,4824000000.0,,4824000000.0,4824000000.0,4824000000.0,7117000000.0,,7117000000.0,7117000000.0,7117000000.0,6083000000.0,,6083000000.0,6083000000.0,6083000000.0,7220000000.0,,7220000000.0,7220000000.0,7220000000.0,5585000000.0,,5585000000.0,5585000000.0,5585000000.0,4513000000.0,,4513000000.0,4513000000.0
BuildingsAndImprovementsGross / USD,,,1678000000.0,,,,1909000000.0,,,,1292000000.0,,,,1271000000.0,,,,1276000000.0,,,,1308000000.0,,,,1323000000.0,,,,1406000000.0,,,,1481000000.0,,,,1437000000.0,,,,1442000000.0,,,,,1461000000.0,,,,,1480000000.0,,,,,1422000000.0,,,,,1478000000.0,,,,,1535000000.0,,,,
CashAndCashEquivalentsAtCarryingValue / USD,4842000000.0,4842000000.0,3105000000.0,7916000000.0,7916000000.0,7916000000.0,4842000000.0,1871000000.0,1871000000.0,1871000000.0,7916000000.0,2314000000.0,2314000000.0,2314000000.0,1871000000.0,3270000000.0,3270000000.0,3270000000.0,2314000000.0,2900000000.0,2900000000.0,2900000000.0,3270000000.0,3175000000.0,3175000000.0,3175000000.0,2900000000.0,3321000000.0,3321000000.0,3321000000.0,3175000000.0,2369000000.0,2369000000.0,2369000000.0,3321000000.0,1253000000.0,1253000000.0,1253000000.0,4569000000.0,1333000000.0,1333000000.0,1333000000.0,1253000000.0,2117000000.0,,2117000000.0,2117000000.0,1333000000.0,4945000000.0,,4945000000.0,4945000000.0,2117000000.0,4544000000.0,,4544000000.0,4544000000.0,4945000000.0,4030000000.0,,4030000000.0,4030000000.0,4544000000.0,3686000000.0,,3686000000.0,3686000000.0,4030000000.0,3127000000.0,,3127000000.0,3127000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4651000000.0,4651000000.0,4651000000.0,2446000000.0,1314000000.0,1314000000.0,1314000000.0,4651000000.0,1433000000.0,,1433000000.0,1433000000.0,1314000000.0,2160000000.0,,2160000000.0,2160000000.0,1433000000.0,5006000000.0,,5006000000.0,5006000000.0,2160000000.0,4594000000.0,,4594000000.0,4594000000.0,5006000000.0,4091000000.0,,4091000000.0,4091000000.0,4594000000.0,3721000000.0,,3721000000.0,3721000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205000000.0,975000000.0,209000000.0,1178000000.0,-3337000000.0,2022000000.0,,403000000.0,212000000.0,119000000.0,3504000000.0,,2734000000.0,2024000000.0,727000000.0,839000000.0,,-3079000000.0,-1968000000.0,2846000000.0,809000000.0,,-1962000000.0,-2054000000.0,-412000000.0,-117000000.0,,-3168000000.0,-2510000000.0,-503000000.0,-75000000.0,,-1885000000.0,-1793000000.0
CommonStockDividendsPerShareDeclared / USD/shares,1.04,1.36,3.05,0.32,0.64,0.98,0.32,0.35,0.7,1.08,0.35,0.38,0.76,1.17,1.46,0.41,0.82,1.26,1.58,0.44,0.88,1.36,1.7,0.48,0.96,1.48,1.84,0.52,1.04,1.605,2.0,0.565,1.13,1.74,2.17,0.61,1.22,1.88,2.35,0.7,1.4,2.2,2.54,0.8,,1.6,2.44,3.0,0.84,,1.68,2.54,3.28,0.86,,1.72,2.62,3.4,0.9,,1.8,2.74,3.52,0.94,,1.88,2.86,3.68,0.98,,1.96,2.98
CommonStockParOrStatedValuePerShare / USD/shares,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,0.3333,0.3333
CommonStockSharesAuthorized / shares,,,,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,12000000000.0,,,,,12000000000.0,,,,,12000000000.0,,,,,12000000000.0,,,,,12000000000.0,,,,,12000000000.0,,,,
