fact_unit,2011-08-09,2011-11-09,2012-02-29,2012-05-09,2012-08-08,2012-11-09,2013-02-28,2013-05-09,2013-08-08,2013-11-07,2014-02-28,2014-05-05,2014-08-04,2014-11-03,2015-02-27,2015-05-04,2015-08-03,2015-11-02,2016-02-26,2016-05-02,2016-08-03,2016-10-31,2017-02-24,2017-05-01,2017-08-03,2017-10-30,2018-02-28,2018-04-30,2018-08-06,2018-11-05,2019-02-28,2019-05-09,2019-08-05,2019-11-04,2020-02-28,2020-05-07,2020-08-03,2020-11-06,2021-02-26,2021-05-06,2021-08-04,2021-11-02,2022-02-24,2022-05-03,2022-08-02,2022-11-01,2023-02-23,2023-05-02,2023-08-01,2023-10-31,2024-02-28,2024-04-30,2024-08-06,2024-11-05,2025-02-27,2025-05-06,2025-08-05,2025-11-04
AccountsPayableCurrent / USD,6453000000.0,6453000000.0,6453000000.0,8189000000.0,8189000000.0,8189000000.0,8189000000.0,6785000000.0,6785000000.0,6785000000.0,6785000000.0,8234000000.0,8234000000.0,8234000000.0,8234000000.0,6661000000.0,6661000000.0,6661000000.0,6661000000.0,4743000000.0,4743000000.0,4743000000.0,4743000000.0,5593000000.0,5593000000.0,5593000000.0,5593000000.0,8297000000.0,8297000000.0,8297000000.0,8297000000.0,9366000000.0,9366000000.0,9366000000.0,9366000000.0,11623000000.0,11623000000.0,11222000000.0,11222000000.0,7803000000.0,7803000000.0,7803000000.0,7803000000.0,13700000000.0,13700000000.0,13700000000.0,13700000000.0,15312000000.0,15312000000.0,15312000000.0,15312000000.0,13761000000.0,13761000000.0,13761000000.0,13761000000.0,13906000000.0,13906000000.0,13906000000.0
AccountsReceivableNetCurrent / USD,4393000000.0,4393000000.0,4393000000.0,5461000000.0,5461000000.0,5461000000.0,5461000000.0,4610000000.0,4610000000.0,4610000000.0,4610000000.0,5559000000.0,5559000000.0,5559000000.0,5559000000.0,4058000000.0,4058000000.0,4058000000.0,4058000000.0,2927000000.0,2927000000.0,2927000000.0,2927000000.0,3617000000.0,3617000000.0,3617000000.0,3617000000.0,4695000000.0,4695000000.0,4695000000.0,4695000000.0,5853000000.0,5853000000.0,5853000000.0,5853000000.0,7479000000.0,7479000000.0,7233000000.0,7233000000.0,5760000000.0,5760000000.0,5760000000.0,5760000000.0,11034000000.0,11034000000.0,11034000000.0,11034000000.0,13477000000.0,13477000000.0,13477000000.0,13477000000.0,12187000000.0,12187000000.0,12187000000.0,12187000000.0,11145000000.0,11145000000.0,11145000000.0
AccrualForEnvironmentalLossContingencies / USD,116000000.0,116000000.0,116000000.0,117000000.0,117000000.0,117000000.0,117000000.0,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,185000000.0,185000000.0,185000000.0,185000000.0,163000000.0,163000000.0,163000000.0,163000000.0,132000000.0,132000000.0,132000000.0,132000000.0,114000000.0,114000000.0,114000000.0,114000000.0,455000000.0,455000000.0,455000000.0,455000000.0,433000000.0,433000000.0,396000000.0,396000000.0,397000000.0,397000000.0,397000000.0,397000000.0,401000000.0,401000000.0,401000000.0,401000000.0,387000000.0,387000000.0,387000000.0,387000000.0,387000000.0,387000000.0,387000000.0,387000000.0,364000000.0,364000000.0,364000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-623000000.0,-623000000.0,-623000000.0,-879000000.0,-879000000.0,-879000000.0,-879000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-464000000.0,-204000000.0,-204000000.0,-204000000.0,-204000000.0,-313000000.0,-313000000.0,-313000000.0,-313000000.0,-318000000.0,-318000000.0,-318000000.0,-318000000.0,-234000000.0,-234000000.0,-234000000.0,-234000000.0,-231000000.0,-231000000.0,-231000000.0,-231000000.0,-144000000.0,-144000000.0,-144000000.0,-144000000.0,-320000000.0,-320000000.0,-320000000.0,-320000000.0,-512000000.0,-512000000.0,-512000000.0,-512000000.0,-67000000.0,-67000000.0,-67000000.0,-67000000.0,2000000.0,2000000.0,2000000.0,-67000000.0,-131000000.0,-131000000.0,-131000000.0
AdditionalPaidInCapitalCommonStock / USD,,,9482000000.0,9482000000.0,9482000000.0,9482000000.0,9482000000.0,9527000000.0,9527000000.0,9527000000.0,9527000000.0,9768000000.0,9768000000.0,9768000000.0,9768000000.0,9844000000.0,9841000000.0,9841000000.0,9841000000.0,11071000000.0,11071000000.0,11071000000.0,11071000000.0,11060000000.0,11060000000.0,11060000000.0,11060000000.0,11262000000.0,11262000000.0,11262000000.0,11262000000.0,33729000000.0,33729000000.0,33729000000.0,33729000000.0,33157000000.0,33157000000.0,33157000000.0,33157000000.0,33208000000.0,33208000000.0,33208000000.0,33208000000.0,33262000000.0,33262000000.0,33262000000.0,33262000000.0,33402000000.0,33402000000.0,33402000000.0,33402000000.0,33465000000.0,33465000000.0,33465000000.0,33465000000.0,33624000000.0,33624000000.0,33624000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,3000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9000000.0,9000000.0,9000000.0,9000000.0,13000000.0,13000000.0,13000000.0,13000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,11000000.0,11000000.0,11000000.0,11000000.0,9000000.0,9000000.0,9000000.0,9000000.0,17000000.0,17000000.0,17000000.0,17000000.0,18000000.0,18000000.0,18000000.0,18000000.0,40000000.0,40000000.0,40000000.0,40000000.0,29000000.0,29000000.0,29000000.0,29000000.0,44000000.0,44000000.0,44000000.0,44000000.0,73000000.0,73000000.0,73000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000.0,33000000.0,45000000.0,79000000.0,-10000000.0,-27000000.0,-51000000.0,50000000.0,-24000000.0,-39000000.0,-44000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,18000000.0,,,,29000000.0,,,,55000000.0,,,,52000000.0,,,,134000000.0,,,,357000000.0,,,,336000000.0,,,,330000000.0,,,,316000000.0,,,,316000000.0,,,
AssetRetirementObligationCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,30000000.0,,,,20000000.0,,,,14000000.0,,,,14000000.0,,,,27000000.0,,,,24000000.0,,,
AssetRetirementObligationsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121000000.0,,,,222000000.0,,,,184000000.0,,,,183000000.0,,,,187000000.0,,,,186000000.0,,,,218000000.0,,,
