fact_unit,2010-08-03,2010-11-04,2011-02-23,2011-05-04,2011-08-03,2011-11-02,2012-02-27,2012-05-04,2012-08-07,2012-11-01,2013-02-27,2013-05-08,2013-07-31,2013-10-30,2014-02-25,2014-04-30,2014-08-07,2014-10-30,2015-02-17,2015-04-30,2015-07-30,2015-11-04,2016-02-12,2016-05-04,2016-08-03,2016-11-02,2017-02-14,2017-05-10,2017-08-09,2017-11-09,2018-02-13,2018-05-10,2018-08-08,2018-11-07,2019-02-13,2019-05-07,2019-07-31,2019-11-06,2020-02-11,2020-05-07,2020-08-05,2020-10-29,2021-02-17,2021-05-04,2021-08-04,2021-11-03,2022-02-16,2022-05-04,2022-08-03,2022-11-02,2023-02-22,2023-05-11,2023-08-09,2023-11-08,2024-02-14,2024-05-09,2024-08-07,2024-11-06,2025-02-19,2025-05-07,2025-08-06,2025-11-05
AccountsPayableCurrent / USD,31232000.0,31232000.0,31218000.0,30627000.0,30627000.0,30627000.0,30627000.0,34332000.0,34332000.0,34332000.0,34332000.0,31218000.0,31218000.0,31218000.0,31218000.0,31770000.0,31770000.0,31770000.0,31770000.0,33815000.0,33815000.0,33815000.0,33815000.0,36675000.0,36675000.0,36675000.0,36675000.0,68485000.0,68485000.0,68485000.0,68485000.0,77838000.0,77838000.0,77838000.0,77838000.0,66250000.0,66250000.0,66250000.0,66250000.0,111498000.0,111498000.0,111498000.0,111498000.0,122475000.0,122475000.0,122475000.0,122475000.0,198130000.0,198130000.0,198130000.0,198130000.0,205915000.0,205915000.0,205915000.0,205915000.0,168937000.0,168937000.0,168937000.0,168937000.0,140337000.0,140337000.0,140337000.0
AccountsReceivableGrossCurrent / USD,,,,,197791000.0,197791000.0,197791000.0,188827000.0,188827000.0,188827000.0,188827000.0,207268000.0,207268000.0,207268000.0,207268000.0,225607000.0,225607000.0,225607000.0,225607000.0,262898000.0,262898000.0,262898000.0,262898000.0,276006000.0,276006000.0,276006000.0,276006000.0,366200000.0,366200000.0,366200000.0,366200000.0,432136000.0,432136000.0,432136000.0,432136000.0,475347000.0,475347000.0,475347000.0,475347000.0,517697000.0,517697000.0,517697000.0,517697000.0,624442000.0,624442000.0,624442000.0,624442000.0,650061000.0,650061000.0,650061000.0,650061000.0,763668000.0,763668000.0,763668000.0,763668000.0,806097000.0,806097000.0,806097000.0,806097000.0,739216000.0,739216000.0,739216000.0
AccountsReceivableNetCurrent / USD,196947000.0,196947000.0,190101000.0,192972000.0,192972000.0,192972000.0,192972000.0,184810000.0,184810000.0,184810000.0,184810000.0,203001000.0,203001000.0,203001000.0,203001000.0,220630000.0,220630000.0,220630000.0,220630000.0,257991000.0,257991000.0,257991000.0,257991000.0,270068000.0,270068000.0,270068000.0,270068000.0,364050000.0,364050000.0,364050000.0,364050000.0,430016000.0,430016000.0,430016000.0,430016000.0,472248000.0,472248000.0,472248000.0,472248000.0,514033000.0,514033000.0,514033000.0,514033000.0,617740000.0,617740000.0,617740000.0,617740000.0,642881000.0,642881000.0,642881000.0,642881000.0,752390000.0,752390000.0,752390000.0,752390000.0,780375000.0,780375000.0,780375000.0,780375000.0,720915000.0,720915000.0,720915000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200000.0,,,,39900000.0,,,,38800000.0,,,
AccruedIncomeTaxesCurrent / USD,,,,,18372000.0,18372000.0,18372000.0,10552000.0,10552000.0,10552000.0,10552000.0,18216000.0,18216000.0,18216000.0,18216000.0,18773000.0,18773000.0,18773000.0,18773000.0,9362000.0,9362000.0,9362000.0,9362000.0,12168000.0,12168000.0,12168000.0,12168000.0,25621000.0,25621000.0,25621000.0,25621000.0,43250000.0,43250000.0,43250000.0,43250000.0,24120000.0,24120000.0,24120000.0,24120000.0,26066000.0,26066000.0,26066000.0,26066000.0,24884000.0,24884000.0,24884000.0,24884000.0,26161000.0,26161000.0,26161000.0,,39854000.0,39854000.0,39854000.0,,38819000.0,38819000.0,38819000.0,,31872000.0,31872000.0,31872000.0
AccruedLiabilitiesCurrent / USD,49997000.0,49997000.0,48796000.0,59369000.0,59369000.0,59369000.0,59369000.0,54377000.0,54377000.0,54377000.0,54377000.0,45208000.0,45208000.0,45208000.0,45208000.0,56712000.0,56712000.0,56712000.0,56712000.0,67380000.0,67380000.0,67380000.0,67380000.0,89494000.0,89494000.0,89494000.0,89494000.0,84470000.0,84470000.0,84470000.0,84470000.0,89780000.0,89780000.0,89780000.0,89780000.0,106925000.0,106925000.0,106925000.0,106925000.0,139118000.0,139118000.0,139118000.0,139118000.0,149820000.0,149820000.0,149820000.0,149820000.0,228797000.0,228797000.0,228797000.0,228797000.0,219758000.0,219758000.0,219758000.0,219758000.0,227825000.0,227825000.0,227825000.0,227825000.0,232010000.0,232010000.0,232010000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,503686000.0,503686000.0,503686000.0,556645000.0,556645000.0,556645000.0,556645000.0,595989000.0,595989000.0,595989000.0,595989000.0,645527000.0,645527000.0,645527000.0,645527000.0,654983000.0,654983000.0,654983000.0,654983000.0,,,,644813000.0,,,,706140000.0,,,,800978000.0,,,,874135000.0,,,,977570000.0,,,,1085993000.0,,,,1102980000.0,,,,1161130000.0,,,,1335309000.0,1454110000.0,1454110000.0,1454110000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,45037000.0,45037000.0,45037000.0,33635000.0,33635000.0,33635000.0,45037000.0,4593000.0,4593000.0,4593000.0,33635000.0,6603000.0,6603000.0,6603000.0,4593000.0,5357000.0,5357000.0,5357000.0,6603000.0,-74247000.0,-74247000.0,-74247000.0,5357000.0,-135548000.0,-135548000.0,-135548000.0,-135548000.0,-253764000.0,-253764000.0,-253764000.0,-253764000.0,-144731000.0,-144731000.0,-144731000.0,-144731000.0,-172703000.0,-172703000.0,-172703000.0,-172703000.0,-178019000.0,-178019000.0,-178019000.0,-178019000.0,-138874000.0,-138874000.0,-138874000.0,-138874000.0,-164740000.0,-164740000.0,-164740000.0,-164740000.0,-262057000.0,-262057000.0,-262057000.0,-262057000.0,-196427000.0,-196427000.0,-196427000.0,-196427000.0,-317345000.0,-317345000.0,-317345000.0
AdditionalPaidInCapitalCommonStock / USD,2038455000.0,2038455000.0,2038455000.0,1996874000.0,1996874000.0,1996874000.0,1996874000.0,2056921000.0,2056921000.0,2056921000.0,2056921000.0,2097316000.0,2097316000.0,2097316000.0,2097316000.0,2206155000.0,2206155000.0,2206155000.0,2206155000.0,2307640000.0,2307640000.0,2307640000.0,2307640000.0,2397960000.0,2397960000.0,2397960000.0,2397960000.0,2477371000.0,2477371000.0,2477371000.0,2477371000.0,2560192000.0,2560192000.0,2560192000.0,2560192000.0,1447512000.0,1447512000.0,1447512000.0,1447512000.0,1531785000.0,1531785000.0,1531785000.0,1531785000.0,1627564000.0,1627564000.0,1627564000.0,1627564000.0,1718304000.0,1718304000.0,1718304000.0,1718304000.0,1804940000.0,1804940000.0,1804940000.0,1804940000.0,1905578000.0,1905578000.0,1905578000.0,1905578000.0,1966237000.0,1966237000.0,1966237000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,8700000.0,8700000.0,6800000.0,12100000.0,12200000.0,12200000.0,8700000.0,16100000.0,16300000.0,16300000.0,12300000.0,13500000.0,13700000.0,13800000.0,16300000.0,17800000.0,17900000.0,18000000.0,13800000.0,23700000.0,23800000.0,23900000.0,18100000.0,36000000.0,40300000.0,40400000.0,40700000.0,34000000.0,38500000.0,38500000.0,38700000.0,19000000.0,24000000.0,24000000.0,24200000.0,9400000.0,18300000.0,18400000.0
