fact_unit,2012-04-26,2012-07-31,2012-11-01,2013-02-11,2013-05-01,2013-07-31,2013-11-05,2014-02-10,2014-04-24,2014-07-31,2014-10-24,2015-02-09,2015-04-30,2015-06-05,2015-07-30,2015-10-29,2016-02-08,2016-05-04,2016-08-03,2016-11-02,2017-02-06,2017-05-03,2017-08-02,2017-11-02,2018-02-05,2018-05-02,2018-07-31,2018-10-31,2019-02-04,2019-05-02,2019-07-31,2019-10-30,2020-02-03,2020-05-05,2020-07-30,2020-10-29,2021-02-08,2021-05-06,2021-08-05,2021-11-04,2022-02-07,2022-05-05,2022-08-04,2022-11-03,2023-02-08,2023-05-04,2023-08-03,2023-11-02,2024-02-06,2024-03-28,2024-05-02,2024-08-01,2024-10-31,2025-02-07,2025-05-01,2025-07-31,2025-10-30
AccountsPayableCurrent / USD,2397000000.0,2397000000.0,2397000000.0,2397000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2595000000.0,2595000000.0,2595000000.0,2595000000.0,2278000000.0,2316000000.0,2278000000.0,2278000000.0,2278000000.0,2541000000.0,2541000000.0,2541000000.0,2541000000.0,2563000000.0,2563000000.0,2563000000.0,1820000000.0,2227000000.0,2227000000.0,2227000000.0,2227000000.0,2334000000.0,2334000000.0,2334000000.0,2334000000.0,2463000000.0,2463000000.0,2463000000.0,2463000000.0,2571000000.0,2571000000.0,2571000000.0,2571000000.0,2953000000.0,2953000000.0,2953000000.0,2953000000.0,3150000000.0,3150000000.0,3150000000.0,3150000000.0,,3151000000.0,3151000000.0,3151000000.0,3151000000.0,2870000000.0,2870000000.0,2870000000.0
AccountsReceivableNetCurrent / USD,2459000000.0,2459000000.0,2459000000.0,2459000000.0,2425000000.0,2425000000.0,2425000000.0,2425000000.0,2662000000.0,2662000000.0,2662000000.0,2662000000.0,2400000000.0,2454000000.0,2400000000.0,2400000000.0,2400000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0,2938000000.0,2938000000.0,2938000000.0,2130000000.0,2440000000.0,2440000000.0,2440000000.0,2440000000.0,2487000000.0,2487000000.0,2487000000.0,2487000000.0,2569000000.0,2569000000.0,2569000000.0,2569000000.0,2812000000.0,2812000000.0,2812000000.0,2812000000.0,2784000000.0,2784000000.0,2784000000.0,2784000000.0,3433000000.0,3433000000.0,3433000000.0,3433000000.0,,3546000000.0,3546000000.0,3546000000.0,3546000000.0,3261000000.0,3261000000.0,3261000000.0
AccrualForEnvironmentalLossContingencies / USD,,17000000.0,22000000.0,22000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,5000000.0,6000000.0,5000000.0,5000000.0,5000000.0,4000000.0,4000000.0,4000000.0,4000000.0,6000000.0,6000000.0,6000000.0,5000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,,,,4000000.0,4000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,17000000.0,17000000.0,17000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,3000000.0,5000000.0,5000000.0,5000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
AccruedIncomeTaxesNoncurrent / USD,,46000000.0,46000000.0,46000000.0,38000000.0,38000000.0,38000000.0,38000000.0,34000000.0,34000000.0,34000000.0,34000000.0,29000000.0,34000000.0,29000000.0,29000000.0,29000000.0,31000000.0,31000000.0,31000000.0,31000000.0,125000000.0,125000000.0,125000000.0,125000000.0,154000000.0,154000000.0,154000000.0,154000000.0,201000000.0,201000000.0,201000000.0,201000000.0,199000000.0,199000000.0,199000000.0,199000000.0,156000000.0,156000000.0,156000000.0,156000000.0,153000000.0,153000000.0,153000000.0,153000000.0,161000000.0,161000000.0,161000000.0,161000000.0,,169000000.0,169000000.0,169000000.0,169000000.0,165000000.0,165000000.0,165000000.0
AccruedLiabilitiesCurrent / USD,1208000000.0,1208000000.0,1208000000.0,1208000000.0,1241000000.0,1241000000.0,1241000000.0,1241000000.0,1238000000.0,1238000000.0,1238000000.0,1238000000.0,1221000000.0,1188000000.0,1221000000.0,1221000000.0,1221000000.0,1204000000.0,1204000000.0,1204000000.0,1204000000.0,1573000000.0,1573000000.0,1573000000.0,1242000000.0,1296000000.0,1296000000.0,1296000000.0,1296000000.0,1054000000.0,1054000000.0,1054000000.0,1054000000.0,1155000000.0,1155000000.0,1155000000.0,1155000000.0,1385000000.0,1385000000.0,1385000000.0,1385000000.0,1246000000.0,1246000000.0,1246000000.0,1246000000.0,1684000000.0,1684000000.0,1684000000.0,1684000000.0,,1648000000.0,1648000000.0,1648000000.0,1648000000.0,1752000000.0,1752000000.0,1752000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,807000000.0,,,,1183000000.0,,,,1590000000.0,,1465000000.0,,,1705000000.0,,,,1944000000.0,,,,1420000000.0,,,,1798000000.0,5000000.0,5000000.0,8000000.0,2164000000.0,9000000.0,9000000.0,9000000.0,2608000000.0,,,,3310000000.0,,,,3719000000.0,,,,4080000000.0,,,,,4616000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-183000000.0,-183000000.0,-183000000.0,-183000000.0,-55000000.0,-221000000.0,-114000000.0,-183000000.0,-292000000.0,-377000000.0,-262000000.0,-237000000.0,-279000000.0,-237000000.0,-219000000.0,-406000000.0,-237000000.0,-950000000.0,-897000000.0,-1015000000.0,-741000000.0,-969000000.0,-979000000.0,-941000000.0,-1033000000.0,-1087000000.0,-982000000.0,-913000000.0,-1215000000.0,-436000000.0,-622000000.0,-638000000.0,-471000000.0,-682000000.0,-699000000.0,-806000000.0,-694000000.0,-991000000.0,-894000000.0,-768000000.0,-719000000.0,-636000000.0,-566000000.0,-699000000.0,-545000000.0,-665000000.0,-942000000.0,-1151000000.0,-672000000.0,,-682000000.0,-665000000.0,-779000000.0,-791000000.0,-698000000.0,-884000000.0,-794000000.0
AdditionalPaidInCapital / USD,1758000000.0,1758000000.0,1758000000.0,1758000000.0,1723000000.0,1723000000.0,1723000000.0,1723000000.0,1699000000.0,1699000000.0,1699000000.0,1699000000.0,1700000000.0,1699000000.0,1700000000.0,1700000000.0,1700000000.0,1653000000.0,1653000000.0,1653000000.0,1653000000.0,1633000000.0,1633000000.0,1633000000.0,1633000000.0,1649000000.0,1649000000.0,1649000000.0,1649000000.0,1639000000.0,1639000000.0,1639000000.0,1639000000.0,1645000000.0,1645000000.0,1645000000.0,1645000000.0,3897000000.0,3897000000.0,3897000000.0,3897000000.0,3939000000.0,3939000000.0,3939000000.0,3939000000.0,3989000000.0,3989000000.0,3989000000.0,3989000000.0,,4028000000.0,4028000000.0,4028000000.0,4028000000.0,2966000000.0,2966000000.0,2966000000.0
AdjustmentForAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117000000.0,,,,124000000.0,,,,138000000.0,,,,144000000.0,,,,148000000.0,,,,149000000.0,,,,,233000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,70000000.0,,,,65000000.0,,,,18000000.0,,18000000.0,,,21000000.0,,,,26000000.0,,,,33000000.0,,,,34000000.0,,,,38000000.0,37000000.0,37000000.0,37000000.0,37000000.0,40000000.0,40000000.0,40000000.0,40000000.0,37000000.0,37000000.0,37000000.0,37000000.0,52000000.0,52000000.0,52000000.0,52000000.0,,52000000.0,52000000.0,52000000.0,52000000.0,37000000.0,37000000.0,37000000.0
