fact_unit,2009-07-31,2009-10-30,2010-02-16,2010-05-05,2010-05-17,2010-08-04,2010-11-05,2011-02-16,2011-05-05,2011-05-26,2011-08-04,2011-11-03,2012-02-16,2012-05-03,2012-08-02,2012-11-01,2013-02-14,2013-05-02,2013-05-16,2013-08-01,2013-10-31,2014-02-13,2014-05-01,2014-05-15,2014-07-31,2014-10-30,2015-02-12,2015-04-30,2015-07-30,2015-10-29,2016-02-11,2016-05-03,2016-05-17,2016-08-02,2016-11-01,2017-02-09,2017-05-03,2017-05-04,2017-08-01,2017-10-31,2018-02-08,2018-05-08,2018-07-26,2018-10-25,2019-02-07,2019-04-26,2019-07-26,2019-10-25,2020-02-06,2020-04-28,2020-07-28,2020-10-27,2021-02-04,2021-04-27,2021-07-27,2021-10-26,2022-02-09,2022-04-26,2022-07-27,2022-10-25,2023-02-08,2023-04-25,2023-07-25,2023-10-24,2024-02-07,2024-04-30,2024-07-26,2024-10-22,2025-02-05,2025-04-22,2025-07-18,2025-10-21
AccountsPayableCurrent / USD,1301000000.0,1301000000.0,1301000000.0,1453000000.0,1301000000.0,1453000000.0,1453000000.0,1453000000.0,1662000000.0,1453000000.0,1662000000.0,1662000000.0,1662000000.0,1643000000.0,1643000000.0,1643000000.0,1643000000.0,1762000000.0,1643000000.0,1762000000.0,1762000000.0,1762000000.0,1799000000.0,1762000000.0,1799000000.0,1799000000.0,1799000000.0,1807000000.0,1807000000.0,1807000000.0,1807000000.0,1694000000.0,1807000000.0,1694000000.0,1694000000.0,1694000000.0,1798000000.0,1694000000.0,1798000000.0,1798000000.0,1798000000.0,1798000000.0,1945000000.0,1945000000.0,1945000000.0,2266000000.0,2266000000.0,2266000000.0,2266000000.0,2228000000.0,2228000000.0,2228000000.0,2228000000.0,2561000000.0,2561000000.0,2561000000.0,2561000000.0,2561000000.0,2994000000.0,2994000000.0,2994000000.0,3183000000.0,3183000000.0,3183000000.0,3183000000.0,3245000000.0,2776000000.0,2776000000.0,2776000000.0,2660000000.0,2660000000.0,2660000000.0
AccountsPayableTradeCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566000000.0,,566000000.0,,,458000000.0,,,,516000000.0,,,,558000000.0,,,,594000000.0,,,,639000000.0,639000000.0,,,731000000.0,,,,751000000.0,,,,593000000.0,,,
AccountsReceivableNetCurrent / USD,3195000000.0,3195000000.0,3195000000.0,3250000000.0,3195000000.0,3250000000.0,3250000000.0,3250000000.0,3615000000.0,3250000000.0,3615000000.0,3615000000.0,3615000000.0,3867000000.0,3867000000.0,3867000000.0,3867000000.0,4061000000.0,3867000000.0,4061000000.0,4061000000.0,4061000000.0,4253000000.0,4061000000.0,4253000000.0,4253000000.0,4253000000.0,4238000000.0,4238000000.0,4238000000.0,4238000000.0,4154000000.0,4238000000.0,4154000000.0,4154000000.0,4154000000.0,4392000000.0,4154000000.0,4392000000.0,4392000000.0,4392000000.0,4392000000.0,4911000000.0,4911000000.0,4911000000.0,5020000000.0,5020000000.0,5020000000.0,5020000000.0,4791000000.0,4791000000.0,4791000000.0,4791000000.0,4705000000.0,4705000000.0,4705000000.0,4705000000.0,4705000000.0,4660000000.0,4660000000.0,4660000000.0,4532000000.0,4532000000.0,4532000000.0,4532000000.0,4750000000.0,3601000000.0,3601000000.0,3601000000.0,3194000000.0,3194000000.0,3194000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,87000000.0,,87000000.0,,,88000000.0,,,,90000000.0,,90000000.0,,,89000000.0,,89000000.0,,,248000000.0,248000000.0,,,277000000.0,,,,273000000.0,,,,247000000.0,,,,308000000.0,308000000.0,,,326000000.0,,,,224000000.0,,,,154000000.0,,,
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000000.0,,148000000.0,,,155000000.0,155000000.0,,,208000000.0,,,,228000000.0,,,,229000000.0,,,,192000000.0,192000000.0,,,219000000.0,,,,247000000.0,,,,232000000.0,,,
AccruedIncomeTaxesCurrent / USD,350000000.0,350000000.0,350000000.0,252000000.0,350000000.0,252000000.0,252000000.0,252000000.0,358000000.0,252000000.0,358000000.0,358000000.0,358000000.0,355000000.0,355000000.0,355000000.0,355000000.0,371000000.0,355000000.0,371000000.0,371000000.0,371000000.0,417000000.0,371000000.0,417000000.0,417000000.0,417000000.0,435000000.0,435000000.0,435000000.0,435000000.0,332000000.0,435000000.0,332000000.0,332000000.0,332000000.0,299000000.0,332000000.0,299000000.0,299000000.0,299000000.0,299000000.0,310000000.0,310000000.0,310000000.0,243000000.0,243000000.0,243000000.0,243000000.0,194000000.0,194000000.0,194000000.0,194000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,260000000.0,260000000.0,260000000.0,259000000.0,259000000.0,259000000.0,259000000.0,365000000.0,304000000.0,304000000.0,304000000.0,331000000.0,331000000.0,331000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,611000000.0,,611000000.0,,,627000000.0,,,,595000000.0,,595000000.0,,,454000000.0,,454000000.0,,,472000000.0,,,,519000000.0,,519000000.0,,,154000000.0,,154000000.0,,,244000000.0,244000000.0,,,1287000000.0,,,,1274000000.0,,,,1507000000.0,,,,1511000000.0,1511000000.0,,,1324000000.0,,,,1051000000.0,,,,832000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,11926000000.0,11926000000.0,11926000000.0,12440000000.0,11926000000.0,12440000000.0,12440000000.0,12440000000.0,12974000000.0,12440000000.0,12974000000.0,12974000000.0,12974000000.0,13500000000.0,13500000000.0,13500000000.0,13500000000.0,14147000000.0,13500000000.0,14147000000.0,14147000000.0,14147000000.0,14416000000.0,14147000000.0,14416000000.0,14416000000.0,14416000000.0,14352000000.0,14352000000.0,14352000000.0,14352000000.0,14583000000.0,14352000000.0,14583000000.0,14583000000.0,14583000000.0,14983000000.0,14583000000.0,14983000000.0,14983000000.0,14983000000.0,14983000000.0,16048000000.0,16048000000.0,16048000000.0,16135000000.0,16135000000.0,16135000000.0,16135000000.0,16791000000.0,16791000000.0,16791000000.0,16791000000.0,17229000000.0,17229000000.0,17229000000.0,,17784000000.0,17784000000.0,17784000000.0,17784000000.0,16820000000.0,16820000000.0,16820000000.0,16820000000.0,17711000000.0,15804000000.0,15804000000.0,15804000000.0,16018000000.0,16018000000.0,16018000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-3646000000.0,-3646000000.0,-3646000000.0,-3754000000.0,-3646000000.0,-3754000000.0,-3754000000.0,-3754000000.0,-3543000000.0,-3754000000.0,-3543000000.0,-3543000000.0,-3543000000.0,-5025000000.0,-5025000000.0,-5025000000.0,-5025000000.0,-5025000000.0,-3754000000.0,-5025000000.0,-5025000000.0,-3543000000.0,-4750000000.0,-3543000000.0,-4750000000.0,-4750000000.0,-5025000000.0,-3913000000.0,-3913000000.0,-6289000000.0,-6289000000.0,-6359000000.0,-6289000000.0,-6359000000.0,-6359000000.0,-6359000000.0,-7245000000.0,-6359000000.0,-7245000000.0,-7245000000.0,-7245000000.0,-7245000000.0,-7026000000.0,-7026000000.0,-7026000000.0,-6866000000.0,-6866000000.0,-6866000000.0,-6866000000.0,-8139000000.0,-8139000000.0,-8139000000.0,-8139000000.0,-7721000000.0,-7721000000.0,-7721000000.0,-7721000000.0,-7721000000.0,-6750000000.0,-6750000000.0,-6750000000.0,-6673000000.0,-6673000000.0,-6673000000.0,-6673000000.0,-6778000000.0,-6778000000.0,-6778000000.0,-6778000000.0,-5731000000.0,-5731000000.0,-5731000000.0
AdditionalPaidInCapitalCommonStock / USD,3006000000.0,3006000000.0,3006000000.0,3153000000.0,3006000000.0,3153000000.0,3153000000.0,3153000000.0,3468000000.0,3153000000.0,3468000000.0,3468000000.0,3468000000.0,3767000000.0,3767000000.0,3767000000.0,3767000000.0,4044000000.0,3767000000.0,4044000000.0,4044000000.0,4044000000.0,4375000000.0,4044000000.0,4375000000.0,4375000000.0,4375000000.0,4379000000.0,4379000000.0,4379000000.0,4379000000.0,4791000000.0,4379000000.0,4791000000.0,4791000000.0,4791000000.0,5061000000.0,4791000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5352000000.0,5352000000.0,5352000000.0,5643000000.0,5643000000.0,5643000000.0,5643000000.0,5907000000.0,5907000000.0,5907000000.0,5907000000.0,6162000000.0,6162000000.0,6162000000.0,6162000000.0,6162000000.0,6429000000.0,6429000000.0,6429000000.0,6691000000.0,6691000000.0,6691000000.0,6691000000.0,6956000000.0,6956000000.0,6956000000.0,6956000000.0,7229000000.0,7229000000.0,7229000000.0
