fact_unit,2009-08-04,2009-11-04,2010-02-12,2010-05-05,2010-07-30,2010-10-29,2011-02-11,2011-05-10,2011-07-27,2011-10-26,2012-01-26,2012-04-25,2012-07-24,2012-10-30,2013-01-29,2013-04-25,2013-07-25,2013-10-24,2014-02-12,2014-04-24,2014-07-25,2014-10-23,2015-02-09,2015-04-29,2015-07-23,2015-10-29
AccountsPayableCurrent / USD,,178004000.0,178004000.0,216000000.0,216000000.0,216000000.0,216000000.0,483000000.0,483000000.0,483000000.0,483000000.0,588000000.0,588000000.0,588000000.0,588000000.0,2012000000.0,2012000000.0,2012000000.0,2012000000.0,2453000000.0,2453000000.0,2453000000.0,2453000000.0,1715000000.0,1715000000.0,1715000000.0
AccountsReceivableNetCurrent / USD,2642192000.0,2642192000.0,2642192000.0,3178000000.0,3178000000.0,3178000000.0,3178000000.0,4252000000.0,4252000000.0,4252000000.0,4252000000.0,5427000000.0,5427000000.0,5427000000.0,5427000000.0,7885000000.0,7885000000.0,7885000000.0,7885000000.0,8882000000.0,8882000000.0,8882000000.0,8882000000.0,9383000000.0,9383000000.0,9383000000.0
AccruedIncomeTaxesCurrent / USD,,81549000.0,81549000.0,450000000.0,,,0.0,37000000.0,37000000.0,37000000.0,37000000.0,197000000.0,197000000.0,197000000.0,197000000.0,240000000.0,240000000.0,240000000.0,240000000.0,24000000.0,24000000.0,24000000.0,24000000.0,96000000.0,96000000.0,96000000.0
AccruedLiabilitiesCurrent / USD,,480263000.0,480263000.0,570000000.0,570000000.0,570000000.0,570000000.0,961000000.0,961000000.0,961000000.0,961000000.0,1370000000.0,1370000000.0,1370000000.0,1370000000.0,3258000000.0,3258000000.0,3258000000.0,3258000000.0,3755000000.0,3755000000.0,3755000000.0,3755000000.0,4434000000.0,4434000000.0,4434000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,3285000000.0,3285000000.0,3285000000.0,4012000000.0,4012000000.0,4012000000.0,4012000000.0,4797000000.0,4797000000.0,4797000000.0,4797000000.0,5843000000.0,5843000000.0,5843000000.0,5843000000.0,7313000000.0,7313000000.0,7313000000.0,7313000000.0,8863000000.0,8863000000.0,8863000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,226579000.0,226579000.0,226579000.0,105000000.0,105000000.0,105000000.0,105000000.0,138000000.0,138000000.0,138000000.0,138000000.0,276000000.0,276000000.0,276000000.0,276000000.0,538000000.0,538000000.0,538000000.0,538000000.0,538000000.0,125000000.0,125000000.0,538000000.0,125000000.0,125000000.0,125000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,1120000000.0,,,,1164000000.0,,,,1376000000.0,,,,1974000000.0,,,,2692000000.0,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation / USD,,,,,,,134000000.0,,,,60000000.0,,,,72000000.0,,,,60000000.0,,,,166000000.0,,,
AdvertisingRevenue / USD,,,,,,,21129000000.0,,,,22889000000.0,,,,,,,,,,,,43686000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,1437000000.0,1376000000.0,556000000.0,1191000000.0,1941000000.0,1974000000.0,708000000.0,1555000000.0,2441000000.0,2692000000.0,887000000.0,1802000000.0,3092000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,80086000.0,80086000.0,80086000.0,79000000.0,79000000.0,79000000.0,79000000.0,101000000.0,101000000.0,101000000.0,101000000.0,133000000.0,133000000.0,133000000.0,133000000.0,581000000.0,581000000.0,581000000.0,581000000.0,631000000.0,631000000.0,631000000.0,631000000.0,225000000.0,225000000.0,225000000.0
Assets / USD,31767575000.0,31767575000.0,31767575000.0,40497000000.0,40497000000.0,40497000000.0,40497000000.0,57851000000.0,57851000000.0,57851000000.0,57851000000.0,72574000000.0,72574000000.0,72574000000.0,72574000000.0,93798000000.0,93798000000.0,93798000000.0,93798000000.0,110920000000.0,110920000000.0,110920000000.0,110920000000.0,131133000000.0,130426000000.0,130426000000.0
AssetsCurrent / USD,20178182000.0,20178182000.0,20178182000.0,29167000000.0,29167000000.0,29167000000.0,29167000000.0,41562000000.0,41562000000.0,41562000000.0,41562000000.0,52758000000.0,52758000000.0,52758000000.0,52758000000.0,60454000000.0,60454000000.0,60454000000.0,60454000000.0,72886000000.0,72886000000.0,72886000000.0,72886000000.0,80685000000.0,79978000000.0,79978000000.0
