fact_unit,2009-07-31,2009-11-09,2010-02-26,2010-05-04,2010-08-03,2010-11-09,2011-02-24,2011-05-09,2011-08-09,2011-11-03,2012-03-14,2012-05-04,2012-05-11,2012-08-02,2012-11-06,2013-02-26,2013-05-02,2013-08-06,2013-11-05,2014-02-27,2014-05-02,2014-08-07,2014-11-04,2015-02-26,2015-05-05,2015-08-04,2015-11-03,2016-02-26,2016-05-04,2016-08-04,2016-11-02,2017-02-28,2017-05-09,2017-08-04,2017-10-30,2018-02-27,2018-05-07,2018-08-06,2018-11-07,2019-02-26,2019-05-07,2019-08-02,2019-11-01,2020-02-27,2020-05-04,2020-08-05,2020-11-05,2021-02-25,2021-05-05,2021-08-05,2021-11-05,2022-02-25,2022-05-05,2022-08-04,2022-11-03,2023-02-28,2023-05-04,2023-08-03,2023-11-03,2024-02-27,2024-05-07,2024-08-06,2024-11-06,2025-02-25,2025-05-08,2025-08-07,2025-11-05
AccountsAndOtherReceivablesNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000000.0,455000000.0,455000000.0,455000000.0,455000000.0,403000000.0,403000000.0,403000000.0,455000000.0,398000000.0,398000000.0,398000000.0,398000000.0,685000000.0,685000000.0,685000000.0,685000000.0,561000000.0,561000000.0,561000000.0,561000000.0,397000000.0,397000000.0,397000000.0
AccountsPayableOtherCurrent / USD,,,,,,,171000000.0,109000000.0,109000000.0,109000000.0,109000000.0,124000000.0,109000000.0,124000000.0,124000000.0,124000000.0,134000000.0,134000000.0,134000000.0,134000000.0,127000000.0,127000000.0,127000000.0,127000000.0,155000000.0,155000000.0,155000000.0,155000000.0,142000000.0,142000000.0,142000000.0,142000000.0,130000000.0,130000000.0,130000000.0,130000000.0,173000000.0,173000000.0,173000000.0,173000000.0,138000000.0,138000000.0,138000000.0,138000000.0,179000000.0,179000000.0,179000000.0,179000000.0,154000000.0,154000000.0,154000000.0,179000000.0,178000000.0,178000000.0,178000000.0,178000000.0,275000000.0,275000000.0,275000000.0,275000000.0,224000000.0,224000000.0,224000000.0,224000000.0,208000000.0,208000000.0,208000000.0
AccountsPayableTradeCurrent / USD,,,,,,,522000000.0,755000000.0,755000000.0,755000000.0,755000000.0,983000000.0,755000000.0,983000000.0,983000000.0,983000000.0,976000000.0,976000000.0,976000000.0,976000000.0,1088000000.0,1088000000.0,1088000000.0,1088000000.0,1198000000.0,1198000000.0,1198000000.0,1198000000.0,1133000000.0,1133000000.0,1133000000.0,1133000000.0,1346000000.0,1346000000.0,1346000000.0,1346000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1160000000.0,1160000000.0,1160000000.0,1160000000.0,1234000000.0,1234000000.0,1234000000.0,1234000000.0,1359000000.0,1359000000.0,1359000000.0,1234000000.0,1671000000.0,1671000000.0,1671000000.0,1671000000.0,1994000000.0,1994000000.0,1994000000.0,1994000000.0,2211000000.0,2211000000.0,2211000000.0,2211000000.0,2238000000.0,2238000000.0,2238000000.0
AccountsReceivableNetCurrent / USD,,,,,,,971000000.0,891000000.0,891000000.0,891000000.0,891000000.0,1198000000.0,891000000.0,1198000000.0,1198000000.0,1198000000.0,1146000000.0,1146000000.0,1146000000.0,1146000000.0,1308000000.0,1308000000.0,1308000000.0,1308000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1283000000.0,1283000000.0,1283000000.0,1283000000.0,1390000000.0,1390000000.0,1390000000.0,1390000000.0,1307000000.0,1307000000.0,1307000000.0,1307000000.0,1215000000.0,1215000000.0,1215000000.0,1215000000.0,1261000000.0,1261000000.0,1261000000.0,1261000000.0,1578000000.0,1578000000.0,1578000000.0,1261000000.0,2071000000.0,2071000000.0,2071000000.0,2071000000.0,2635000000.0,2635000000.0,2635000000.0,2635000000.0,2151000000.0,2151000000.0,2151000000.0,2151000000.0,1983000000.0,1983000000.0,1983000000.0
AccrualForEnvironmentalLossContingenciesDiscount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,9000000.0,,,,9000000.0,,,,14000000.0,,,,10000000.0,,,,14000000.0,,,
AccrualForEnvironmentalLossContingenciesDiscountRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,0.015,,,,0.004,,,,0.025,,,,0.0245,,,
AccrualForEnvironmentalLossContingenciesGross / USD,,,,,,,,,,,,,,,,,,,,,,,,44400000.0,,,,45100000.0,,,,28000000.0,,,,29000000.0,,,,37000000.0,,,,51000000.0,,,,60000000.0,,,,57000000.0,,,,59000000.0,,,,53000000.0,,,,54000000.0,,,
AccruedEnvironmentalLossContingenciesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000.0,,,,8000000.0,,,,9000000.0,,,,10000000.0,,,,,,,,,,,,,,,,,,,,5000000.0,,,,6000000.0,,,
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000.0,,,,20000000.0,,,,20000000.0,,,,27000000.0,,,,,,,,,,,,,,,,,,,,48000000.0,,,,48000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,6753000000.0,7211000000.0,7211000000.0,7211000000.0,7211000000.0,7727000000.0,7209000000.0,7727000000.0,7727000000.0,7727000000.0,8337000000.0,8337000000.0,8337000000.0,8337000000.0,8947000000.0,8947000000.0,8947000000.0,8947000000.0,9505000000.0,9505000000.0,9505000000.0,9505000000.0,10161000000.0,10161000000.0,10161000000.0,10161000000.0,10693000000.0,10693000000.0,10693000000.0,10693000000.0,11605000000.0,11605000000.0,11605000000.0,11605000000.0,12176000000.0,12176000000.0,12176000000.0,12176000000.0,12877000000.0,12877000000.0,12877000000.0,12877000000.0,,,,12877000000.0,,,,15046000000.0,,,,16111000000.0,,,,17535000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,-369000000.0,-330000000.0,-330000000.0,-330000000.0,-330000000.0,-489000000.0,-330000000.0,-489000000.0,-489000000.0,-489000000.0,-376000000.0,-376000000.0,-376000000.0,-376000000.0,-228000000.0,-228000000.0,-228000000.0,-489000000.0,-228000000.0,-228000000.0,-228000000.0,-376000000.0,-497000000.0,-497000000.0,-497000000.0,-806000000.0,-806000000.0,-806000000.0,-806000000.0,-748000000.0,-626000000.0,-626000000.0,-626000000.0,-626000000.0,-764000000.0,-764000000.0,-764000000.0,-764000000.0,-939000000.0,-939000000.0,-939000000.0,-939000000.0,-500000000.0,-500000000.0,-500000000.0,-939000000.0,-318000000.0,-318000000.0,-318000000.0,-318000000.0,-135000000.0,-135000000.0,-135000000.0,-135000000.0,-150000000.0,-150000000.0,-150000000.0,-150000000.0,-166000000.0,-166000000.0,-166000000.0
AdditionalCollateralAggregateFairValue / USD,,,,,,,5000000.0,5000000.0,4000000.0,10000000.0,24000000.0,26000000.0,24000000.0,23000000.0,11000000.0,8000000.0,6000000.0,6000000.0,3000000.0,3000000.0,1000000.0,1000000.0,2000000.0,9000000.0,7000000.0,5000000.0,8000000.0,6000000.0,7000000.0,8000000.0,8000000.0,13000000.0,10000000.0,6000000.0,4000000.0,6000000.0,2000000.0,5000000.0,6000000.0,20000000.0,15000000.0,8000000.0,8000000.0,21000000.0,5000000.0,7000000.0,8000000.0,16000000.0,20000000.0,26000000.0,63000000.0,88000000.0,11000000.0,17000000.0,22000000.0,106000000.0,42000000.0,50000000.0,160000000.0,215000000.0,29000000.0,44000000.0,114000000.0,120000000.0,105000000.0,113000000.0,227000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,49000000.0,13000000.0,22000000.0,31000000.0,38000000.0,11000000.0,38000000.0,24000000.0,36000000.0,38000000.0,11000000.0,24000000.0,33000000.0,48000000.0,10000000.0,20000000.0,30000000.0,44000000.0,10000000.0,21000000.0,35000000.0,40000000.0,13000000.0,26000000.0,39000000.0,48000000.0,13000000.0,24000000.0,38000000.0,52000000.0,10000000.0,23000000.0,44000000.0,52000000.0,15000000.0,33000000.0,50000000.0,82000000.0,21000000.0,39000000.0,56000000.0,83000000.0,22000000.0,36000000.0,57000000.0,75000000.0,17000000.0,34000000.0,48000000.0,71000000.0,17000000.0,32000000.0,49000000.0,63000000.0,17000000.0,31000000.0,53000000.0,71000000.0,21000000.0,41000000.0,63000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,11000000.0,15000000.0,44000000.0,7000000.0,13000000.0,17000000.0,34000000.0,6000000.0,34000000.0,13000000.0,20000000.0,34000000.0,5000000.0,13000000.0,18000000.0,44000000.0,6000000.0,11000000.0,17000000.0,40000000.0,7000000.0,14000000.0,22000000.0,38000000.0,,,,46000000.0,,,,48000000.0,,,,46000000.0,,,,78000000.0,,,,76000000.0,,,,66000000.0,,,,62000000.0,,,,58000000.0,,,,61000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,15000000.0,22000000.0,,,,,,,,,,,,,,,,,55000000.0,,,,48000000.0,,,,45000000.0,,,,42000000.0,,,,44000000.0,,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,29000000.0,29000000.0,25000000.0,29000000.0,29000000.0,29000000.0,21000000.0,138000000.0,138000000.0,138000000.0,29000000.0,136000000.0,136000000.0,136000000.0,138000000.0,181000000.0,181000000.0,181000000.0,136000000.0,533000000.0,539000000.0,539000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,7000000.0,11000000.0,14000000.0,4000000.0,7000000.0,11000000.0,14000000.0,5000000.0,12000000.0,28000000.0,16000000.0,19000000.0,36000000.0,57000000.0,47000000.0,20000000.0,43000000.0,74000000.0,78000000.0,50000000.0,112000000.0,169000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,,10000000.0,,8000000.0,13000000.0,11000000.0,,,,18000000.0,,,,16000000.0,3000000.0,5000000.0,8000000.0,11000000.0,,,,11000000.0,,,,22000000.0,,,,26000000.0,,,
AmortizationOfRegulatoryAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,7000000.0,,,,9000000.0,,,,10000000.0,,,,11000000.0,,,
AssetRetirementObligation / USD,,,,,,,1177000000.0,,,,1313000000.0,,1313000000.0,,,1468000000.0,,1925000000.0,1925000000.0,1925000000.0,,2056000000.0,2056000000.0,2056000000.0,,,,2152000000.0,,,,2190000000.0,,,,2255000000.0,,2553000000.0,2553000000.0,2553000000.0,,,,2876000000.0,,,,2972000000.0,,,,2972000000.0,,,,3083000000.0,,,,3289000000.0,,,,3538000000.0,,,3831000000.0
AssetRetirementObligationAccretionExpense / USD,,,,,,,75000000.0,,,,77000000.0,,77000000.0,,,82000000.0,,46000000.0,69000000.0,92000000.0,,49000000.0,74000000.0,97000000.0,,,,97000000.0,,,,92000000.0,,,,101000000.0,,54000000.0,81000000.0,109000000.0,,,,121000000.0,,,,123000000.0,,,,123000000.0,,,,127000000.0,,,,133000000.0,,,,141000000.0,,,115000000.0
AssetRetirementObligationLiabilitiesIncurred / USD,,,,,,,17000000.0,,,,10000000.0,,10000000.0,,,12000000.0,,2000000.0,15000000.0,21000000.0,,2000000.0,4000000.0,4000000.0,,,,4000000.0,,,,1000000.0,,,,35000000.0,,20000000.0,22000000.0,34000000.0,,,,7000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,,20000000.0,,,,21000000.0,,,0.0
AssetRetirementObligationLiabilitiesSettled / USD,,,,,,,5000000.0,,,,17000000.0,,17000000.0,,,1000000.0,,,,2000000.0,,,,49000000.0,,,,29000000.0,,,,80000000.0,,,,47000000.0,,26000000.0,44000000.0,63000000.0,,,,42000000.0,,,,46000000.0,,,,46000000.0,,,,63000000.0,,,,63000000.0,,,,57000000.0,,,45000000.0
