fact_unit,2018-05-24,2018-08-09,2018-10-29,2019-02-28,2019-05-01,2019-05-21,2019-07-30,2019-11-07,2020-02-28,2020-05-06,2020-08-05,2020-11-05,2021-02-26,2021-05-05,2021-08-04,2021-11-03,2022-02-28,2022-05-04,2022-08-03,2022-11-02,2023-03-01,2023-05-03,2023-08-02,2023-11-13,2024-02-28,2024-05-01,2024-07-31,2024-10-30,2025-02-28,2025-05-07,2025-08-06,2025-10-29
AccountsAndOtherReceivablesNetCurrent / USD,79900000.0,66600000.0,66600000.0,66600000.0,63900000.0,62300000.0,63900000.0,63900000.0,63900000.0,80400000.0,80400000.0,80400000.0,80400000.0,101100000.0,101100000.0,101100000.0,101100000.0,146300000.0,146300000.0,146300000.0,146300000.0,180100000.0,180100000.0,180100000.0,180100000.0,228800000.0,228800000.0,228800000.0,228800000.0,264800000.0,264800000.0,264800000.0
AccountsPayableCurrent / USD,48800000.0,44400000.0,44400000.0,44400000.0,41500000.0,44400000.0,41500000.0,41500000.0,41500000.0,43200000.0,43200000.0,43200000.0,43200000.0,38900000.0,38900000.0,38900000.0,38900000.0,51700000.0,51700000.0,51700000.0,51700000.0,54300000.0,54300000.0,54300000.0,54300000.0,66700000.0,66700000.0,66700000.0,66700000.0,77000000.0,77000000.0,77000000.0
AccountsReceivableGrossCurrent / USD,,,,72600000.0,,68300000.0,,,69000000.0,,,,86500000.0,,,,108600000.0,,,,154200000.0,,,,189300000.0,,242800000.0,242800000.0,242800000.0,287600000.0,287600000.0,287600000.0
AccrualForEnvironmentalLossContingencies / USD,,,,,,,,,5200000.0,,,,5000000.0,,,,4800000.0,,,,4500000.0,,,,4300000.0,,,,4000000.0,,,
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,100000.0,100000.0,100000.0,500000.0,500000.0,500000.0,500000.0,700000.0,700000.0,700000.0,700000.0,900000.0,900000.0,900000.0,900000.0,8600000.0,8600000.0,8600000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,269600000.0,259500000.0,259500000.0,259500000.0,,259500000.0,,,286100000.0,,,,319500000.0,,,,346500000.0,,,,382600000.0,,,,442700000.0,,,,501400000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-312100000.0,-312100000.0,-312100000.0,-312100000.0,-375900000.0,-311000000.0,-375900000.0,-375900000.0,-375900000.0,-338400000.0,-338400000.0,-338400000.0,-338400000.0,-276000000.0,-276000000.0,-276000000.0,-276000000.0,-324800000.0,-324800000.0,-324800000.0,-324800000.0,-485000000.0,-485000000.0,-485000000.0,-485000000.0,-436700000.0,-436700000.0,-436700000.0,-436700000.0,-482700000.0,-482700000.0,-482700000.0
AdditionalPaidInCapital / USD,1565400000.0,1565400000.0,1565400000.0,1565400000.0,2325600000.0,1565400000.0,2325600000.0,2325600000.0,2325600000.0,2449100000.0,2449100000.0,2449100000.0,2449100000.0,2606500000.0,2606500000.0,2606500000.0,2606500000.0,2860000000.0,2860000000.0,2860000000.0,2860000000.0,2965500000.0,2965500000.0,2965500000.0,2965500000.0,3151100000.0,3151100000.0,3151100000.0,3151100000.0,3363200000.0,3363200000.0,3363200000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000.0,6400000.0,6400000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,15300000.0,2900000.0,15300000.0,2900000.0,2900000.0,17200000.0,6000000.0,6000000.0,6000000.0,23500000.0,12500000.0,12500000.0,12500000.0,36500000.0,22800000.0,22800000.0,22800000.0,65800000.0,35500000.0,35500000.0,35500000.0,113400000.0,40200000.0,40200000.0,40200000.0,144800000.0,38000000.0,38000000.0,38000000.0
AdvertisingExpense / USD,,,,5900000.0,,5900000.0,,,5600000.0,,,,5800000.0,,,,5400000.0,,,,5500000.0,,,,7500000.0,,,,11300000.0,,,
AllocatedShareBasedCompensationExpense / USD,,8500000.0,12800000.0,12500000.0,2700000.0,12500000.0,14700000.0,19500000.0,16100000.0,,,,24700000.0,,,,36500000.0,22800000.0,54200000.0,83600000.0,65800000.0,35500000.0,74300000.0,113500000.0,113400000.0,40200000.0,81700000.0,118000000.0,144800000.0,38000000.0,78800000.0,118400000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,1100000.0,,1100000.0,,,1800000.0,,,,1300000.0,,,,1300000.0,,,,2400000.0,,,,3100000.0,,,,3900000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,1300000.0,,1300000.0,,,1300000.0,,,,2400000.0,,,,3100000.0,,,,3900000.0,,,,4600000.0,,,,8400000.0,,,
AllowanceForDoubtfulAccountsReceivableRecoveries / USD,,,,400000.0,,400000.0,,,700000.0,,,,700000.0,,,,2100000.0,,,,1300000.0,,,,1000000.0,,,,1500000.0,,,
AmortizationOfDeferredSalesCommissions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,4700000.0,9700000.0,15000000.0,48900000.0,6300000.0,12900000.0,20100000.0
AmortizationOfFinancingCostsAndDiscounts / USD,800000.0,1800000.0,2700000.0,3500000.0,1000000.0,3500000.0,1600000.0,1900000.0,3700000.0,300000.0,600000.0,800000.0,2100000.0,300000.0,600000.0,900000.0,1200000.0,1100000.0,6200000.0,11500000.0,1200000.0,1000000.0,2000000.0,3000000.0,16900000.0,1100000.0,2200000.0,3300000.0,4600000.0,1100000.0,2100000.0,3200000.0
AmortizationOfIntangibleAssets / USD,5400000.0,9200000.0,13900000.0,18400000.0,4700000.0,18400000.0,9300000.0,14000000.0,18500000.0,4700000.0,9200000.0,13900000.0,18500000.0,400000.0,700000.0,1600000.0,16200000.0,2200000.0,12000000.0,19300000.0,3800000.0,7800000.0,15400000.0,22900000.0,23900000.0,5500000.0,12200000.0,32700000.0,30900000.0,28400000.0,57900000.0,87500000.0
Assets / USD,6729900000.0,6729900000.0,6729900000.0,6729900000.0,5247800000.0,6817900000.0,5247800000.0,5247800000.0,5247800000.0,6085700000.0,6085700000.0,6085700000.0,6085700000.0,6701300000.0,6701300000.0,6701300000.0,6701300000.0,7166200000.0,7166200000.0,7166200000.0,7166200000.0,7917200000.0,7917200000.0,8463500000.0,8463500000.0,9010900000.0,9010900000.0,9010900000.0,9010900000.0,9117000000.0,9117000000.0,9117000000.0
AssetsCurrent / USD,4322400000.0,4458400000.0,4458400000.0,4458400000.0,2934100000.0,4466200000.0,2934100000.0,2934100000.0,2934100000.0,3623700000.0,3623700000.0,3623700000.0,3623700000.0,4122600000.0,4122600000.0,4122600000.0,4122600000.0,4144100000.0,4144100000.0,4144100000.0,4144100000.0,4894000000.0,4894000000.0,5440300000.0,5440300000.0,5955200000.0,5955200000.0,5955200000.0,5955200000.0,5983500000.0,5983500000.0,5983500000.0
AssetsFairValueDisclosure / USD,1782100000.0,1782100000.0,1782100000.0,1782100000.0,1719600000.0,1782100000.0,1715000000.0,1715000000.0,1715000000.0,1826800000.0,1826800000.0,1826800000.0,1826800000.0,1719100000.0,1719100000.0,1719100000.0,1719100000.0,1952400000.0,1952400000.0,1952400000.0,1952400000.0,2011000000.0,2011000000.0,2011000000.0,2011000000.0,2178300000.0,2178300000.0,2178300000.0,2178300000.0,2327300000.0,2327300000.0,2327300000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,61700000.0,24600000.0,24600000.0,24600000.0,24600000.0,700000.0,700000.0,700000.0,700000.0,8100000.0,8100000.0,8100000.0,8100000.0,14900000.0,14900000.0,14900000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,100000.0,11300000.0,11300000.0,11300000.0,11300000.0,119100000.0,119100000.0,119100000.0,119100000.0,73000000.0,73000000.0,73000000.0,73000000.0,40500000.0,40500000.0,40500000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,1657500000.0,1939100000.0,1939100000.0,1939100000.0,1939100000.0,2129300000.0,2129300000.0,2129300000.0,2129300000.0,2243200000.0,2243200000.0,2243200000.0,2243200000.0,2352900000.0,2352900000.0,2352900000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,2864500000.0,2339500000.0,2024400000.0,1139400000.0,3161800000.0,1139400000.0,2404300000.0,1074200000.0,1666400000.0,2221100000.0,1255300000.0,1398700000.0,2487700000.0,3000700000.0,1923500000.0,3933900000.0,1946600000.0,5660900000.0,3670500000.0,2734600000.0,2565700000.0,4604300000.0,2648200000.0,3444800000.0,3100700000.0,4794300000.0,3002200000.0,1895700000.0,3018800000.0,3275500000.0,2129600000.0,2310400000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,2864600000.0,2339300000.0,2023900000.0,1139400000.0,3160900000.0,1139400000.0,2404400000.0,1074500000.0,1666700000.0,2222100000.0,1257200000.0,1402000000.0,2491200000.0,3006400000.0,1931600000.0,3940800000.0,1949600000.0,5662400000.0,3669900000.0,2731800000.0,2560800000.0,4600600000.0,2642700000.0,3438500000.0,3095800000.0,4789600000.0,2997300000.0,1893200000.0,3017500000.0,3273200000.0,2126300000.0,2306700000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,,,,1719100000.0,1952400000.0,1952400000.0,1952400000.0,1952400000.0,2011000000.0,2011000000.0,2011000000.0,2011000000.0,2178300000.0,2178300000.0,2178300000.0,2178300000.0,2327300000.0,2327300000.0,2327300000.0
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount / USD,,,,,,,,,,,,,5100000.0,,,,5100000.0,,,,,,,,46500000.0,,,,62300000.0,,,
