fact_unit,2012-12-14,2013-03-01,2013-05-09,2013-08-08,2013-11-05,2014-02-19,2014-05-09,2014-08-07,2014-09-15,2014-11-06,2015-02-20,2015-05-07,2015-08-10,2015-11-06,2016-02-19,2016-05-05,2016-08-09,2016-11-08,2017-02-15,2017-05-04,2017-08-02,2017-11-07,2018-02-15,2018-05-10,2018-08-09,2018-11-07,2019-02-25,2019-05-10,2019-08-09,2019-11-06,2020-02-27,2020-05-08,2020-08-10,2020-11-05,2021-02-25,2021-05-07,2021-08-05,2021-11-04,2022-02-24,2022-05-05,2022-08-03,2022-11-08,2023-02-23,2023-05-03,2023-08-03,2023-11-08,2024-02-22,2024-05-02,2024-08-07,2024-11-07,2025-02-26,2025-05-07,2025-08-06,2025-11-05
AccountsPayableTradeCurrent / USD,8770000.0,8770000.0,12141000.0,12141000.0,12141000.0,12141000.0,2679000.0,2679000.0,12141000.0,2679000.0,2679000.0,26230000.0,26230000.0,26230000.0,26230000.0,20008000.0,20008000.0,20008000.0,20008000.0,47648000.0,47648000.0,47648000.0,47648000.0,94590000.0,94590000.0,94590000.0,94590000.0,128000000.0,128000000.0,128000000.0,128000000.0,179000000.0,179000000.0,179000000.0,179000000.0,71000000.0,71000000.0,71000000.0,71000000.0,36000000.0,36000000.0,36000000.0,36000000.0,127000000.0,127000000.0,127000000.0,127000000.0,261000000.0,261000000.0,261000000.0,261000000.0,253000000.0,253000000.0,253000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,14040000.0,37970000.0,37970000.0,93993000.0,93993000.0,93993000.0,93993000.0,77313000.0,77313000.0,77313000.0,36004000.0,70349000.0,70349000.0,70349000.0,70349000.0,158575000.0,158575000.0,158575000.0,158575000.0,296000000.0,296000000.0,296000000.0,296000000.0,429000000.0,429000000.0,429000000.0,429000000.0,281000000.0,281000000.0,281000000.0,281000000.0,598000000.0,598000000.0,598000000.0,598000000.0,618000000.0,618000000.0,618000000.0,618000000.0,654000000.0,654000000.0,654000000.0,654000000.0,1387000000.0,1387000000.0,1387000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,119500000.0,119699000.0,145837000.0,145837000.0,145837000.0,145837000.0,212236000.0,212236000.0,145837000.0,212236000.0,212236000.0,382144000.0,382144000.0,382144000.0,382144000.0,1413543000.0,1413543000.0,1413543000.0,1413543000.0,1836056000.0,1836056000.0,1836056000.0,1836056000.0,2161372000.0,2161372000.0,2161372000.0,2161372000.0,2774000000.0,2774000000.0,2774000000.0,2774000000.0,5003000000.0,5003000000.0,5003000000.0,5003000000.0,12314000000.0,12314000000.0,12314000000.0,12314000000.0,13545000000.0,13545000000.0,13545000000.0,13545000000.0,14844000000.0,14844000000.0,14844000000.0,14844000000.0,16429000000.0,16429000000.0,16429000000.0,16429000000.0,19208000000.0,19208000000.0,19208000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-8000000.0,-8000000.0,-8000000.0,-8000000.0,-6000000.0,-6000000.0,-6000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,2229664000.0,4215955000.0,4215955000.0,4215955000.0,4215955000.0,5291011000.0,5291011000.0,5291011000.0,5291011000.0,12936000000.0,12936000000.0,12936000000.0,12936000000.0,12357000000.0,12357000000.0,12357000000.0,12357000000.0,12656000000.0,12656000000.0,12656000000.0,12656000000.0,14084000000.0,14084000000.0,14084000000.0,14084000000.0,14213000000.0,14213000000.0,14213000000.0,14213000000.0,14142000000.0,14142000000.0,14142000000.0,14142000000.0,33501000000.0,33501000000.0,33501000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,14460000.0,13000000.0,13000000.0,,,,,,,,,,,,6000000.0,6000000.0,,15000000.0,15000000.0,15000000.0,,18000000.0,18000000.0,18000000.0,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,2535000.0,570000.0,1183000.0,1845000.0,2535000.0,3256000.0,5906000.0,2535000.0,9134000.0,2535000.0,3256000.0,5906000.0,9134000.0,2724000.0,6125000.0,10970000.0,15827000.0,12152000.0,10141000.0,17057000.0,23193000.0,20645000.0,8587000.0,15939000.0,23790000.0,29717000.0,9000000.0,9000000.0,9000000.0,32000000.0,19000000.0,19000000.0,19000000.0,34000000.0,10000000.0,10000000.0,10000000.0,57000000.0,11000000.0,11000000.0,11000000.0,43000000.0,16000000.0,16000000.0,16000000.0,60000000.0,15000000.0,15000000.0,15000000.0,68000000.0,21000000.0,21000000.0,21000000.0
AssetRetirementObligation / USD,728000.0,482000.0,1104000.0,1104000.0,1104000.0,742000.0,2145000.0,2145000.0,742000.0,2145000.0,1104000.0,3029000.0,3029000.0,3029000.0,2145000.0,8486000.0,8486000.0,8486000.0,3029000.0,12711000.0,12711000.0,12711000.0,8486000.0,17422000.0,17422000.0,17422000.0,12711000.0,21000000.0,21000000.0,21000000.0,17000000.0,136000000.0,136000000.0,136000000.0,136000000.0,94000000.0,94000000.0,94000000.0,94000000.0,109000000.0,109000000.0,109000000.0,109000000.0,171000000.0,171000000.0,171000000.0,171000000.0,347000000.0,347000000.0,347000000.0,347000000.0,245000000.0,245000000.0,245000000.0
AssetRetirementObligationAccretionExpense / USD,45000.0,38000.0,20000.0,41000.0,63000.0,65000.0,43000.0,88000.0,65000.0,134000.0,98000.0,72000.0,176000.0,303000.0,201000.0,170000.0,350000.0,588000.0,467000.0,246000.0,500000.0,770000.0,833000.0,323000.0,673000.0,1030000.0,1064000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,5000000.0,6000000.0,2000000.0,2000000.0,3000000.0,5000000.0,7000000.0,2000000.0,5000000.0,7000000.0,9000000.0,3000000.0,6000000.0,10000000.0,14000000.0,4000000.0,14000000.0,12000000.0,16000000.0,3000000.0,8000000.0,13000000.0
AssetRetirementObligationCurrent / USD,0.0,0.0,0.0,19000.0,19000.0,0.0,20000.0,20000.0,0.0,20000.0,20000.0,40000.0,40000.0,40000.0,40000.0,39000.0,39000.0,39000.0,39000.0,67000.0,196000.0,792000.0,193000.0,1572000.0,1575000.0,1392000.0,1288000.0,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,5000000.0,7000000.0,7000000.0,5000000.0,13000000.0,13000000.0,11000000.0,11000000.0,6000000.0,5000000.0,6000000.0,6000000.0,8000000.0,11000000.0,15000000.0
