fact_unit,2010-10-08,2011-01-31,2011-04-11,2011-07-11,2011-10-11,2012-01-30,2012-04-09,2012-07-10,2012-10-10,2013-01-29,2013-04-09,2013-07-10,2013-08-01,2013-10-10,2014-01-28,2014-04-09,2014-07-03,2014-10-03,2015-01-23,2015-04-03,2015-07-02,2015-10-09,2015-10-29,2016-01-22,2016-04-06,2016-07-01,2016-10-04,2017-01-20,2017-04-10,2017-06-30,2017-10-10,2018-01-25,2018-04-09,2018-07-06,2018-10-09,2019-01-28,2019-04-08,2019-07-03,2019-10-08,2020-01-27,2020-04-07,2020-07-06,2020-10-01,2021-01-22,2021-04-01,2021-07-02,2021-10-01,2022-01-28,2022-04-01,2022-07-01,2022-10-04,2023-01-26,2023-04-04,2023-06-30,2023-09-29,2024-01-26,2024-03-29,2024-04-25,2024-06-28,2024-10-02,2025-01-23,2025-04-04,2025-07-01,2025-10-03
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,57860000.0,,,,76795000.0,,,76795000.0,,78990000.0,,,,83792000.0,,,,83792000.0,87931000.0,,,,78351000.0,,,,86939000.0,,,,104272000.0,,,,138798000.0,,,,168582000.0,,,,177519000.0,,,,198855000.0,,,,226822000.0,,,,,265831000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,0.0,,,,0.0,,,0.0,,0.0,,,,0.0,,,130000.0,0.0,130000.0,,39000.0,39000.0,39000.0,-309000.0,-309000.0,-309000.0,-309000.0,1034000.0,1034000.0,1034000.0,1034000.0,-366000.0,-366000.0,-366000.0,-366000.0,498000.0,498000.0,498000.0,498000.0,-805000.0,-805000.0,-805000.0,-805000.0,-1341000.0,-1341000.0,-1341000.0,-1341000.0,2408000.0,2408000.0,2408000.0,2408000.0,4879000.0,,4879000.0,4879000.0,4879000.0,7529000.0,7529000.0,7529000.0
AdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,,,,,,,,,,2305560000.0,2305560000.0,2305560000.0,2805349000.0,2805349000.0,2805349000.0,2805349000.0,3142013000.0,3142013000.0,3142013000.0,3142013000.0,8496677000.0,8496677000.0,8496677000.0,8496677000.0,8578219000.0,8578219000.0,8578219000.0,8578219000.0,8676056000.0,8676056000.0,8676056000.0,8676056000.0,8807891000.0,8807891000.0,8807891000.0,8807891000.0,5417796000.0,5417796000.0,5417796000.0,5417796000.0,5570009000.0,,5570009000.0,5570009000.0,5570009000.0,5729434000.0,5729434000.0,5729434000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition / USD,,,,,,,,,,,,,,,,,,,,8739000.0,17251000.0,28482000.0,,,10250000.0,20611000.0,32095000.0,,11142000.0,22266000.0,34628000.0,,12505000.0,24817000.0,43303000.0,,17766000.0,33720000.0,55638000.0,,16899000.0,31390000.0,,,,,,,,,,,,116510000.0,154710000.0,,86558000.0,,126731000.0,139616000.0,,87680000.0,122186000.0,154094000.0
AdvertisingExpense / USD,,,,,,42200000.0,,,,40200000.0,,,40200000.0,,41200000.0,,,,33000000.0,,,,33000000.0,31872000.0,,,,45200000.0,,,,47900000.0,,,,40900000.0,,,,47000000.0,,,,72100000.0,,,,84300000.0,,,,72600000.0,,,,74200000.0,,,,,102100000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,20650000.0,32199000.0,40718000.0,,,,43873000.0,,,,55516000.0,,,,61356000.0,,,,72655000.0,,,,86940000.0,,,,107131000.0,,,,135090000.0,,,,,184086000.0,,,
AmortizationOfDebtDiscountPremium / USD,1363000.0,2662000.0,382000.0,1179000.0,3168000.0,1736000.0,4061000.0,8400000.0,12618000.0,6560000.0,5371000.0,10750000.0,6560000.0,16107000.0,20641000.0,5540000.0,11268000.0,17641000.0,21450000.0,5306000.0,10577000.0,16140000.0,21450000.0,23497000.0,5417000.0,9628000.0,15107000.0,21387000.0,4777000.0,8054000.0,11901000.0,19874000.0,3132000.0,5059000.0,7079000.0,14619000.0,40000.0,-11984000.0,-17750000.0,11312000.0,-7048000.0,-13335000.0,-19841000.0,-23544000.0,-6943000.0,-13839000.0,-18632000.0,-26210000.0,-2361000.0,-4718000.0,-6257000.0,-24775000.0,-490000.0,-959000.0,-1312000.0,-6775000.0,-838000.0,,-1691000.0,-2194000.0,-2163000.0,39000.0,336000.0,407000.0
Assets / USD,7314791000.0,7314791000.0,8787851000.0,8787851000.0,8787851000.0,8787851000.0,9154671000.0,9154671000.0,9154671000.0,9154671000.0,10362206000.0,10362206000.0,9154671000.0,10362206000.0,10362206000.0,11273247000.0,11273247000.0,11273247000.0,11273247000.0,12958267000.0,12958267000.0,12958267000.0,11273247000.0,11239885000.0,14419509000.0,14419509000.0,14419509000.0,12923151000.0,15361781000.0,15361781000.0,15361781000.0,14419509000.0,18745034000.0,18745034000.0,18745034000.0,15361781000.0,28566181000.0,28566181000.0,28566181000.0,18745034000.0,29359511000.0,29359511000.0,29359511000.0,29359511000.0,29935177000.0,29935177000.0,29935177000.0,29935177000.0,33207778000.0,33207778000.0,33207778000.0,33207778000.0,37984295000.0,37984295000.0,37984295000.0,37984295000.0,39234303000.0,,39234303000.0,39234303000.0,39234303000.0,41312781000.0,41312781000.0,41312781000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2694084000.0,2694084000.0,2694084000.0,1362494000.0,1595978000.0,1595978000.0,1595978000.0,2694084000.0,1468691000.0,1468691000.0,1468691000.0,1595976000.0,2932730000.0,2932730000.0,2932730000.0,1468691000.0,2955683000.0,2955683000.0,2955683000.0,2932730000.0,4815770000.0,,4815770000.0,4815770000.0,2955683000.0,6570938000.0,6570938000.0,6570938000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1609870000.0,-1497733000.0,-1610542000.0,1331590000.0,-533389000.0,-574907000.0,-526114000.0,-1098108000.0,-393649000.0,188191000.0,763387000.0,-127285000.0,-337532000.0,-149785000.0,-120740000.0,1464039000.0,-1350109000.0,-1402274000.0,-1404353000.0,22953000.0,-541613000.0,,-499926000.0,-691738000.0,1860087000.0,-1309470000.0,-2649554000.0,-2259794000.0
