fact_unit,2009-07-17,2009-10-09,2010-02-12,2010-04-23,2010-04-28,2010-07-16,2010-10-08,2011-02-18,2011-04-22,2011-07-15,2011-10-07,2012-02-16,2012-04-19,2012-07-12,2012-10-04,2013-02-20,2013-05-02,2013-08-01,2013-10-31,2014-02-20,2014-04-30,2014-07-03,2014-07-30,2014-09-05,2014-10-29,2015-02-19,2015-04-30,2015-07-30,2015-10-29,2016-02-18,2016-04-28,2016-07-28,2016-11-09,2017-02-21,2017-05-09,2017-08-08,2017-11-08,2018-02-15,2018-05-10,2018-08-07,2018-11-06,2019-03-01,2019-05-10,2019-08-06,2019-11-05,2020-02-27,2020-05-11,2020-08-10,2020-11-06,2021-02-18,2021-04-02,2021-05-10,2021-08-03,2021-11-03,2022-02-15,2022-05-04,2022-08-02,2022-11-03,2023-02-14,2023-05-02,2023-08-01,2023-11-02,2024-02-13,2024-05-01,2024-07-31,2024-11-04,2025-02-11,2025-05-06,2025-08-05,2025-11-04
AccountsAndFinancingReceivableAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82000000.0,82000000.0,82000000.0,82000000.0,,,207000000.0,207000000.0,207000000.0,187000000.0,187000000.0,187000000.0,187000000.0,,,,191000000.0,,,,197000000.0,,,
AccountsNotesAndLoansReceivableNetCurrent / USD,898000000.0,898000000.0,898000000.0,838000000.0,838000000.0,838000000.0,838000000.0,838000000.0,938000000.0,938000000.0,938000000.0,938000000.0,875000000.0,875000000.0,875000000.0,875000000.0,1028000000.0,1028000000.0,1028000000.0,1028000000.0,1081000000.0,1028000000.0,1081000000.0,1081000000.0,1081000000.0,1081000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1103000000.0,1103000000.0,1103000000.0,1103000000.0,1695000000.0,1695000000.0,1695000000.0,1695000000.0,1973000000.0,1973000000.0,1973000000.0,1973000000.0,2133000000.0,2133000000.0,2133000000.0,2133000000.0,2395000000.0,2395000000.0,2395000000.0,2395000000.0,,1768000000.0,1768000000.0,1768000000.0,1768000000.0,1982000000.0,1982000000.0,1982000000.0,1982000000.0,2571000000.0,2571000000.0,2571000000.0,2571000000.0,2712000000.0,2712000000.0,2712000000.0,2712000000.0,2795000000.0,2795000000.0,2795000000.0
AccountsPayableTradeCurrent / USD,,,,,,,,,,,634000000.0,634000000.0,548000000.0,548000000.0,548000000.0,548000000.0,569000000.0,569000000.0,569000000.0,569000000.0,557000000.0,569000000.0,557000000.0,557000000.0,557000000.0,557000000.0,605000000.0,605000000.0,605000000.0,605000000.0,593000000.0,593000000.0,593000000.0,593000000.0,687000000.0,687000000.0,687000000.0,687000000.0,783000000.0,783000000.0,783000000.0,783000000.0,767000000.0,767000000.0,767000000.0,767000000.0,720000000.0,720000000.0,720000000.0,720000000.0,,527000000.0,527000000.0,527000000.0,527000000.0,726000000.0,726000000.0,726000000.0,726000000.0,746000000.0,746000000.0,746000000.0,746000000.0,738000000.0,738000000.0,738000000.0,738000000.0,763000000.0,763000000.0,763000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,1186000000.0,1186000000.0,1186000000.0,1249000000.0,1249000000.0,1249000000.0,1249000000.0,927000000.0,927000000.0,927000000.0,927000000.0,991000000.0,991000000.0,991000000.0,991000000.0,905000000.0,991000000.0,905000000.0,905000000.0,905000000.0,905000000.0,,918000000.0,918000000.0,918000000.0,,,,897000000.0,,,,985000000.0,,,,1097000000.0,,,,1517000000.0,,,,1301000000.0,,,,,888000000.0,,,,850000000.0,,,,874000000.0,,,,890000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-15000000.0,-15000000.0,-15000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,-2000000.0,-2000000.0,-2000000.0,-2000000.0,-48000000.0,-48000000.0,-48000000.0,13000000.0,-44000000.0,-44000000.0,-44000000.0,-2000000.0,-44000000.0,-2000000.0,-44000000.0,-44000000.0,-44000000.0,-48000000.0,-70000000.0,-70000000.0,-70000000.0,-44000000.0,-196000000.0,-196000000.0,-196000000.0,-196000000.0,-497000000.0,-497000000.0,-497000000.0,-497000000.0,-17000000.0,-17000000.0,-17000000.0,-17000000.0,-391000000.0,-391000000.0,-391000000.0,-391000000.0,-361000000.0,-361000000.0,-361000000.0,-361000000.0,,-135000000.0,-135000000.0,-135000000.0,-135000000.0,-342000000.0,-342000000.0,-342000000.0,-342000000.0,-729000000.0,-729000000.0,-729000000.0,-729000000.0,-647000000.0,-647000000.0,-647000000.0,-647000000.0,-1063000000.0,-1063000000.0,-1063000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,3585000000.0,3585000000.0,3585000000.0,3585000000.0,3585000000.0,3644000000.0,3644000000.0,3644000000.0,3644000000.0,2513000000.0,2513000000.0,2513000000.0,2513000000.0,2585000000.0,2585000000.0,2585000000.0,2585000000.0,2716000000.0,2585000000.0,2716000000.0,2716000000.0,2716000000.0,2716000000.0,2802000000.0,2802000000.0,2802000000.0,2802000000.0,2821000000.0,2821000000.0,2821000000.0,2821000000.0,5808000000.0,5808000000.0,5808000000.0,5808000000.0,5770000000.0,5770000000.0,5770000000.0,5770000000.0,5814000000.0,5814000000.0,5814000000.0,5814000000.0,5800000000.0,5800000000.0,5800000000.0,5800000000.0,,5851000000.0,5851000000.0,5851000000.0,5851000000.0,5892000000.0,5892000000.0,5892000000.0,5892000000.0,5965000000.0,5965000000.0,5965000000.0,5965000000.0,6051000000.0,6051000000.0,6051000000.0,6051000000.0,6179000000.0,6179000000.0,6179000000.0
AdvertisingExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409000000.0,,,,562000000.0,,,,660000000.0,,,,,851000000.0,,,,276000000.0,,,,470000000.0,,,,635000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,50000000.0,73000000.0,112000000.0,20000000.0,50000000.0,62000000.0,85000000.0,21000000.0,43000000.0,65000000.0,90000000.0,19000000.0,38000000.0,57000000.0,103000000.0,30000000.0,103000000.0,61000000.0,61000000.0,89000000.0,94000000.0,25000000.0,54000000.0,81000000.0,116000000.0,24000000.0,55000000.0,84000000.0,109000000.0,28000000.0,59000000.0,98000000.0,113000000.0,48000000.0,95000000.0,139000000.0,,39000000.0,88000000.0,140000000.0,,38000000.0,86000000.0,130000000.0,,,,85000000.0,134000000.0,,49000000.0,90000000.0,130000000.0,,42000000.0,91000000.0,136000000.0,,33000000.0,82000000.0,129000000.0,,45000000.0,94000000.0,148000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191000000.0,191000000.0,191000000.0,,197000000.0,197000000.0,197000000.0,,199000000.0,199000000.0,199000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,40000000.0,,,,57000000.0,,57000000.0,,,,54000000.0,,,,68000000.0,,,,64000000.0,,,,65000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197000000.0,,,
