fact_unit,2019-03-13,2019-05-09,2019-08-08,2019-11-06,2020-02-27,2020-05-07,2020-08-06,2020-10-30,2021-02-26,2021-05-06,2021-08-05,2021-11-04,2022-02-25,2022-05-04,2022-08-03,2022-11-03,2023-02-24,2023-05-04,2023-08-03,2023-11-03,2024-02-23,2024-05-02,2024-08-01,2024-11-07,2025-02-21,2025-05-01,2025-08-01,2025-11-06
AccountsPayableCurrent / USD,20725000.0,31210000.0,31210000.0,31210000.0,31210000.0,7090000.0,7090000.0,7090000.0,7090000.0,18000000.0,18000000.0,18000000.0,18000000.0,302000000.0,302000000.0,302000000.0,302000000.0,487000000.0,487000000.0,487000000.0,487000000.0,520000000.0,520000000.0,520000000.0,520000000.0,405000000.0,405000000.0,405000000.0
AccountsReceivableGross / USD,,,,,,,,,,,,,,,,,,,,1385000000.0,1385000000.0,1584000000.0,1584000000.0,1584000000.0,1584000000.0,698000000.0,698000000.0,698000000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,1385000000.0,1385000000.0,892000000.0,892000000.0,892000000.0,892000000.0,358000000.0,358000000.0,358000000.0
AccountsReceivableNetCurrent / USD,11881000.0,11686000.0,11686000.0,11686000.0,11686000.0,5032000.0,5369000.0,5369000.0,5369000.0,1391000000.0,1391000000.0,1391000000.0,1391000000.0,3175000000.0,3175000000.0,3175000000.0,3175000000.0,1385000000.0,1385000000.0,1385000000.0,1385000000.0,892000000.0,892000000.0,892000000.0,892000000.0,358000000.0,358000000.0,358000000.0
AccruedLiabilitiesCurrent / USD,72715000.0,79073000.0,79073000.0,79073000.0,79073000.0,67652000.0,67652000.0,67652000.0,67652000.0,470000000.0,470000000.0,470000000.0,470000000.0,1472000000.0,1472000000.0,1472000000.0,1472000000.0,2101000000.0,2101000000.0,2101000000.0,2101000000.0,1798000000.0,1798000000.0,1798000000.0,1798000000.0,1427000000.0,1427000000.0,1427000000.0
AccruedRoyaltiesCurrent / USD,,,,,,,,,,,,,,,,,,,203000000.0,203000000.0,203000000.0,122000000.0,122000000.0,122000000.0,122000000.0,46000000.0,46000000.0,46000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1157000.0,-1320000.0,-1320000.0,-1320000.0,-1320000.0,1804000.0,1804000.0,1804000.0,1804000.0,3000000.0,3000000.0,3000000.0,3000000.0,-24000000.0,-24000000.0,-24000000.0,-24000000.0,-370000000.0,-370000000.0,-370000000.0,-370000000.0,-123000000.0,-123000000.0,-123000000.0,-123000000.0,-10000000.0,-10000000.0,-10000000.0
AdditionalPaidInCapital / USD,71679000.0,2538155000.0,2538155000.0,2538155000.0,2538155000.0,2669426000.0,2669426000.0,2669426000.0,2669426000.0,4802000000.0,4802000000.0,4802000000.0,4802000000.0,4211000000.0,4211000000.0,4211000000.0,4211000000.0,1173000000.0,1173000000.0,1173000000.0,1173000000.0,371000000.0,371000000.0,371000000.0,371000000.0,866000000.0,866000000.0,866000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,40013000.0,11851000.0,26204000.0,40924000.0,40055000.0,18497000.0,39992000.0,60796000.0,72565000.0,20000000.0,45000000.0,67000000.0,81000000.0,30000000.0,65000000.0,105000000.0,93000000.0,44000000.0,94000000.0,164000000.0,142000000.0,75000000.0,149000000.0,226000000.0,226000000.0,101000000.0,213000000.0,325000000.0
AdvertisingExpense / USD,,,,,,,,,,,,,,,,,,,,,0.0,,,,121000000.0,,,
AllocatedShareBasedCompensationExpense / USD,39360000.0,11851000.0,26204000.0,40924000.0,40055000.0,18497000.0,39992000.0,60796000.0,72565000.0,20000000.0,45000000.0,67000000.0,81000000.0,30000000.0,65000000.0,105000000.0,93000000.0,44000000.0,94000000.0,164000000.0,142000000.0,75000000.0,149000000.0,226000000.0,226000000.0,101000000.0,213000000.0,325000000.0
