fact_unit,2018-08-08,2018-11-07,2019-02-22,2019-05-08,2019-08-07,2019-11-06,2020-03-02,2020-05-06,2020-08-05,2020-11-05,2021-02-26,2021-05-06,2021-08-05,2021-11-03,2022-02-25,2022-05-05,2022-08-04,2022-11-04,2023-02-24,2023-05-05,2023-08-04,2023-11-07,2024-02-29,2024-05-09,2024-08-09,2024-11-07,2025-02-27,2025-05-08,2025-08-07,2025-11-06
AssetsCurrent / USD,727000000.0,727000000.0,727000000.0,1681000000.0,1681000000.0,1681000000.0,1681000000.0,1467700000.0,1467700000.0,1467700000.0,1467700000.0,1624300000.0,1624300000.0,1624300000.0,1624300000.0,1710300000.0,1710300000.0,1710300000.0,1710300000.0,1842000000.0,1842000000.0,1842000000.0,1842000000.0,1789100000.0,1789100000.0,1789100000.0,1789100000.0,1839300000.0,1839300000.0,1839300000.0
CashAndCashEquivalentsAtCarryingValue / USD,3400000.0,3400000.0,3400000.0,160300000.0,160300000.0,160300000.0,160300000.0,23200000.0,23200000.0,23200000.0,23200000.0,144900000.0,144900000.0,144900000.0,144900000.0,26200000.0,26200000.0,26200000.0,26200000.0,25200000.0,25200000.0,25200000.0,25200000.0,27700000.0,27700000.0,27700000.0,27700000.0,22000000.0,22000000.0,22000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,3200000.0,3200000.0,3300000.0,3500000.0,3500000.0,3500000.0,3200000.0,160300000.0,160300000.0,160300000.0,3500000.0,23200000.0,23200000.0,23200000.0,160300000.0,144900000.0,144900000.0,144900000.0,23200000.0,26200000.0,26200000.0,26200000.0,144900000.0,25200000.0,25200000.0,25200000.0,26200000.0,27700000.0,27700000.0,27700000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,100000.0,300000.0,-100000.0,7800000.0,1276700000.0,676300000.0,300000.0,387600000.0,-53300000.0,-110200000.0,156800000.0,281200000.0,153000000.0,338400000.0,-137100000.0,337100000.0,-86500000.0,-119600000.0,121700000.0,-4000000.0,-3800000.0,-1500000.0,-118700000.0,3200000.0,6200000.0,15800000.0,-1000000.0,37700000.0,7800000.0,29000000.0
CashSurrenderValueOfLifeInsurance / USD,,,1320700000.0,,,,1441700000.0,,,,1370000000.0,,,,1369600000.0,,,,1363000000.0,,,,1387400000.0,,,,1349900000.0,,,
CollateralAlreadyPostedAggregateFairValue / USD,,,,,,,,,,,,,,,,,,,7100000.0,3900000.0,1100000.0,600000.0,,2600000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0
CommercialPaper / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,951800000.0,1207600000.0,1207600000.0,1207600000.0
CommonStockDividendsPerShareDeclared / USD/shares,0.8,1.2,1.52,0.4,0.4,0.4,1.6,0.475,0.475,0.475,1.735,0.505,0.505,0.505,1.93,0.535,0.535,0.535,2.05,0.5725,0.5725,0.5725,2.178,0.6125,0.6125,0.6125,2.33,0.6425,0.6425,0.6425
CommonStockSharesAuthorized / shares,275000000.0,275000000.0,275000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
CommonStockSharesIssued / shares,142094275.0,142094275.0,142094275.0,255326252.0,255326252.0,255326252.0,255326252.0,226641443.0,226641443.0,226641443.0,226641443.0,226836670.0,226836670.0,226836670.0,226836670.0,229299900.0,229299900.0,229299900.0,229299900.0,229546105.0,229546105.0,229546105.0,229546105.0,229729296.0,229729296.0,229729296.0,229729296.0,229983615.0,229983615.0,229983615.0
CommonStockValue / USD,2734800000.0,2734800000.0,2734800000.0,8685200000.0,8685200000.0,8685200000.0,8685200000.0,7070400000.0,7070400000.0,7070400000.0,7070400000.0,7080000000.0,7080000000.0,7080000000.0,7080000000.0,7205500000.0,7205500000.0,7205500000.0,7205500000.0,7219700000.0,7219700000.0,7219700000.0,7219700000.0,7234900000.0,7234900000.0,7234900000.0,7234900000.0,7245900000.0,7245900000.0,7245900000.0
ComprehensiveIncomeNetOfTax / USD,,,346600000.0,60500000.0,162300000.0,517300000.0,323900000.0,89300000.0,213200000.0,558300000.0,532800000.0,70700000.0,203000000.0,568900000.0,622900000.0,193000000.0,379700000.0,830400000.0,618900000.0,123900000.0,319800000.0,749400000.0,885100000.0,143900000.0,324300000.0,677300000.0,762200000.0,124000000.0,332400000.0,799300000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,361200000.0,62900000.0,167300000.0,524900000.0,336500000.0,93200000.0,222000000.0,571200000.0,543000000.0,73500000.0,208700000.0,577600000.0,638600000.0,196000000.0,385700000.0,839500000.0,630600000.0,127000000.0,326000000.0,758600000.0,897300000.0,147000000.0,330500000.0,686500000.0,774500000.0,127100000.0,338600000.0,808500000.0
CostsAndExpenses / USD,890300000.0,1419700000.0,1859700000.0,476700000.0,1243200000.0,2292600000.0,1892200000.0,1007300000.0,1957300000.0,2996200000.0,3342300000.0,919200000.0,1832200000.0,2828100000.0,3962000000.0,1294200000.0,2235100000.0,3250900000.0,3769500000.0,970800000.0,2081800000.0,3412500000.0,4231800000.0,1017500000.0,2035100000.0,3218500000.0,4591900000.0,1070800000.0,2160200000.0,3344100000.0
CreditDerivativeMaximumExposureUndiscounted / USD,,,,,,,,,,,,,,,,,,,54400000.0,50300000.0,41600000.0,39700000.0,36200000.0,36400000.0,36500000.0,32900000.0,40500000.0,32900000.0,35000000.0,33100000.0
CurrentFederalTaxExpenseBenefit / USD,2200000.0,-14500000.0,-1000000.0,200000.0,8800000.0,-21500000.0,100000.0,11900000.0,20600000.0,-10600000.0,-67400000.0,2400000.0,-18600000.0,-35000000.0,-39500000.0,1100000.0,6000000.0,-500000.0,-26800000.0,11500000.0,25000000.0,20800000.0,15600000.0,5000000.0,10600000.0,-6700000.0,31900000.0,,,
