fact_unit,2009-08-03,2009-10-30,2010-02-25,2010-05-06,2010-08-23,2010-10-29,2011-02-25,2011-05-05,2011-08-03,2011-11-01,2012-02-27,2012-05-02,2012-08-02,2012-11-02,2013-02-26,2013-05-01,2013-07-30,2013-10-31,2014-02-26,2014-05-02,2014-08-01,2014-10-30,2015-02-26,2015-05-04,2015-07-31,2015-10-30,2016-02-26,2016-05-02,2016-07-29,2016-10-31,2017-02-27,2017-04-28,2017-07-28,2017-10-31,2018-02-26,2018-04-30,2018-08-01,2018-10-30,2019-02-28,2019-05-02,2019-07-31,2019-10-31,2020-02-26,2020-05-05,2020-07-31,2020-10-30,2021-03-01,2021-05-05,2021-08-09,2021-11-02,2022-02-24,2022-05-03,2022-08-02,2022-10-31,2023-02-22,2023-05-02,2023-08-01,2023-10-31,2024-02-26,2024-04-30,2024-07-30,2024-11-04,2025-02-25,2025-04-30,2025-08-05,2025-11-03
AccountsPayableCurrent / USD,1227000000.0,1227000000.0,1227000000.0,1081000000.0,1081000000.0,1081000000.0,1075000000.0,1176000000.0,1176000000.0,1176000000.0,1176000000.0,1184000000.0,1184000000.0,1184000000.0,1184000000.0,1304000000.0,1304000000.0,1304000000.0,1304000000.0,1222000000.0,1222000000.0,1222000000.0,1222000000.0,1178000000.0,1178000000.0,1178000000.0,1178000000.0,1369000000.0,1369000000.0,1369000000.0,1369000000.0,1459000000.0,1459000000.0,1459000000.0,1459000000.0,1694000000.0,1694000000.0,1694000000.0,1694000000.0,1451000000.0,1451000000.0,1451000000.0,1451000000.0,1358000000.0,1358000000.0,1358000000.0,1358000000.0,1332000000.0,1332000000.0,1332000000.0,1332000000.0,1315000000.0,1315000000.0,1315000000.0,1315000000.0,1271000000.0,1271000000.0,1271000000.0,1271000000.0,1214000000.0,1214000000.0,1214000000.0,1214000000.0,1136000000.0,1136000000.0,1136000000.0
AccountsReceivableNetCurrent / USD,1398000000.0,1398000000.0,1398000000.0,1229000000.0,1229000000.0,1229000000.0,1224000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,967000000.0,967000000.0,967000000.0,967000000.0,1069000000.0,1069000000.0,1069000000.0,1069000000.0,1203000000.0,1203000000.0,1203000000.0,1203000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1068000000.0,1068000000.0,1068000000.0,1068000000.0,1161000000.0,1161000000.0,1161000000.0,1161000000.0,1348000000.0,1348000000.0,1348000000.0,1348000000.0,1435000000.0,1435000000.0,1435000000.0,1435000000.0,1313000000.0,1313000000.0,1313000000.0,1313000000.0,1410000000.0,1410000000.0,1410000000.0,1410000000.0,1859000000.0,1859000000.0,1859000000.0,1859000000.0,1944000000.0,1944000000.0,1944000000.0,1944000000.0,1482000000.0,1482000000.0,1482000000.0,1482000000.0,1597000000.0,1597000000.0,1597000000.0
AccountsReceivableNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,580000000.0,580000000.0,580000000.0,580000000.0,495000000.0,495000000.0,495000000.0,495000000.0,589000000.0,589000000.0,589000000.0,589000000.0,686000000.0,686000000.0,686000000.0,686000000.0,624000000.0,624000000.0,624000000.0,624000000.0,813000000.0,813000000.0,813000000.0,813000000.0,945000000.0,945000000.0,945000000.0,945000000.0,828000000.0,828000000.0,828000000.0,828000000.0,551000000.0,551000000.0,551000000.0,551000000.0,632000000.0,632000000.0,632000000.0,632000000.0,558000000.0,558000000.0,558000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,743000000.0,743000000.0,743000000.0,704000000.0,704000000.0,704000000.0,704000000.0,669000000.0,669000000.0,669000000.0,669000000.0,643000000.0,643000000.0,643000000.0,643000000.0,537000000.0,537000000.0,537000000.0,537000000.0,414000000.0,414000000.0,414000000.0,414000000.0,417000000.0,417000000.0,417000000.0,417000000.0,415000000.0,415000000.0,415000000.0,415000000.0,401000000.0,401000000.0,401000000.0,401000000.0,357000000.0,357000000.0,357000000.0,357000000.0,327000000.0,327000000.0,327000000.0,327000000.0,349000000.0,349000000.0,349000000.0,349000000.0,286000000.0,286000000.0,286000000.0,286000000.0,245000000.0,245000000.0,245000000.0,245000000.0,231000000.0,231000000.0,231000000.0,231000000.0,213000000.0,213000000.0,213000000.0,213000000.0,225000000.0,225000000.0,225000000.0
AccumulatedDeferredInvestmentTaxCredit / USD,,,,,,,84000000.0,,,,,,,,,,,,,,,,,,,,133000000.0,,,,162000000.0,,,,249000000.0,,,,279000000.0,,,,265000000.0,,,,285000000.0,,,,271000000.0,,,,77000000.0,,,,70000000.0,,,,63000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-177000000.0,-177000000.0,-177000000.0,-116000000.0,-177000000.0,-177000000.0,-116000000.0,-116000000.0,-116000000.0,-116000000.0,-156000000.0,-156000000.0,-156000000.0,-156000000.0,-337000000.0,-337000000.0,-388000000.0,-337000000.0,-388000000.0,-388000000.0,-388000000.0,-388000000.0,-388000000.0,-95000000.0,-95000000.0,-95000000.0,-388000000.0,-283000000.0,-283000000.0,-283000000.0,-95000000.0,-295000000.0,-295000000.0,-295000000.0,-283000000.0,-263000000.0,-263000000.0,-263000000.0,-295000000.0,-229000000.0,-229000000.0,-229000000.0,-263000000.0,-377000000.0,-377000000.0,-377000000.0,-229000000.0,-489000000.0,-489000000.0,-489000000.0,-377000000.0,-504000000.0,-504000000.0,-504000000.0,-489000000.0,-350000000.0,-350000000.0,-350000000.0,-504000000.0,-550000000.0,-550000000.0,-550000000.0,-350000000.0,-133000000.0,-133000000.0,-133000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,,,,,31000000.0,,,,30000000.0,,,,33000000.0,,,,35000000.0,,,,28000000.0,,,,29000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,66000000.0,66000000.0,66000000.0,79000000.0,79000000.0,79000000.0,79000000.0,68000000.0,68000000.0,68000000.0,68000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,52000000.0,52000000.0,52000000.0,52000000.0,67000000.0,67000000.0,67000000.0,67000000.0,68000000.0,68000000.0,68000000.0,68000000.0,59000000.0,59000000.0,59000000.0,59000000.0,63000000.0,63000000.0,63000000.0,63000000.0,60000000.0,60000000.0,60000000.0,60000000.0,196000000.0,196000000.0,196000000.0,196000000.0,325000000.0,325000000.0,325000000.0,325000000.0,323000000.0,323000000.0,323000000.0,323000000.0,279000000.0,279000000.0,279000000.0,279000000.0,210000000.0,210000000.0,210000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69000000.0,27000000.0,50000000.0,87000000.0,104000000.0,26000000.0,51000000.0,79000000.0,109000000.0,24000000.0,46000000.0,74000000.0,103000000.0,24000000.0,46000000.0,80000000.0,97000000.0,33000000.0,65000000.0,115000000.0,108000000.0,43000000.0,82000000.0,116000000.0,151000000.0,28000000.0,40000000.0,50000000.0,138000000.0,,,,55000000.0,,,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6000000.0,-6000000.0,-6000000.0,-6000000.0,-3000000.0,-3000000.0,-3000000.0,-3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,36000000.0,36000000.0,36000000.0
