fact_unit,2020-05-11,2020-07-31,2020-10-29,2021-02-09,2021-04-29,2021-07-29,2021-10-28,2022-02-08,2022-04-28,2022-07-28,2022-10-27,2023-02-07,2023-04-26,2023-07-27,2023-10-26,2024-02-06,2024-04-25,2024-07-25,2024-10-25,2025-02-11,2025-05-01,2025-07-29,2025-10-28
AccountsPayableCurrent / USD,1701000000.0,1701000000.0,1701000000.0,1701000000.0,1936000000.0,1936000000.0,1936000000.0,1936000000.0,2334000000.0,2334000000.0,2334000000.0,2334000000.0,2833000000.0,2833000000.0,2833000000.0,2833000000.0,2742000000.0,2742000000.0,2483000000.0,2483000000.0,2458000000.0,2483000000.0,2458000000.0
AccrualForEnvironmentalLossContingencies / USD,217000000.0,217000000.0,217000000.0,217000000.0,239000000.0,239000000.0,239000000.0,239000000.0,220000000.0,220000000.0,220000000.0,220000000.0,235000000.0,235000000.0,235000000.0,235000000.0,224000000.0,224000000.0,218000000.0,218000000.0,210000000.0,218000000.0,210000000.0
AccruedEnvironmentalLossContingenciesCurrent / USD,14000000.0,14000000.0,14000000.0,14000000.0,26000000.0,26000000.0,26000000.0,26000000.0,29000000.0,29000000.0,29000000.0,29000000.0,24000000.0,24000000.0,24000000.0,24000000.0,21000000.0,21000000.0,19000000.0,19000000.0,25000000.0,19000000.0,25000000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,203000000.0,203000000.0,203000000.0,203000000.0,213000000.0,213000000.0,213000000.0,213000000.0,191000000.0,191000000.0,191000000.0,191000000.0,211000000.0,211000000.0,211000000.0,211000000.0,203000000.0,203000000.0,199000000.0,199000000.0,185000000.0,199000000.0,185000000.0
AccruedLiabilitiesCurrent / USD,2088000000.0,2088000000.0,2088000000.0,2088000000.0,2471000000.0,2471000000.0,2471000000.0,2471000000.0,2561000000.0,2561000000.0,2561000000.0,2561000000.0,2610000000.0,2610000000.0,2610000000.0,2610000000.0,2811000000.0,2811000000.0,2997000000.0,2997000000.0,4182000000.0,2997000000.0,4098000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2095000000.0,2095000000.0,2095000000.0,2095000000.0,,,,2274000000.0,,,,2150000000.0,,,,2282000000.0,,,,2313000000.0,,2313000000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1253000000.0,-1253000000.0,-1253000000.0,-1253000000.0,-745000000.0,-745000000.0,-745000000.0,-745000000.0,-989000000.0,-989000000.0,-989000000.0,-989000000.0,-1688000000.0,-1688000000.0,-1688000000.0,-1688000000.0,-1486000000.0,-1486000000.0,-1486000000.0,-1486000000.0,-2106000000.0,-1486000000.0,-2106000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,0.0,5345000000.0,5345000000.0,5345000000.0,5345000000.0,5411000000.0,5411000000.0,5411000000.0,5411000000.0,5481000000.0,5481000000.0,5481000000.0,5481000000.0,5535000000.0,5535000000.0,5535000000.0,5535000000.0,8610000000.0,5535000000.0,8610000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,19000000.0,19000000.0,19000000.0,,19000000.0,19000000.0,19000000.0,,21000000.0,21000000.0,21000000.0,92000000.0,22000000.0,22000000.0,22000000.0,77000000.0,23000000.0,77000000.0,23000000.0
AllocatedShareBasedCompensationExpense / USD,,22000000.0,40000000.0,44000000.0,,34000000.0,58000000.0,58000000.0,23000000.0,50000000.0,75000000.0,88000000.0,15000000.0,24000000.0,42000000.0,111000000.0,23000000.0,42000000.0,66000000.0,62000000.0,22000000.0,62000000.0,79000000.0
AllowanceForDoubtfulAccountsReceivable / USD,45000000.0,45000000.0,45000000.0,152000000.0,,,,89000000.0,,,,88000000.0,,,,117000000.0,,,,91000000.0,,91000000.0,
AmortizationOfIntangibleAssets / USD,31000000.0,58000000.0,88000000.0,136000000.0,25000000.0,50000000.0,76000000.0,116000000.0,24000000.0,49000000.0,74000000.0,102000000.0,21000000.0,41000000.0,79000000.0,98000000.0,64000000.0,125000000.0,167000000.0,104000000.0,211000000.0,104000000.0,632000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,31000000.0,3200000.0,200000.0,0.0,30900000.0,3200000.0,0.0,3300000.0,3100000.0,200000.0,200000.0,3200000.0,2900000.0,3100000.0,100000.0,6500000.0,5600000.0,1900000.0,2900000.0,4200000.0,2900000.0,2000000.0
Assets / USD,22406000000.0,22406000000.0,22406000000.0,22406000000.0,25093000000.0,25093000000.0,25093000000.0,25093000000.0,26172000000.0,26172000000.0,26172000000.0,26172000000.0,26086000000.0,26086000000.0,26086000000.0,26086000000.0,32822000000.0,32822000000.0,32822000000.0,32822000000.0,37403000000.0,32822000000.0,37403000000.0
AssetsCurrent / USD,5959000000.0,5959000000.0,5959000000.0,5959000000.0,8524000000.0,8524000000.0,8524000000.0,8524000000.0,11407000000.0,11407000000.0,11407000000.0,11407000000.0,9879000000.0,9879000000.0,9879000000.0,9879000000.0,18780000000.0,18780000000.0,19576000000.0,19576000000.0,9891000000.0,19576000000.0,9891000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,0.0,0.0,3168000000.0,3168000000.0,3168000000.0,3168000000.0,,,,0.0,3314000000.0,3314000000.0,5093000000.0,5093000000.0,,5093000000.0,
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,,,48000000.0,31000000.0,87000000.0
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss / USD,,,,,,,,,,,,,,,,0.0,,,,705000000.0,,705000000.0,
CapitalExpendituresIncurredButNotYetPaid / USD,,,,263000000.0,,,,243000000.0,,,,312000000.0,,,,344000000.0,,,,317000000.0,,317000000.0,
CashAndCashEquivalentsAtCarryingValue / USD,863000000.0,936000000.0,862000000.0,1129000000.0,768000000.0,2704000000.0,3848000000.0,952000000.0,2599000000.0,2630000000.0,2671000000.0,3115000000.0,3604000000.0,3017000000.0,2985000000.0,2987000000.0,3347000000.0,3209000000.0,3685000000.0,3298000000.0,1180000000.0,3298000000.0,2224000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,1134000000.0,1134000000.0,1134000000.0,1330000000.0,957000000.0,957000000.0,957000000.0,1134000000.0,3120000000.0,3120000000.0,3120000000.0,957000000.0,3025000000.0,3025000000.0,3025000000.0,3119000000.0,3527000000.0,3527000000.0,3303000000.0,2769000000.0,9853000000.0,2769000000.0,9853000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-267000000.0,-194000000.0,-268000000.0,-196000000.0,-185000000.0,1751000000.0,2896000000.0,-177000000.0,-517000000.0,-456000000.0,-342000000.0,2162000000.0,597000000.0,0.0,-34000000.0,-33000000.0,-173000000.0,-311000000.0,381000000.0,501000000.0,-8730000000.0,501000000.0,-7651000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContinuingOperations / USD,,,,,,,,,,,,,,,,-93000000.0,-173000000.0,-311000000.0,386000000.0,534000000.0,-8671000000.0,534000000.0,-7615000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,60000000.0,0.0,0.0,-5000000.0,-33000000.0,-59000000.0,-33000000.0,-36000000.0
CashDivestedFromDeconsolidation / USD,,,,,,,,,,,,,,0.0,0.0,0.0,134000000.0,134000000.0,134000000.0,134000000.0,,134000000.0,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,-15000000.0,-3000000.0,-4000000.0,-3000000.0,-11000000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,-147000000.0,-56000000.0,-1000000.0,-56000000.0,6217000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,200000000.0,238000000.0,-5000000.0,238000000.0,-777000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,0.08,0.08,0.28,,0.08,0.08,0.28,,0.24,0.24,0.28,,0.3,0.3,0.51,,0.37,0.37,0.635,,0.635,0.38
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0
CommonStockSharesIssued / shares,,866158910.0,866158910.0,866158910.0,866158910.0,866158910.0,866158910.0,866158910.0,,,,,,,,,,,,883068393.0,,883068393.0,
CommonStockSharesOutstanding / shares,,866164968.0,866687269.0,867829119.0,,,,867829119.0,,,,863039097.0,,,,834664966.0,,,,839910275.0,,839910275.0,
CommonStockValue / USD,,0.0,0.0,0.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
ComprehensiveIncomeNetOfTax / USD,496000000.0,1206000000.0,1426000000.0,2136000000.0,-387000000.0,131000000.0,1180000000.0,2087000000.0,270000000.0,822000000.0,1094000000.0,2490000000.0,1071000000.0,1166000000.0,1848000000.0,1420000000.0,425000000.0,569000000.0,761000000.0,2835000000.0,-117000000.0,2835000000.0,3737000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,8000000.0,15000000.0,23000000.0,27000000.0,4000000.0,13000000.0,25000000.0,35000000.0,8000000.0,18000000.0,29000000.0,37000000.0,8000000.0,13000000.0,20000000.0,37000000.0,16000000.0,42000000.0,65000000.0,24000000.0,17000000.0,24000000.0,91000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,504000000.0,1221000000.0,1449000000.0,2163000000.0,-383000000.0,144000000.0,1205000000.0,2122000000.0,278000000.0,840000000.0,1123000000.0,2527000000.0,1079000000.0,1179000000.0,1868000000.0,1457000000.0,441000000.0,611000000.0,826000000.0,2859000000.0,-100000000.0,2859000000.0,3828000000.0
ContractWithCustomerAssetNet / USD,679000000.0,679000000.0,679000000.0,679000000.0,754000000.0,754000000.0,754000000.0,754000000.0,573000000.0,573000000.0,573000000.0,573000000.0,543000000.0,543000000.0,543000000.0,543000000.0,332000000.0,332000000.0,332000000.0,332000000.0,431000000.0,332000000.0,431000000.0
ContractWithCustomerAssetNetCurrent / USD,622000000.0,622000000.0,622000000.0,622000000.0,656000000.0,656000000.0,656000000.0,656000000.0,503000000.0,503000000.0,503000000.0,503000000.0,537000000.0,537000000.0,537000000.0,537000000.0,306000000.0,306000000.0,306000000.0,306000000.0,366000000.0,306000000.0,366000000.0
ContractWithCustomerAssetNetNoncurrent / USD,57000000.0,57000000.0,57000000.0,57000000.0,98000000.0,98000000.0,98000000.0,98000000.0,70000000.0,70000000.0,70000000.0,70000000.0,6000000.0,6000000.0,6000000.0,6000000.0,26000000.0,26000000.0,26000000.0,26000000.0,65000000.0,26000000.0,65000000.0
ContractWithCustomerLiability / USD,611000000.0,611000000.0,611000000.0,611000000.0,677000000.0,677000000.0,677000000.0,677000000.0,580000000.0,580000000.0,580000000.0,580000000.0,623000000.0,623000000.0,623000000.0,623000000.0,585000000.0,585000000.0,579000000.0,579000000.0,717000000.0,579000000.0,717000000.0
ContractWithCustomerLiabilityCurrent / USD,443000000.0,443000000.0,443000000.0,443000000.0,512000000.0,512000000.0,512000000.0,512000000.0,415000000.0,415000000.0,415000000.0,415000000.0,449000000.0,449000000.0,449000000.0,449000000.0,425000000.0,425000000.0,419000000.0,419000000.0,553000000.0,419000000.0,553000000.0
ContractWithCustomerLiabilityNoncurrent / USD,168000000.0,168000000.0,168000000.0,168000000.0,165000000.0,165000000.0,165000000.0,165000000.0,165000000.0,165000000.0,165000000.0,165000000.0,174000000.0,174000000.0,174000000.0,174000000.0,160000000.0,160000000.0,160000000.0,160000000.0,164000000.0,160000000.0,164000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,178000000.0,249000000.0,301000000.0,362000000.0,189000000.0,100000000.0,337000000.0,408000000.0,157000000.0,221000000.0,289000000.0,321000000.0,178000000.0,264000000.0,325000000.0,347000000.0,345000000.0,348000000.0,401000000.0,469000000.0,180000000.0,469000000.0,491000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,12991000000.0,,,
CostsAndExpenses / USD,3878000000.0,8149000000.0,12329000000.0,16434000000.0,3556000000.0,7118000000.0,11340000000.0,16351000000.0,4169000000.0,8928000000.0,13539000000.0,15586000000.0,4087000000.0,8587000000.0,13328000000.0,18256000000.0,4755000000.0,9927000000.0,12815000000.0,15384000000.0,5034000000.0,15384000000.0,15619000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,479000000.0,,,,262000000.0,,,,434000000.0,,,,336000000.0,,,,405000000.0,,405000000.0,
CurrentForeignTaxExpenseBenefit / USD,,,,342000000.0,,,,305000000.0,,,,244000000.0,,,,354000000.0,,,,211000000.0,,211000000.0,
CurrentIncomeTaxExpenseBenefit / USD,,,,940000000.0,,,,639000000.0,,,,752000000.0,,,,773000000.0,,,,722000000.0,,722000000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,119000000.0,,,,72000000.0,,,,74000000.0,,,,83000000.0,,,,106000000.0,,106000000.0,
DebtAndCapitalLeaseObligations / USD,,,319000000.0,,10227000000.0,10227000000.0,10227000000.0,,9696000000.0,9696000000.0,9696000000.0,9696000000.0,8842000000.0,8842000000.0,8842000000.0,8842000000.0,14293000000.0,14293000000.0,14293000000.0,14293000000.0,12278000000.0,14293000000.0,12278000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,0.0,0.0,0.0,0.0,81000000.0,81000000.0,81000000.0,81000000.0,71000000.0,71000000.0,71000000.0,71000000.0,61000000.0,61000000.0,61000000.0,61000000.0,111000000.0,111000000.0,111000000.0,111000000.0,88000000.0,111000000.0,88000000.0
DebtWeightedAverageInterestRate / pure,0.027,0.027,0.027,0.027,,,,0.028,,,,0.029,,,,0.038,,,,0.035,,0.035,0.0428
DeconsolidationGainOrLossAmount / USD,,,,,,,,,,,,,,-293000000.0,-297000000.0,0.0,-297000000.0,-297000000.0,-297000000.0,0.0,,0.0,0.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-37000000.0,,,,-14000000.0,,,,13000000.0,,,,-125000000.0,,,,-10000000.0,,-10000000.0,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,146000000.0,,,,-106000000.0,,,,78000000.0,,,,65000000.0,,,,-70000000.0,,-70000000.0,
DeferredIncomeTaxAssetsNet / USD,500000000.0,500000000.0,500000000.0,500000000.0,449000000.0,449000000.0,449000000.0,449000000.0,563000000.0,563000000.0,563000000.0,563000000.0,612000000.0,612000000.0,612000000.0,612000000.0,739000000.0,739000000.0,718000000.0,718000000.0,1131000000.0,718000000.0,1131000000.0
DeferredIncomeTaxExpenseBenefit / USD,15000000.0,-57000000.0,-109000000.0,133000000.0,135000000.0,135000000.0,121000000.0,-122000000.0,-2000000.0,33000000.0,69000000.0,97000000.0,48000000.0,-17000000.0,-107000000.0,-74000000.0,-24000000.0,-110000000.0,-150000000.0,-106000000.0,-104000000.0,-106000000.0,-296000000.0
DeferredIncomeTaxLiabilities / USD,,,,689000000.0,,,,747000000.0,,,,577000000.0,,,,844000000.0,,,,790000000.0,,790000000.0,
DeferredIncomeTaxLiabilitiesNet / USD,1099000000.0,1099000000.0,1099000000.0,1099000000.0,479000000.0,479000000.0,479000000.0,479000000.0,354000000.0,354000000.0,354000000.0,354000000.0,568000000.0,568000000.0,568000000.0,568000000.0,535000000.0,535000000.0,523000000.0,523000000.0,2015000000.0,523000000.0,2015000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,24000000.0,,,,-2000000.0,,,,6000000.0,,,,-14000000.0,,,,-26000000.0,,-26000000.0,
DeferredTaxAssetsNet / USD,,,,923000000.0,,,,838000000.0,,,,985000000.0,,,,1122000000.0,,,,1218000000.0,,1218000000.0,
DeferredTaxAssetsOtherTaxCarryforwards / USD,,,,236000000.0,,,,258000000.0,,,,175000000.0,,,,177000000.0,,,,159000000.0,,159000000.0,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,55000000.0,,,,63000000.0,,,,24000000.0,,,,29000000.0,,,,1332000000.0,,1332000000.0,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,76000000.0,,,,109000000.0,,,,198000000.0,,,,161000000.0,,,,155000000.0,,155000000.0,
DeferredTaxAssetsValuationAllowance / USD,,,,128000000.0,,,,231000000.0,,,,90000000.0,,,,100000000.0,,,,1372000000.0,,1372000000.0,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,,392000000.0,,,,411000000.0,,,,270000000.0,,,,449000000.0,,,,401000000.0,,401000000.0,
DefinedBenefitPensionPlanLiabilitiesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,127000000.0,,127000000.0,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,2800000000.0,,,,,,,,,,,,,,,,600000000.0,,600000000.0,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,381000000.0,,,,,,,,,,,,,,,,39000000.0,,39000000.0,
DefinedBenefitPlanActuarialGainLoss / USD,,,,351000000.0,,,,,,,,,,,,,,,,-27000000.0,,-27000000.0,
