fact_unit,2017-10-30,2018-03-23,2018-11-09,2019-03-18,2019-05-10,2019-08-09,2019-11-12,2020-03-02,2020-05-07,2020-07-31,2020-11-05,2021-03-01,2021-05-06,2021-07-30,2021-10-29,2022-02-28,2022-05-02,2022-07-28,2022-10-27,2023-02-28,2023-04-27,2023-07-27,2023-10-26,2024-02-28,2024-05-02,2024-08-02,2024-10-31,2025-02-26,2025-05-01,2025-08-01,2025-10-31
AccountsPayableCurrent / USD,,,,922000000.0,3219000000.0,3219000000.0,3219000000.0,3219000000.0,3266000000.0,3266000000.0,3266000000.0,3266000000.0,3095000000.0,3095000000.0,3095000000.0,3095000000.0,3503000000.0,3503000000.0,3503000000.0,3503000000.0,2995000000.0,2995000000.0,2995000000.0,2995000000.0,3020000000.0,3020000000.0,3020000000.0,3020000000.0,2507000000.0,2507000000.0,2507000000.0
AccountsReceivableGrossCurrent / USD,,,,1814000000.0,,,,,4390000000.0,4390000000.0,4390000000.0,4628000000.0,4169000000.0,4169000000.0,4169000000.0,4638000000.0,4425000000.0,4425000000.0,4425000000.0,4904000000.0,4498000000.0,4498000000.0,4498000000.0,4964000000.0,4667000000.0,4667000000.0,4667000000.0,5175000000.0,4573000000.0,4573000000.0,4573000000.0
AccountsReceivableGrossNoncurrent / USD,,,,,,,,,249000000.0,249000000.0,249000000.0,,358000000.0,358000000.0,358000000.0,,329000000.0,329000000.0,329000000.0,,321000000.0,321000000.0,321000000.0,,354000000.0,354000000.0,354000000.0,,322000000.0,322000000.0,322000000.0
AccountsReceivableNetCurrent / USD,,,,1710000000.0,4297000000.0,4297000000.0,4297000000.0,4297000000.0,4322000000.0,4322000000.0,4322000000.0,4322000000.0,4167000000.0,4167000000.0,4167000000.0,4167000000.0,4499000000.0,4499000000.0,4499000000.0,4499000000.0,4559000000.0,4559000000.0,4559000000.0,4559000000.0,4718000000.0,4718000000.0,4718000000.0,4718000000.0,4622000000.0,4622000000.0,4622000000.0
AccruedIncomeTaxes / USD,,,,570000000.0,,,,664000000.0,,,,609000000.0,,,,586000000.0,,,,545000000.0,,,,586000000.0,,,,535000000.0,,,
AccruedInsuranceCurrent / USD,,,,12000000.0,,,,36000000.0,,,,38000000.0,,,,38000000.0,,,,19000000.0,,,,19000000.0,,,,21000000.0,,,
AccruedInsuranceNoncurrent / USD,,,,23000000.0,,,,24000000.0,,,,28000000.0,,,,33000000.0,,,,56000000.0,,,,52000000.0,,,,54000000.0,,,
AccruedSalariesCurrent / USD,,,,170000000.0,,,,658000000.0,,,,619000000.0,,,,653000000.0,,,,710000000.0,,,,614000000.0,,,,678000000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,-642000000.0,-863000000.0,-863000000.0,-863000000.0,-863000000.0,-1407000000.0,1407000000.0,1407000000.0,1407000000.0,1876000000.0,1876000000.0,1876000000.0,1876000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,60000000.0,60000000.0,60000000.0,60000000.0,440000000.0,440000000.0,440000000.0,440000000.0,-79000000.0,-79000000.0,-79000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,-3590000000.0,-3590000000.0,-3590000000.0,,-3380000000.0,-3380000000.0,-3380000000.0,,-2818000000.0,-2818000000.0,-2818000000.0,,-3993000000.0,-3993000000.0,-3993000000.0,,-5784000000.0,-5784000000.0,-5784000000.0,,-5372000000.0,-5372000000.0,-5372000000.0,,-6967000000.0,-6967000000.0,-6967000000.0
