fact_unit,2019-02-28,2019-05-02,2019-08-01,2019-10-31,2020-02-27,2020-05-07,2020-08-06,2020-11-05,2021-02-25,2021-05-07,2021-08-05,2021-11-04,2022-02-24,2022-05-06,2022-08-04,2022-11-03,2023-02-23,2023-05-05,2023-08-03,2023-11-02,2024-02-29,2024-05-02,2024-08-01,2024-10-31,2025-02-27,2025-05-02,2025-07-31,2025-10-30
AccountsAndOtherReceivablesNetCurrent / USD,251000000.0,276000000.0,276000000.0,276000000.0,276000000.0,334000000.0,334000000.0,334000000.0,334000000.0,192000000.0,192000000.0,192000000.0,192000000.0,,,320000000.0,248000000.0,248000000.0,248000000.0,248000000.0,248000000.0,,,,,691000000.0,758000000.0,853000000.0
AccountsPayableCurrent / USD,184000000.0,4366000000.0,4366000000.0,4366000000.0,4366000000.0,5090000000.0,5090000000.0,5090000000.0,5090000000.0,5478000000.0,5478000000.0,5478000000.0,5478000000.0,6655000000.0,6655000000.0,6655000000.0,6655000000.0,7775000000.0,7775000000.0,7775000000.0,7775000000.0,8553000000.0,8553000000.0,8553000000.0,8553000000.0,9294000000.0,9294000000.0,9294000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1082000000.0,-1711000000.0,-1711000000.0,-1711000000.0,-1711000000.0,-941000000.0,-941000000.0,-941000000.0,-941000000.0,-861000000.0,-861000000.0,-861000000.0,-861000000.0,-884000000.0,-884000000.0,-884000000.0,-884000000.0,-1658000000.0,-1658000000.0,-1658000000.0,-1658000000.0,-1864000000.0,-1864000000.0,-1864000000.0,-1864000000.0,-2341000000.0,-2341000000.0,-2341000000.0
AdditionalPaidInCapitalCommonStock / USD,2940000000.0,27751000000.0,27751000000.0,27751000000.0,27751000000.0,28306000000.0,28306000000.0,28306000000.0,28306000000.0,28975000000.0,28975000000.0,28975000000.0,28975000000.0,29574000000.0,29574000000.0,29574000000.0,29574000000.0,30233000000.0,30233000000.0,30233000000.0,30233000000.0,30669000000.0,30669000000.0,30669000000.0,30669000000.0,31288000000.0,31288000000.0,31288000000.0
AdditionsToContractHoldersFunds / USD,1460000000.0,292000000.0,574000000.0,816000000.0,1230000000.0,247000000.0,498000000.0,731000000.0,1040000000.0,267000000.0,529000000.0,769000000.0,955000000.0,47000000.0,96000000.0,132000000.0,1023000000.0,43000000.0,84000000.0,121000000.0,153000000.0,45000000.0,96000000.0,127000000.0,164000000.0,43000000.0,84000000.0,120000000.0
AllocatedShareBasedCompensationExpense / USD,128000000.0,,,,178000000.0,,,,180000000.0,,,,299000000.0,,,,289000000.0,,,,268000000.0,,,,264000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,300000000.0,39000000.0,39000000.0,39000000.0,39000000.0,65000000.0,65000000.0,65000000.0,65000000.0,60000000.0,60000000.0,60000000.0,60000000.0,86000000.0,86000000.0,86000000.0,86000000.0,90000000.0,90000000.0,90000000.0,90000000.0,84000000.0,84000000.0,84000000.0
AmortizationOfIntangibleAssets / USD,151000000.0,27000000.0,51000000.0,99000000.0,115000000.0,743000000.0,1480000000.0,2214000000.0,235000000.0,498000000.0,994000000.0,1487000000.0,2949000000.0,495000000.0,998000000.0,1499000000.0,1982000000.0,458000000.0,959000000.0,1419000000.0,1998000000.0,459000000.0,914000000.0,1368000000.0,1876000000.0,423000000.0,843000000.0,1279000000.0
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries / USD,15500000000.0,,,,15300000000.0,,,,13500000000.0,,,,12900000000.0,,,,14800000000.0,,,,12300000000.0,,,,11300000000.0,,,
AociMarketRiskBenefitInstrumentSpecificCreditRiskBeforeTax / USD,,,,,,,,,,,,,,,,,,131000000.0,103000000.0,119000000.0,111000000.0,85000000.0,78000000.0,61000000.0,82000000.0,64000000.0,64000000.0,67000000.0
