fact_unit,2015-08-10,2015-11-06,2016-03-03,2016-05-05,2016-08-05,2016-11-04,2017-02-23,2017-05-04,2017-08-04,2017-11-07,2018-02-16,2018-05-03,2018-08-03,2018-11-02,2019-06-07,2019-08-13,2019-10-31,2020-02-14,2020-05-01,2020-07-31,2020-10-30,2020-11-13,2021-02-17,2021-04-30,2021-08-04,2021-10-28,2022-02-17,2022-04-28,2022-07-28,2022-10-27,2023-02-16,2023-05-03,2023-08-02,2023-11-01,2024-02-15,2024-05-01,2024-07-31,2024-10-30,2025-02-13,2025-04-29,2025-07-30,2025-10-29
AmortizationOfFinancingCosts / USD,23000000.0,37000000.0,,,,,49000000.0,,,,27000000.0,,,,14000000.0,,,16000000.0,,,,16000000.0,16000000.0,,,,15000000.0,,,,11000000.0,,,,12000000.0,,,,11000000.0,,,
AmortizationOfIntangibleAssets / USD,46000000.0,68000000.0,,23000000.0,44000000.0,111000000.0,93000000.0,66000000.0,132000000.0,66000000.0,178000000.0,67000000.0,144000000.0,220000000.0,267000000.0,69000000.0,214000000.0,278000000.0,76000000.0,148000000.0,214000000.0,278000000.0,290000000.0,68000000.0,136000000.0,204000000.0,286000000.0,61000000.0,119000000.0,180000000.0,264000000.0,64000000.0,129000000.0,193000000.0,239000000.0,62000000.0,126000000.0,187000000.0,261000000.0,64000000.0,129000000.0,191000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,0.0,20000000.0,,0.0,0.0,19000000.0,29000000.0,3000000.0,2000000.0,3000000.0,17000000.0,1000000.0,1000000.0,1000000.0,3000000.0,5000000.0,5000000.0,2000000.0,10000000.0,11000000.0,11000000.0,2000000.0,13000000.0,13000000.0,15000000.0,16000000.0,10000000.0,8000000.0,7000000.0,7000000.0,9000000.0,8000000.0,7000000.0,7000000.0,7000000.0,7000000.0,8000000.0,7000000.0,6000000.0,6000000.0,6000000.0,6000000.0
AssetImpairmentCharges / USD,10000000.0,,,,58000000.0,58000000.0,221000000.0,,53000000.0,53000000.0,58000000.0,,48000000.0,49000000.0,71000000.0,0.0,451000000.0,49000000.0,620000000.0,1218000000.0,1223000000.0,49000000.0,15936000000.0,226000000.0,3099000000.0,3399000000.0,1899000000.0,230000000.0,343000000.0,343000000.0,3413000000.0,55000000.0,685000000.0,999000000.0,1634000000.0,,0.0,662000000.0,999000000.0,,854000000.0,2282000000.0
Assets / USD,23148000000.0,36535000000.0,36571000000.0,122973000000.0,122973000000.0,122973000000.0,122973000000.0,120480000000.0,120480000000.0,120480000000.0,120480000000.0,120232000000.0,120232000000.0,120232000000.0,120946000000.0,120583000000.0,119575000000.0,103461000000.0,101450000000.0,101450000000.0,101450000000.0,103461000000.0,101450000000.0,99830000000.0,99830000000.0,99830000000.0,99830000000.0,93394000000.0,93394000000.0,93394000000.0,93394000000.0,90513000000.0,90513000000.0,90513000000.0,90513000000.0,90339000000.0,90339000000.0,90339000000.0,90339000000.0,88287000000.0,88287000000.0,88287000000.0
AssetsCurrent / USD,4908000000.0,4915000000.0,4915000000.0,9780000000.0,9780000000.0,9780000000.0,9780000000.0,8753000000.0,8753000000.0,8753000000.0,8753000000.0,7266000000.0,7266000000.0,7266000000.0,9039000000.0,7371000000.0,7556000000.0,9075000000.0,8097000000.0,8097000000.0,8097000000.0,9075000000.0,8097000000.0,10822000000.0,10822000000.0,10822000000.0,10822000000.0,8994000000.0,8994000000.0,8994000000.0,8994000000.0,7897000000.0,7897000000.0,7897000000.0,7897000000.0,7929000000.0,7929000000.0,7929000000.0,7929000000.0,7655000000.0,7655000000.0,7655000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,0.0,1376000000.0,1376000000.0,1376000000.0,122000000.0,122000000.0,122000000.0,1376000000.0,122000000.0,1863000000.0,1863000000.0,1863000000.0,1863000000.0,11000000.0,11000000.0,11000000.0,11000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,,,,0.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002000000.0,1012000000.0,1020000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001000000.0,1011000000.0,1020000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,0.0,,,,,,,,,,,9000000.0,16000000.0,0.0,30000000.0,9000000.0,19000000.0,0.0,8000000.0,13000000.0,19000000.0,0.0,23000000.0,0.0,0.0,9000000.0,19000000.0,7000000.0,6000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,11000000.0,,,,9000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,0.0,2459000000.0,2298000000.0,2298000000.0,2298000000.0,2298000000.0,2459000000.0,4204000000.0,4204000000.0,4204000000.0,4204000000.0,1629000000.0,1629000000.0,1629000000.0,3242000000.0,1794000000.0,1366000000.0,1130000000.0,2279000000.0,2279000000.0,2279000000.0,1130000000.0,2279000000.0,3417000000.0,3417000000.0,3417000000.0,3417000000.0,3445000000.0,3445000000.0,3445000000.0,3445000000.0,1040000000.0,1040000000.0,1040000000.0,1040000000.0,1400000000.0,1400000000.0,1400000000.0,1400000000.0,1334000000.0,1334000000.0,1334000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,4912000000.0,4912000000.0,2310000000.0,4255000000.0,4255000000.0,4255000000.0,4912000000.0,1769000000.0,1769000000.0,4255000000.0,1136000000.0,1136000000.0,1136000000.0,4255000000.0,1769000000.0,2280000000.0,2280000000.0,2280000000.0,1136000000.0,3418000000.0,3418000000.0,3418000000.0,2280000000.0,3446000000.0,3446000000.0,3446000000.0,3418000000.0,1041000000.0,1041000000.0,1041000000.0,3446000000.0,1404000000.0,1404000000.0,1404000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,-536000000.0,-536000000.0,2602000000.0,-973000000.0,-2737000000.0,-2706000000.0,-657000000.0,31000000.0,-402000000.0,-2486000000.0,-34000000.0,322000000.0,1180000000.0,-2486000000.0,-633000000.0,3124000000.0,533000000.0,441000000.0,1144000000.0,-1057000000.0,524000000.0,-1144000000.0,1138000000.0,-466000000.0,-1927000000.0,-2448000000.0,28000000.0,-213000000.0,-92000000.0,13000000.0,-2405000000.0,224000000.0,-502000000.0,-116000000.0
CommonStockDividendsPerShareDeclared / USD/shares,0.5,0.0,,0.0,0.0,0.55,0.0,0.575,1.15,0.575,1.7,0.6,1.2,1.825,2.35,0.625,0.625,2.45,0.4,0.4,0.4,2.45,2.5,0.4,0.4,0.4,1.6,0.4,0.4,0.4,1.6,0.4,0.4,0.4,1.6,0.4,0.4,0.4,1.6,0.4,0.4,0.4
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,5000000000.0,4000000000.0,4000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0
CommonStockSharesIssued / shares,592000000.0,377010463.0,377010463.0,1214391614.0,1214391614.0,1214391614.0,376832000.0,1218947088.0,1218947088.0,1218947088.0,377000000.0,1221000000.0,1221000000.0,1221000000.0,1214000000.0,1222000000.0,1222000000.0,1219000000.0,1224000000.0,1224000000.0,1224000000.0,1219000000.0,1221000000.0,1228000000.0,1228000000.0,1228000000.0,1224000000.0,1235000000.0,1235000000.0,1235000000.0,1224000000.0,1243000000.0,1243000000.0,1243000000.0,1228000000.0,1249000000.0,1249000000.0,1249000000.0,1235000000.0,1254000000.0,1254000000.0,1254000000.0
CommonStockSharesOutstanding / shares,592763708.0,377010463.0,377010463.0,1213978752.0,1213978752.0,1213978752.0,376832000.0,1216475740.0,1216475740.0,1216475740.0,377000000.0,1219000000.0,1219000000.0,1219000000.0,1214000000.0,1219000000.0,1219000000.0,1217000000.0,1221000000.0,1221000000.0,1221000000.0,1217000000.0,1219000000.0,1223000000.0,1223000000.0,1223000000.0,1220000000.0,1224000000.0,1224000000.0,1224000000.0,1221000000.0,1225000000.0,1225000000.0,1225000000.0,1223000000.0,1218000000.0,1218000000.0,1218000000.0,1224000000.0,1195000000.0,1195000000.0,1195000000.0
CommonStockValue / USD,0.0,4000000.0,4000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
ComprehensiveIncomeNetOfTax / USD,1544000000.0,-7000000.0,,-139000000.0,-33000000.0,-50000000.0,-149000000.0,1007000000.0,1584000000.0,1007000000.0,537000000.0,1072000000.0,2372000000.0,3539000000.0,2583000000.0,1082000000.0,1706000000.0,11516000000.0,528000000.0,854000000.0,1434000000.0,11516000000.0,-11081000000.0,-162000000.0,-1683000000.0,-1048000000.0,1856000000.0,632000000.0,783000000.0,1378000000.0,275000000.0,788000000.0,455000000.0,293000000.0,1155000000.0,898000000.0,2015000000.0,2045000000.0,1377000000.0,736000000.0,769000000.0,670000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,14000000.0,12000000.0,,-11000000.0,-6000000.0,-20000000.0,8000000.0,11000000.0,16000000.0,11000000.0,-13000000.0,-4000000.0,-3000000.0,-4000000.0,16000000.0,-5000000.0,-15000000.0,-3000000.0,11000000.0,10000000.0,12000000.0,-3000000.0,-76000000.0,-11000000.0,0.0,-3000000.0,5000000.0,3000000.0,5000000.0,9000000.0,8000000.0,4000000.0,0.0,2000000.0,18000000.0,5000000.0,3000000.0,-8000000.0,-2000000.0,-25000000.0,-37000000.0,-30000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,275000000.0,5000000.0,,-150000000.0,-39000000.0,-70000000.0,-141000000.0,1018000000.0,1600000000.0,1018000000.0,524000000.0,1068000000.0,2369000000.0,3535000000.0,2599000000.0,1077000000.0,1691000000.0,11513000000.0,539000000.0,864000000.0,1446000000.0,11513000000.0,-11157000000.0,-173000000.0,-1683000000.0,-1051000000.0,1861000000.0,635000000.0,788000000.0,1387000000.0,283000000.0,792000000.0,455000000.0,295000000.0,1173000000.0,903000000.0,2018000000.0,2037000000.0,1375000000.0,711000000.0,732000000.0,640000000.0
ConstructionInProgressGross / USD,360000000.0,265000000.0,265000000.0,,,,1001000000.0,,,,1600000000.0,,,,1345000000.0,,,1165000000.0,,,,1165000000.0,,,,,,,,,,,400000000.0,400000000.0,400000000.0,,,,625000000.0,625000000.0,625000000.0,625000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,12406000000.0,17154000000.0,4040000000.0,12672000000.0,17043000000.0,3948000000.0,8272000000.0,12401000000.0,17043000000.0,17347000000.0,4299000000.0,8495000000.0,12592000000.0,16830000000.0,4193000000.0,8517000000.0,12813000000.0,17008000000.0,4114000000.0,8684000000.0,13346000000.0,17360000000.0,4376000000.0,8836000000.0,13171000000.0,18363000000.0,4168000000.0,8350000000.0,12547000000.0
CurrentFederalTaxExpenseBenefit / USD,209000000.0,,,,,,105000000.0,,,,427000000.0,,,,1085000000.0,,,765000000.0,,,,765000000.0,444000000.0,,,,466000000.0,,,,634000000.0,,,,1421000000.0,,,,620000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,78000000.0,,,,,,188000000.0,,,,234000000.0,,,,238000000.0,,,295000000.0,,,,295000000.0,322000000.0,,,,439000000.0,,,,287000000.0,,,,185000000.0,,,,177000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,305000000.0,,,,683000000.0,,,,1405000000.0,,,1013000000.0,,,,1013000000.0,900000000.0,,,,1021000000.0,,,,1012000000.0,,,,1726000000.0,,,,876000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,54000000.0,,,,,,12000000.0,,,,22000000.0,,,,82000000.0,,,-47000000.0,,,,-47000000.0,134000000.0,,,,116000000.0,,,,91000000.0,,,,120000000.0,,,,79000000.0,,,
DebtInstrumentInterestRateStatedPercentage / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035
DebtInstrumentUnamortizedDiscountPremiumNet / USD,,-720000000.0,-139000000.0,,,,-699000000.0,,,,-585000000.0,,,,505000000.0,,,430000000.0,,,,430000000.0,-358000000.0,,,,-344000000.0,,,,-298000000.0,,,,-250000000.0,,,,-234000000.0,,,
DebtSecuritiesHeldToMaturityAccruedInterestBeforeAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,3000000.0,11000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,424000000.0,,,,,,-159000000.0,,,,-173000000.0,,,,-11000000.0,,,-6590000000.0,,,,-6590000000.0,-1843000000.0,,,,-209000000.0,,,,-232000000.0,,,,-1086000000.0,,,,-192000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,3000000.0,,,,,,-1000000.0,,,,-74000000.0,,,,2000000.0,,,-2000000.0,,,,-2000000.0,-3000000.0,,,,-77000000.0,,,,-2000000.0,,,,255000000.0,,,,-51000000.0,,,
DeferredIncomeNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,1534000000.0,1534000000.0,1534000000.0,1534000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1424000000.0,1424000000.0,1424000000.0,1424000000.0,1374000000.0,1374000000.0,1374000000.0
DeferredIncomeTaxExpenseBenefit / USD,470000000.0,-140000000.0,,-48000000.0,-254000000.0,-562000000.0,-174000000.0,27000000.0,3000000.0,27000000.0,-317000000.0,105000000.0,269000000.0,492000000.0,-72000000.0,-46000000.0,104000000.0,-6495000000.0,-67000000.0,-40000000.0,-140000000.0,-6495000000.0,-1967000000.0,-46000000.0,-489000000.0,-343000000.0,-293000000.0,127000000.0,-114000000.0,-120000000.0,-343000000.0,23000000.0,-107000000.0,-184000000.0,-1042000000.0,-3000000.0,-34000000.0,-15000000.0,-278000000.0,1000000.0,-48000000.0,-277000000.0
