fact_unit,2013-05-15,2013-08-14,2013-11-13,2014-03-26,2014-05-13,2014-08-12,2014-11-10,2015-02-27,2015-05-07,2015-08-06,2015-11-05,2016-02-24,2016-05-06,2016-08-05,2016-11-03,2017-02-16,2017-05-04,2017-08-08,2017-11-02,2018-02-15,2018-05-02,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-06,2019-08-09,2019-11-07,2020-02-13,2020-05-06,2020-08-06,2020-11-05,2021-02-16,2021-05-06,2021-08-05,2021-11-04,2022-02-15,2022-05-05,2022-08-04,2022-11-03,2023-02-14,2023-05-04,2023-08-08,2023-11-02,2024-02-13,2024-05-02,2024-08-06,2024-11-04,2025-02-13,2025-05-06,2025-08-05,2025-11-04
AccountsPayableCurrent / USD,319000000.0,319000000.0,319000000.0,319000000.0,506000000.0,506000000.0,506000000.0,506000000.0,290000000.0,290000000.0,290000000.0,290000000.0,293000000.0,293000000.0,293000000.0,293000000.0,265000000.0,265000000.0,265000000.0,265000000.0,261000000.0,261000000.0,261000000.0,261000000.0,313000000.0,313000000.0,,313000000.0,313000000.0,301000000.0,301000000.0,301000000.0,301000000.0,457000000.0,457000000.0,457000000.0,457000000.0,436000000.0,436000000.0,436000000.0,436000000.0,405000000.0,405000000.0,405000000.0,405000000.0,411000000.0,411000000.0,411000000.0,411000000.0,433000000.0,433000000.0,433000000.0
AccountsReceivableNetCurrent / USD,900000000.0,900000000.0,900000000.0,900000000.0,1138000000.0,1138000000.0,1138000000.0,1138000000.0,980000000.0,980000000.0,980000000.0,980000000.0,937000000.0,937000000.0,937000000.0,937000000.0,913000000.0,913000000.0,913000000.0,913000000.0,998000000.0,998000000.0,998000000.0,998000000.0,1036000000.0,1036000000.0,,1036000000.0,1036000000.0,1086000000.0,1086000000.0,1086000000.0,1086000000.0,1013000000.0,1013000000.0,1013000000.0,1013000000.0,1133000000.0,1133000000.0,1133000000.0,1133000000.0,1215000000.0,1215000000.0,1215000000.0,1215000000.0,1304000000.0,1304000000.0,1304000000.0,1304000000.0,1316000000.0,1316000000.0,1316000000.0
AccruedIncomeTaxesNoncurrent / USD,159000000.0,159000000.0,159000000.0,159000000.0,49000000.0,49000000.0,49000000.0,49000000.0,57000000.0,57000000.0,57000000.0,57000000.0,63000000.0,63000000.0,63000000.0,63000000.0,73000000.0,73000000.0,73000000.0,73000000.0,172000000.0,172000000.0,172000000.0,172000000.0,265000000.0,265000000.0,,265000000.0,265000000.0,257000000.0,257000000.0,257000000.0,257000000.0,260000000.0,260000000.0,260000000.0,260000000.0,257000000.0,257000000.0,257000000.0,257000000.0,258000000.0,258000000.0,258000000.0,258000000.0,271000000.0,271000000.0,271000000.0,271000000.0,272000000.0,272000000.0,272000000.0
AccruedLiabilitiesCurrent / USD,,,,,,,,570000000.0,,,,475000000.0,,,,676000000.0,,,,464000000.0,,,,432000000.0,,,,,487000000.0,,,,543000000.0,,,,556000000.0,,,,710000000.0,,,,682000000.0,,,,683000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1011000000.0,1011000000.0,1011000000.0,1011000000.0,1028000000.0,1028000000.0,1028000000.0,1028000000.0,1145000000.0,1145000000.0,1145000000.0,1145000000.0,1208000000.0,1208000000.0,1208000000.0,1208000000.0,1358000000.0,1358000000.0,1358000000.0,1358000000.0,1471000000.0,1471000000.0,1471000000.0,1471000000.0,1599000000.0,1599000000.0,,1599000000.0,1599000000.0,1737000000.0,1737000000.0,1737000000.0,1737000000.0,1952000000.0,1952000000.0,1952000000.0,1952000000.0,2072000000.0,2072000000.0,2072000000.0,2072000000.0,2297000000.0,2297000000.0,2297000000.0,2297000000.0,2594000000.0,2594000000.0,2594000000.0,2594000000.0,2635000000.0,2635000000.0,2635000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-157000000.0,-157000000.0,-157000000.0,-74000000.0,-219000000.0,-219000000.0,-219000000.0,-65000000.0,-361000000.0,-361000000.0,-361000000.0,-157000000.0,-622000000.0,-622000000.0,-622000000.0,-622000000.0,-598000000.0,-598000000.0,-598000000.0,-598000000.0,-505000000.0,-505000000.0,-505000000.0,-505000000.0,-629000000.0,-629000000.0,,-629000000.0,-629000000.0,-726000000.0,-726000000.0,-726000000.0,-726000000.0,-730000000.0,-730000000.0,-730000000.0,-730000000.0,-764000000.0,-764000000.0,-764000000.0,-764000000.0,-817000000.0,-817000000.0,-817000000.0,-817000000.0,-839000000.0,-839000000.0,-839000000.0,-839000000.0,-940000000.0,-940000000.0,-940000000.0
AdditionalPaidInCapital / USD,0.0,0.0,0.0,0.0,878000000.0,878000000.0,878000000.0,878000000.0,958000000.0,958000000.0,958000000.0,958000000.0,1012000000.0,1012000000.0,1012000000.0,1012000000.0,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1013000000.0,1013000000.0,1013000000.0,1013000000.0,1026000000.0,1026000000.0,,1026000000.0,1026000000.0,1044000000.0,1044000000.0,1044000000.0,1044000000.0,1065000000.0,1065000000.0,1065000000.0,1065000000.0,1068000000.0,1068000000.0,1068000000.0,1068000000.0,1088000000.0,1088000000.0,1088000000.0,1088000000.0,1133000000.0,1133000000.0,1133000000.0,1133000000.0,1182000000.0,1182000000.0,1182000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,6000000.0,12000000.0,18000000.0,19000000.0,11000000.0,31000000.0,37000000.0,28000000.0,5000000.0,13000000.0,23000000.0,43000000.0,8000000.0,19000000.0,31000000.0,31000000.0,13000000.0,37000000.0,51000000.0,47000000.0,14000000.0,39000000.0,52000000.0,64000000.0,12000000.0,28000000.0,,61000000.0,68000000.0,17000000.0,39000000.0,52000000.0,81000000.0,21000000.0,43000000.0,62000000.0,73000000.0,-37000000.0,-13000000.0,5000000.0,78000000.0,-27000000.0,-12000000.0,5000000.0,20000000.0,7000000.0,33000000.0,61000000.0,23000000.0,4000000.0,26000000.0,45000000.0
AdvertisingExpense / USD,,,,134000000.0,,,,141000000.0,,,,143000000.0,,,,132000000.0,,,,106000000.0,,,,119000000.0,,,,,154000000.0,,,,158000000.0,,,,167000000.0,,,,233000000.0,,,,292000000.0,,,,287000000.0,,,
AllocatedShareBasedCompensationExpense / USD,6000000.0,12000000.0,18000000.0,19000000.0,,,,28000000.0,,,,,,,31000000.0,,9000000.0,19000000.0,28000000.0,,11000000.0,22000000.0,33000000.0,,11000000.0,22000000.0,,36000000.0,,18000000.0,35000000.0,51000000.0,,16000000.0,32000000.0,46000000.0,,13000000.0,29000000.0,44000000.0,,16000000.0,31000000.0,46000000.0,,9000000.0,26000000.0,43000000.0,,18000000.0,37000000.0,55000000.0
