fact_unit,2018-03-16,2018-08-10,2019-03-13,2019-08-07,2020-03-10,2020-08-07,2021-03-10,2021-08-06,2022-03-10,2022-08-05,2023-03-08,2023-08-03,2024-03-07,2024-08-02,2025-03-06,2025-08-07
AccountingProfit / USD,1041000000.0,,503000000.0,,300000000.0,,372000000.0,,1220000000.0,,7294000000.0,,1650000000.0,,3063000000.0,
Accruals / USD,1517000000.0,1477000000.0,1477000000.0,854000000.0,891000000.0,801000000.0,801000000.0,761000000.0,761000000.0,950000000.0,950000000.0,834000000.0,834000000.0,798000000.0,798000000.0,799000000.0
AccumulatedOtherComprehensiveIncome / USD,-4293000000.0,-3673000000.0,-3673000000.0,-877000000.0,-877000000.0,-782000000.0,-782000000.0,-689000000.0,-689000000.0,-811000000.0,-811000000.0,-1155000000.0,-1155000000.0,-1021000000.0,-1021000000.0,-1191000000.0
AcquisitiondateFairValueOfTotalConsiderationTransferred / USD,112000000.0,,478000000.0,,478000000.0,122000000.0,998000000.0,122000000.0,167000000.0,500000000.0,18000000.0,500000000.0,191000000.0,500000000.0,,
AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets / USD,54000000.0,,43000000.0,,35000000.0,,29000000.0,,51000000.0,,35000000.0,,19000000.0,,,
AdditionalProvisionsOtherProvisions / USD,,,107000000.0,,267000000.0,,202000000.0,,94000000.0,,59000000.0,,66000000.0,,,
AdjustedWeightedAverageShares / shares,748961494.0,725409478.0,720193505.0,710797432.0,668210717.0,503152488.0,502521200.0,497579131.0,498032006.0,497109791.0,494504504.0,487713813.0,484929605.0,472509030.0,463970070.0,451886658.0
AdjustmentsForDecreaseIncreaseInOtherAssets / USD,-5000000.0,37000000.0,6000000.0,41000000.0,18000000.0,33000000.0,-17000000.0,41000000.0,2000000.0,18000000.0,-10000000.0,13000000.0,42000000.0,,,
AdjustmentsForDecreaseIncreaseInOtherCurrentAssets / USD,-32000000.0,7000000.0,-18000000.0,19000000.0,-56000000.0,49000000.0,25000000.0,-8000000.0,8000000.0,-1000000.0,-66000000.0,49000000.0,-2000000.0,34000000.0,51000000.0,-11000000.0
AdjustmentsForDecreaseIncreaseInTradeAndOtherReceivables / USD,30000000.0,3000000.0,-20000000.0,61000000.0,-337000000.0,96000000.0,116000000.0,65000000.0,29000000.0,102000000.0,76000000.0,37000000.0,-28000000.0,31000000.0,-83000000.0,44000000.0
AdjustmentsForDeferredTaxExpense / USD,-11000000.0,-12000000.0,-286000000.0,-25000000.0,-172000000.0,-80000000.0,-1395000000.0,-37000000.0,-231000000.0,923000000.0,662000000.0,-17000000.0,-80000000.0,-118000000.0,-388000000.0,-695000000.0
AdjustmentsForDepreciationExpense / USD,313000000.0,62000000.0,113000000.0,59000000.0,110000000.0,72000000.0,154000000.0,83000000.0,184000000.0,88000000.0,177000000.0,76000000.0,140000000.0,59000000.0,116000000.0,57000000.0
AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiariesJointVenturesAndAssociates / USD,3000000.0,,36000000.0,21000000.0,-3000000.0,21000000.0,-3000000.0,,471000000.0,,5000000.0,-1000000.0,217000000.0,347000000.0,336000000.0,
AdjustmentsForIncomeTaxExpense / USD,-63000000.0,8000000.0,76000000.0,-2000000.0,34000000.0,14000000.0,-71000000.0,62000000.0,250000000.0,860000000.0,773000000.0,36000000.0,146000000.0,426000000.0,642000000.0,214000000.0
AdjustmentsForIncreaseDecreaseInEmployeeBenefitLiabilities / USD,294000000.0,88000000.0,164000000.0,76000000.0,155000000.0,81000000.0,157000000.0,84000000.0,160000000.0,78000000.0,162000000.0,86000000.0,160000000.0,75000000.0,139000000.0,70000000.0
AdjustmentsForIncreaseDecreaseInOtherLiabilities / USD,-21000000.0,-45000000.0,-23000000.0,-46000000.0,-22000000.0,-33000000.0,17000000.0,-41000000.0,-2000000.0,-18000000.0,10000000.0,-13000000.0,-42000000.0,,,
AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables / USD,220000000.0,-239000000.0,-135000000.0,-196000000.0,216000000.0,-396000000.0,-220000000.0,-275000000.0,-133000000.0,-175000000.0,83000000.0,-367000000.0,-137000000.0,-349000000.0,-166000000.0,-187000000.0
AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod / USD,,,,,,,,,,,,,,989000000.0,1075000000.0,53000000.0
AdjustmentsForUnrealisedForeignExchangeLossesGains / USD,-54000000.0,89000000.0,140000000.0,-17000000.0,-32000000.0,28000000.0,47000000.0,-33000000.0,-28000000.0,3000000.0,-8000000.0,-411000000.0,-441000000.0,193000000.0,195000000.0,-25000000.0
AllowanceAccountForCreditLossesOfFinancialAssets / USD,47000000.0,,42000000.0,,39000000.0,,30000000.0,,30000000.0,,37000000.0,,38000000.0,,,
AmortisationAssetsRecognisedFromCostsIncurredToObtainOrFulfilContractsWithCustomers / USD,,,117000000.0,,117000000.0,,120000000.0,,128000000.0,,139000000.0,,156000000.0,,157000000.0,
ApplicableTaxRate / pure,0.266,,0.265,,0.265,,0.265,,0.265,,0.265,,0.265,,0.265,
Assets / USD,27852000000.0,26480000000.0,26480000000.0,17047000000.0,17018000000.0,17295000000.0,17295000000.0,17881000000.0,17881000000.0,22149000000.0,22149000000.0,21711000000.0,21711000000.0,18684000000.0,18684000000.0,18437000000.0
AssetsArisingFromInsuranceContracts / USD,288000000.0,302000000.0,302000000.0,300000000.0,300000000.0,320000000.0,320000000.0,334000000.0,334000000.0,346000000.0,346000000.0,337000000.0,,,,
AssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomers / USD,,8000000.0,8000000.0,82000000.0,82000000.0,82000000.0,82000000.0,105000000.0,105000000.0,127000000.0,127000000.0,121000000.0,121000000.0,108000000.0,108000000.0,98000000.0
AverageEffectiveTaxRate / pure,-0.014,,0.266,,0.453,,0.058,,0.058,,0.22,,0.157,,0.136,
BankingArrangementsClassifiedAsCashEquivalents / USD,,,249000000.0,,2390000000.0,,490000000.0,,1476000000.0,,389000000.0,,249000000.0,,906000000.0,
BasicEarningsLossPerShare / USD/shares,4.14,,,0.4,5.89,,3.12,0.64,2.25,12.3,11.53,1.83,2.76,3.49,5.81,2.92
BasicEarningsLossPerShareFromContinuingOperations / USD/shares,1.34,,,0.44,0.25,,3.13,0.65,2.31,12.31,11.52,1.94,2.87,3.44,5.7,2.9
BasicEarningsLossPerShareFromDiscontinuedOperations / USD/shares,2.8,,,-0.04,5.64,,-0.01,-0.01,-0.06,-0.01,0.01,-0.11,-0.11,0.05,0.11,0.02
Borrowings / USD,7389000000.0,,7026000000.0,,3216000000.0,,3255000000.0,,3772000000.0,,3786000000.0,,4761000000.0,,3277000000.0,1869000000.0
BorrowingsRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,,48000000.0,48000000.0,48000000.0
Cash / USD,590000000.0,,614000000.0,,309000000.0,,335000000.0,,311000000.0,,389000000.0,,820000000.0,,392000000.0,
CashAndCashEquivalents / USD,2368000000.0,771000000.0,874000000.0,879000000.0,2706000000.0,2108000000.0,825000000.0,946000000.0,1787000000.0,1787000000.0,1787000000.0,778000000.0,778000000.0,1069000000.0,1069000000.0,1298000000.0
CashAndCashEquivalentsAmountContributedToFairValueOfPlanAssets / USD,324000000.0,,678000000.0,,248000000.0,,352000000.0,,109000000.0,,333000000.0,,220000000.0,,271000000.0,
CashAndCashEquivalentsRecognisedAsOfAcquisitionDate / USD,7000000.0,,3000000.0,,3000000.0,1000000.0,59000000.0,1000000.0,4000000.0,,0.0,,2000000.0,24000000.0,35000000.0,12000000.0
CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities / USD,5000000.0,10000000.0,50000000.0,57000000.0,6000000.0,57000000.0,74000000.0,1000000.0,367000000.0,15000000.0,28000000.0,0.0,216000000.0,418000000.0,418000000.0,
