fact_unit,2009-07-30,2009-10-29,2010-02-26,2010-04-29,2010-08-02,2010-10-29,2011-02-28,2011-05-02,2011-08-01,2011-10-27,2012-02-23,2012-04-26,2012-07-26,2012-10-25,2013-02-27,2013-04-25,2013-07-25,2013-10-24,2014-02-27,2014-04-24,2014-07-30,2014-10-29,2015-02-25,2015-04-30,2015-07-29,2015-10-28,2016-02-25,2016-04-28,2016-07-28,2016-10-27,2017-02-24,2017-04-27,2017-07-27,2017-10-26,2018-02-23,2018-05-01,2018-07-26,2018-10-30,2019-02-21,2019-04-25,2019-07-25,2019-09-20,2019-10-24,2020-02-24,2020-04-24,2020-07-22,2020-10-22,2021-02-25,2021-04-27,2021-07-26,2021-10-28,2022-02-22,2022-04-28,2022-07-27,2022-10-26,2023-02-21,2023-04-26,2023-07-27,2023-10-24,2024-02-20,2024-05-02,2024-05-30,2024-07-29,2024-10-24,2025-02-20,2025-05-01,2025-06-26,2025-07-24,2025-10-23
AccountsPayableAndAccruedLiabilitiesCurrent / USD,6205000000.0,6205000000.0,6205000000.0,6657000000.0,6657000000.0,6657000000.0,6657000000.0,8859000000.0,8859000000.0,8859000000.0,8859000000.0,9009000000.0,9009000000.0,9009000000.0,9009000000.0,8680000000.0,8680000000.0,9009000000.0,8680000000.0,9577000000.0,9577000000.0,9577000000.0,9577000000.0,9234000000.0,9234000000.0,9234000000.0,9234000000.0,9660000000.0,9660000000.0,9234000000.0,9660000000.0,9490000000.0,9490000000.0,9490000000.0,9490000000.0,8748000000.0,8748000000.0,8748000000.0,8748000000.0,8932000000.0,9533000000.0,9346000000.0,9533000000.0,9533000000.0,11312000000.0,11312000000.0,11312000000.0,11312000000.0,11145000000.0,11145000000.0,11145000000.0,11145000000.0,14619000000.0,14619000000.0,14619000000.0,14619000000.0,15749000000.0,15749000000.0,15749000000.0,15749000000.0,15485000000.0,,15485000000.0,15485000000.0,15485000000.0,21715000000.0,15485000000.0,21715000000.0,21715000000.0
AccountsPayableTradeCurrent / USD,,,,,,,1410000000.0,,,,1887000000.0,,,,2172000000.0,,,2172000000.0,1969000000.0,,,,1933000000.0,,,,2089000000.0,,,2089000000.0,2795000000.0,,,,2682000000.0,,,,2288000000.0,,,2539000000.0,,2719000000.0,,,,3804000000.0,,,,3517000000.0,,,,4602000000.0,,,,5307000000.0,,,,,5590000000.0,,5590000000.0,,
AccountsReceivableNetCurrent / USD,3090000000.0,3090000000.0,3090000000.0,3758000000.0,3758000000.0,3758000000.0,3758000000.0,4430000000.0,4430000000.0,4430000000.0,4430000000.0,4920000000.0,4920000000.0,4920000000.0,4920000000.0,4759000000.0,4759000000.0,4920000000.0,4759000000.0,4873000000.0,4873000000.0,4873000000.0,4873000000.0,4466000000.0,4466000000.0,4466000000.0,4466000000.0,3941000000.0,3941000000.0,4466000000.0,3941000000.0,3856000000.0,3856000000.0,3856000000.0,3856000000.0,3667000000.0,3667000000.0,3667000000.0,3667000000.0,3396000000.0,3685000000.0,3966000000.0,3685000000.0,3685000000.0,3971000000.0,3971000000.0,3971000000.0,3971000000.0,3144000000.0,3144000000.0,3144000000.0,3144000000.0,3512000000.0,3512000000.0,3512000000.0,3512000000.0,3487000000.0,3487000000.0,3487000000.0,3487000000.0,3410000000.0,,3410000000.0,3410000000.0,3410000000.0,3569000000.0,3410000000.0,3569000000.0,3569000000.0
AccountsReceivableSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000000.0,,,,185000000.0,,,,6266000000.0,,,,10709000000.0,,,,,17704000000.0,,17704000000.0,,
AccruedIncomeTaxesCurrent / USD,252000000.0,252000000.0,252000000.0,264000000.0,264000000.0,264000000.0,264000000.0,273000000.0,273000000.0,273000000.0,273000000.0,362000000.0,362000000.0,362000000.0,362000000.0,471000000.0,471000000.0,362000000.0,471000000.0,309000000.0,309000000.0,309000000.0,309000000.0,400000000.0,400000000.0,400000000.0,400000000.0,331000000.0,331000000.0,400000000.0,331000000.0,307000000.0,307000000.0,307000000.0,307000000.0,410000000.0,410000000.0,410000000.0,410000000.0,378000000.0,411000000.0,449000000.0,411000000.0,411000000.0,414000000.0,414000000.0,414000000.0,414000000.0,788000000.0,788000000.0,788000000.0,788000000.0,686000000.0,686000000.0,686000000.0,686000000.0,1203000000.0,1203000000.0,1203000000.0,1203000000.0,1569000000.0,,1569000000.0,1569000000.0,1569000000.0,1387000000.0,1569000000.0,1387000000.0,1387000000.0
AccruedMarketingCostsCurrent / USD,,,,,,,,,,,2250000000.0,,,,2286000000.0,,,2286000000.0,2231000000.0,,,,2407000000.0,,,,2103000000.0,,,2103000000.0,2186000000.0,,,,2186000000.0,,,,2108000000.0,,,2108000000.0,,1787000000.0,,,,2059000000.0,,,,1930000000.0,,,,2830000000.0,,,,2778000000.0,,,,,2870000000.0,,2870000000.0,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2674000000.0,-2674000000.0,-2674000000.0,-757000000.0,-757000000.0,-757000000.0,-757000000.0,-1450000000.0,-1450000000.0,-1450000000.0,-1450000000.0,-2774000000.0,-2774000000.0,-2774000000.0,-2774000000.0,-3385000000.0,-3385000000.0,-2774000000.0,-3385000000.0,-3432000000.0,-3432000000.0,-3432000000.0,-3432000000.0,-5777000000.0,-5777000000.0,-5777000000.0,-5777000000.0,-10174000000.0,-10174000000.0,-5777000000.0,-10174000000.0,-11205000000.0,-11205000000.0,-11205000000.0,-11205000000.0,-10305000000.0,-10305000000.0,-9843000000.0,-10305000000.0,-12814000000.0,-10305000000.0,-10305000000.0,-10305000000.0,-12814000000.0,-12814000000.0,-12814000000.0,-12814000000.0,-13544000000.0,-13544000000.0,-13544000000.0,-13544000000.0,-14601000000.0,-14330000000.0,-14330000000.0,-14330000000.0,-14330000000.0,-14895000000.0,-14895000000.0,-14895000000.0,-14895000000.0,-14275000000.0,,-14275000000.0,-14275000000.0,-14275000000.0,-16843000000.0,-14275000000.0,-16843000000.0,-16843000000.0
AdditionalPaidInCapitalCommonStock / USD,,,7966000000.0,8537000000.0,8537000000.0,8537000000.0,8537000000.0,10057000000.0,10057000000.0,10057000000.0,10057000000.0,11212000000.0,11212000000.0,10332000000.0,10332000000.0,11379000000.0,11379000000.0,10332000000.0,11379000000.0,12276000000.0,12276000000.0,12276000000.0,12276000000.0,13154000000.0,13154000000.0,13154000000.0,13154000000.0,14016000000.0,14016000000.0,13154000000.0,14016000000.0,14993000000.0,14993000000.0,14993000000.0,14993000000.0,15864000000.0,15864000000.0,15864000000.0,15864000000.0,16520000000.0,16520000000.0,15864000000.0,16520000000.0,16520000000.0,17154000000.0,17154000000.0,17154000000.0,17154000000.0,17601000000.0,17601000000.0,17601000000.0,17601000000.0,18116000000.0,18116000000.0,18116000000.0,18116000000.0,18822000000.0,18822000000.0,18822000000.0,18822000000.0,19209000000.0,,19209000000.0,19209000000.0,19209000000.0,19801000000.0,19209000000.0,19801000000.0,19801000000.0
AdjustmentForLongTermIntercompanyTransactionsGrossOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408000000.0,2207000000.0,3270000000.0,3332000000.0,796000000.0,2207000000.0,3270000000.0,3332000000.0,796000000.0,-576000000.0,3332000000.0,-695000000.0,3332000000.0,-287000000.0,36000000.0,-888000000.0,-1296000000.0,-157000000.0,3000000.0,886000000.0,-307000000.0,-954000000.0,-742000000.0,-1317000000.0,2133000000.0,-670000000.0,-2003000000.0,-3343000000.0,-1798000000.0,292000000.0,,443000000.0,-281000000.0,-1419000000.0,-518000000.0,-1419000000.0,-688000000.0,271000000.0
AdjustmentForLongTermIntercompanyTransactionsNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408000000.0,2207000000.0,3270000000.0,3332000000.0,796000000.0,2207000000.0,3270000000.0,3332000000.0,796000000.0,-576000000.0,3332000000.0,-695000000.0,3332000000.0,-287000000.0,36000000.0,-888000000.0,-1296000000.0,-157000000.0,3000000.0,886000000.0,-307000000.0,-954000000.0,-742000000.0,-1317000000.0,2133000000.0,-670000000.0,-2003000000.0,-3343000000.0,-1798000000.0,292000000.0,,443000000.0,-281000000.0,-1419000000.0,-518000000.0,-1419000000.0,-688000000.0,271000000.0
