fact_unit,2024-06-07,2024-08-09,2024-11-08,2025-03-07,2025-05-09,2025-08-07,2025-11-07
AccountsPayableCurrent / USD,,,1728000000.0,1728000000.0,3290000000.0,3290000000.0,3290000000.0
AccountsReceivableGrossCurrent / USD,,,1976000000.0,1976000000.0,4339000000.0,4339000000.0,4339000000.0
AccountsReceivableNetCurrent / USD,,,1806000000.0,1806000000.0,4117000000.0,4117000000.0,4117000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-3.0,-3.0,-847000000.0,-847000000.0,-1446000000.0,-1446000000.0,-1446000000.0
AdditionalPaidInCapital / USD,,,3575000000.0,3575000000.0,15948000000.0,15948000000.0,15948000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,21000000.0,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,42000000.0,66000000.0,14000000.0,30000000.0,149000000.0
AllocatedShareBasedCompensationExpense / USD,,,43000000.0,66000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,170000000.0,145000000.0,222000000.0,222000000.0,222000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,11000000.0,,,
AmortizationOfFinancingCosts / USD,,,,7000000.0,,,
AmortizationOfIntangibleAssets / USD,,,,52000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,0.0,0.0,0.0,0.0,0.0
AssetImpairmentCharges / USD,,,,,,0.0,2000000.0
Assets / USD,111.0,111.0,14051000000.0,14051000000.0,43759000000.0,43759000000.0,43759000000.0
AssetsCurrent / USD,,,4570000000.0,4570000000.0,10055000000.0,10055000000.0,10055000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,,,17000000.0,0.0,23000000.0,83000000.0,211000000.0
BusinessCombinationConsiderationTransferred1 / USD,,,,107000000.0,,,
BusinessCombinationConsiderationTransferredLiabilitiesIncurred / USD,,,,8000000.0,,,
BusinessCombinationIntegrationRelatedCosts / USD,,,0.0,0.0,0.0,0.0,139000000.0
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual / USD,,,-132000000.0,-39000000.0,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual / USD,,,4684000000.0,9381000000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet / USD,,,,87000000.0,,,
CapitalExpendituresIncurredButNotYetPaid / USD,,,,187000000.0,384000000.0,,
CashAcquiredFromAcquisition / USD,,,,6000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,111.0,111.0,,1000000000.0,855000000.0,855000000.0,855000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,107.0,107.0,841000000.0,985000000.0,1000000000.0,1000000000.0,1000000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,-112000000.0,-144000000.0,-189000000.0,2325000000.0,-49000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,1.15,1.35,0.43,1.28,1.58
CommonStockParOrStatedValuePerShare / USD/shares,,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,100.0,0.0,9910931085.0,9910931085.0,9500000000.0,9500000000.0,9500000000.0
CommonStockSharesOutstanding / shares,100.0,,260354342.0,260354342.0,520444261.0,520444261.0,520444261.0
CommonStockValue / USD,114.0,,0.0,0.0,1000000.0,1000000.0,1000000.0
ComprehensiveIncomeNetOfTax / USD,2.0,2.0,910000000.0,771000000.0,88000000.0,99000000.0,9000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,0.0,1000000.0,0.0,0.0,0.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,910000000.0,772000000.0,88000000.0,99000000.0,9000000.0
ContractWithCustomerAssetIncreaseDecreaseForContractAcquiredInBusinessCombination / USD,,,-17000000.0,,,,
ContractWithCustomerAssetNet / USD,,,,220000000.0,197000000.0,197000000.0,197000000.0
ContractWithCustomerAssetReclassifiedToReceivable / USD,,,,23000000.0,2000000.0,7000000.0,
ContractWithCustomerLiabilityCurrent / USD,,,10000000.0,10000000.0,5000000.0,5000000.0,5000000.0
ContractWithCustomerLiabilityIncreaseDecreaseForContractAcquiredInBusinessCombination / USD,,,-4000000.0,,,,
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,5000000.0,1000000.0,0.0,
ContractWithCustomerReceivableAfterAllowanceForCreditLossCurrent / USD,,,220000000.0,,,,
CostOfGoodsAndServicesSold / USD,,,6878000000.0,10237000000.0,2220000000.0,4496000000.0,10817000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,33000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,350000000.0,,,
DebtAndCapitalLeaseObligations / USD,,,3747000000.0,3747000000.0,13595000000.0,13595000000.0,13595000000.0
DebtCurrent / USD,,,78000000.0,78000000.0,1053000000.0,1053000000.0,1053000000.0
DebtWeightedAverageInterestRate / pure,,,0.052,,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,72000000.0,,,
DeferredCompensationLiabilityClassifiedNoncurrent / USD,,,168000000.0,,,,
DeferredCompensationPlanAssets / USD,,,181000000.0,,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,0.0,,,
DeferredFinanceCostsNet / USD,,,22000000.0,22000000.0,63000000.0,63000000.0,63000000.0
DeferredIncomeTaxExpenseBenefit / USD,,,-4000000.0,41000000.0,-2000000.0,-10000000.0,-99000000.0
DeferredIncomeTaxLiabilities / USD,,,,495000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,280000000.0,280000000.0,3600000000.0,3600000000.0,3600000000.0
DeferredTaxAssetsGross / USD,,,,422000000.0,,,
DeferredTaxAssetsOther / USD,,,,66000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,126000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits / USD,,,,78000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,5000000.0,,,
