fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
ContractWithCustomerLiabilityNoncurrent / USD,11060000.0,11060000.0,672000.0,672000.0,672000.0,672000.0,65856000.0,15996000.0,,
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,270800000.0,346700000.0,360500000.0
ContractWithCustomerPerformanceObligationSatisfiedInPreviousPeriod / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ContractualObligation / USD,,634859000.0,,,,679990000.0,2217827000.0,1852750000.0,,
ContractualObligationDueAfterFifthYear / USD,,125013000.0,,,,75608000.0,162888000.0,83108000.0,,
ContractualObligationDueInFifthYear / USD,,73136000.0,,,,93010000.0,325118000.0,241033000.0,,
ContractualObligationDueInFourthYear / USD,,72499000.0,,,,98538000.0,435236000.0,246561000.0,,
ContractualObligationDueInNextTwelveMonths / USD,,134779000.0,,,,186294000.0,622476000.0,399395000.0,,
ContractualObligationDueInSecondYear / USD,,133501000.0,,,,125262000.0,335026000.0,453319000.0,,
ContractualObligationDueInThirdYear / USD,,95931000.0,,,,101278000.0,337083000.0,429335000.0,,
ContributionOfProperty / USD,18146000.0,35244000.0,5795000.0,11584000.0,15826000.0,23744000.0,23744000.0,23744000.0,4640000.0,5779000.0
CurrentFederalStateAndLocalTaxExpenseBenefit / USD,,315000.0,,,,816000.0,-2503000.0,-2503000.0,,
CurrentForeignTaxExpenseBenefit / USD,,16302000.0,,,,13184000.0,24730000.0,24730000.0,,
CurrentIncomeTaxExpenseBenefit / USD,,16617000.0,,,,14000000.0,22227000.0,22227000.0,,
DebtInstrumentCarryingAmount / USD,2793234000.0,2793234000.0,2760633000.0,2760633000.0,2760633000.0,2760633000.0,2797634000.0,2764900000.0,2785067000.0,2785067000.0
DebtInstrumentUnamortizedDiscount / USD,11791000.0,11791000.0,8367000.0,8367000.0,8367000.0,8367000.0,13245000.0,9478000.0,10154000.0,10154000.0
DeferredCostsCurrent / USD,,,,,,,185286000.0,546657000.0,179288000.0,179288000.0
