fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
LongTermDebtNoncurrent / USD,2736315000.0,2736315000.0,2713948000.0,2713948000.0,2713948000.0,2713948000.0,2738718000.0,2716638000.0,2735305000.0,2735305000.0
LongTermInvestments / USD,5416000.0,5416000.0,16392000.0,16392000.0,16392000.0,16392000.0,61606000.0,78486000.0,101215000.0,101215000.0
LossContingencyLossInPeriod / EUR,,,,,,,,513500000.0,513500000.0,513500000.0
LossContingencyLossInPeriod / USD,,,,,,,513500.0,,,
MembersCapital / USD,568070000.0,568070000.0,,,,,2025794000.0,,,
MinorityInterestChangeInRedemptionValue / USD,,,,,,-8036000.0,,-8036000.0,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders / USD,794737000.0,270339000.0,644000.0,12334000.0,595000.0,1095904000.0,632000.0,632000.0,12686000.0,43014000.0
NetCashProvidedByUsedInFinancingActivities / USD,-822064000.0,162507000.0,-109575000.0,-178095000.0,-285264000.0,-1181381000.0,-1051368000.0,-1051368000.0,-258280000.0,-197997000.0
NetCashProvidedByUsedInInvestingActivities / USD,-9786000.0,-11480000.0,-4581000.0,-9204000.0,47579000.0,-13264000.0,-47694000.0,-47694000.0,-83252000.0,-116201000.0
NetCashProvidedByUsedInOperatingActivities / USD,376781000.0,441235000.0,69699000.0,180679000.0,247655000.0,501723000.0,394760000.0,394760000.0,352002000.0,529971000.0
NetIncomeLoss / USD,-21886000.0,-35227000.0,-103840000.0,-44733000.0,-21886000.0,-35227000.0,0.0,0.0,-44733000.0,-21597000.0
NetIncomeLossAttributableToRedeemableNoncontrollingInterest / USD,1638000.0,1747000.0,760000.0,1485000.0,2160000.0,1747000.0,1747000.0,1747000.0,1485000.0,2160000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,-44733000.0,-21886000.0,-35227000.0,-35227000.0,-35227000.0,-44733000.0,-21597000.0
NetIncomeLossAvailableToCommonStockholdersDiluted / USD,,,,,-21886000.0,-35227000.0,,-35227000.0,-44733000.0,-21597000.0
NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1 / USD,,,,,,,873000.0,873000.0,,
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1 / USD,,,,,,,5875000.0,5875000.0,,
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance / USD,18147000.0,35244000.0,2790000.0,4640000.0,581000.0,23744000.0,890506000.0,89774000.0,,388000.0
NonredeemableNoncontrollingInterest / USD,4795485000.0,4729972000.0,4729972000.0,4729972000.0,4729972000.0,4729972000.0,-5886000.0,6330709000.0,6029977000.0,6029977000.0
NotesIssued1 / USD,28000.0,4226000.0,,,28000.0,4226000.0,0.0,0.0,,
NumberOfReportableSegments / Segment,,,,,2.0,2.0,,2.0,2.0,2.0
NumberOfReportableSegments / segment,2.0,2.0,2.0,2.0,,,2.0,,,
OperatingExpenses / USD,444135000.0,640807000.0,160650000.0,321965000.0,677186000.0,595760000.0,2141178000.0,2141178000.0,2474363000.0,3980413000.0
OperatingIncomeLoss / USD,424241000.0,391137000.0,146080000.0,289950000.0,383787000.0,544387000.0,532854000.0,532854000.0,-58724000.0,-24091000.0
OperatingLeaseCost / USD,1717000.0,3040000.0,,,,1158000.0,10658000.0,10658000.0,,
OperatingLeaseLiability / USD,36714000.0,37157000.0,,,,33200000.0,81674000.0,69494000.0,,
OperatingLeaseLiabilityCurrent / USD,1793000.0,1793000.0,4246000.0,4246000.0,4246000.0,4246000.0,9986000.0,17089000.0,17028000.0,17028000.0
OperatingLeaseLiabilityNoncurrent / USD,22594000.0,22594000.0,32911000.0,32911000.0,32911000.0,32911000.0,59176000.0,64585000.0,52466000.0,52466000.0
OperatingLeasePayments / USD,1458000.0,2958000.0,,,,1748000.0,11783000.0,11783000.0,,
OperatingLeaseRightOfUseAsset / USD,23276000.0,23276000.0,35508000.0,35508000.0,35508000.0,35508000.0,63590000.0,75091000.0,64603000.0,64603000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,0.063,0.063,,,,0.069,0.065,0.067,,
OtherAccruedLiabilitiesCurrent / USD,12070000.0,12070000.0,25452000.0,25452000.0,25452000.0,25452000.0,31080000.0,56753000.0,35950000.0,35950000.0
OtherAssetsCurrent / USD,42278000.0,42278000.0,121155000.0,121155000.0,121155000.0,121155000.0,188304000.0,350712000.0,248110000.0,248110000.0
OtherAssetsMiscellaneousCurrent / USD,33981000.0,10143000.0,20644000.0,20644000.0,20644000.0,36026000.0,21762000.0,54155000.0,25910000.0,25910000.0
OtherAssetsNoncurrent / USD,30286000.0,30286000.0,52136000.0,52136000.0,52136000.0,52136000.0,181423000.0,216720000.0,447121000.0,447121000.0
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax / USD,,,,,,,,-3011000.0,-3174000.0,21404000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax / USD,4959000.0,2498000.0,453000.0,201000.0,775000.0,4866000.0,4866000.0,4866000.0,586000.0,-337000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax / USD,228000.0,304000.0,76000.0,152000.0,228000.0,304000.0,304000.0,304000.0,152000.0,228000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,-1033000.0,227000.0,-31000.0,-1132000.0,-1432000.0,-1192000.0,-35907000.0,-35907000.0,-446000.0,8917000.0
OtherLiabilitiesCurrent / USD,9048000.0,9048000.0,8997000.0,8997000.0,8997000.0,8997000.0,24283000.0,28285000.0,20929000.0,20929000.0
OtherLiabilitiesNoncurrent / USD,12818000.0,12818000.0,3046000.0,3046000.0,3046000.0,3046000.0,146568000.0,91265000.0,170849000.0,170849000.0
OtherNoncashIncomeExpense / USD,,43000.0,128000.0,213000.0,-3063000.0,-3000.0,-1100000.0,-1100000.0,7221000.0,14340000.0
OtherNonoperatingIncome / USD,,,,,,,5800000.0,5800000.0,,
OtherNonoperatingIncomeExpense / USD,-444000.0,504000.0,-329000.0,-864000.0,-1560000.0,-1271000.0,-30685000.0,-30685000.0,-8437000.0,23970000.0
OtherReceivablesNetCurrent / USD,,23838000.0,11599000.0,11599000.0,11599000.0,11599000.0,37987000.0,21561000.0,30450000.0,30450000.0
OtherSundryLiabilitiesCurrent / USD,,,,,,,,,8852000.0,8852000.0
PaymentForContingentConsiderationLiabilityFinancingActivities / USD,,,,,,,,567000.0,567000.0,567000.0
PaymentsForLegalSettlements / USD,,,,,375000000.0,125000000.0,,125000000.0,125000000.0,125000000.0
PaymentsForProceedsFromInvestments / USD,,,,,,,,,-17000.0,-17000.0
PaymentsForRepurchaseOfCommonStock / USD,,100000000.0,,165000000.0,165000000.0,100000000.0,0.0,0.0,165000000.0,165000000.0
PaymentsForRestructuring / USD,925000.0,11734000.0,10693000.0,14868000.0,18803000.0,11734000.0,11734000.0,11734000.0,4471000.0,7516000.0
PaymentsOfDistributionsToAffiliates / USD,794737000.0,269079000.0,101425000.0,161509000.0,260493000.0,1095904000.0,,44338000.0,166651000.0,313830000.0
PaymentsOfDividendsCommonStock / USD,,,,,,,,31058000.0,62135000.0,124508000.0
PaymentsOfDividendsMinorityInterest / USD,,,,,,,,227000.0,352000.0,1237000.0
PaymentsOfFinancingCosts / USD,286000.0,5028000.0,,286000.0,286000.0,286000.0,0.0,0.0,,3319000.0
PreferredStockParOrStatedValuePerShare / USD/shares,1e-05,1e-05,,,,1e-05,1e-05,1e-05,,
PreferredStockSharesAuthorized / shares,1000000000.0,1000000000.0,,,,1000000000.0,1000000000.0,1000000000.0,,
PrepaidExpenseCurrent / USD,,,,,,,,12906000.0,12906000.0,12906000.0
PrepaidInsurance / USD,1570000.0,1570000.0,8145000.0,8145000.0,8145000.0,7500000.0,4265000.0,10628000.0,9772000.0,9772000.0
PrepaidTaxes / USD,6727000.0,6727000.0,57885000.0,57885000.0,57885000.0,57885000.0,6727000.0,57885000.0,68345000.0,68345000.0
ProceedsFromContributedCapital / USD,,5807000.0,,,6387000.0,5807000.0,,0.0,,
ProceedsFromContributionsFromParent / USD,,,,,,,,23276000.0,26504000.0,6387000.0
ProceedsFromIssuanceOfLongTermDebt / USD,,594300000.0,,150000000.0,150000000.0,100000000.0,0.0,0.0,150000000.0,200000000.0
ProceedsFromPaymentsToMinorityShareholders / USD,,,,,,,-632000.0,-632000.0,,
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt / USD,,,,,,,,1500000.0,,
ProceedsFromSaleOfProductiveAssets / USD,,,,,,28365000.0,,28365000.0,,
ProceedsFromSaleOfPropertyPlantAndEquipment / USD,12000.0,150000.0,45000.0,45000.0,45000.0,15000.0,15000.0,15000.0,80000.0,45000.0
ProfitLoss / USD,320540000.0,273625000.0,87950000.0,169804000.0,191824000.0,389022000.0,359578000.0,359578000.0,-188270000.0,-184841000.0
PropertyPlantAndEquipmentGross / USD,233748000.0,233748000.0,696733000.0,696733000.0,696733000.0,696733000.0,385993000.0,899009000.0,909100000.0,909100000.0
PropertyPlantAndEquipmentNet / USD,175048000.0,175048000.0,608416000.0,608416000.0,608416000.0,608416000.0,231637000.0,693033000.0,629904000.0,629904000.0
ProvisionForDoubtfulAccounts / USD,1724000.0,-778000.0,150000.0,1366000.0,1958000.0,2176000.0,7417000.0,7417000.0,933000.0,3853000.0
ProvisionForLoanLeaseAndOtherLosses / USD,,-841000.0,107000.0,89000.0,,3288000.0,-3224000.0,-3224000.0,,
ReceivablesLongTermContractsOrPrograms / USD,,,,,,,28200000.0,28200000.0,,
RedeemableNoncontrollingInterestEquityCarryingAmount / USD,9700000.0,9700000.0,11594000.0,11594000.0,11594000.0,9700000.0,9700000.0,9700000.0,11594000.0,11594000.0
RepaymentsOfLongTermDebt / USD,24450000.0,207897000.0,8150000.0,16300000.0,24485000.0,82600000.0,83074000.0,83074000.0,172137000.0,233709000.0
RestrictedCash / USD,,,,,,,11062000.0,11167000.0,,
RestrictedCashCurrent / USD,,,,,,,,58296000.0,58296000.0,58296000.0
RestructuringCharges / USD,31600000.0,41400000.0,11600000.0,17100000.0,31600000.0,41400000.0,41400000.0,41400000.0,17100000.0,17300000.0
RestructuringReserve / USD,14159000.0,9725000.0,9725000.0,9725000.0,9725000.0,0.0,0.0,0.0,3232000.0,3232000.0
RetainedEarningsAccumulatedDeficit / USD,-21886000.0,-135227000.0,-135227000.0,-135227000.0,-135227000.0,-135227000.0,0.0,-135227000.0,-291728000.0,-291728000.0
RevenueRemainingPerformanceObligation / USD,6050348000.0,5993862000.0,8131201000.0,7618535000.0,7203538000.0,6961677000.0,7588456000.0,8428733000.0,7667929000.0,16599353000.0
Revenues / USD,868376000.0,1031944000.0,306730000.0,611915000.0,1060973000.0,1140147000.0,2674032000.0,2674032000.0,2415639000.0,3956322000.0
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability / USD,237360000.0,257359000.0,,,,257359000.0,0.0,257359000.0,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,2966000.0,370000.0,,,,7378000.0,15528000.0,15528000.0,,
SellingGeneralAndAdministrativeExpense / USD,155707000.0,241953000.0,56346000.0,119822000.0,313033000.0,210142000.0,637109000.0,637109000.0,1036498000.0,1416101000.0
ShareBasedCompensation / USD,18146000.0,63855000.0,5795000.0,11584000.0,36142000.0,23744000.0,31598000.0,31598000.0,58992000.0,81211000.0
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities / USD,28000.0,4226000.0,,,28000.0,4226000.0,4226000.0,4226000.0,,
StockRepurchasedAndRetiredDuringPeriodValue / USD,,,,165000000.0,165000000.0,165000000.0,100000000.0,100000000.0,165000000.0,165000000.0
StockRepurchasedDuringPeriodValue / USD,,100000000.0,,,,100000000.0,,,,
StockholdersEquity / USD,568916000.0,568916000.0,4108980000.0,4108980000.0,4108980000.0,4108980000.0,1955905000.0,4108980000.0,4091023000.0,4091023000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,1248892000.0,1114617000.0,568916000.0,568916000.0,568916000.0,1248892000.0,2513132000.0,2513132000.0,10439689000.0,10439689000.0
TaxAdjustmentsSettlementsAndUnusualProvisions / USD,,-103000.0,,,,71000.0,981000.0,981000.0,,
TemporaryEquityAccretionToRedemptionValue / USD,1539000.0,1539000.0,,,,8036000.0,0.0,8036000.0,,
TemporaryEquityAggregateAmountOfRedemptionRequirement / USD,9700000.0,9700000.0,11200000.0,11200000.0,11200000.0,11200000.0,9700000.0,21900000.0,21900000.0,21900000.0
UnamortizedDebtIssuanceExpense / USD,22445000.0,22445000.0,15951000.0,15951000.0,15951000.0,15951000.0,22445000.0,15951000.0,12631000.0,12631000.0
UnrecognizedTaxBenefits / USD,900000.0,2720000.0,5500000.0,5500000.0,5500000.0,951000.0,29656000.0,29656000.0,38000000.0,38000000.0
UnrecognizedTaxBenefitsDecreasesResultingFromAcquisition / USD,,1872000.0,,,,61000.0,743000.0,743000.0,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued / USD,,100000.0,,,,200000.0,8900000.0,8900000.0,12900000.0,12900000.0
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition / USD,,2126000.0,,,,2126000.0,7939000.0,7939000.0,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued / USD,,,,,,,,50400000.0,53400000.0,56600000.0
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,1000000.0,,,,500000.0,42800000.0,46900000.0,,
ValuationAllowanceDeferredTaxAssetChangeInAmount / USD,,600000.0,,,,-1700000.0,-500000.0,16200000.0,,
ValuationAllowancesAndReservesBalance / USD,,1270000.0,,,,1849000.0,2504000.0,2504000.0,,
ValuationAllowancesAndReservesChargedToCostAndExpense / USD,,579000.0,,,,17000.0,-197000.0,-197000.0,,
ValuationAllowancesAndReservesDeductions / USD,,1771000.0,,,,1771000.0,1770000.0,1770000.0,,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,83161406.0,82808019.0,82351654.0,81618084.0,83161406.0,82808019.0,82808019.0,82808019.0,81618084.0,81399221.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,83161406.0,82808019.0,82351654.0,81618084.0,83161406.0,82808019.0,82808019.0,82808019.0,81618084.0,81399221.0
