fact_unit,2010-08-17,2010-11-05,2011-02-24,2011-05-05,2011-08-05,2011-11-08,2012-02-23,2012-05-02,2012-08-01,2012-11-07,2013-02-21,2013-05-02,2013-08-06,2013-11-05,2014-02-20,2014-05-06,2014-08-05,2014-11-05,2015-03-17,2015-05-14,2015-08-13,2015-11-12,2016-02-29,2016-05-10,2016-08-09,2016-11-14,2016-11-15,2017-02-27,2017-05-09,2017-08-08,2017-11-07,2018-02-22,2018-05-08,2018-08-07,2018-11-06,2019-02-14,2019-04-30,2019-07-30,2019-10-30,2020-02-13,2020-04-28,2020-07-28,2020-11-03,2021-02-11,2021-05-04,2021-08-03,2021-11-02,2022-02-10,2022-05-03,2022-08-02,2022-11-01,2023-02-16,2023-05-02,2023-08-01,2023-10-31,2024-02-15,2024-04-30,2024-07-30,2024-10-29,2025-02-13,2025-04-29,2025-08-05,2025-10-28
AccountsPayableCurrent / USD,28137000.0,28137000.0,28137000.0,34578000.0,34578000.0,34578000.0,34578000.0,33273000.0,33273000.0,33273000.0,33273000.0,23045000.0,23045000.0,23045000.0,23045000.0,34688000.0,34688000.0,34688000.0,34688000.0,326524000.0,326524000.0,326524000.0,327000000.0,289000000.0,289000000.0,327000000.0,289000000.0,289000000.0,413000000.0,413000000.0,413000000.0,413000000.0,424000000.0,424000000.0,424000000.0,424000000.0,552000000.0,552000000.0,552000000.0,552000000.0,552000000.0,552000000.0,552000000.0,552000000.0,601000000.0,601000000.0,601000000.0,601000000.0,700000000.0,700000000.0,700000000.0,700000000.0,811000000.0,811000000.0,811000000.0,811000000.0,456000000.0,456000000.0,456000000.0,456000000.0,633000000.0,633000000.0,633000000.0
AccountsReceivableNetCurrent / USD,150992000.0,150992000.0,150992000.0,130143000.0,130143000.0,130143000.0,130143000.0,155230000.0,155230000.0,155230000.0,155230000.0,168732000.0,168732000.0,168732000.0,168732000.0,176917000.0,176917000.0,176917000.0,176917000.0,670402000.0,670402000.0,670402000.0,671000000.0,674000000.0,674000000.0,671000000.0,671000000.0,671000000.0,625000000.0,625000000.0,625000000.0,625000000.0,479000000.0,479000000.0,479000000.0,479000000.0,520000000.0,520000000.0,520000000.0,520000000.0,613000000.0,613000000.0,613000000.0,613000000.0,508000000.0,508000000.0,508000000.0,508000000.0,752000000.0,752000000.0,752000000.0,752000000.0,768000000.0,768000000.0,768000000.0,768000000.0,521000000.0,521000000.0,521000000.0,521000000.0,692000000.0,692000000.0,692000000.0
AccruedBonusesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,31000000.0,22000000.0,62000000.0,31000000.0,68000000.0,68000000.0,,,,52000000.0,,,,101000000.0,,,,127000000.0,,,,96000000.0,,,,65000000.0,155000000.0,155000000.0,155000000.0,155000000.0,100000000.0,100000000.0,100000000.0,107000000.0,47000000.0,47000000.0,47000000.0,47000000.0,174000000.0,174000000.0,174000000.0
AccruedIncomeTaxesCurrent / USD,1687000.0,5752000.0,5900000.0,5900000.0,5900000.0,5900000.0,5900000.0,,,0.0,0.0,1609000.0,1609000.0,1609000.0,1609000.0,6898000.0,6898000.0,6898000.0,6898000.0,4518000.0,4518000.0,4518000.0,5000000.0,31000000.0,31000000.0,5000000.0,42000000.0,42000000.0,22000000.0,22000000.0,22000000.0,22000000.0,43000000.0,43000000.0,43000000.0,43000000.0,60000000.0,60000000.0,60000000.0,60000000.0,38000000.0,38000000.0,38000000.0,38000000.0,19000000.0,19000000.0,19000000.0,19000000.0,12000000.0,12000000.0,12000000.0,12000000.0,138000000.0,138000000.0,138000000.0,138000000.0,7000000.0,7000000.0,7000000.0,7000000.0,36000000.0,36000000.0,36000000.0
AccruedLiabilitiesCurrent / USD,52591000.0,52591000.0,52591000.0,65163000.0,65163000.0,65163000.0,65163000.0,64612000.0,64612000.0,64612000.0,64612000.0,57234000.0,57234000.0,57234000.0,57234000.0,61962000.0,61962000.0,61962000.0,61962000.0,421070000.0,421070000.0,421070000.0,421000000.0,358000000.0,358000000.0,421000000.0,367000000.0,367000000.0,323000000.0,323000000.0,323000000.0,323000000.0,296000000.0,296000000.0,296000000.0,296000000.0,322000000.0,322000000.0,322000000.0,322000000.0,379000000.0,379000000.0,379000000.0,379000000.0,559000000.0,559000000.0,559000000.0,559000000.0,639000000.0,639000000.0,639000000.0,639000000.0,744000000.0,744000000.0,744000000.0,744000000.0,504000000.0,504000000.0,504000000.0,504000000.0,503000000.0,503000000.0,503000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,129623000.0,,,,146007000.0,,,,166716000.0,,,,186080000.0,,,,193000000.0,,,193000000.0,,256000000.0,,,,306000000.0,,,,377000000.0,,,,297000000.0,,,,351000000.0,,,,369000000.0,,,,373000000.0,,,,407000000.0,,,,422000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-8061000.0,-8061000.0,-8061000.0,-9349000.0,-9349000.0,-9349000.0,-9349000.0,-4213000.0,-4213000.0,-4213000.0,-4213000.0,-4213000.0,-4213000.0,-4212000.0,-9349000.0,-10325000.0,-10325000.0,-10325000.0,-4213000.0,-9781000.0,-9781000.0,-9781000.0,-10000000.0,-9000000.0,-9000000.0,-10000000.0,-48000000.0,-48000000.0,-45000000.0,-45000000.0,-45000000.0,-45000000.0,-52000000.0,-52000000.0,-52000000.0,-52000000.0,-35000000.0,-35000000.0,-35000000.0,-35000000.0,-44000000.0,-44000000.0,-44000000.0,-44000000.0,-69000000.0,-69000000.0,-69000000.0,-69000000.0,-29000000.0,-29000000.0,-29000000.0,-29000000.0,-66000000.0,-66000000.0,-66000000.0,-66000000.0,-54000000.0,-54000000.0,-54000000.0,-54000000.0,-44000000.0,-44000000.0,-44000000.0
AdditionalPaidInCapital / USD,136104000.0,136104000.0,136104000.0,129715000.0,129715000.0,129715000.0,129715000.0,131422000.0,131422000.0,131422000.0,131422000.0,139523000.0,139523000.0,139523000.0,139523000.0,143295000.0,143295000.0,143295000.0,143295000.0,,,,147000000.0,,,147000000.0,,194000000.0,,,,210000000.0,,,,257000000.0,,,,294000000.0,,,,339000000.0,,,,395000000.0,462000000.0,462000000.0,462000000.0,462000000.0,561000000.0,561000000.0,561000000.0,561000000.0,615000000.0,615000000.0,615000000.0,615000000.0,669000000.0,669000000.0,669000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,6000000.0,1000000.0,1000000.0,1000000.0,11000000.0,1000000.0,1000000.0,1000000.0,43000000.0,0.0,40000000.0,40000000.0,37000000.0,1000000.0,1000000.0,1000000.0,43000000.0,,9000000.0,9000000.0,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,14962000.0,,,,11467000.0,,,,11871000.0,,,,14095000.0,,,,14727000.0,,,,13000000.0,,,13000000.0,,20000000.0,,,,31000000.0,,,,27000000.0,10000000.0,24000000.0,34000000.0,35000000.0,10000000.0,10000000.0,10000000.0,45000000.0,7000000.0,7000000.0,7000000.0,48000000.0,16000000.0,16000000.0,16000000.0,51000000.0,17000000.0,17000000.0,17000000.0,76000000.0,18000000.0,18000000.0,18000000.0,88000000.0,17000000.0,17000000.0,17000000.0
