fact_unit,2010-08-09,2010-11-22,2011-02-04,2011-05-09,2011-08-08,2011-11-21,2012-02-03,2012-05-07,2012-08-06,2012-11-19,2013-02-01,2013-05-06,2013-08-05,2013-11-18,2014-01-31,2014-05-05,2014-07-28,2014-08-07,2014-11-17,2015-01-30,2015-05-04,2015-08-03,2015-11-23,2016-02-05,2016-05-09,2016-08-08,2016-11-21,2017-02-06,2017-05-08,2017-08-07,2017-11-13,2018-02-08,2018-05-07,2018-08-06,2018-11-13,2019-02-07,2019-05-06,2019-08-05,2019-11-12,2020-02-06,2020-02-12,2020-02-19,2020-02-21,2020-03-13,2020-04-01,2020-05-04,2020-05-22,2020-06-10,2020-08-03,2020-10-08,2020-11-16,2020-12-21,2021-01-20,2021-02-11,2021-02-17,2021-02-22,2021-03-25,2021-05-10,2021-05-14,2021-06-02,2021-06-25,2021-07-06,2021-08-09,2021-10-04,2021-11-15,2021-12-09,2022-01-12,2022-02-07,2022-02-14,2022-05-09,2022-08-08,2022-08-29,2022-09-27,2022-11-14,2023-01-09,2023-02-06,2023-02-13,2023-05-08,2023-05-15,2023-08-07,2023-08-10,2023-09-07,2023-11-13,2023-12-07,2024-02-05,2024-02-12,2024-05-06,2024-06-12,2024-06-13,2024-06-28,2024-08-05,2024-08-29,2024-11-12,2025-02-03,2025-02-10,2025-02-25,2025-04-18,2025-05-05,2025-05-08,2025-08-04,2025-08-07,2025-09-05,2025-11-10,2025-11-21
AccountsPayableCurrent / USD,1013000000.0,1013000000.0,1110000000.0,1110000000.0,1110000000.0,1110000000.0,1264000000.0,1264000000.0,1264000000.0,1264000000.0,1372000000.0,1372000000.0,1372000000.0,1372000000.0,1359000000.0,1359000000.0,1372000000.0,1359000000.0,1359000000.0,1806000000.0,1806000000.0,1806000000.0,1806000000.0,1662000000.0,1662000000.0,1662000000.0,1662000000.0,1511000000.0,1511000000.0,1511000000.0,1511000000.0,1698000000.0,1698000000.0,1698000000.0,1698000000.0,1694000000.0,1694000000.0,1694000000.0,1694000000.0,1926000000.0,,,,,,1926000000.0,,,1926000000.0,,1926000000.0,,,1926000000.0,,,,1876000000.0,,,,,1876000000.0,,1876000000.0,,,2225000000.0,,2225000000.0,2225000000.0,,,2225000000.0,,2483000000.0,,2483000000.0,,,2483000000.0,,2483000000.0,,2594000000.0,,2594000000.0,,,,2594000000.0,,2594000000.0,2402000000.0,,,,2402000000.0,,2402000000.0,,,2402000000.0,
AccountsReceivableNetCurrent / USD,1100000000.0,1100000000.0,1198000000.0,1198000000.0,1198000000.0,1198000000.0,1321000000.0,1321000000.0,1321000000.0,1321000000.0,1378000000.0,1378000000.0,1378000000.0,1378000000.0,1497000000.0,1497000000.0,1378000000.0,1497000000.0,1497000000.0,1684000000.0,1684000000.0,1684000000.0,1684000000.0,1620000000.0,1620000000.0,1620000000.0,1620000000.0,1542000000.0,1542000000.0,1542000000.0,1542000000.0,1675000000.0,1675000000.0,1675000000.0,1675000000.0,1723000000.0,1723000000.0,1723000000.0,1723000000.0,2173000000.0,,,,,,2173000000.0,,,2173000000.0,,2173000000.0,,,2173000000.0,,,,1952000000.0,,,,,1952000000.0,,1952000000.0,,,2400000000.0,,2400000000.0,2400000000.0,,,2400000000.0,,2577000000.0,,2577000000.0,,,2577000000.0,,2577000000.0,,2476000000.0,,2476000000.0,,,,2476000000.0,,2476000000.0,2406000000.0,,,,2406000000.0,,2406000000.0,,,2406000000.0,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,4254000000.0,4479000000.0,4479000000.0,4479000000.0,4479000000.0,4699000000.0,4699000000.0,4699000000.0,4699000000.0,4861000000.0,4861000000.0,4861000000.0,4861000000.0,5149000000.0,5149000000.0,4861000000.0,5149000000.0,5149000000.0,5251000000.0,5251000000.0,5251000000.0,5251000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5997000000.0,5997000000.0,5997000000.0,5997000000.0,6374000000.0,6374000000.0,6374000000.0,6374000000.0,6866000000.0,6866000000.0,6866000000.0,6866000000.0,7368000000.0,,,,,,7368000000.0,,,7368000000.0,,7368000000.0,,,7368000000.0,,,,7985000000.0,,,,,7985000000.0,,7985000000.0,,,8679000000.0,,8679000000.0,8679000000.0,,,8679000000.0,,9208000000.0,,9208000000.0,,,9208000000.0,,9208000000.0,,10066000000.0,,10066000000.0,,,,10066000000.0,,10066000000.0,10521000000.0,,,,10521000000.0,,10521000000.0,,,10521000000.0,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,,,,,,,,,,1000000.0,,,,1000000.0,,,1000000.0,,-2000000.0,,,,2000000.0,,,,1000000.0,,,,1000000.0,,,,0.0,,,,-1000000.0,,,,,,,,,,,,1000000.0,,,1000000.0,,,,,,,,,,,2000000.0,,,,,,,,,1000000.0,,,,,,,,,6000000.0,,,,,,,,,,5000000.0,,,,,,,,,,1000000.0,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,,,,38000000.0,,,,42000000.0,,,42000000.0,,33000000.0,,,,47000000.0,,,,27000000.0,,,,-15000000.0,,,,-71000000.0,,,,-79000000.0,,,,,,,,,,,,-13000000.0,,,-13000000.0,,,,,,,,,,,30000000.0,,,,,,,,,41000000.0,,,,,,,,,2000000.0,,,,,,,,,,7000000.0,,,,,,,,,,-2000000.0,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,,,,-35000000.0,,,,-32000000.0,,,-32000000.0,,-69000000.0,,,,-99000000.0,,,,-63000000.0,,,,-59000000.0,,,,-53000000.0,,,,-84000000.0,,,,,,,,,,,,-107000000.0,,,-107000000.0,,,,,,,,,,,-136000000.0,,,,,,,,,-119000000.0,,,,,,,,,-281000000.0,,,,,,,,,,-252000000.0,,,,,,,,,,-152000000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-34000000.0,-34000000.0,0.0,0.0,0.0,0.0,-79000000.0,-79000000.0,-79000000.0,-79000000.0,-63000000.0,-63000000.0,-63000000.0,-63000000.0,-108000000.0,-108000000.0,-63000000.0,-108000000.0,-108000000.0,-147000000.0,-147000000.0,-147000000.0,-147000000.0,-90000000.0,-90000000.0,-90000000.0,-90000000.0,-45000000.0,-45000000.0,-45000000.0,-45000000.0,16000000.0,16000000.0,16000000.0,16000000.0,-15000000.0,-15000000.0,-15000000.0,-15000000.0,-117000000.0,,,,,,-117000000.0,,,-117000000.0,,-117000000.0,,,-117000000.0,,,,-179000000.0,,,,,-179000000.0,,-179000000.0,,,-172000000.0,,-172000000.0,-172000000.0,,,-172000000.0,,-297000000.0,,-297000000.0,,,-297000000.0,,-297000000.0,,-260000000.0,,-260000000.0,,,,-260000000.0,,-260000000.0,-184000000.0,,,,-184000000.0,,-184000000.0,,,-184000000.0,
AdditionalPaidInCapital / USD,2236000000.0,2236000000.0,2243000000.0,2243000000.0,2243000000.0,2243000000.0,2261000000.0,2261000000.0,2261000000.0,2261000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2292000000.0,2292000000.0,2278000000.0,2292000000.0,2292000000.0,4257000000.0,4257000000.0,4257000000.0,4257000000.0,4307000000.0,4307000000.0,4307000000.0,4307000000.0,4355000000.0,4355000000.0,4355000000.0,4355000000.0,4378000000.0,4378000000.0,4378000000.0,4378000000.0,4387000000.0,4387000000.0,4387000000.0,4387000000.0,4378000000.0,,,,,,4378000000.0,,,4378000000.0,,4378000000.0,,,4378000000.0,,,,4433000000.0,,,,,4433000000.0,,4433000000.0,,,4486000000.0,,4486000000.0,4486000000.0,,,4486000000.0,,4553000000.0,,4553000000.0,,,4553000000.0,,4553000000.0,,4560000000.0,,4560000000.0,,,,4560000000.0,,4560000000.0,4597000000.0,,,,4597000000.0,,4597000000.0,,,4597000000.0,
AdjustmentForAmortization / USD,,25000000.0,,,,68000000.0,,,,81000000.0,,,,73000000.0,,,73000000.0,,56000000.0,,,,45000000.0,,,,36000000.0,,,,102000000.0,,,,88000000.0,,,,119000000.0,,,,,,,,,,,,220000000.0,,,220000000.0,,,,,,,,,,,279000000.0,,,,,,,,,292000000.0,,,,,,,,,280000000.0,,,,,,,,,,257000000.0,,,,,,,,,,239000000.0,
AllowanceForDoubtfulAccountsReceivable / USD,,33000000.0,,,,32000000.0,,,,31000000.0,,,,33000000.0,,,33000000.0,,46000000.0,,,,34000000.0,,,,27000000.0,,,,33000000.0,,,,34000000.0,,,,19000000.0,,,,,,,,,,,,21000000.0,,,21000000.0,,,,,,,,,,,26000000.0,,,,,,,,,25000000.0,,,,,,,,,29000000.0,,,,,,,,,,31000000.0,,,,,,,,,,38000000.0,
