fact_unit,2014-05-09,2014-08-01,2014-10-31,2015-02-18,2015-04-29,2015-07-29,2015-10-28,2016-02-26,2016-04-27,2016-07-27,2016-10-26,2017-02-15,2017-05-02,2017-05-24,2017-07-26,2017-10-26,2018-02-14,2018-04-26,2018-07-25,2018-10-24,2019-02-13,2019-05-01,2019-07-24,2019-10-23,2020-02-11,2020-05-07,2020-08-06,2020-11-04,2021-02-17,2021-05-05,2021-07-29,2021-10-27,2022-02-16,2022-05-03,2022-07-27,2022-10-26,2023-02-09,2023-04-26,2023-07-26,2023-10-25,2024-02-07,2024-04-24,2024-08-07,2024-10-23,2025-02-06,2025-04-29,2025-07-23,2025-10-22
AmortizationOfIntangibleAssets / USD,,,,260000000.0,,,,285000000.0,,,,315000000.0,78000000.0,302000000.0,302000000.0,234000000.0,325000000.0,,,,,,135000000.0,,,,,,,,,,,,,,,,,,,10000000.0,21000000.0,32000000.0,,12000000.0,25000000.0,37000000.0
AssetImpairmentCharges / USD,,,,54000000.0,,,,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,15000000.0,,,,,,,,,,0.0,0.0,0.0,0.0,112000000.0,127000000.0,136000000.0,0.0,,,,258000000.0,,,,0.0,,,,0.0,,,
Assets / USD,26562000000.0,26562000000.0,26562000000.0,26562000000.0,26125000000.0,26125000000.0,26125000000.0,26125000000.0,25622000000.0,25622000000.0,25622000000.0,25622000000.0,26211000000.0,25622000000.0,25622000000.0,26211000000.0,26211000000.0,14228000000.0,14228000000.0,14228000000.0,14228000000.0,13995000000.0,13995000000.0,13995000000.0,13995000000.0,14957000000.0,14957000000.0,14957000000.0,14957000000.0,16755000000.0,16755000000.0,16755000000.0,16755000000.0,15441000000.0,15441000000.0,15441000000.0,15441000000.0,15512000000.0,15512000000.0,15512000000.0,15512000000.0,15401000000.0,15401000000.0,15401000000.0,15401000000.0,16522000000.0,16522000000.0,16522000000.0
AssetsCurrent / USD,2383000000.0,2383000000.0,2383000000.0,2383000000.0,2499000000.0,2499000000.0,2499000000.0,2499000000.0,2585000000.0,2585000000.0,2585000000.0,2585000000.0,3557000000.0,2585000000.0,2585000000.0,3557000000.0,3557000000.0,2007000000.0,2007000000.0,2007000000.0,2007000000.0,1983000000.0,1983000000.0,1983000000.0,1983000000.0,2093000000.0,2093000000.0,2093000000.0,2093000000.0,4202000000.0,4202000000.0,4202000000.0,4202000000.0,2871000000.0,2871000000.0,2871000000.0,2871000000.0,2870000000.0,2870000000.0,2870000000.0,2870000000.0,2614000000.0,2614000000.0,2614000000.0,2614000000.0,3272000000.0,3272000000.0,3272000000.0
AssetsNoncurrent / USD,24179000000.0,24179000000.0,24179000000.0,24179000000.0,23626000000.0,23626000000.0,23626000000.0,23626000000.0,23037000000.0,23037000000.0,23037000000.0,23037000000.0,22654000000.0,23037000000.0,23037000000.0,22654000000.0,22654000000.0,12221000000.0,12221000000.0,12221000000.0,12221000000.0,12012000000.0,12012000000.0,12012000000.0,12012000000.0,12864000000.0,12864000000.0,12864000000.0,12864000000.0,12553000000.0,12553000000.0,12553000000.0,12553000000.0,12570000000.0,12570000000.0,12570000000.0,12570000000.0,12642000000.0,12642000000.0,12642000000.0,12642000000.0,12787000000.0,12787000000.0,12787000000.0,12787000000.0,13250000000.0,13250000000.0,13250000000.0
BuildingsAndImprovementsGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381000000.0,,,,365000000.0,,,,355000000.0,,,,364000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,755000000.0,755000000.0,755000000.0,781000000.0,594000000.0,594000000.0,594000000.0,755000000.0,566000000.0,566000000.0,566000000.0,609000000.0,1062000000.0,513000000.0,513000000.0,1062000000.0,1062000000.0,570000000.0,570000000.0,570000000.0,570000000.0,403000000.0,403000000.0,403000000.0,403000000.0,538000000.0,538000000.0,538000000.0,538000000.0,3218000000.0,3218000000.0,3218000000.0,3218000000.0,1427000000.0,1427000000.0,1427000000.0,1427000000.0,1209000000.0,1209000000.0,1209000000.0,1209000000.0,800000000.0,800000000.0,800000000.0,800000000.0,1301000000.0,1301000000.0,1301000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,633000000.0,628000000.0,1183000000.0,1183000000.0,1183000000.0,633000000.0,670000000.0,670000000.0,670000000.0,1684000000.0,484000000.0,484000000.0,484000000.0,670000000.0,630000000.0,630000000.0,630000000.0,484000000.0,3263000000.0,3263000000.0,3263000000.0,630000000.0,1512000000.0,1512000000.0,1512000000.0,3263000000.0,1286000000.0,1286000000.0,1286000000.0,1512000000.0,875000000.0,875000000.0,875000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,275000000.0,88000000.0,-698000000.0,-775000000.0,-888000000.0,828000000.0,13000000.0,-165000000.0,30000000.0,-1014000000.0,-23000000.0,234000000.0,325000000.0,-186000000.0,1175000000.0,2945000000.0,2838000000.0,146000000.0,-816000000.0,-2136000000.0,-1876000000.0,2633000000.0,-2000000.0,-258000000.0,-150000000.0,-1751000000.0,-308000000.0,-403000000.0,-507000000.0,-226000000.0,545000000.0,-73000000.0,780000000.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,,,,,,,,,,62117847.0,62204701.0,21823633.0,29922923.0,21823633.0,21823633.0,17970113.0,17968736.0,16200000.0,16100000.0,16100000.0,16100000.0,14200000.0,14200000.0,14200000.0,14200000.0,12500000.0,12541000.0,12980000.0,12900000.0,12100000.0,,,12200000.0,,,,11400000.0,,,,10400000.0,,,,9700000.0,,,
