fact_unit,2010-09-03,2010-12-17,2011-03-04,2011-06-03,2011-09-02,2011-12-16,2012-03-09,2012-06-08,2012-09-07,2012-12-20,2013-03-08,2013-06-07,2013-09-06,2013-12-20,2014-03-07,2014-06-06,2014-09-05,2014-12-19,2015-03-06,2015-06-05,2015-09-04,2015-12-18,2016-03-04,2016-06-03,2016-09-02,2016-12-22,2017-03-03,2017-06-02,2017-09-01,2017-12-22,2018-03-09,2018-06-08,2018-08-31,2018-12-21,2019-03-06,2019-05-31,2019-08-30,2019-12-20,2020-03-06,2020-06-05,2020-09-04,2020-12-11,2021-03-05,2021-06-04,2021-09-03,2021-12-10,2022-03-04,2022-06-03,2022-09-01,2022-12-09,2023-03-03,2023-06-02,2023-08-31,2023-12-08,2024-03-01,2024-05-31,2024-08-29,2024-12-06,2025-03-07,2025-05-30,2025-08-28,2025-12-05
AccountsPayableCurrent / USD,36878000.0,36878000.0,51792000.0,51792000.0,51792000.0,51792000.0,61755000.0,61755000.0,61755000.0,61755000.0,85056000.0,85056000.0,85056000.0,85056000.0,108172000.0,108172000.0,108172000.0,108172000.0,116353000.0,116353000.0,116353000.0,116353000.0,116912000.0,116912000.0,116912000.0,116912000.0,107400000.0,107400000.0,107400000.0,107400000.0,142100000.0,142100000.0,142100000.0,142100000.0,146400000.0,146400000.0,146400000.0,146400000.0,150100000.0,150100000.0,150100000.0,150100000.0,176000000.0,176000000.0,176000000.0,176000000.0,161400000.0,161400000.0,161400000.0,161400000.0,248800000.0,248800000.0,248800000.0,248800000.0,261900000.0,261900000.0,261900000.0,261900000.0,260500000.0,260500000.0,260500000.0,260500000.0
AccountsReceivableNetCurrent / USD,170941000.0,170941000.0,197490000.0,197490000.0,197490000.0,197490000.0,214779000.0,214779000.0,214779000.0,214779000.0,234297000.0,234297000.0,234297000.0,234297000.0,229537000.0,229537000.0,229537000.0,229537000.0,276280000.0,276280000.0,276280000.0,276280000.0,282918000.0,282918000.0,282918000.0,282918000.0,291400000.0,291400000.0,291400000.0,291400000.0,316600000.0,316600000.0,316600000.0,316600000.0,374700000.0,374700000.0,374700000.0,374700000.0,435300000.0,435300000.0,435300000.0,435300000.0,435400000.0,435400000.0,435400000.0,435400000.0,515300000.0,515300000.0,515300000.0,515300000.0,557800000.0,557800000.0,557800000.0,557800000.0,609700000.0,609700000.0,609700000.0,609700000.0,717000000.0,717000000.0,717000000.0,717000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,141500000.0,141500000.0,141500000.0,141500000.0,124800000.0,124800000.0,124800000.0,124800000.0,162000000.0,162000000.0,162000000.0,162000000.0,139600000.0,139600000.0,139600000.0,139600000.0,113200000.0,113200000.0,113200000.0,113200000.0,90200000.0,90200000.0,90200000.0,90200000.0,57500000.0,57500000.0,57500000.0,57500000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,279754000.0,279754000.0,325381000.0,325381000.0,325381000.0,325381000.0,346775000.0,346775000.0,346775000.0,346775000.0,419831000.0,419831000.0,419831000.0,419831000.0,500709000.0,500709000.0,500709000.0,500709000.0,588592000.0,588592000.0,588592000.0,588592000.0,683633000.0,683633000.0,683633000.0,683633000.0,725500000.0,725500000.0,725500000.0,725500000.0,847400000.0,847400000.0,847400000.0,847400000.0,954300000.0,954300000.0,954300000.0,954300000.0,1061800000.0,1061800000.0,1061800000.0,1061800000.0,1192900000.0,1192900000.0,1192900000.0,1192900000.0,1308100000.0,1308100000.0,1308100000.0,1308100000.0,,,,1387200000.0,,,,1553300000.0,,,,1696500000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-12920000.0,-12920000.0,-17334000.0,-17334000.0,-17334000.0,-25240000.0,-18110000.0,-18110000.0,-18110000.0,-12920000.0,-31261000.0,-31261000.0,-31261000.0,-17334000.0,-15762000.0,-31261000.0,-31261000.0,-18110000.0,-15762000.0,-15762000.0,-15762000.0,-31300000.0,-106200000.0,-106200000.0,-106200000.0,-15800000.0,-191600000.0,-191600000.0,-191600000.0,-489600000.0,-489600000.0,-489600000.0,-489600000.0,-375300000.0,-375300000.0,-375300000.0,-430700000.0,-430700000.0,-447100000.0,-447100000.0,-447100000.0,-447100000.0,-472000000.0,-472000000.0,-472000000.0,-472000000.0,-341300000.0,-341300000.0,-341300000.0,-341300000.0,-466800000.0,-466800000.0,-466800000.0,-466800000.0,-453800000.0,-453800000.0,-453800000.0,-453800000.0,-421700000.0,-421700000.0,-421700000.0,-421700000.0
AdditionalPaidInCapital / USD,1063289000.0,1063289000.0,1083779000.0,1083779000.0,1083779000.0,1083779000.0,1180250000.0,1180250000.0,1180250000.0,1180250000.0,1265202000.0,1265202000.0,1265202000.0,1265202000.0,1329329000.0,1329329000.0,1329329000.0,1329329000.0,1386800000.0,1386800000.0,1386800000.0,1386800000.0,1434705000.0,1434705000.0,1434705000.0,1434705000.0,1494000000.0,1494000000.0,1494000000.0,1494000000.0,1526700000.0,1526700000.0,1526700000.0,1526700000.0,1572100000.0,1572100000.0,1572100000.0,1572100000.0,1615000000.0,1615000000.0,1615000000.0,1615000000.0,1646800000.0,1646800000.0,1646800000.0,1646800000.0,1715200000.0,1715200000.0,1715200000.0,1715200000.0,1765500000.0,1765500000.0,1765500000.0,1765500000.0,1817200000.0,1817200000.0,1817200000.0,1817200000.0,1921000000.0,1921000000.0,1921000000.0,1921000000.0
AdjustmentForAmortization / USD,,,,,,17860000.0,,,,18056000.0,,,,20529000.0,,,,23979000.0,,,,30200000.0,,,,35700000.0,,,,51500000.0,,,,60800000.0,,,,68400000.0,,,,146700000.0,,,,145800000.0,,,,137200000.0,,,,146100000.0,,,,179500000.0,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,13876000.0,,,,21540000.0,,,,28538000.0,,,,36515000.0,,,,32900000.0,,,,29900000.0,12700000.0,12700000.0,12700000.0,38200000.0,11700000.0,11700000.0,11700000.0,43700000.0,9700000.0,9700000.0,9700000.0,35100000.0,10600000.0,10600000.0,10600000.0,36800000.0,12800000.0,12800000.0,12800000.0,43800000.0,16200000.0,16200000.0,16200000.0,52400000.0,23600000.0,23600000.0,23600000.0,60800000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,1200000.0,,9200000.0,13000000.0,10200000.0,7800000.0,12700000.0,17600000.0,14700000.0,9900000.0,16700000.0,23500000.0,22800000.0,14800000.0,22100000.0,29500000.0,28500000.0,10700000.0,17700000.0,24800000.0,36500000.0,6700000.0,14600000.0,21900000.0,32900000.0,11200000.0,19800000.0,27700000.0,29900000.0,12700000.0,26300000.0,34500000.0,37200000.0,11700000.0,20100000.0,28400000.0,43200000.0,10300000.0,20300000.0,29900000.0,36300000.0,10800000.0,21000000.0,33100000.0,38600000.0,13600000.0,26600000.0,40300000.0,44700000.0,16300000.0,31400000.0,46900000.0,54200000.0,23900000.0,41100000.0,58700000.0,62100000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,4690000.0,4690000.0,4238000.0,4238000.0,4238000.0,4238000.0,4826000.0,4826000.0,4826000.0,4826000.0,4374000.0,4374000.0,4374000.0,4374000.0,5261000.0,5261000.0,5261000.0,5261000.0,6025000.0,6025000.0,6025000.0,6025000.0,5956000.0,5956000.0,5956000.0,5956000.0,8500000.0,8500000.0,8500000.0,8500000.0,10800000.0,10800000.0,10800000.0,10800000.0,19000000.0,19000000.0,19000000.0,19000000.0,16400000.0,16400000.0,16400000.0,16400000.0,10200000.0,10200000.0,10200000.0,10200000.0,9200000.0,9200000.0,9200000.0,9200000.0,20700000.0,20700000.0,20700000.0,20700000.0,31300000.0,31300000.0,31300000.0,31300000.0,43500000.0,43500000.0,43500000.0,43500000.0
