fact_unit,2011-05-11,2011-08-05,2011-11-09,2012-02-24,2012-05-09,2012-08-06,2012-11-06,2013-02-27,2013-05-07,2013-08-07,2013-11-06,2014-02-26,2014-05-06,2014-08-05,2014-11-04,2015-02-26,2015-05-05,2015-08-05,2015-10-29,2016-02-26,2016-05-06,2016-08-04,2016-11-03,2017-02-22,2017-05-09,2017-08-04,2017-11-07,2018-02-23,2018-05-08,2018-08-03,2018-11-06,2019-02-21,2019-05-03,2019-08-02,2019-11-01,2020-02-20,2020-05-06,2020-07-30,2020-10-29,2021-02-19,2021-04-30,2021-08-02,2021-11-01,2022-02-18,2022-05-03,2022-08-01,2022-11-01,2023-02-17,2023-04-27,2023-05-26,2023-08-02,2023-10-26,2024-02-16,2024-05-02,2024-07-29,2024-10-31,2025-02-14,2025-05-01,2025-08-04,2025-10-30
AccountsPayableCurrent / USD,1537000000.0,1537000000.0,1537000000.0,1537000000.0,1597000000.0,1597000000.0,1597000000.0,1597000000.0,1768000000.0,1768000000.0,1768000000.0,1768000000.0,1803000000.0,1803000000.0,1803000000.0,1803000000.0,2035000000.0,2035000000.0,2035000000.0,2035000000.0,2170000000.0,2170000000.0,2170000000.0,2170000000.0,2318000000.0,2318000000.0,2318000000.0,2318000000.0,2606000000.0,2606000000.0,2606000000.0,2606000000.0,2577000000.0,2577000000.0,2577000000.0,2577000000.0,2905000000.0,2905000000.0,2905000000.0,2905000000.0,3535000000.0,3535000000.0,3535000000.0,3535000000.0,4111000000.0,4111000000.0,4111000000.0,4111000000.0,4239000000.0,4111000000.0,4239000000.0,4239000000.0,4239000000.0,4233000000.0,4233000000.0,4233000000.0,4233000000.0,4276000000.0,4276000000.0,4276000000.0
AccountsReceivableNetCurrent / USD,3832000000.0,3832000000.0,3832000000.0,3832000000.0,4533000000.0,4533000000.0,4533000000.0,4533000000.0,4672000000.0,4672000000.0,4672000000.0,4672000000.0,5208000000.0,5208000000.0,5208000000.0,5208000000.0,5694000000.0,5694000000.0,5694000000.0,5694000000.0,5889000000.0,5889000000.0,5889000000.0,5889000000.0,5826000000.0,5826000000.0,5826000000.0,5826000000.0,6501000000.0,6501000000.0,6501000000.0,6501000000.0,6789000000.0,6789000000.0,6789000000.0,6789000000.0,7380000000.0,7380000000.0,7380000000.0,7380000000.0,7051000000.0,7051000000.0,7051000000.0,7051000000.0,8095000000.0,8095000000.0,8095000000.0,8095000000.0,8891000000.0,8095000000.0,8891000000.0,8891000000.0,8891000000.0,9958000000.0,9958000000.0,9958000000.0,9958000000.0,10751000000.0,10751000000.0,10751000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,197000000.0,,,,232000000.0,,,,235000000.0,,,,252000000.0,,,,255000000.0,,,,277000000.0,,,,283000000.0,,,,299000000.0,,,,308000000.0,,,,325000000.0,,,,343000000.0,,,,361000000.0,,361000000.0,,,371000000.0,,,,382000000.0,,,
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182000000.0,,,,199000000.0,,,
AccruedSalariesCurrent / USD,895000000.0,895000000.0,895000000.0,895000000.0,965000000.0,965000000.0,965000000.0,965000000.0,1120000000.0,1120000000.0,1120000000.0,1120000000.0,1193000000.0,1193000000.0,1193000000.0,1193000000.0,1370000000.0,1370000000.0,1370000000.0,1370000000.0,1233000000.0,1233000000.0,1233000000.0,1233000000.0,1265000000.0,1265000000.0,1265000000.0,1265000000.0,1369000000.0,1369000000.0,1369000000.0,1369000000.0,1580000000.0,1580000000.0,1580000000.0,1580000000.0,1775000000.0,1775000000.0,1775000000.0,1775000000.0,1720000000.0,1720000000.0,1720000000.0,1720000000.0,1912000000.0,1912000000.0,1912000000.0,1912000000.0,1712000000.0,1912000000.0,1712000000.0,1712000000.0,1712000000.0,2127000000.0,2127000000.0,2127000000.0,2127000000.0,2304000000.0,2304000000.0,2304000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,14289000000.0,14289000000.0,14289000000.0,14289000000.0,15241000000.0,15241000000.0,15241000000.0,15241000000.0,16342000000.0,16342000000.0,16342000000.0,16342000000.0,17454000000.0,17454000000.0,17454000000.0,17454000000.0,18625000000.0,18625000000.0,18625000000.0,18625000000.0,19600000000.0,19600000000.0,19600000000.0,19600000000.0,20703000000.0,20703000000.0,20703000000.0,20703000000.0,22189000000.0,22189000000.0,22189000000.0,22189000000.0,23208000000.0,23208000000.0,23208000000.0,23208000000.0,24520000000.0,24520000000.0,24520000000.0,24520000000.0,26118000000.0,26118000000.0,26118000000.0,26118000000.0,27287000000.0,27287000000.0,27287000000.0,27287000000.0,29182000000.0,27287000000.0,29182000000.0,29182000000.0,29182000000.0,30833000000.0,30833000000.0,30833000000.0,30833000000.0,33100000000.0,33100000000.0,33100000000.0
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,,,,-30000000.0,7000000.0,7000000.0,7000000.0,14000000.0,11000000.0,11000000.0,11000000.0,6000000.0,7000000.0,7000000.0,7000000.0,7000000.0,13000000.0,13000000.0,13000000.0,11000000.0,13000000.0,13000000.0,13000000.0,7000000.0,7000000.0,7000000.0,7000000.0,13000000.0,7000000.0,7000000.0,7000000.0,13000000.0,3000000.0,3000000.0,3000000.0,7000000.0,14000000.0,14000000.0,14000000.0,7000000.0,25000000.0,25000000.0,25000000.0,3000000.0,12000000.0,12000000.0,12000000.0,14000000.0,-30000000.0,14000000.0,-30000000.0,-30000000.0,25000000.0,-22000000.0,-22000000.0,-22000000.0,12000000.0,-21000000.0,-21000000.0,-21000000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,-106000000.0,169000000.0,169000000.0,169000000.0,-106000000.0,-196000000.0,-196000000.0,-196000000.0,-143000000.0,-88000000.0,-88000000.0,-88000000.0,-169000000.0,-174000000.0,-174000000.0,-174000000.0,-196000000.0,-135000000.0,-135000000.0,-135000000.0,-88000000.0,-146000000.0,-146000000.0,-146000000.0,-174000000.0,-168000000.0,-168000000.0,-168000000.0,-135000000.0,-148000000.0,-148000000.0,-148000000.0,-146000000.0,-187000000.0,-187000000.0,-187000000.0,-168000000.0,-220000000.0,-220000000.0,-220000000.0,-148000000.0,-132000000.0,-132000000.0,-132000000.0,-187000000.0,-87000000.0,-187000000.0,-87000000.0,-87000000.0,-220000000.0,-64000000.0,-64000000.0,-64000000.0,-132000000.0,-13000000.0,-13000000.0,-13000000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,-28000000.0,-25000000.0,-25000000.0,-25000000.0,-3000000.0,-1000000.0,-1000000.0,-1000000.0,-19000000.0,11000000.0,11000000.0,11000000.0,-25000000.0,-36000000.0,-36000000.0,-36000000.0,-1000000.0,-74000000.0,-74000000.0,-74000000.0,11000000.0,-211000000.0,-211000000.0,-211000000.0,-36000000.0,-149000000.0,-149000000.0,-149000000.0,-74000000.0,-283000000.0,-283000000.0,-283000000.0,-211000000.0,-283000000.0,-283000000.0,-283000000.0,-149000000.0,-271000000.0,-271000000.0,-271000000.0,-283000000.0,-278000000.0,-278000000.0,-278000000.0,-283000000.0,-373000000.0,-283000000.0,-373000000.0,-373000000.0,-271000000.0,-339000000.0,-339000000.0,-339000000.0,-278000000.0,-353000000.0,-353000000.0,-353000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-428000000.0,-428000000.0,-428000000.0,-604000000.0,-440000000.0,-440000000.0,-440000000.0,-450000000.0,-457000000.0,-457000000.0,-457000000.0,-428000000.0,-257000000.0,-257000000.0,-257000000.0,-440000000.0,-323000000.0,-323000000.0,-323000000.0,-457000000.0,-265000000.0,-265000000.0,-265000000.0,-257000000.0,-338000000.0,-338000000.0,-338000000.0,-323000000.0,-278000000.0,-278000000.0,-278000000.0,-265000000.0,-381000000.0,-381000000.0,-381000000.0,-338000000.0,-460000000.0,-460000000.0,-460000000.0,-278000000.0,-502000000.0,-502000000.0,-502000000.0,-381000000.0,-404000000.0,-404000000.0,-404000000.0,-460000000.0,-490000000.0,-460000000.0,-490000000.0,-490000000.0,-502000000.0,-425000000.0,-425000000.0,-425000000.0,-404000000.0,-387000000.0,-387000000.0,-387000000.0
