fact_unit,2011-09-14,2011-11-14,2012-03-09,2012-05-15,2012-08-10,2012-11-09,2013-03-08,2013-05-09,2013-08-12,2013-11-07,2013-11-08,2014-03-05,2014-05-12,2014-08-13,2014-11-12,2015-02-26,2015-05-08,2015-08-07,2015-11-06,2016-02-25,2016-05-05,2016-08-04,2016-11-03,2017-03-01,2017-05-04,2017-08-04,2017-08-25,2017-11-02,2018-03-01,2018-05-03,2018-08-03,2018-10-31,2019-02-27,2019-05-01,2019-07-31,2019-10-31,2020-02-28,2020-05-06,2020-08-05,2020-11-02,2021-02-26,2021-05-05,2021-08-04,2021-11-03,2022-02-28,2022-05-04,2022-08-03,2022-11-02,2023-02-24,2023-05-03,2023-08-02,2023-11-01,2024-02-26,2024-05-01,2024-07-31,2024-10-30,2025-02-21,2025-05-07,2025-08-06,2025-11-04
AccountsPayableAndAccruedLiabilitiesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432900000.0,927800000.0,927800000.0,927800000.0
AccountsPayableTradeCurrent / USD,565300000.0,537100000.0,537100000.0,517800000.0,517800000.0,517800000.0,517800000.0,518600000.0,518600000.0,518600000.0,517800000.0,518600000.0,662800000.0,662800000.0,662800000.0,662800000.0,704000000.0,704000000.0,704000000.0,704000000.0,866500000.0,866500000.0,866500000.0,866500000.0,1072900000.0,1072900000.0,866500000.0,1072900000.0,1072900000.0,1317700000.0,1317700000.0,1317700000.0,1317700000.0,1577100000.0,1577100000.0,1577100000.0,1577100000.0,1835000000.0,1835000000.0,1835000000.0,1835000000.0,2088400000.0,2088400000.0,2088400000.0,2088400000.0,3114200000.0,3114200000.0,3114200000.0,3114200000.0,2821300000.0,2821300000.0,2821300000.0,2821300000.0,2881000000.0,2881000000.0,2881000000.0,2881000000.0,3381300000.0,3381300000.0,3381300000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212600000.0,4696800000.0,4696800000.0,4696800000.0,4696800000.0,4664300000.0,4664300000.0,4664300000.0,4664300000.0,4905000000.0,4905000000.0,4905000000.0,4905000000.0,6058800000.0,6058800000.0,6058800000.0
AccountsReceivableNetCurrent / USD,1091500000.0,1091500000.0,1091500000.0,1254900000.0,1254900000.0,1254900000.0,1254900000.0,1285000000.0,1285000000.0,1285000000.0,1273000000.0,1285000000.0,1451000000.0,1451000000.0,1451000000.0,1451000000.0,1561100000.0,1561100000.0,1561100000.0,1561100000.0,2017400000.0,2017400000.0,2017400000.0,2017400000.0,2168600000.0,2168600000.0,2017400000.0,2168600000.0,2168600000.0,2329300000.0,2329300000.0,2329300000.0,2168900000.0,2671200000.0,2671200000.0,2671200000.0,2671200000.0,3002200000.0,3002200000.0,3002200000.0,3002200000.0,3212600000.0,3212600000.0,3212600000.0,3212600000.0,4499400000.0,4499400000.0,4499400000.0,4499400000.0,4461300000.0,4461300000.0,4461300000.0,4461300000.0,4567500000.0,4567500000.0,4567500000.0,4567500000.0,5135800000.0,5135800000.0,5135800000.0
AccountsReceivableNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,197400000.0,197400000.0,197400000.0,197400000.0,203000000.0,203000000.0,203000000.0,203000000.0,337500000.0,337500000.0,337500000.0,,,,
AccountsReceivableSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000000.0,,70000000.0,104000000.0,139000000.0,170000000.0,229000000.0,445000000.0,539000000.0,124000000.0,219000000.0,382000000.0,506000000.0,93000000.0,213000000.0,337000000.0
AccruedAdvertisingCurrent / USD,27000000.0,27000000.0,27000000.0,38800000.0,38800000.0,38800000.0,38800000.0,33900000.0,33900000.0,33900000.0,38800000.0,33900000.0,33200000.0,33200000.0,33200000.0,33200000.0,34000000.0,34000000.0,34000000.0,34000000.0,52300000.0,52300000.0,52300000.0,52300000.0,55800000.0,55800000.0,52300000.0,55800000.0,55800000.0,89200000.0,89200000.0,89200000.0,89200000.0,119200000.0,119200000.0,119200000.0,119200000.0,147900000.0,147900000.0,147900000.0,147900000.0,153400000.0,153400000.0,153400000.0,153400000.0,145500000.0,145500000.0,145500000.0,145500000.0,130500000.0,130500000.0,130500000.0,130500000.0,119900000.0,119900000.0,119900000.0,119900000.0,137700000.0,137700000.0,137700000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2200000.0,-2200000.0,-2200000.0,-2100000.0,-2100000.0,-2100000.0,-2200000.0,400000.0,400000.0,400000.0,-2200000.0,-2100000.0,-6300000.0,-6300000.0,-6300000.0,400000.0,-16600000.0,-16600000.0,-16600000.0,-6300000.0,-61100000.0,-61100000.0,-61100000.0,-61100000.0,-139600000.0,-139600000.0,-61100000.0,-139600000.0,-139600000.0,-95900000.0,-95900000.0,-95900000.0,-95900000.0,-130600000.0,-130600000.0,-130600000.0,-130600000.0,-117800000.0,-117800000.0,-117800000.0,-117800000.0,-95800000.0,-95800000.0,-95800000.0,-95800000.0,-94400000.0,-94400000.0,-94400000.0,-94400000.0,-152400000.0,-152400000.0,-152400000.0,-152400000.0,-124600000.0,-124600000.0,-124600000.0,-124600000.0,-160100000.0,-160100000.0,-160100000.0
AdditionalPaidInCapitalCommonStock / USD,2166700000.0,2166700000.0,2166700000.0,2186100000.0,2186100000.0,2186100000.0,2186100000.0,2209100000.0,2207700000.0,2207700000.0,2184700000.0,2207700000.0,2688100000.0,2688100000.0,2688100000.0,2688100000.0,2711900000.0,2711900000.0,2711900000.0,2711900000.0,2806900000.0,2806900000.0,2806900000.0,2806900000.0,2857300000.0,2857300000.0,2806900000.0,2857300000.0,2857300000.0,2911600000.0,2911600000.0,2911600000.0,2911600000.0,2996900000.0,2996900000.0,2996900000.0,2996900000.0,3095300000.0,3095300000.0,3095300000.0,3095300000.0,3204900000.0,3204900000.0,3204900000.0,3204900000.0,3369500000.0,3369500000.0,3369500000.0,3369500000.0,3518100000.0,3518100000.0,3518100000.0,3518100000.0,3691300000.0,3691300000.0,3691300000.0,3691300000.0,3834400000.0,3834400000.0,3834400000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49600000.0,8700000.0,8700000.0,27100000.0,49600000.0,8700000.0,8700000.0,27100000.0,49600000.0,11600000.0,11600000.0,21300000.0,33900000.0,21900000.0,21900000.0,22100000.0,21400000.0,27800000.0,27800000.0,28400000.0,22500000.0,20400000.0,20600000.0,21900000.0,28500000.0,31600000.0,32800000.0,38600000.0,23100000.0,29900000.0,30700000.0,32800000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,11500000.0,18000000.0,11500000.0,1900000.0,4000000.0,44300000.0,11500000.0,19500000.0,3300000.0,7600000.0,11500000.0,22100000.0,4700000.0,12200000.0,18400000.0,46600000.0,6700000.0,14900000.0,23400000.0,16400000.0,10600000.0,20700000.0,16400000.0,29300000.0,28300000.0,7100000.0,16100000.0,26000000.0,33200000.0,7100000.0,16100000.0,26000000.0,37900000.0,12200000.0,24000000.0,36900000.0,36500000.0,8800000.0,14400000.0,26000000.0,47700000.0,15800000.0,36400000.0,53300000.0,42500000.0,21100000.0,44600000.0,71400000.0,72600000.0,20800000.0,45600000.0,71600000.0,91100000.0,19400000.0,48100000.0,50800000.0
AdvertisingExpense / USD,44800000.0,72900000.0,101900000.0,29400000.0,58600000.0,86900000.0,106000000.0,29400000.0,60400000.0,96400000.0,106000000.0,122700000.0,30400000.0,62000000.0,95100000.0,129500000.0,28500000.0,63300000.0,100500000.0,130800000.0,29400000.0,67400000.0,108600000.0,138000000.0,34200000.0,76500000.0,138000000.0,118300000.0,147800000.0,35400000.0,81900000.0,128100000.0,162900000.0,37100000.0,85800000.0,133900000.0,173700000.0,39000000.0,92000000.0,143000000.0,183000000.0,,,,193000000.0,,,,191000000.0,,,,199000000.0,,,,211000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,,,,11500000.0,,,,11500000.0,19500000.0,1900000.0,4000000.0,44300000.0,22100000.0,3300000.0,7600000.0,11500000.0,46600000.0,4700000.0,12200000.0,20000000.0,16400000.0,8600000.0,18100000.0,16400000.0,28100000.0,31200000.0,12100000.0,23600000.0,33600000.0,39200000.0,8100000.0,19100000.0,29900000.0,43700000.0,12700000.0,24900000.0,37700000.0,40700000.0,8800000.0,14400000.0,26000000.0,48500000.0,15800000.0,36400000.0,53300000.0,42500000.0,21100000.0,44600000.0,71400000.0,72600000.0,20800000.0,45600000.0,71600000.0,91100000.0,19400000.0,48100000.0,50800000.0
