fact_unit,2011-01-07,2011-04-08,2011-06-30,2011-10-27,2012-01-09,2012-04-06,2012-07-03,2012-10-25,2013-01-08,2013-04-05,2013-07-02,2013-10-28,2014-01-09,2014-04-07,2014-06-30,2014-10-21,2015-01-09,2015-04-07,2015-06-22,2015-10-16,2016-01-06,2016-04-05,2016-06-30,2016-10-20,2017-01-09,2017-04-05,2017-06-30,2017-10-19,2018-01-04,2018-04-05,2018-06-28,2018-10-19,2019-01-09,2019-04-04,2019-06-28,2019-10-22,2020-01-03,2020-04-01,2020-06-29,2020-10-22,2021-01-08,2021-04-02,2021-07-02,2021-10-22,2022-01-07,2022-04-01,2022-07-01,2022-10-25,2023-01-06,2023-04-05,2023-06-30,2023-10-20,2024-01-09,2024-04-05,2024-07-09,2024-10-28,2025-01-10,2025-04-08,2025-06-30,2025-10-17
AccountsAndOtherReceivablesNetCurrent / USD,,,,,,,1100926000.0,1100926000.0,1125015000.0,1125015000.0,1125015000.0,1125015000.0,1281425000.0,1167254000.0,1168954000.0,1168954000.0,1208516000.0,1208516000.0,1208516000.0,1208516000.0,1467247000.0,1467247000.0,1467247000.0,1467247000.0,1359610000.0,1359610000.0,1359610000.0,1359610000.0,1397424000.0,1397424000.0,1397424000.0,1397424000.0,1693268000.0,1693268000.0,1693268000.0,1693268000.0,2745226000.0,2745226000.0,2745226000.0,2745226000.0,2847743000.0,2847743000.0,2847743000.0,2848000000.0,3141000000.0,3141000000.0,3141000000.0,,3995000000.0,3995000000.0,3995000000.0,,3647000000.0,3647000000.0,3647000000.0,3647000000.0,3533000000.0,3533000000.0,3533000000.0,3533000000.0
AccountsPayableCurrent / USD,2741719000.0,2741719000.0,2741719000.0,2741719000.0,2885168000.0,2885168000.0,2885168000.0,2885168000.0,2992865000.0,2992865000.0,2992865000.0,2992865000.0,3301235000.0,3191145000.0,3191328000.0,3191328000.0,3060814000.0,3060814000.0,3060814000.0,3060814000.0,3663264000.0,3663264000.0,3663264000.0,3663264000.0,3593195000.0,3593195000.0,3593195000.0,3593195000.0,4257623000.0,4257623000.0,4257623000.0,4257623000.0,4942932000.0,4942932000.0,4942932000.0,4942932000.0,5166780000.0,5166780000.0,5166780000.0,5166780000.0,5687038000.0,5687038000.0,5687038000.0,5687000000.0,6841000000.0,6841000000.0,6841000000.0,6841000000.0,8006000000.0,8006000000.0,8006000000.0,8006000000.0,5679000000.0,5679000000.0,5679000000.0,5679000000.0,6190000000.0,6190000000.0,6190000000.0,6190000000.0
AccruedLiabilitiesCurrent / USD,672252000.0,672252000.0,672252000.0,,892391000.0,892391000.0,892391000.0,,808480000.0,808480000.0,808480000.0,,1301078000.0,1216737000.0,1217088000.0,,1235106000.0,1235106000.0,1235106000.0,,1685589000.0,1685589000.0,1685589000.0,1685589000.0,1929051000.0,1929051000.0,1929051000.0,1929051000.0,2167472000.0,2167472000.0,2167472000.0,2168715000.0,2262744000.0,2262744000.0,2262744000.0,2262744000.0,2990144000.0,2990144000.0,2990144000.0,2990144000.0,3211528000.0,3211528000.0,3211528000.0,3211000000.0,3734000000.0,3734000000.0,3734000000.0,3734000000.0,5272000000.0,5272000000.0,5272000000.0,5272000000.0,5515000000.0,5515000000.0,5515000000.0,5515000000.0,5499000000.0,5499000000.0,5499000000.0,5499000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1166807000.0,1166807000.0,1166807000.0,1166807000.0,1363481000.0,1363481000.0,1363481000.0,1363481000.0,1578266000.0,1578266000.0,1578266000.0,1578266000.0,1810736000.0,1703234000.0,1703635000.0,1703635000.0,1923750000.0,1923750000.0,1923750000.0,1923750000.0,2239422000.0,2239422000.0,2239422000.0,2239422000.0,2721972000.0,2721972000.0,2721972000.0,2721972000.0,3125390000.0,3125390000.0,3125390000.0,3125390000.0,3646945000.0,3646945000.0,3646945000.0,3646945000.0,4110496000.0,4110496000.0,4110496000.0,4110496000.0,4525758000.0,4525758000.0,4525758000.0,4526000000.0,5033000000.0,5033000000.0,5033000000.0,5033000000.0,5624000000.0,5624000000.0,5624000000.0,5624000000.0,,,,4512000000.0,,,,4736000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,122062000.0,122062000.0,122062000.0,122062000.0,194706000.0,194706000.0,194706000.0,194706000.0,106275000.0,106275000.0,106275000.0,106275000.0,81248000.0,81248000.0,81248000.0,81248000.0,86962000.0,86962000.0,86962000.0,86962000.0,-50854000.0,-50854000.0,-50854000.0,-50854000.0,-39877000.0,-39877000.0,-39877000.0,-39877000.0,54620000.0,54620000.0,54620000.0,-39877000.0,-19399000.0,-19399000.0,-19399000.0,-19399000.0,-82794000.0,-82794000.0,-82794000.0,-82794000.0,-34168000.0,-34168000.0,-34168000.0,-34000000.0,-25000000.0,-25000000.0,-25000000.0,-25000000.0,-42000000.0,-42000000.0,-42000000.0,-42000000.0,-17000000.0,-17000000.0,-17000000.0,-17000000.0,-46000000.0,-46000000.0,-46000000.0,-46000000.0
AdditionalPaidInCapitalCommonStock / USD,1541507000.0,1541507000.0,1541507000.0,1541507000.0,1649431000.0,1649431000.0,1649431000.0,1649431000.0,1752847000.0,1752847000.0,1752847000.0,1752847000.0,1853409000.0,1853409000.0,1853409000.0,1853409000.0,1874219000.0,1874219000.0,1874219000.0,1874219000.0,1955104000.0,1955104000.0,1955104000.0,1955104000.0,2034525000.0,2034525000.0,2034525000.0,2034525000.0,2104203000.0,2104203000.0,2104203000.0,2104203000.0,2218673000.0,2218673000.0,2218673000.0,2218673000.0,2304552000.0,2304552000.0,2304552000.0,2304552000.0,2413616000.0,2413616000.0,2413616000.0,2414000000.0,2533000000.0,2533000000.0,2533000000.0,2533000000.0,2655000000.0,2655000000.0,2655000000.0,2655000000.0,2795000000.0,2795000000.0,2795000000.0,2795000000.0,2841000000.0,2841000000.0,2841000000.0,2841000000.0
AllocatedShareBasedCompensationExpense / USD,,,,44026000.0,19500000.0,39801000.0,59854000.0,104609000.0,18665000.0,39734000.0,59857000.0,76230000.0,18803000.0,36513000.0,52201000.0,81405000.0,-24566000.0,-7821000.0,8257000.0,68383000.0,18043000.0,32982000.0,53101000.0,10624000.0,24792000.0,45060000.0,58505000.0,62563000.0,-291000.0,15027000.0,33377000.0,58997000.0,52745000.0,67784000.0,82822000.0,48544000.0,17249000.0,32946000.0,47452000.0,98511000.0,30223000.0,45332000.0,62214000.0,61000000.0,34000000.0,57000000.0,76000000.0,83000000.0,35000000.0,51000000.0,67000000.0,102000000.0,42000000.0,62000000.0,80000000.0,81000000.0,46000000.0,69000000.0,72000000.0,95000000.0
AmortizationOfIntangibleAssets / USD,7105000.0,13748000.0,19954000.0,31039000.0,5969000.0,11634000.0,16821000.0,25934000.0,5074000.0,9945000.0,13399000.0,22051000.0,3451000.0,4370000.0,6591000.0,12899000.0,6321000.0,12501000.0,18180000.0,10954000.0,5590000.0,11373000.0,17097000.0,23857000.0,7840000.0,16439000.0,26150000.0,24449000.0,8322000.0,17088000.0,26262000.0,37121000.0,9979000.0,19869000.0,29909000.0,35524000.0,7646000.0,15423000.0,23033000.0,38490000.0,16140000.0,29717000.0,42895000.0,32000000.0,11000000.0,23000000.0,35000000.0,56000000.0,8000000.0,16000000.0,24000000.0,47000000.0,8000000.0,17000000.0,24000000.0,34000000.0,6000000.0,15000000.0,27000000.0,33000000.0
Assets / USD,6367747000.0,6367747000.0,6367747000.0,6367747000.0,7057940000.0,7057940000.0,7057940000.0,7057940000.0,7803141000.0,7803141000.0,7803141000.0,7803141000.0,9153781000.0,9153781000.0,9153781000.0,9153781000.0,8479746000.0,8479746000.0,8479746000.0,8479746000.0,9603207000.0,9603207000.0,9603207000.0,9591600000.0,10322677000.0,10322677000.0,10322677000.0,10322677000.0,11095995000.0,11095995000.0,11095995000.0,11095995000.0,12045641000.0,12045641000.0,12045641000.0,12045641000.0,12970475000.0,12970475000.0,12970475000.0,12970475000.0,14397416000.0,14397416000.0,14397416000.0,14397000000.0,16654000000.0,16654000000.0,16654000000.0,16654000000.0,19717000000.0,19717000000.0,19717000000.0,19717000000.0,19424000000.0,19424000000.0,19424000000.0,19424000000.0,17351000000.0,17351000000.0,17351000000.0,17351000000.0
AssetsCurrent / USD,4654018000.0,4654018000.0,4654018000.0,4654018000.0,5135360000.0,5135360000.0,5135360000.0,5115787000.0,5639328000.0,5639328000.0,5639328000.0,5639328000.0,5820245000.0,5820245000.0,5820245000.0,5820245000.0,5359017000.0,5359017000.0,5359017000.0,5359017000.0,5866309000.0,5866309000.0,5866309000.0,5866309000.0,5848381000.0,5848381000.0,5848381000.0,5848381000.0,6626683000.0,6626683000.0,6626683000.0,6626683000.0,7549923000.0,7549923000.0,7549923000.0,7549923000.0,8345085000.0,8345085000.0,8345085000.0,8345085000.0,9134885000.0,9134885000.0,9134885000.0,9135000000.0,10877000000.0,10877000000.0,10877000000.0,10877000000.0,13908000000.0,13908000000.0,13908000000.0,13908000000.0,14730000000.0,14730000000.0,14730000000.0,14730000000.0,12791000000.0,12791000000.0,12791000000.0,12791000000.0
