fact_unit,2017-05-12,2017-08-10,2017-11-09,2018-03-29,2018-05-15,2018-08-10,2018-11-05,2019-02-28,2019-05-07,2019-07-31,2019-10-30,2020-02-19,2020-05-07,2020-08-04,2020-10-29,2021-02-19,2021-04-29,2021-07-29,2021-10-28,2022-02-22,2022-04-28,2022-07-28,2022-10-27,2023-02-22,2023-05-02,2023-07-27,2023-10-26,2024-02-21,2024-05-01,2024-07-25,2024-10-31,2025-02-27,2025-05-01,2025-07-31,2025-10-30
AccountsAndNotesReceivableNet / USD,11604000.0,11604000.0,11604000.0,11604000.0,24525000.0,24525000.0,24525000.0,24525000.0,33117000.0,33117000.0,33117000.0,33117000.0,25244000.0,25244000.0,25244000.0,25244000.0,35256000.0,35256000.0,35256000.0,35256000.0,37473000.0,37473000.0,37473000.0,37473000.0,54091000.0,54091000.0,54091000.0,54091000.0,60810000.0,60810000.0,60810000.0,60810000.0,61235000.0,61235000.0,61235000.0
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent / USD,88052000.0,88052000.0,88052000.0,88052000.0,193413000.0,193413000.0,193413000.0,193413000.0,169603000.0,169603000.0,169603000.0,169603000.0,186110000.0,186110000.0,186110000.0,186110000.0,149299000.0,149299000.0,149299000.0,149299000.0,193633000.0,193633000.0,193633000.0,193633000.0,198423000.0,198423000.0,198423000.0,198423000.0,200590000.0,200590000.0,200590000.0,200590000.0,247709000.0,247709000.0,247709000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,13272000.0,4572000.0,8167000.0,47885000.0,47885000.0,47885000.0,47885000.0,47885000.0,-12963000.0,-12963000.0,-12963000.0,-12963000.0,-276600000.0,-276600000.0,-276600000.0,-276600000.0,-546942000.0,-546942000.0,-546942000.0,-546942000.0,-286938000.0,-286938000.0,-286938000.0,-286938000.0,97985000.0,97985000.0,97985000.0,97985000.0,63701000.0,63701000.0,63701000.0,63701000.0,60969000.0,60969000.0,60969000.0
AdditionalPaidInCapital / USD,3667178000.0,3675094000.0,3677182000.0,8602603000.0,8602603000.0,8602603000.0,8602603000.0,8602603000.0,8629462000.0,8629462000.0,8629462000.0,8629462000.0,9010194000.0,9010194000.0,9010194000.0,9010194000.0,9707258000.0,9707258000.0,9707258000.0,9707258000.0,10873539000.0,10873539000.0,10873539000.0,10873539000.0,11138463000.0,11138463000.0,11138463000.0,11138463000.0,11156736000.0,11156736000.0,11156736000.0,11156736000.0,11170597000.0,11170597000.0,11170597000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,12001000.0,12001000.0,12001000.0,27924000.0,9498000.0,17514000.0,23582000.0,10210000.0,9498000.0,17514000.0,23582000.0,12001000.0,5607000.0,9222000.0,13847000.0,29499000.0,4101000.0,6207000.0,12293000.0,18158000.0,5814000.0,15020000.0,21072000.0,17090000.0,6646000.0,14635000.0,22565000.0,27170000.0,6498000.0,12564000.0,21493000.0,28962000.0,7900000.0,15392000.0,20809000.0
AllocatedShareBasedCompensationExpense / USD,4206000.0,8312000.0,13023000.0,27924000.0,44244000.0,52460000.0,64464000.0,10210000.0,9498000.0,17514000.0,23582000.0,81203000.0,5607000.0,9222000.0,13847000.0,29499000.0,4101000.0,6207000.0,12293000.0,18158000.0,5814000.0,15020000.0,21072000.0,17090000.0,6646000.0,14635000.0,22565000.0,27170000.0,6498000.0,12564000.0,21493000.0,28962000.0,7900000.0,15392000.0,20809000.0
AmortizationOfDebtDiscountPremium / USD,1418000.0,2835000.0,4158000.0,5663000.0,55000.0,114000.0,202000.0,4900000.0,2254000.0,4508000.0,6816000.0,1390000.0,2364000.0,4709000.0,6026000.0,9124000.0,1348000.0,2697000.0,4077000.0,7343000.0,1414000.0,2828000.0,5309000.0,5458000.0,462000.0,855000.0,1254000.0,6244000.0,400000.0,803000.0,1335000.0,1653000.0,660000.0,1317000.0,2001000.0
AmortizationOfFinancingCosts / USD,12776000.0,26981000.0,37323000.0,64186000.0,11327000.0,16355000.0,19550000.0,45819000.0,3995000.0,9678000.0,17825000.0,22271000.0,10150000.0,20158000.0,29386000.0,27191000.0,7952000.0,14353000.0,18153000.0,39259000.0,3510000.0,6567000.0,9739000.0,25828000.0,3538000.0,7195000.0,11105000.0,13126000.0,3911000.0,7872000.0,12003000.0,15014000.0,4200000.0,8400000.0,13410000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,15100443.0,15100443.0,,,,,,,,,,,,4167.0,57278.0,113454.0,56727.0,116791.0
Assets / USD,9732351000.0,9732351000.0,9732351000.0,9732351000.0,18683638000.0,18683638000.0,18683638000.0,18683638000.0,18063428000.0,18063428000.0,18063428000.0,18063428000.0,17392910000.0,17392910000.0,17392910000.0,17392910000.0,17506222000.0,17506222000.0,17506222000.0,17506222000.0,18537846000.0,18537846000.0,18537846000.0,18537846000.0,18536708000.0,18536708000.0,18536708000.0,18536708000.0,19220967000.0,19220967000.0,19220967000.0,19220967000.0,18700951000.0,18700951000.0,18700951000.0
