fact_unit,2010-09-03,2011-02-09,2011-05-25,2011-08-09,2011-11-08,2012-02-03,2012-05-23,2012-08-01,2012-10-31,2013-02-06,2013-05-14,2013-07-31,2013-10-30,2014-02-04,2014-05-14,2014-08-06,2014-10-30,2015-02-06,2015-05-22,2015-08-10,2015-11-06,2016-02-04,2016-05-19,2016-08-05,2016-11-03,2017-02-08,2017-05-24,2017-08-03,2017-11-08,2018-02-08,2018-05-17,2018-08-03,2018-11-08,2019-02-06,2019-05-14,2019-08-06,2019-11-08,2020-02-07,2020-05-22,2020-08-04,2020-11-06,2021-02-09,2021-05-19,2021-08-03,2021-11-04,2022-02-08,2022-05-17,2022-08-09,2022-11-08,2023-02-07,2023-05-26,2023-08-09,2023-11-09,2024-02-09,2024-05-22,2024-08-09,2024-11-07,2025-02-07,2025-05-20,2025-08-07,2025-11-07
AccountsPayableCurrent / USD,114379000.0,114379000.0,114379000.0,56153000.0,56153000.0,56153000.0,56153000.0,46681000.0,46681000.0,46681000.0,46681000.0,79932000.0,79932000.0,79932000.0,79932000.0,16452000.0,16452000.0,16452000.0,16452000.0,38789000.0,38789000.0,38789000.0,38789000.0,30448000.0,30448000.0,30448000.0,30448000.0,31892000.0,31892000.0,31892000.0,31892000.0,35029000.0,35029000.0,35029000.0,35029000.0,72797000.0,72797000.0,72797000.0,72797000.0,65684000.0,65684000.0,65684000.0,65684000.0,71001000.0,71001000.0,71001000.0,71001000.0,125900000.0,125900000.0,125900000.0,125900000.0,140100000.0,140100000.0,140100000.0,140100000.0,195900000.0,195900000.0,195900000.0,195900000.0,194700000.0,194700000.0
AccountsReceivableNetCurrent / USD,181065000.0,181065000.0,181065000.0,84217000.0,84217000.0,84217000.0,84217000.0,45035000.0,45035000.0,45035000.0,45035000.0,189596000.0,189596000.0,189596000.0,189596000.0,53143000.0,53143000.0,53143000.0,53143000.0,217860000.0,217860000.0,217860000.0,217860000.0,168527000.0,168527000.0,168527000.0,168527000.0,219558000.0,219558000.0,219558000.0,219558000.0,247649000.0,247649000.0,247649000.0,247649000.0,395729000.0,395729000.0,395729000.0,395729000.0,592555000.0,592555000.0,592555000.0,592555000.0,552762000.0,552762000.0,552762000.0,552762000.0,579400000.0,579400000.0,579400000.0,579400000.0,763200000.0,763200000.0,763200000.0,763200000.0,679700000.0,679700000.0,679700000.0,679700000.0,771100000.0,771100000.0
AccruedLiabilitiesCurrent / USD,172784000.0,172784000.0,172784000.0,158459000.0,158459000.0,158459000.0,158459000.0,156768000.0,156768000.0,156768000.0,156768000.0,228916000.0,228916000.0,228916000.0,228916000.0,397173000.0,397173000.0,397173000.0,397173000.0,444738000.0,444738000.0,444738000.0,444738000.0,607479000.0,607479000.0,607479000.0,607479000.0,750875000.0,750875000.0,750875000.0,750875000.0,914748000.0,914748000.0,914748000.0,914748000.0,1035695000.0,1035695000.0,1035695000.0,1035695000.0,1169884000.0,1169884000.0,1169884000.0,1169884000.0,1204090000.0,1204090000.0,1204090000.0,1204090000.0,1074900000.0,1074900000.0,1074900000.0,1074900000.0,1225700000.0,1225700000.0,1225700000.0,1225700000.0,1062600000.0,1062600000.0,1062600000.0,1062600000.0,1127600000.0,1127600000.0
AccruedMarketingCostsCurrent / USD,,,,8238000.0,8238000.0,8238000.0,8238000.0,9771000.0,9771000.0,9771000.0,9771000.0,21601000.0,21601000.0,21601000.0,21601000.0,16552000.0,16552000.0,16552000.0,16552000.0,21708000.0,21708000.0,21708000.0,21708000.0,14938000.0,14938000.0,14938000.0,14938000.0,21030000.0,21030000.0,21030000.0,21030000.0,19731000.0,19731000.0,19731000.0,19731000.0,42390000.0,42390000.0,42390000.0,42390000.0,40797000.0,40797000.0,40797000.0,40797000.0,32591000.0,32591000.0,32591000.0,32591000.0,30600000.0,30600000.0,30600000.0,30600000.0,132700000.0,132700000.0,132700000.0,132700000.0,94500000.0,94500000.0,94500000.0,94500000.0,77000000.0,77000000.0
AccruedProfessionalFeesCurrent / USD,,,,4093000.0,4093000.0,4093000.0,4093000.0,4387000.0,4387000.0,4387000.0,4387000.0,7733000.0,7733000.0,7733000.0,7733000.0,,,,8781000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000000.0,17000000.0,17000000.0,,,,,9500000.0,16700000.0,16700000.0,16700000.0,16700000.0,,
AccruedRoyaltiesCurrent / USD,,,,63720000.0,63720000.0,63720000.0,63720000.0,31689000.0,31689000.0,31689000.0,31689000.0,64840000.0,64840000.0,67046000.0,64840000.0,258129000.0,258129000.0,258129000.0,258129000.0,307953000.0,307953000.0,307953000.0,307953000.0,414492000.0,414492000.0,414492000.0,414492000.0,492133000.0,492133000.0,492133000.0,492133000.0,600512000.0,600512000.0,600512000.0,600512000.0,713201000.0,713201000.0,713201000.0,713201000.0,822416000.0,822416000.0,822416000.0,822416000.0,814998000.0,814998000.0,814998000.0,814998000.0,615700000.0,615700000.0,615700000.0,615700000.0,510700000.0,510700000.0,510700000.0,510700000.0,413100000.0,413100000.0,413100000.0,413100000.0,419800000.0,419800000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,84130000.0,,,,94824000.0,,,,84748000.0,,,,96795000.0,,,,113068000.0,,,,99002000.0,,,,121217000.0,,,,143984000.0,,,,169630000.0,,,,198202000.0,,,,237145000.0,,,,264100000.0,,,,314900000.0,,,,366500000.0,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,8192000.0,8192000.0,8192000.0,10459000.0,10459000.0,10459000.0,10459000.0,6733000.0,6733000.0,6733000.0,6733000.0,6733000.0,6733000.0,6733000.0,6733000.0,-4572000.0,-4572000.0,-4572000.0,-4572000.0,2116000.0,2116000.0,2116000.0,2116000.0,-30624000.0,-30624000.0,-30624000.0,-37896000.0,-47142000.0,-47142000.0,-47142000.0,-47142000.0,-15732000.0,-15732000.0,-15732000.0,-15732000.0,-37189000.0,-37189000.0,-37189000.0,-37189000.0,-58376000.0,-58376000.0,-58376000.0,-58376000.0,-8664000.0,-8664000.0,-8664000.0,-8664000.0,-57300000.0,-57300000.0,-57300000.0,-57300000.0,-113300000.0,-113300000.0,-113300000.0,-113300000.0,-105100000.0,-105100000.0,-105100000.0,-105100000.0,-96900000.0,-96900000.0
AdditionalPaidInCapitalCommonStock / USD,658794000.0,658794000.0,658794000.0,706482000.0,706482000.0,706482000.0,706482000.0,799431000.0,799431000.0,799431000.0,799431000.0,832460000.0,832460000.0,832460000.0,832460000.0,954699000.0,954699000.0,954699000.0,954699000.0,1028197000.0,1028197000.0,1028197000.0,1028197000.0,1088628000.0,1088628000.0,1088628000.0,1088628000.0,1452754000.0,1452754000.0,1452754000.0,1452754000.0,1888039000.0,1888039000.0,1888039000.0,1888039000.0,2019369000.0,2019369000.0,2019369000.0,2019369000.0,2134748000.0,2134748000.0,2134748000.0,2134748000.0,2288781000.0,2288781000.0,2288781000.0,2288781000.0,2597200000.0,2597200000.0,2597200000.0,2597200000.0,9010200000.0,9010200000.0,9010200000.0,9010200000.0,9371600000.0,9371600000.0,9371600000.0,9371600000.0,10312000000.0,10312000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,35341000.0,,,,31193000.0,,,,29293000.0,,,,39571000.0,,,,32664000.0,,,,80285000.0,,,,72579000.0,,,,83137000.0,,,,88378000.0,55523000.0,63433000.0,161485000.0,293214000.0,53251000.0,96706000.0,141761000.0,219460000.0,49037000.0,94712000.0,141904000.0,192845000.0,73800000.0,136300000.0,198000000.0,113700000.0,61300000.0,186300000.0,290500000.0,258700000.0,99400000.0,211400000.0,315200000.0,389300000.0,97200000.0,203500000.0
