fact_unit,2021-08-18,2021-10-29,2022-02-24,2022-05-06,2022-08-03,2022-11-03,2023-02-27,2023-05-10,2023-08-03,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-10-31,2025-02-18,2025-05-01,2025-07-31,2025-11-06
AccountsPayableAndAccruedLiabilitiesCurrent / USD,104649000.0,104649000.0,104649000.0,252000000.0,252000000.0,252000000.0,252000000.0,185000000.0,185000000.0,185000000.0,185000000.0,384000000.0,384000000.0,384000000.0,384000000.0,397000000.0,397000000.0,397000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,17086000.0,17086000.0,17086000.0,,,,39000000.0,,,,81000000.0,,,,111000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,473000.0,473000.0,473000.0,1000000.0,1000000.0,1000000.0,1000000.0,,0.0,0.0,0.0,-3000000.0,-3000000.0,-3000000.0,-3000000.0,-1000000.0,-1000000.0,-1000000.0
AdditionalPaidInCapital / USD,134307000.0,134307000.0,134307000.0,11169000000.0,11169000000.0,11169000000.0,11169000000.0,11861000000.0,11861000000.0,11861000000.0,11861000000.0,12145000000.0,12145000000.0,12145000000.0,12145000000.0,12008000000.0,12008000000.0,12008000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,4314000.0,5914000.0,27328000.0,9000000.0,10000000.0,1272000000.0,25000000.0,230000000.0,401000000.0,515000000.0,1605000000.0,602000000.0,714000000.0,802000000.0,682000000.0,67000000.0,159000000.0,245000000.0
AdvertisingExpense / USD,,,90900000.0,,,,78000000.0,,,,101000000.0,,,,52000000.0,,,
AllocatedShareBasedCompensationExpense / USD,3777000.0,5348000.0,26667000.0,9000000.0,10000000.0,1254000000.0,24000000.0,220000000.0,384000000.0,494000000.0,1572000000.0,598000000.0,707000000.0,790000000.0,654000000.0,62000000.0,148000000.0,227000000.0
AmortizationOfIntangibleAssets / USD,,0.0,3400000.0,,,,0.0,,,9000000.0,3000000.0,,,,9000000.0,4000000.0,10000000.0,16000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,428711885.0,503485347.0,401678423.0,512847069.0,562605023.0,142376772.0,488186709.0,168931951.0,162361068.0,161518164.0,137425995.0,116344152.0,106282630.0,96444250.0,144483018.0,27521085.0,32276914.0,26118076.0
AssetAcquisitionConsiderationTransferred / USD,,,,,,,,,,,,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0
Assets / USD,10988474000.0,10988474000.0,10988474000.0,19769000000.0,19769000000.0,19769000000.0,19769000000.0,23337000000.0,23337000000.0,23337000000.0,23337000000.0,32332000000.0,32332000000.0,32332000000.0,17624000000.0,26187000000.0,26187000000.0,26187000000.0
AssetsCurrent / USD,10872584000.0,10872584000.0,10872584000.0,19283000000.0,19283000000.0,19283000000.0,19283000000.0,22917000000.0,22917000000.0,22917000000.0,22917000000.0,31790000000.0,31790000000.0,31790000000.0,17082000000.0,25103000000.0,25103000000.0,25103000000.0
CapitalizedComputerSoftwareAmortization1 / USD,1800000.0,2900000.0,3300000.0,,,,4000000.0,,,,7000000.0,,,,26000000.0,,,
CapitalizedContractCostImpairmentLoss / USD,,,,,,,,,,,,,0.0,0.0,0.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,794482000.0,2023654000.0,644050000.0,4795000000.0,5078000000.0,6167000000.0,1403000000.0,6191000000.0,5962000000.0,6187000000.0,6253000000.0,5459000000.0,5829000000.0,4889000000.0,6339000000.0,4717000000.0,4524000000.0,4611000000.0
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations / USD,,,,,,,,,,,,,,4448000000.0,4448000000.0,4724000000.0,4724000000.0,4724000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,6190000000.0,6190000000.0,6190000000.0,,10270000000.0,10270000000.0,10270000000.0,6190000000.0,9357000000.0,9357000000.0,9357000000.0,10270000000.0,9346000000.0,9346000000.0,9346000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,2619608000.0,2777215000.0,1623302000.0,1665000000.0,3930000000.0,4420000000.0,3120000000.0,403000000.0,-885000000.0,-1106000000.0,4080000000.0,336000000.0,712000000.0,-977000000.0,-913000000.0,-700000000.0,-700000000.0,895000000.0
CashSegregatedUnderOtherRegulations / USD,4887330000.0,3815765000.0,2420354000.0,3050000000.0,5025000000.0,4418000000.0,4780000000.0,4458000000.0,3400000000.0,2954000000.0,3992000000.0,4213000000.0,4220000000.0,3448000000.0,2995000000.0,3829000000.0,4037000000.0,5547000000.0
ComprehensiveIncomeNetOfTax / USD,4908000.0,-5559000.0,-106390000.0,-1445000000.0,-1947000000.0,-3264000000.0,7000000.0,-393000000.0,-688000000.0,-864000000.0,-3687000000.0,-511000000.0,-489000000.0,-575000000.0,-1029000000.0,158000000.0,348000000.0,499000000.0
ContractWithCustomerAssetGross / USD,111871000.0,111871000.0,20577000.0,83000000.0,83000000.0,83000000.0,112000000.0,60000000.0,60000000.0,60000000.0,83000000.0,87000000.0,87000000.0,87000000.0,60000000.0,294000000.0,294000000.0,294000000.0
ContractWithCustomerLiability / USD,2060000.0,2060000.0,954000.0,3000000.0,3000000.0,3000000.0,2000000.0,3000000.0,3000000.0,3000000.0,3000000.0,4000000.0,4000000.0,4000000.0,3000000.0,11000000.0,11000000.0,11000000.0
ContractWithCustomerLiabilityCurrent / USD,5897242000.0,5897242000.0,5897242000.0,6476000000.0,6476000000.0,6476000000.0,6476000000.0,4701000000.0,4701000000.0,4701000000.0,4701000000.0,5097000000.0,5097000000.0,5097000000.0,5097000000.0,7448000000.0,7448000000.0,7448000000.0
ContractWithCustomerReceivableAfterAllowanceForCreditLossCurrent / USD,3354142000.0,3354142000.0,3354142000.0,6639000000.0,6639000000.0,6639000000.0,6639000000.0,3218000000.0,3218000000.0,3218000000.0,3218000000.0,3495000000.0,3495000000.0,3495000000.0,3495000000.0,8239000000.0,8239000000.0,8239000000.0
CryptoAssetFairValue / USD,,,,,,,,,,,,,,,,35200000000.0,35200000000.0,35200000000.0
CurrentFederalTaxExpenseBenefit / USD,,,-58000.0,,,,3000000.0,,,,0.0,,,,0.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,-353000.0,,,,7000000.0,,,,5000000.0,,,,1000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,-295000.0,,,,4000000.0,,,,5000000.0,,,,1000000.0,,,
DebtSecuritiesHeldToMaturityAllowanceForCreditLoss / USD,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DebtSecuritiesHeldToMaturityAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLossMaturityAllocatedAndSingleMaturityDateYearOne / USD,,,,,,,,290000000.0,321000000.0,372000000.0,413000000.0,413000000.0,413000000.0,413000000.0,413000000.0,398000000.0,398000000.0,398000000.0
DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLossCurrent / USD,,,,,,,,0.0,0.0,0.0,0.0,413000000.0,413000000.0,413000000.0,413000000.0,398000000.0,398000000.0,398000000.0
DebtSecuritiesHeldToMaturityExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent / USD,,,,,,,,0.0,0.0,0.0,0.0,73000000.0,73000000.0,73000000.0,73000000.0,,,
DebtSecuritiesHeldToMaturityExcludingAccruedInterestNonaccrualNoAllowance / USD,,,,,,,,,,0.0,0.0,486000000.0,486000000.0,486000000.0,486000000.0,398000000.0,398000000.0,398000000.0
DeferredCosts / USD,,,,,,,,,,,,,19000000.0,19000000.0,19000000.0,195000000.0,195000000.0,195000000.0
DeferredCostsCurrent / USD,,,,,,,,,,,,,11000000.0,11000000.0,11000000.0,100000000.0,100000000.0,100000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,0.0,,,,0.0,,,,-1000000.0,,,,0.0,,,
DeferredFederalStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,,,,,137000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,-665000.0,,,,-1000000.0,,,,0.0,,,,0.0,,,
DeferredIncomeTaxExpenseBenefit / USD,-88000.0,,-665000.0,,,,-1000000.0,,,,-3000000.0,,,,0.0,,,
DeferredIncomeTaxLiabilities / USD,,,19516000.0,,,,57000000.0,,,,2201000000.0,,,,38000000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,0.0,,,,0.0,,,,-2000000.0,,,,0.0,,,
DeferredTaxAssetsGross / USD,,,47351000.0,,,,553000000.0,,,,2809000000.0,,,,613000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,926000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,3141000.0,,,,251000000.0,,,,266000000.0,,,,176000000.0,,,
DeferredTaxAssetsOther / USD,,,3386000.0,,,,22000000.0,,,,15000000.0,,,,26000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,9058000.0,,,,81000000.0,,,,134000000.0,,,,161000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,3123000.0,,,,135000000.0,,,,85000000.0,,,,43000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,14849000.0,,,,24000000.0,,,,21000000.0,,,,17000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,26909000.0,,,,495000000.0,,,,607000000.0,,,,574000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,12551000.0,,,,34000000.0,,,,24000000.0,,,,17000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,14000000.0,,,
DefinedContributionPlanCostRecognized / USD,,,1000000.0,,,,3000000.0,,,,10000000.0,,,,14000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,,,0.03,,,,0.03,,,,0.03,,,,0.03,,,
DepositsWithClearingOrganizationsAndOthersSecurities / USD,225514000.0,225514000.0,225514000.0,328000000.0,328000000.0,328000000.0,328000000.0,186000000.0,186000000.0,186000000.0,186000000.0,338000000.0,338000000.0,338000000.0,338000000.0,489000000.0,489000000.0,489000000.0
Depreciation / USD,2100000.0,3700000.0,2100000.0,,,,6000000.0,,,,15000000.0,,,,26000000.0,,,
DepreciationDepletionAndAmortization / USD,3913000.0,6572000.0,5444000.0,4000000.0,9000000.0,17000000.0,10000000.0,12000000.0,29000000.0,44000000.0,26000000.0,20000000.0,35000000.0,54000000.0,61000000.0,17000000.0,35000000.0,55000000.0
EarningsPerShareBasic / USD/shares,0.01,-0.02,-0.48,-6.26,-8.41,-8.85,0.01,-0.45,-0.79,-0.99,-7.49,-0.57,-0.54,-0.64,-1.17,0.18,0.39,0.56
EarningsPerShareDiluted / USD/shares,0.01,-0.02,-0.48,-6.26,-8.41,-8.85,0.01,-0.45,-0.79,-0.99,-7.49,-0.57,-0.54,-0.64,-1.17,0.18,0.38,0.55
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-174000.0,20000.0,179000.0,,,0.0,0.0,0.0,0.0,-2000000.0,0.0,,,0.0,-1000000.0,0.0,0.0,1000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.081,-0.021,,-0.008,-0.026,0.0,0.461,-0.003,-0.003,-0.004,-0.001,-0.005,0.002,-0.015,-0.001,0.03,0.024,0.022
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,-0.558,,,,-0.135,,,,-0.139,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,,,,0.004,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,,,,-0.192,,,,-0.005,,,,-0.123,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,,,,-0.062,,,,0.036,,,,0.018,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,,,,0.758,,,,-0.013,,,,-0.036,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,600000.0,600000.0,700000.0,0.0,0.0,20000000.0,1000000.0,10000000.0,17000000.0,21000000.0,35000000.0,4000000.0,7000000.0,12000000.0,28000000.0,5000000.0,11000000.0,18000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,2170000000.0,1910000000.0,2100000000.0,1800000000.0,1400000000.0,1230000000.0,700000000.0,600000000.0,500000000.0,355000000.0,502000000.0,390000000.0,310000000.0,230000000.0,471000000.0,426000000.0,341000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,,0.0,,,,0.0,,,
EntityPublicFloat / USD,,,0.0,,,,5700000000.0,,,,7300000000.0,,,,16300000000.0,,,
