fact_unit,2009-09-23,2009-12-16,2010-03-24,2010-07-16,2010-09-27,2010-12-20,2011-03-23,2011-07-15,2011-09-27,2011-12-20,2012-03-28,2012-07-20,2012-09-24,2012-12-20,2013-03-27,2013-07-22,2013-09-30,2013-12-20,2014-03-26,2014-07-22,2014-09-24,2014-12-19,2015-03-25,2015-07-21,2015-09-30,2015-12-23,2016-03-30,2016-07-22,2016-09-30,2016-12-23,2017-03-31,2017-07-21,2017-10-06,2017-12-21,2018-03-28,2018-07-20,2018-10-05,2018-12-21,2019-03-29,2019-07-24,2019-10-04,2019-12-20,2020-03-27,2020-07-17,2020-10-09,2020-12-23,2021-04-07,2021-07-16,2021-10-01,2021-12-22,2022-03-31,2022-07-15,2022-09-29,2022-12-22,2023-03-30,2023-07-14,2023-09-28,2023-12-21,2024-04-02,2024-07-11,2024-10-01,2024-12-19,2025-03-26,2025-07-11,2025-09-30
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,176600000.0,176600000.0,408600000.0,408600000.0,408600000.0,408600000.0,507500000.0,507500000.0,507500000.0,507500000.0,492400000.0,492400000.0,492400000.0,374600000.0,420500000.0,420500000.0,420500000.0,420500000.0,384100000.0,384100000.0,384100000.0,384100000.0,578300000.0,578300000.0,578300000.0,578300000.0,723800000.0,723800000.0,723800000.0,723800000.0,873300000.0,873300000.0,873300000.0,873300000.0,1059600000.0,1059600000.0,1059600000.0,1059600000.0,1330500000.0
AccountsPayableCurrent / USD,37334000.0,37334000.0,37334000.0,37334000.0,37300000.0,37300000.0,37300000.0,37300000.0,45400000.0,45400000.0,45400000.0,45400000.0,69700000.0,69700000.0,69700000.0,69700000.0,42700000.0,42700000.0,42700000.0,42700000.0,48800000.0,48800000.0,48800000.0,48800000.0,51700000.0,51700000.0,51700000.0,51700000.0,56700000.0,56700000.0,56700000.0,56700000.0,57200000.0,57200000.0,57200000.0,57200000.0,73700000.0,73700000.0,73700000.0,73700000.0,75900000.0,75900000.0,75900000.0,75900000.0,79400000.0,79400000.0,79400000.0,79400000.0,89000000.0,89000000.0,89000000.0,89000000.0,105700000.0,105700000.0,105700000.0,105700000.0,84700000.0,84700000.0,84700000.0,84700000.0,104300000.0,104300000.0,104300000.0,104300000.0,129800000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,6537000.0,11940000.0,16808000.0,-19033000.0,-8000000.0,-16800000.0,-25800000.0,-23000000.0,-9400000.0,-19000000.0,-28900000.0,-35000000.0,-10300000.0,-20800000.0,-31300000.0,-38900000.0,-13300000.0,-27100000.0,-41400000.0,-42500000.0,-16700000.0,-34400000.0,-52300000.0,-56200000.0,-18400000.0,-37500000.0,-56900000.0,-70300000.0,-19400000.0,-38400000.0,-57200000.0,-76200000.0,-18600000.0,-37000000.0,-55000000.0,-75700000.0,-17100000.0,-33800000.0,-50100000.0,-72500000.0,-14400000.0,-27700000.0,-38800000.0,-65400000.0,-10000000.0,-20400000.0,-30700000.0,-49000000.0,-9500000.0,-18500000.0,-27400000.0,-40800000.0,-7900000.0,-15300000.0,-22300000.0,-35800000.0,-6000000.0,-11200000.0,-15900000.0,-28900000.0,1400000.0,2900000.0,4700000.0,-18200000.0,2800000.0
AccruedIncomeTaxesCurrent / USD,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,61000000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,65600000.0,,,,4100000.0,,,,51600000.0,,,,49000000.0,,,50500000.0,50500000.0,50500000.0,50500000.0,50500000.0,40900000.0,,,,40000000.0,,,,61000000.0,,,,73500000.0,,,,
AccruedIncomeTaxesNoncurrent / USD,25730000.0,25730000.0,25730000.0,25730000.0,27400000.0,27400000.0,27400000.0,27400000.0,,,,,,,,,,,,,,,,41900000.0,,,,44800000.0,72800000.0,72800000.0,72800000.0,72800000.0,45600000.0,45600000.0,45600000.0,45600000.0,18400000.0,18400000.0,18400000.0,18400000.0,27300000.0,27300000.0,27300000.0,27300000.0,33500000.0,33500000.0,33500000.0,33500000.0,25800000.0,25800000.0,25800000.0,25800000.0,58100000.0,58100000.0,58100000.0,58100000.0,83000000.0,83000000.0,83000000.0,83000000.0,102600000.0,102600000.0,102600000.0,102600000.0,119000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,442700000.0,442700000.0,442700000.0,444800000.0,495500000.0,495500000.0,495500000.0,495500000.0,533700000.0,533700000.0,533700000.0,533700000.0,504500000.0,504500000.0,504500000.0,504500000.0,564600000.0,564600000.0,564600000.0,564600000.0,619500000.0,619500000.0,619500000.0,619500000.0,659200000.0,659200000.0,659200000.0,659200000.0,713800000.0,713800000.0,713800000.0,713800000.0,789200000.0,789200000.0,789200000.0,789200000.0,866100000.0,866100000.0,866100000.0,866100000.0,,,,957200000.0,,,,966100000.0,,,,1055700000.0,,,,1081200000.0,,,,1132300000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,41940000.0,41940000.0,41940000.0,41940000.0,42400000.0,42400000.0,42400000.0,42400000.0,37500000.0,37500000.0,37500000.0,37500000.0,37700000.0,37700000.0,37700000.0,37700000.0,37700000.0,37700000.0,37700000.0,37500000.0,22000000.0,22000000.0,22000000.0,37700000.0,21500000.0,21500000.0,21500000.0,22000000.0,7500000.0,7500000.0,7500000.0,21500000.0,29200000.0,29200000.0,29200000.0,7500000.0,20000000.0,20000000.0,20000000.0,29200000.0,-36200000.0,-36200000.0,-36200000.0,20000000.0,56500000.0,56500000.0,56500000.0,56500000.0,51800000.0,51800000.0,51800000.0,51800000.0,-133900000.0,-133900000.0,-133900000.0,-133900000.0,-159900000.0,-159900000.0,-159900000.0,-159900000.0,-145100000.0,-145100000.0,-145100000.0,-145100000.0,-53700000.0
AdditionalPaidInCapitalCommonStock / USD,466427000.0,466427000.0,466427000.0,466427000.0,499700000.0,499700000.0,499700000.0,499700000.0,535600000.0,535600000.0,535600000.0,535600000.0,561100000.0,561100000.0,561100000.0,561100000.0,659500000.0,659500000.0,659500000.0,659500000.0,794400000.0,794400000.0,794400000.0,794400000.0,880100000.0,880100000.0,880100000.0,880100000.0,952700000.0,952700000.0,952700000.0,952700000.0,1030000000.0,1030000000.0,1030000000.0,1030000000.0,1126800000.0,1126800000.0,1126800000.0,1126800000.0,1206300000.0,1206300000.0,1206300000.0,1206300000.0,1289900000.0,1289900000.0,1289900000.0,1289900000.0,1446700000.0,1446700000.0,1446700000.0,1446700000.0,1545900000.0,1545900000.0,1545900000.0,1545900000.0,1626400000.0,1626400000.0,1626400000.0,1626400000.0,1729500000.0,1729500000.0,1729500000.0,1729500000.0,1901100000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,25535000.0,,,,25800000.0,,,,25700000.0,,,,25000000.0,,,,23100000.0,,,,22900000.0,,,,26400000.0,,,,31500000.0,,,,34600000.0,,,29400000.0,35400000.0,10900000.0,22800000.0,33600000.0,44600000.0,10500000.0,23800000.0,36500000.0,46200000.0,13300000.0,25500000.0,38100000.0,47400000.0,12400000.0,26400000.0,39200000.0,52500000.0,14400000.0,29700000.0,46000000.0,52800000.0,16000000.0,30700000.0,45100000.0,62600000.0,16500000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,25700000.0,,,,25600000.0,6600000.0,11900000.0,17600000.0,,6400000.0,11500000.0,16900000.0,,7500000.0,14600000.0,21700000.0,,7500000.0,15400000.0,24000000.0,26300000.0,8800000.0,17500000.0,26100000.0,31400000.0,9100000.0,17600000.0,26500000.0,34600000.0,8700000.0,19100000.0,29400000.0,35400000.0,10900000.0,22800000.0,33600000.0,44600000.0,10500000.0,23800000.0,36500000.0,46200000.0,13300000.0,25500000.0,38100000.0,47400000.0,12400000.0,26400000.0,39200000.0,52500000.0,14400000.0,29700000.0,46000000.0,52800000.0,16000000.0,30700000.0,45100000.0,62600000.0,16500000.0
