fact_unit,2021-02-25,2021-05-06,2021-08-05,2021-11-04,2022-02-23,2022-05-04,2022-08-03,2022-11-02,2023-02-22,2023-05-03,2023-08-02,2023-11-01,2024-02-21,2024-05-08,2024-08-07,2024-11-06,2025-02-19,2025-05-07,2025-08-06,2025-11-05
AccountsPayableAndAccruedLiabilitiesCurrent / USD,19193000.0,12530000.0,12530000.0,12530000.0,13325000.0,18008000.0,18008000.0,18008000.0,17907000.0,23443000.0,23443000.0,23443000.0,23443000.0,22501000.0,22501000.0,22501000.0,22501000.0,26958000.0,26958000.0,26958000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,,,,,101000.0,8497000.0,8497000.0,8497000.0,8497000.0,10761000.0,10761000.0,10761000.0,10761000.0,8418000.0,8418000.0,8418000.0
AccruedIncomeTaxesCurrent / USD,5271000.0,4054000.0,4054000.0,4054000.0,4054000.0,29083000.0,29083000.0,29083000.0,29083000.0,3167000.0,3167000.0,3167000.0,3167000.0,4795000.0,4795000.0,4795000.0,4795000.0,4388000.0,4388000.0,4388000.0
AccruedLiabilitiesCurrentAndNoncurrent / USD,,2150000.0,2150000.0,2150000.0,2150000.0,2056000.0,2056000.0,2056000.0,611000.0,2086000.0,2086000.0,2086000.0,131000.0,1444000.0,1444000.0,1444000.0,274000.0,957000.0,957000.0,504000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,11313000.0,25155000.0,25155000.0,25155000.0,25155000.0,38679000.0,38679000.0,38679000.0,38679000.0,50004000.0,50004000.0,50004000.0,50004000.0,57152000.0,57152000.0,57152000.0,57152000.0,55807000.0,55807000.0,55807000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,1461000.0,,,,2693000.0,,,,1007000.0,,,,-2516000.0,,,,-1831000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1461000.0,-2693000.0,-2693000.0,-2693000.0,-2693000.0,-1007000.0,-1007000.0,-1007000.0,-1007000.0,2516000.0,2516000.0,2516000.0,2516000.0,1831000.0,1831000.0,1831000.0,1831000.0,3583000.0,3583000.0,3583000.0
AdditionalPaidInCapital / USD,,,,,0.0,28000.0,28000.0,28000.0,28000.0,8293000.0,8293000.0,8293000.0,8293000.0,14613000.0,14613000.0,14613000.0,14613000.0,19900000.0,19900000.0,19900000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,1762000.0,939000.0,939000.0,939000.0,1762000.0,939000.0,939000.0,939000.0,1762000.0,1207000.0,1207000.0,1207000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,28000.0,1481000.0,1481000.0,1481000.0,28000.0,1481000.0,1481000.0,1481000.0,28000.0,2370000.0,2370000.0,2370000.0,8432000.0,3416000.0,3416000.0,3416000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,0.0,0.0,0.0,0.0,1505000.0,3495000.0,5616000.0,28000.0,2473000.0,5323000.0,8112000.0,8432000.0,3354000.0,6054000.0,8989000.0
AllowanceForDoubtfulAccountsReceivable / USD,0.0,,,,100000.0,,,,100000.0,,,,200000.0,,,,200000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,100000.0,400000.0,300000.0,600000.0,100000.0,0.0,300000.0,600000.0,1000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0
AreaOfLand / acre,,,,,,,,,,,,,,,,640.0,1009.0,,,640.0
