fact_unit,2010-05-07,2010-08-05,2010-11-08,2011-02-28,2011-05-09,2011-05-23,2011-08-08,2011-11-08,2012-02-28,2012-05-10,2012-08-08,2012-11-08,2013-02-28,2013-05-09,2013-08-08,2013-11-08,2014-02-28,2014-05-09,2014-08-08,2014-11-07,2015-02-27,2015-05-08,2015-08-07,2015-11-06,2016-02-26,2016-05-09,2016-05-10,2016-08-08,2016-11-08,2017-02-28,2017-05-08,2017-08-07,2017-11-07,2018-02-28,2018-05-07,2018-08-08,2018-11-07,2019-02-27,2019-05-06,2019-08-08,2019-11-06,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-26,2021-05-07,2021-08-06,2021-11-08,2022-02-28,2022-05-09,2022-08-08,2022-11-08,2023-02-28,2023-05-09,2023-08-08,2023-11-08,2024-02-28,2024-05-09,2024-08-08,2024-11-08,2025-02-28,2025-05-09,2025-08-08,2025-11-07
AccountsPayableCurrent / USD,818153000.0,818153000.0,818153000.0,818153000.0,895736000.0,895736000.0,895736000.0,895736000.0,895736000.0,1279294000.0,1279294000.0,1279294000.0,1279294000.0,1929112000.0,1929112000.0,1929112000.0,1929112000.0,2056521000.0,2056521000.0,2056521000.0,2056521000.0,2417167000.0,2417167000.0,2417167000.0,2417167000.0,2608231000.0,2608231000.0,2608231000.0,2608231000.0,2608231000.0,2936656000.0,2936656000.0,2936656000.0,2936656000.0,3190029000.0,3190029000.0,3190029000.0,3190029000.0,3376403000.0,3376403000.0,3376403000.0,3376403000.0,3604722000.0,3604722000.0,3604722000.0,3604722000.0,4184662000.0,4184662000.0,4184662000.0,4184662000.0,4695312000.0,4695312000.0,4695312000.0,4695312000.0,5881157000.0,5881157000.0,5881157000.0,5881157000.0,6091700000.0,6091700000.0,6091700000.0,6091700000.0,6524811000.0,6524811000.0,6524811000.0
AccountsPayableTradeCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200000000.0,4200000000.0,4200000000.0,4200000000.0,,,,4400000000.0,,,
AccountsReceivableNetCurrent / USD,107887000.0,107887000.0,107887000.0,107887000.0,121807000.0,121807000.0,121807000.0,121807000.0,121807000.0,135149000.0,135149000.0,135149000.0,135149000.0,122989000.0,122989000.0,122989000.0,122989000.0,131504000.0,131504000.0,131504000.0,131504000.0,143900000.0,143900000.0,143900000.0,143900000.0,161078000.0,161078000.0,161078000.0,161078000.0,161078000.0,197274000.0,197274000.0,197274000.0,197274000.0,216251000.0,216251000.0,216251000.0,216251000.0,192026000.0,192026000.0,192026000.0,192026000.0,214915000.0,214915000.0,214915000.0,214915000.0,229679000.0,229679000.0,229679000.0,229679000.0,272562000.0,272562000.0,272562000.0,272562000.0,343155000.0,343155000.0,343155000.0,343155000.0,375049000.0,375049000.0,375049000.0,375049000.0,356839000.0,356839000.0,356839000.0
AccruedIncomeTaxesCurrent / USD,8068000.0,8068000.0,8068000.0,8068000.0,4827000.0,4827000.0,4827000.0,4827000.0,4827000.0,37146000.0,,11702000.0,5932000.0,5932000.0,5932000.0,5932000.0,5932000.0,0.0,0.0,18645000.0,,0.0,0.0,0.0,,1444000.0,1444000.0,1444000.0,1444000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,11013000.0,11013000.0,11013000.0,11013000.0,0.0,0.0,0.0,0.0,16786000.0,16786000.0,16786000.0,16786000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7860000.0,7860000.0,7860000.0,7860000.0,6274000.0,6274000.0,6274000.0
AccruedSalariesCurrent / USD,42790000.0,42790000.0,42790000.0,42790000.0,52725000.0,52725000.0,52725000.0,52725000.0,52725000.0,52465000.0,52465000.0,52465000.0,52465000.0,60120000.0,60120000.0,60120000.0,60120000.0,65520000.0,65520000.0,65520000.0,65520000.0,78442000.0,78442000.0,78442000.0,78442000.0,59101000.0,59101000.0,59101000.0,59101000.0,59101000.0,71717000.0,71717000.0,71717000.0,71717000.0,77147000.0,77147000.0,77147000.0,77147000.0,86520000.0,86520000.0,86520000.0,86520000.0,100816000.0,100816000.0,100816000.0,100816000.0,88875000.0,88875000.0,88875000.0,88875000.0,107588000.0,107588000.0,107588000.0,107588000.0,126888000.0,126888000.0,126888000.0,126888000.0,138122000.0,138122000.0,138122000.0,138122000.0,107495000.0,107495000.0,107495000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,626861000.0,626861000.0,626861000.0,626861000.0,775339000.0,775339000.0,775339000.0,775339000.0,775339000.0,933229000.0,933229000.0,933229000.0,933229000.0,1057980000.0,1057980000.0,1057980000.0,1057980000.0,1181734000.0,1181734000.0,1181734000.0,1181734000.0,1334949000.0,1334949000.0,1334949000.0,1334949000.0,1510694000.0,1510694000.0,1510694000.0,1510694000.0,1510694000.0,1708911000.0,1708911000.0,1708911000.0,1708911000.0,1847329000.0,1847329000.0,1847329000.0,1847329000.0,2058550000.0,2058550000.0,2058550000.0,2058550000.0,2243224000.0,2243224000.0,2243224000.0,2243224000.0,2464993000.0,2464993000.0,2464993000.0,2464993000.0,2734523000.0,2734523000.0,2734523000.0,2734523000.0,3014024000.0,3014024000.0,3014024000.0,3014024000.0,3275387000.0,3275387000.0,3275387000.0,3275387000.0,3587098000.0,3587098000.0,3587098000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-7962000.0,-7962000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4890000.0,4890000.0,4890000.0,4890000.0,-2155000.0,-2155000.0,-2155000.0,-2155000.0,-6799000.0,-6799000.0,-6799000.0,-6799000.0,2996000.0,2996000.0,2996000.0,2996000.0,39388000.0,39388000.0,39388000.0,39388000.0,-42813000.0,-42813000.0,-42813000.0
AdditionalPaidInCapitalCommonStock / USD,1042329000.0,1042329000.0,1042329000.0,1042329000.0,1141749000.0,1141749000.0,1141749000.0,1141749000.0,1141749000.0,1110105000.0,1110105000.0,1110105000.0,1110105000.0,1083910000.0,1083910000.0,1083910000.0,1083910000.0,1118929000.0,1118929000.0,1118929000.0,1118929000.0,1194929000.0,1194929000.0,1194929000.0,1194929000.0,1281497000.0,1281497000.0,1281497000.0,1281497000.0,1281497000.0,1336707000.0,1336707000.0,1336707000.0,1336707000.0,1265043000.0,1265043000.0,1265043000.0,1265043000.0,1262063000.0,1262063000.0,1262063000.0,1262063000.0,1280760000.0,1280760000.0,1280760000.0,1280760000.0,1280841000.0,1280841000.0,1280841000.0,1280841000.0,1305508000.0,1305508000.0,1305508000.0,1305508000.0,1311488000.0,1311488000.0,1311488000.0,1311488000.0,1352275000.0,1352275000.0,1352275000.0,1352275000.0,1462565000.0,1454518000.0,1454518000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,8822000.0,,,,,14410000.0,,,,16052000.0,,,,18922000.0,,,,19996000.0,,,,19531000.0,,,,,20474000.0,,,,20274000.0,,,13485000.0,17566000.0,4835000.0,9460000.0,14113000.0,17773000.0,5085000.0,10328000.0,15540000.0,18806000.0,5524000.0,10778000.0,15968000.0,20534000.0,5912000.0,11799000.0,17367000.0,21259000.0,6094000.0,11811000.0,17563000.0,23054000.0,6980000.0,13655000.0,20555000.0,24650000.0,6548000.0,13273000.0,20138000.0
AdvertisingExpense / USD,,,,65600000.0,,,,,72900000.0,,,,70000000.0,,,,73800000.0,,,,74800000.0,,,,78300000.0,,,,,79000000.0,,,,79300000.0,,,,83000000.0,,,,83700000.0,,,,81400000.0,,,,79300000.0,,,,73800000.0,,,,72500000.0,,,,81500000.0,,,
