fact_unit,2010-05-11,2010-08-10,2010-11-29,2011-02-08,2011-05-11,2011-08-09,2011-11-28,2012-02-07,2012-05-08,2012-08-01,2012-11-21,2013-01-31,2013-05-01,2013-07-31,2013-11-18,2014-01-29,2014-05-02,2014-07-30,2014-11-25,2015-02-04,2015-05-06,2015-08-05,2015-11-24,2016-02-03,2016-05-04,2016-08-03,2016-11-22,2017-02-07,2017-05-03,2017-07-27,2017-11-13,2018-02-05,2018-05-04,2018-07-20,2018-11-15,2019-02-06,2019-05-03,2019-08-07,2019-11-14,2020-01-24,2020-01-27,2020-05-05,2020-07-24,2020-11-17,2021-01-29,2021-04-30,2021-07-30,2021-11-24,2022-01-28,2022-02-04,2022-05-04,2022-08-05,2022-11-23,2023-01-27,2023-02-07,2023-05-09,2023-08-08,2023-11-17,2024-01-26,2024-01-31,2024-05-01,2024-07-31,2024-11-15,2025-01-24,2025-02-05,2025-05-07,2025-08-05,2025-11-07
AccountsPayableCurrent / USD,69098000.0,69098000.0,69098000.0,111967000.0,111967000.0,111967000.0,111967000.0,115290000.0,115290000.0,115290000.0,115290000.0,140583000.0,140600000.0,140600000.0,140600000.0,126500000.0,126500000.0,126500000.0,126500000.0,200600000.0,200600000.0,200600000.0,200600000.0,291100000.0,291100000.0,291100000.0,291100000.0,110400000.0,110400000.0,110400000.0,110400000.0,258400000.0,258400000.0,258400000.0,258400000.0,229900000.0,229900000.0,229900000.0,229900000.0,190500000.0,,190500000.0,190500000.0,190500000.0,226900000.0,226900000.0,226900000.0,226900000.0,,236000000.0,236000000.0,236000000.0,236000000.0,,274200000.0,274200000.0,274200000.0,274200000.0,,159200000.0,159200000.0,159200000.0,159200000.0,,171800000.0,171800000.0,171800000.0,171800000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,20000000.0,,,,26500000.0,,,,26500000.0,,,,32200000.0,19300000.0,20300000.0,,62500000.0,21400000.0,43800000.0,,29700000.0,,29700000.0,29700000.0,,31200000.0,31200000.0,31200000.0,31200000.0,,88600000.0,88600000.0,88600000.0,88600000.0,,48800000.0,48800000.0,48800000.0,48800000.0,,58800000.0,58800000.0,58800000.0,58800000.0,,52500000.0,52500000.0,52500000.0,52500000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,362295000.0,362295000.0,362295000.0,421873000.0,421873000.0,421873000.0,421873000.0,475205000.0,475200000.0,475200000.0,475200000.0,530700000.0,530700000.0,530700000.0,530700000.0,621200000.0,621200000.0,621200000.0,621200000.0,759000000.0,759000000.0,759000000.0,759000000.0,961500000.0,961500000.0,961500000.0,961500000.0,1176700000.0,1176700000.0,1176700000.0,1176700000.0,1408800000.0,1408800000.0,1408800000.0,1408800000.0,1678300000.0,,1678300000.0,1678300000.0,1678300000.0,1930400000.0,1930400000.0,1930400000.0,1930400000.0,,2208400000.0,2208400000.0,2208400000.0,2208400000.0,,2506300000.0,2506300000.0,2506300000.0,2506300000.0,,2781600000.0,2781600000.0,2781600000.0,2781600000.0,,2929800000.0,2929800000.0,2929800000.0,2929800000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1380000.0,-1380000.0,-1380000.0,-1297000.0,-1297000.0,-1297000.0,-1380000.0,-1331000.0,-1331000.0,-1331000.0,-1297000.0,-1593000.0,-1600000.0,-1600000.0,-1600000.0,-900000.0,-900000.0,-900000.0,-900000.0,-4900000.0,-4900000.0,-4900000.0,-4900000.0,-8200000.0,-8200000.0,-8200000.0,-8200000.0,-10900000.0,-10900000.0,-10900000.0,-10900000.0,-8500000.0,-8500000.0,-8500000.0,-8500000.0,-8800000.0,-8800000.0,-8800000.0,-8800000.0,-7900000.0,,-7900000.0,-7900000.0,-7900000.0,-7800000.0,-7800000.0,-7800000.0,-7800000.0,,-7900000.0,-7900000.0,-7900000.0,-7900000.0,,-4800000.0,-4800000.0,-4800000.0,-4800000.0,,-5600000.0,-5600000.0,-5600000.0,-5600000.0,,-5600000.0,-5600000.0,-5600000.0,-5600000.0
AdditionalPaidInCapitalCommonStock / USD,1568416000.0,1568416000.0,1568416000.0,1641406000.0,1641406000.0,1641406000.0,1641406000.0,1795958000.0,1795958000.0,1795958000.0,1795958000.0,1920030000.0,1920000000.0,1920000000.0,1920000000.0,2041400000.0,2041400000.0,2041400000.0,2041400000.0,2248200000.0,2248200000.0,2248200000.0,2248200000.0,2495200000.0,2495200000.0,2495200000.0,2495200000.0,2686000000.0,2686000000.0,2686000000.0,2686000000.0,2893800000.0,2893800000.0,2893800000.0,2893800000.0,3061000000.0,3061000000.0,3061000000.0,3061000000.0,3188000000.0,,3188000000.0,3188000000.0,3188000000.0,3403700000.0,3403700000.0,3403700000.0,3403700000.0,,79600000.0,79600000.0,79600000.0,79600000.0,,11900000.0,11900000.0,11900000.0,11900000.0,,172400000.0,172400000.0,172400000.0,172400000.0,,269400000.0,269400000.0,269400000.0,269400000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,,56200000.0,,,,71900000.0,,,,70600000.0,,,,75800000.0,,,,89600000.0,,,,79700000.0,25500000.0,25500000.0,25500000.0,88500000.0,21300000.0,,21300000.0,21300000.0,105400000.0,29100000.0,29100000.0,29100000.0,82500000.0,,37400000.0,37400000.0,37400000.0,134700000.0,,42000000.0,42000000.0,42000000.0,158100000.0,,49700000.0,49700000.0,49700000.0,173900000.0,,52600000.0,52600000.0,52600000.0,191500000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,21700000.0,48400000.0,74400000.0,,23300000.0,40400000.0,58300000.0,,21600000.0,43700000.0,64300000.0,,25800000.0,66800000.0,86300000.0,,20800000.0,,42600000.0,58600000.0,,33600000.0,73800000.0,111600000.0,,,44500000.0,100800000.0,144300000.0,,,50400000.0,106100000.0,158200000.0,,,49400000.0,90400000.0,135200000.0,195200000.0,,53300000.0,99300000.0,142100000.0,185100000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,2845000.0,2845000.0,2845000.0,1177000.0,1177000.0,1177000.0,1177000.0,785000.0,785000.0,785000.0,785000.0,521264.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,800000.0,800000.0,800000.0,800000.0,400000.0,400000.0,400000.0,400000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,600000.0,600000.0,600000.0,600000.0,800000.0,,800000.0,800000.0,800000.0,600000.0,600000.0,600000.0,600000.0,,700000.0,700000.0,700000.0,700000.0,,800000.0,800000.0,800000.0,,,800000.0,800000.0,800000.0,,,900000.0,900000.0,900000.0,
AmortizationOfFinancingCostsAndDiscounts / USD,,,10748000.0,1078000.0,1836000.0,2348000.0,5589000.0,350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,-1000000.0,2000000.0,3000000.0,1100000.0,,700000.0,2000000.0,2900000.0,4000000.0,,1900000.0,1600000.0,2000000.0,4000000.0
AmortizationOfIntangibleAssets / USD,2395000.0,3943000.0,6005000.0,1501000.0,3001000.0,4502000.0,6118000.0,1602000.0,3240000.0,7246000.0,6136000.0,6312000.0,15600000.0,24300000.0,16700000.0,8200000.0,15400000.0,22400000.0,32800000.0,6500000.0,12800000.0,18500000.0,29100000.0,8500000.0,16800000.0,25200000.0,25900000.0,8400000.0,17000000.0,27000000.0,33500000.0,8500000.0,15500000.0,22600000.0,33400000.0,4000000.0,8100000.0,12000000.0,27600000.0,7400000.0,,13100000.0,18600000.0,18300000.0,3100000.0,6300000.0,9000000.0,22600000.0,,8000000.0,17500000.0,23800000.0,46000000.0,,80000000.0,145900000.0,211800000.0,86800000.0,,72000000.0,123400000.0,174700000.0,288400000.0,,48100000.0,93600000.0,139600000.0,225900000.0
