fact_unit,2011-07-19,2011-10-18,2012-02-07,2012-04-17,2012-07-17,2012-10-16,2013-01-23,2013-04-16,2013-07-16,2013-10-16,2014-01-22,2014-04-16,2014-07-16,2014-10-15,2015-01-21,2015-04-21,2015-07-22,2015-10-21,2016-01-27,2016-04-20,2016-07-20,2016-10-19,2017-01-25,2017-04-19,2017-07-19,2017-10-18,2018-01-24,2018-04-18,2018-07-18,2018-10-17,2019-01-23,2019-04-17,2019-07-17,2019-10-16,2020-01-29,2020-04-29,2020-07-29,2020-10-28,2021-01-27,2021-04-28,2021-07-28,2021-10-27,2022-01-26,2022-04-27,2022-07-27,2022-10-26,2023-01-25,2023-04-26,2023-07-26,2023-10-25,2024-01-24,2024-04-24,2024-07-24,2024-10-23,2025-01-29,2025-04-23,2025-07-23,2025-10-22
AccountsPayableCurrent / USD,132000000.0,132000000.0,132000000.0,206000000.0,206000000.0,206000000.0,206000000.0,286000000.0,286000000.0,286000000.0,286000000.0,292000000.0,292000000.0,292000000.0,292000000.0,285000000.0,285000000.0,285000000.0,285000000.0,271000000.0,271000000.0,271000000.0,271000000.0,243000000.0,243000000.0,243000000.0,243000000.0,409000000.0,409000000.0,409000000.0,409000000.0,536000000.0,536000000.0,536000000.0,536000000.0,454000000.0,454000000.0,454000000.0,454000000.0,466000000.0,466000000.0,466000000.0,466000000.0,816000000.0,816000000.0,816000000.0,816000000.0,1139000000.0,1139000000.0,1139000000.0,1139000000.0,905000000.0,905000000.0,905000000.0,905000000.0,748000000.0,748000000.0,748000000.0
AccountsReceivableNetCurrent / USD,377000000.0,377000000.0,377000000.0,464000000.0,464000000.0,464000000.0,464000000.0,793000000.0,793000000.0,793000000.0,793000000.0,804000000.0,804000000.0,804000000.0,804000000.0,940000000.0,940000000.0,940000000.0,940000000.0,930000000.0,930000000.0,930000000.0,930000000.0,920000000.0,920000000.0,920000000.0,920000000.0,1233000000.0,1233000000.0,1233000000.0,1233000000.0,1545000000.0,1545000000.0,1545000000.0,1545000000.0,1530000000.0,1530000000.0,1530000000.0,1530000000.0,1315000000.0,1315000000.0,1315000000.0,1315000000.0,1677000000.0,1677000000.0,1677000000.0,1677000000.0,2004000000.0,2004000000.0,2004000000.0,2004000000.0,2230000000.0,2230000000.0,2230000000.0,2230000000.0,2357000000.0,2357000000.0,2357000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,,,,14000000.0,,,,14000000.0,,,,5000000.0,,,,5000000.0,,,,11000000.0,,,,11000000.0,,,
AccruedLiabilitiesCurrent / USD,208000000.0,208000000.0,208000000.0,263000000.0,263000000.0,263000000.0,263000000.0,435000000.0,435000000.0,435000000.0,435000000.0,,,390000000.0,390000000.0,575000000.0,575000000.0,575000000.0,575000000.0,355000000.0,355000000.0,355000000.0,355000000.0,344000000.0,344000000.0,344000000.0,344000000.0,536000000.0,536000000.0,536000000.0,536000000.0,677000000.0,677000000.0,677000000.0,677000000.0,747000000.0,747000000.0,747000000.0,747000000.0,720000000.0,720000000.0,720000000.0,720000000.0,881000000.0,881000000.0,881000000.0,881000000.0,1145000000.0,1145000000.0,1145000000.0,1145000000.0,1267000000.0,1267000000.0,1267000000.0,1267000000.0,1397000000.0,1397000000.0,1397000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,87000000.0,87000000.0,87000000.0,75000000.0,75000000.0,75000000.0,75000000.0,84000000.0,84000000.0,84000000.0,84000000.0,19000000.0,19000000.0,19000000.0,19000000.0,-74000000.0,-74000000.0,-74000000.0,-74000000.0,-250000000.0,-250000000.0,-250000000.0,-250000000.0,-218000000.0,-218000000.0,-218000000.0,-218000000.0,-151000000.0,-151000000.0,-151000000.0,-151000000.0,-237000000.0,-237000000.0,-237000000.0,-237000000.0,-186000000.0,-186000000.0,-186000000.0,-186000000.0,-146000000.0,-146000000.0,-146000000.0,-146000000.0,-171000000.0,-171000000.0,-171000000.0,-171000000.0,-264000000.0,-264000000.0,-264000000.0,-264000000.0,-228000000.0,-228000000.0,-228000000.0,-228000000.0,-405000000.0,-405000000.0,-405000000.0
AdditionalPaidInCapital / USD,492000000.0,492000000.0,492000000.0,487000000.0,487000000.0,487000000.0,487000000.0,1997000000.0,1997000000.0,1997000000.0,1997000000.0,2054000000.0,2054000000.0,2054000000.0,2054000000.0,2168000000.0,2168000000.0,2168000000.0,2168000000.0,2197000000.0,2197000000.0,2197000000.0,2197000000.0,2288000000.0,2288000000.0,2288000000.0,2288000000.0,2356000000.0,2356000000.0,2356000000.0,2356000000.0,2408000000.0,2408000000.0,2408000000.0,2408000000.0,2440000000.0,2440000000.0,2440000000.0,2440000000.0,2482000000.0,2482000000.0,2482000000.0,2482000000.0,2567000000.0,2567000000.0,2567000000.0,2567000000.0,2626000000.0,2626000000.0,2626000000.0,2626000000.0,2650000000.0,2650000000.0,2650000000.0,2650000000.0,2691000000.0,2691000000.0,2691000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,29000000.0,29000000.0,29000000.0,33000000.0,33000000.0,33000000.0,33000000.0,64000000.0,64000000.0,64000000.0,64000000.0,49000000.0,49000000.0,49000000.0,49000000.0,43000000.0,43000000.0,43000000.0,43000000.0,55000000.0,55000000.0,55000000.0,55000000.0,54000000.0,54000000.0,54000000.0,54000000.0,68000000.0,68000000.0,68000000.0,68000000.0,93000000.0,93000000.0,93000000.0,93000000.0,103000000.0,103000000.0,103000000.0,103000000.0,108000000.0,108000000.0,108000000.0,108000000.0,112000000.0,112000000.0,123000000.0,134000000.0,146000000.0,147000000.0,158000000.0,169000000.0,174000000.0,176000000.0,184000000.0,186000000.0,181000000.0,183000000.0,180000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,11000000.0,17000000.0,17000000.0,5000000.0,11000000.0,17000000.0,23000000.0,5000000.0,12000000.0,17000000.0,22000000.0,6000000.0,11000000.0,16000000.0,23000000.0,5000000.0,10000000.0,14000000.0,21000000.0,3000000.0,5000000.0,8000000.0,17000000.0,2000000.0,4000000.0,7000000.0,10000000.0,2000000.0,4000000.0,6000000.0,9000000.0,3000000.0,6000000.0,9000000.0,9000000.0,4000000.0,8000000.0,11000000.0,12000000.0,4000000.0,7000000.0,11000000.0,15000000.0,3000000.0,6000000.0,9000000.0,14000000.0,3000000.0,6000000.0,9000000.0,13000000.0,4000000.0,7000000.0,11000000.0,13000000.0,4000000.0,7000000.0,11000000.0
AmortizationOfIntangibleAssets / USD,,,8000000.0,,3000000.0,6000000.0,7000000.0,,,,8000000.0,,91000000.0,135000000.0,128000000.0,,,,178000000.0,,,,204000000.0,,90000000.0,132000000.0,193000000.0,,,125000000.0,174000000.0,,,,173000000.0,,,,213000000.0,,131000000.0,192000000.0,290000000.0,,,,250000000.0,62000000.0,117000000.0,170000000.0,233000000.0,79000000.0,144000000.0,210000000.0,219000000.0,,,
Assets / USD,3693000000.0,3693000000.0,3693000000.0,4143000000.0,4143000000.0,4143000000.0,4143000000.0,11026000000.0,11026000000.0,11026000000.0,11026000000.0,11231000000.0,11231000000.0,11231000000.0,11231000000.0,12467000000.0,12467000000.0,12467000000.0,10876000000.0,12083000000.0,12083000000.0,12083000000.0,12129000000.0,11988000000.0,11988000000.0,11988000000.0,12083000000.0,15030000000.0,15030000000.0,15030000000.0,11988000000.0,18133000000.0,18133000000.0,18133000000.0,15030000000.0,18970000000.0,18970000000.0,18970000000.0,18133000000.0,17868000000.0,17868000000.0,17868000000.0,18970000000.0,20292000000.0,20292000000.0,20292000000.0,17868000000.0,24183000000.0,24183000000.0,24183000000.0,20292000000.0,25589000000.0,25589000000.0,25589000000.0,24183000000.0,28163000000.0,28163000000.0,28163000000.0
