fact_unit,2014-08-08,2014-11-07,2015-03-12,2015-05-15,2015-08-07,2015-11-06,2016-02-25,2016-05-05,2016-08-05,2016-11-03,2017-02-17,2017-05-08,2017-08-04,2017-11-03,2018-02-20,2018-05-04,2018-08-08,2018-11-05,2019-02-15,2019-05-06,2019-08-02,2019-11-01,2020-02-14,2020-05-06,2020-08-05,2020-11-03,2021-02-19,2021-05-06,2021-08-03,2021-11-02,2022-02-15,2022-05-03,2022-08-02,2022-11-01,2023-02-14,2023-05-02,2023-08-01,2023-10-31,2024-02-13,2024-05-08,2024-07-31,2024-11-08,2025-02-19,2025-05-07,2025-08-06,2025-11-05
AllocatedShareBasedCompensationExpense / USD,3815000.0,6399000.0,4703000.0,4703000.0,11487000.0,19569000.0,10159000.0,8839000.0,20047000.0,32325000.0,27619000.0,13360000.0,27592000.0,42708000.0,45303000.0,16439000.0,34839000.0,54991000.0,59032000.0,20851000.0,43329000.0,66583000.0,75427000.0,24291000.0,48588000.0,74845000.0,91202000.0,27556000.0,60478000.0,96947000.0,101280000.0,37553000.0,82497000.0,135632000.0,137042000.0,50279000.0,100503000.0,165980000.0,186875000.0,62881000.0,130008000.0,215398000.0,230934000.0,77200000.0,156500000.0,254600000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,5100000.0,,,,5100000.0,,,,5100000.0,,,,13400000.0,,15019000.0,24335000.0,33650000.0,7300000.0,15000000.0,24300000.0,33437000.0,6690000.0,18600000.0,26700000.0,26760000.0,5600000.0,159900000.0,159900000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,188000.0,103000.0,73000.0,2594000.0,48000.0,8300000.0,146000.0,58000.0,267000.0,247000.0,270000.0,211000.0,601000.0,626000.0,479000.0,1600000.0,560000.0,520000.0,368000.0,1712000.0,80000.0,431000.0,483000.0,335000.0,374000.0,498000.0,341000.0,2009000.0,700000000.0,400000.0,300000.0
Assets / USD,364520000.0,364520000.0,364520000.0,364520000.0,811023000.0,811023000.0,811023000.0,1159890000.0,1159890000.0,1159890000.0,1159890000.0,1729007000.0,1729007000.0,1729007000.0,1729007000.0,2460860000.0,2460860000.0,2460860000.0,2460860000.0,3081983000.0,3081983000.0,3081983000.0,3081983000.0,4185290000.0,4185290000.0,4185290000.0,4185290000.0,4738919000.0,4738919000.0,4738919000.0,4738919000.0,5734429000.0,5734429000.0,5734429000.0,5734429000.0,6775410000.0,6775410000.0,6775410000.0,6775410000.0,9946806000.0,9946806000.0,9956635000.0,9956635000.0,14043900000.0,14043900000.0,14043900000.0
AssetsCurrent / USD,285523000.0,282766000.0,282766000.0,282766000.0,679479000.0,679479000.0,679479000.0,974328000.0,974328000.0,974328000.0,974328000.0,1526126000.0,1526126000.0,1526126000.0,1526126000.0,2266429000.0,2266429000.0,2266429000.0,2266429000.0,2714802000.0,2714802000.0,2714802000.0,2714802000.0,3471636000.0,3471636000.0,3471636000.0,3471636000.0,3836998000.0,3836998000.0,3836998000.0,3836998000.0,4812676000.0,4812676000.0,4812676000.0,4812676000.0,5550748000.0,5550748000.0,5550748000.0,5550748000.0,8390235000.0,8390235000.0,8400064000.0,8400064000.0,11910900000.0,11910900000.0,11910900000.0
AssetsFairValueDisclosure / USD,,,,,,,,,,,,,,,,,,1395741000.0,1395741000.0,1632491000.0,1632491000.0,1632491000.0,1632491000.0,2183892000.0,2183892000.0,2183892000.0,2183892000.0,2422738000.0,2422738000.0,2422738000.0,2422738000.0,3013121000.0,3013121000.0,3013121000.0,3013121000.0,2753554000.0,2753554000.0,2753554000.0,2753554000.0,4087924000.0,4087924000.0,4087924000.0,4087924000.0,7284400000.0,7284400000.0,7284400000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,2000.0,323000.0,231000.0,114000.0,114000.0,114000.0,114000.0,114000.0,22000.0,22000.0,22000.0,22000.0,622000.0,622000.0,622000.0,622000.0,3383000.0,3383000.0,3383000.0,3383000.0,1700000.0,1700000.0,1700000.0,1700000.0,144000.0,144000.0,144000.0,144000.0,357000.0,357000.0,357000.0,357000.0,6827000.0,6827000.0,6827000.0,6827000.0,8700000.0,8700000.0,8700000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,51000.0,116000.0,137000.0,566000.0,566000.0,566000.0,566000.0,566000.0,1611000.0,1611000.0,1611000.0,1611000.0,2196000.0,2196000.0,2196000.0,2196000.0,134000.0,134000.0,134000.0,134000.0,334000.0,334000.0,334000.0,334000.0,6270000.0,6270000.0,6270000.0,6270000.0,28876000.0,28876000.0,28876000.0,28876000.0,4160000.0,4160000.0,4160000.0,4160000.0,13500000.0,13500000.0,13500000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,,9091000.0,201798000.0,171170000.0,140879000.0,168732000.0,185071000.0,300957000.0,386506000.0,559733000.0,781299000.0,792542000.0,875498000.0,976638000.0,932285000.0,936777000.0,915069000.0,1173934000.0,1340607000.0,1161664000.0,1151647000.0,1246986000.0,1258837000.0,1559405000.0,1691472000.0,1765710000.0,1700701000.0,1773158000.0,1664174000.0,1608879000.0,1494804000.0,1517054000.0,1627780000.0,1774688000.0,2196729000.0,2591487000.0,2749020000.0,2534600000.0,2617000000.0,2893300000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,0.0,0.0,0.0,0.0,299910000.0,299910000.0,299910000.0,299910000.0,676363000.0,676363000.0,676363000.0,676363000.0,1306197000.0,1306197000.0,1306197000.0,1306197000.0,1613082000.0,1613082000.0,1613082000.0,1613082000.0,1979649000.0,1979649000.0,1979649000.0,1979649000.0,2742571000.0,2742571000.0,2742571000.0,2742571000.0,2322469000.0,2322469000.0,2322469000.0,2322469000.0,3064362000.0,3844923000.0,4253249000.0,5541116000.0,6304500000.0,6618900000.0,7779600000.0
