fact_unit,2011-08-11,2011-11-10,2012-03-29,2012-05-09,2012-08-08,2012-11-08,2013-02-27,2013-05-08,2013-08-07,2013-11-07,2014-02-27,2014-05-08,2014-08-07,2014-11-06,2014-11-10,2015-02-19,2015-05-07,2015-08-06,2015-11-05,2016-02-18,2016-05-05,2016-08-04,2016-11-03,2017-02-16,2017-05-04,2017-08-03,2017-11-08,2018-02-15,2018-05-03,2018-08-02,2018-11-08,2019-02-14,2019-05-02,2019-08-01,2019-11-07,2020-02-13,2020-05-07,2020-08-06,2020-11-05,2021-02-11,2021-05-06,2021-08-05,2021-11-04,2022-02-10,2022-05-05,2022-08-04,2022-11-03,2023-02-09,2023-05-04,2023-08-03,2023-11-02,2024-02-01,2024-05-02,2024-08-01,2024-10-31,2025-02-06,2025-05-01,2025-07-31,2025-10-30
AccountsPayableCurrent / USD,274000000.0,274000000.0,274000000.0,380000000.0,380000000.0,380000000.0,380000000.0,377000000.0,377000000.0,377000000.0,377000000.0,337000000.0,337000000.0,337000000.0,377000000.0,337000000.0,269000000.0,269000000.0,269000000.0,269000000.0,317000000.0,317000000.0,317000000.0,317000000.0,316000000.0,316000000.0,316000000.0,316000000.0,375000000.0,375000000.0,375000000.0,375000000.0,562000000.0,562000000.0,562000000.0,562000000.0,497000000.0,497000000.0,497000000.0,497000000.0,460000000.0,460000000.0,460000000.0,460000000.0,603000000.0,603000000.0,603000000.0,603000000.0,642000000.0,642000000.0,642000000.0,642000000.0,554000000.0,554000000.0,554000000.0,554000000.0,598000000.0,598000000.0,598000000.0
AccountsReceivableGross / USD,,,,,,,714000000.0,,,,909000000.0,,,,909000000.0,1130000000.0,,,,1045000000.0,,,,1078000000.0,,,,1168000000.0,,,,442000000.0,,,,261000000.0,,,,321000000.0,,,,399000000.0,,,,442000000.0,,,,638000000.0,,,,469000000.0,,,
AccountsReceivableNet / USD,,,,,,,711000000.0,,,,905000000.0,,,,905000000.0,1123000000.0,,,,1038000000.0,,,,1074000000.0,,,,1164000000.0,,,,429000000.0,,,,252000000.0,,,,318000000.0,,,,397000000.0,,,,433000000.0,,,,636000000.0,,,,461000000.0,,,
AccountsReceivableNetCurrent / USD,728000000.0,728000000.0,728000000.0,711000000.0,711000000.0,711000000.0,711000000.0,905000000.0,905000000.0,905000000.0,905000000.0,1123000000.0,1123000000.0,1123000000.0,905000000.0,1123000000.0,1038000000.0,1038000000.0,1038000000.0,1038000000.0,1074000000.0,1074000000.0,1074000000.0,1074000000.0,1164000000.0,1164000000.0,1164000000.0,1164000000.0,429000000.0,429000000.0,429000000.0,429000000.0,252000000.0,252000000.0,252000000.0,252000000.0,318000000.0,318000000.0,318000000.0,318000000.0,397000000.0,397000000.0,397000000.0,397000000.0,433000000.0,433000000.0,433000000.0,433000000.0,636000000.0,636000000.0,636000000.0,636000000.0,461000000.0,461000000.0,461000000.0,461000000.0,212000000.0,212000000.0,212000000.0
AccruedEmployeeBenefitsCurrent / USD,,203000000.0,203000000.0,221000000.0,221000000.0,221000000.0,221000000.0,235000000.0,235000000.0,235000000.0,235000000.0,230000000.0,230000000.0,230000000.0,235000000.0,230000000.0,248000000.0,248000000.0,248000000.0,248000000.0,215000000.0,215000000.0,215000000.0,215000000.0,241000000.0,241000000.0,241000000.0,241000000.0,245000000.0,245000000.0,245000000.0,245000000.0,248000000.0,248000000.0,248000000.0,248000000.0,265000000.0,265000000.0,265000000.0,265000000.0,293000000.0,293000000.0,,293000000.0,,,,361000000.0,345000000.0,345000000.0,345000000.0,345000000.0,382000000.0,382000000.0,382000000.0,382000000.0,392000000.0,392000000.0,392000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,1010000000.0,,,,1160000000.0,,,,1313000000.0,1404000000.0,1404000000.0,1404000000.0,1313000000.0,1404000000.0,1351000000.0,1351000000.0,1351000000.0,1351000000.0,1489000000.0,1489000000.0,1489000000.0,1489000000.0,1627000000.0,1627000000.0,1627000000.0,1627000000.0,-1770000000.0,-1770000000.0,1770000000.0,1770000000.0,1829000000.0,1829000000.0,1829000000.0,1829000000.0,1961000000.0,1961000000.0,1961000000.0,1961000000.0,2024000000.0,2024000000.0,2024000000.0,2024000000.0,2149000000.0,2149000000.0,2149000000.0,2149000000.0,2319000000.0,2319000000.0,2319000000.0,2319000000.0,2467000000.0,2467000000.0,2467000000.0,2467000000.0,2583000000.0,2583000000.0,2583000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-515000000.0,-515000000.0,-515000000.0,-849000000.0,,,-532000000.0,-1226000000.0,-1226000000.0,-1226000000.0,-532000000.0,-1226000000.0,-1226000000.0,-1226000000.0,-532000000.0,-862000000.0,-521000000.0,-521000000.0,-521000000.0,-1226000000.0,-862000000.0,-862000000.0,-862000000.0,-521000000.0,-845000000.0,-845000000.0,-845000000.0,-862000000.0,-951000000.0,-951000000.0,-951000000.0,-845000000.0,-900000000.0,-900000000.0,-900000000.0,-951000000.0,-1288000000.0,-1288000000.0,-1288000000.0,-900000000.0,-1409000000.0,-1409000000.0,-1409000000.0,-1288000000.0,-1547000000.0,-1547000000.0,-1547000000.0,-1409000000.0,-923000000.0,-923000000.0,-923000000.0,-1547000000.0,-599000000.0,-599000000.0,-599000000.0,-923000000.0,-422000000.0,-422000000.0,-28000000.0
AdditionalPaidInCapitalCommonStock / USD,,1848000000.0,0.0,1862000000.0,1862000000.0,1862000000.0,1867000000.0,1894000000.0,1894000000.0,1894000000.0,1894000000.0,1925000000.0,1925000000.0,1925000000.0,1894000000.0,1925000000.0,1959000000.0,1959000000.0,1959000000.0,1959000000.0,1978000000.0,1978000000.0,1978000000.0,1978000000.0,1964000000.0,1964000000.0,1964000000.0,1964000000.0,1942000000.0,1942000000.0,1942000000.0,1942000000.0,1954000000.0,1954000000.0,1954000000.0,1954000000.0,1961000000.0,1961000000.0,1961000000.0,1961000000.0,1972000000.0,1972000000.0,1972000000.0,1972000000.0,1998000000.0,1998000000.0,1998000000.0,1998000000.0,2022000000.0,2022000000.0,2022000000.0,2022000000.0,2045000000.0,2045000000.0,2045000000.0,2045000000.0,2045000000.0,2045000000.0,2045000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,17000000.0,26000000.0,16000000.0,8000000.0,16000000.0,25000000.0,46000000.0,9000000.0,19000000.0,28000000.0,46000000.0,41000000.0,5000000.0,11000000.0,22000000.0,44000000.0,4000000.0,21000000.0,29000000.0,34000000.0,5000000.0,11000000.0,22000000.0,43000000.0,6000000.0,20000000.0,27000000.0,36000000.0,7000000.0,15000000.0,27000000.0,34000000.0,5000000.0,12000000.0,19000000.0,36000000.0,7000000.0,13000000.0,16000000.0,30000000.0,9000000.0,12000000.0,19000000.0,23000000.0,9000000.0,16000000.0,28000000.0,33000000.0,12000000.0,,,36000000.0,,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,3000000.0,,,,4000000.0,,,,4000000.0,7000000.0,,,,7000000.0,,,,4000000.0,,,,4000000.0,,,,13000000.0,,,,9000000.0,,,,3000000.0,,,,2000000.0,,,,9000000.0,,,,2000000.0,,,,8000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,-4000000.0,4000000.0,4000000.0,4000000.0,-13000000.0,-13000000.0,-13000000.0,13000000.0,-9000000.0,-9000000.0,-9000000.0,9000000.0,-3000000.0,-3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,9000000.0,9000000.0,9000000.0,9000000.0,2000000.0,2000000.0,2000000.0,,8000000.0,8000000.0,8000000.0,,2000000.0,2000000.0,2000000.0
AmortizationOfIntangibleAssets / USD,14000000.0,,,,,15000000.0,,5000000.0,10000000.0,15000000.0,20000000.0,6000000.0,11000000.0,16000000.0,20000000.0,19000000.0,6000000.0,12000000.0,20000000.0,20000000.0,7000000.0,13000000.0,19000000.0,28000000.0,5000000.0,11000000.0,16000000.0,26000000.0,11000000.0,20000000.0,30000000.0,23000000.0,9000000.0,18000000.0,28000000.0,40000000.0,11000000.0,23000000.0,35000000.0,36000000.0,11000000.0,26000000.0,41000000.0,47000000.0,13000000.0,26000000.0,48000000.0,56000000.0,35000000.0,70000000.0,105000000.0,86000000.0,32000000.0,64000000.0,96000000.0,140000000.0,27000000.0,54000000.0,82000000.0
Assets / USD,5203000000.0,5203000000.0,5203000000.0,6001000000.0,6001000000.0,6001000000.0,5240000000.0,6392000000.0,6392000000.0,6392000000.0,6069000000.0,6225000000.0,6225000000.0,6225000000.0,6069000000.0,6392000000.0,6269000000.0,6269000000.0,6269000000.0,6190000000.0,6024000000.0,6024000000.0,6024000000.0,6239000000.0,6352000000.0,6352000000.0,6352000000.0,6024000000.0,6374000000.0,6374000000.0,6374000000.0,6352000000.0,6383000000.0,6383000000.0,6383000000.0,6374000000.0,7031000000.0,7031000000.0,7031000000.0,6383000000.0,8157000000.0,8157000000.0,8157000000.0,7031000000.0,10627000000.0,10627000000.0,10627000000.0,8157000000.0,10857000000.0,10857000000.0,10857000000.0,10627000000.0,11215000000.0,11215000000.0,11215000000.0,11215000000.0,12141000000.0,12141000000.0,12141000000.0
AssetsCurrent / USD,1313000000.0,1313000000.0,1313000000.0,2268000000.0,2268000000.0,2268000000.0,2268000000.0,2484000000.0,2484000000.0,2484000000.0,2484000000.0,2676000000.0,2676000000.0,2676000000.0,2484000000.0,2676000000.0,2546000000.0,2546000000.0,2546000000.0,2417000000.0,2284000000.0,2284000000.0,2284000000.0,2284000000.0,2142000000.0,2142000000.0,2142000000.0,2142000000.0,2195000000.0,2195000000.0,2195000000.0,2195000000.0,1745000000.0,1745000000.0,1745000000.0,1745000000.0,1785000000.0,1785000000.0,1785000000.0,1785000000.0,2444000000.0,2444000000.0,2444000000.0,2444000000.0,2790000000.0,2790000000.0,2790000000.0,2790000000.0,2746000000.0,2746000000.0,2746000000.0,2746000000.0,2880000000.0,2880000000.0,2880000000.0,2880000000.0,3228000000.0,3228000000.0,3228000000.0
AssetsHeldInTrust / USD,,,,,,,,,,,33000000.0,40000000.0,40000000.0,40000000.0,33000000.0,40000000.0,45000000.0,45000000.0,45000000.0,45000000.0,74000000.0,74000000.0,74000000.0,74000000.0,82000000.0,82000000.0,82000000.0,82000000.0,94000000.0,94000000.0,94000000.0,94000000.0,109000000.0,109000000.0,109000000.0,109000000.0,147000000.0,147000000.0,147000000.0,147000000.0,182000000.0,182000000.0,182000000.0,182000000.0,220000000.0,220000000.0,220000000.0,220000000.0,209000000.0,209000000.0,209000000.0,209000000.0,220000000.0,220000000.0,220000000.0,220000000.0,233000000.0,233000000.0,233000000.0
BuildingsAndImprovementsGross / USD,,,1357000000.0,,,,1431000000.0,,,,1486000000.0,,,,1486000000.0,1531000000.0,,,,1498000000.0,,,,1579000000.0,,,,1752000000.0,,,,1923000000.0,,,,2043000000.0,,,,2384000000.0,,,,2442000000.0,,,,2643000000.0,,,,2805000000.0,,,,2954000000.0,,,
