fact_unit,2010-08-09,2010-11-05,2011-03-01,2011-05-06,2011-08-03,2011-11-01,2012-02-29,2012-04-26,2012-07-26,2012-10-30,2013-03-01,2013-04-25,2013-08-08,2013-11-07,2014-02-25,2014-05-01,2014-07-31,2014-10-28,2015-02-19,2015-04-28,2015-07-30,2015-10-27,2016-02-17,2016-04-26,2016-07-27,2016-10-24,2017-02-14,2017-04-24,2017-07-20,2017-10-23,2018-01-22,2018-02-08,2018-05-01,2018-06-18,2018-08-01,2018-10-30,2019-02-07,2019-04-25,2019-07-26,2019-10-28,2020-02-06,2020-05-06,2020-08-06,2020-08-10,2020-11-05,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-11,2022-05-06,2022-07-29,2022-10-27,2023-02-14,2023-04-27,2023-07-27,2023-10-25,2024-02-02,2024-04-26,2024-07-31,2024-10-23,2025-01-31,2025-04-24,2025-07-23,2025-10-23
DepreciationDepletionAndAmortization / USD,173121000.0,272097000.0,255319000.0,107801000.0,217102000.0,330906000.0,377856000.0,128695000.0,263219000.0,402528000.0,449732000.0,152819000.0,1566000000.0,2391000000.0,2982000000.0,755000000.0,1643000000.0,2630000000.0,3187000000.0,1055000000.0,2184000000.0,3322000000.0,3627000000.0,1087000000.0,2162000000.0,3319000000.0,4412000000.0,1552000000.0,3127000000.0,4695000000.0,4412000000.0,4688000000.0,1564000000.0,4688000000.0,3083000000.0,4499000000.0,6243000000.0,1575000000.0,3209000000.0,4846000000.0,5984000000.0,1600000000.0,3185000000.0,,4840000000.0,6486000000.0,1718000000.0,5782000000.0,9932000000.0,6616000000.0,4289000000.0,8366000000.0,12511000000.0,14151000000.0,3585000000.0,7076000000.0,10389000000.0,16383000000.0,3203000000.0,6313000000.0,9500000000.0,13651000000.0,3371000000.0,6619000000.0,9770000000.0
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1071000000.0,0.0,42000000.0,25000000.0,25000000.0,-1087000000.0,,,
DividendsCommonStockCash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745000000.0,747000000.0,1525000000.0,2286000000.0,745000000.0,747000000.0,1525000000.0,2286000000.0,3304000000.0
EarningsPerShareBasic / USD/shares,0.2,0.41,0.43,0.06,0.29,0.51,0.5,0.16,0.39,0.58,0.54,0.06,0.76,-13.69,-8.81,0.2,0.15,0.09,-13.7,-0.19,0.3,0.18,0.05,-0.09,0.33,0.49,0.31,0.57,0.82,1.25,0.31,0.83,0.83,0.83,1.51,2.15,1.71,0.78,1.71,2.65,5.39,1.07,2.16,,3.18,3.4,1.11,1.01,2.08,4.06,0.75,1.53,2.09,2.68,0.57,0.48,0.89,2.42,1.59,3.45,5.28,2.07,2.0,4.5,7.12
EarningsPerShareDiluted / USD/shares,0.2,0.4,0.42,0.06,0.29,0.5,0.49,0.15,0.38,0.57,0.54,0.06,0.76,-13.69,-8.81,0.2,0.15,0.09,-13.7,-0.19,0.3,0.18,0.05,-0.09,0.33,0.48,0.3,0.56,0.81,1.24,0.3,0.82,0.8,0.82,1.47,2.1,1.69,0.78,1.69,2.62,5.2,1.06,2.14,,3.15,3.36,1.1,1.0,2.06,4.02,0.74,1.52,2.07,2.65,0.57,0.48,0.88,2.41,1.58,3.44,5.26,2.06,2.0,4.49,7.1
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,,,,,,,0.39,,0.044,,,,-0.05,,0.434,0.315,0.314,,-0.151,0.123,0.402,0.362,0.373,0.378,0.402,0.251,,0.251,,,0.373,,,,-0.435,,,,,0.263,,,0.264,0.247,,,0.167,0.223,,,,0.098,,,,0.177,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,,,,0.35,,,,0.35,,0.35,,0.35,,,,0.35,,,,0.35,,,,0.35,,,,0.35,0.35,,0.35,,,0.35,,,,0.35,,0.244,,0.253,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,,,,,,,,,-0.044,,,,-0.001,,,,-0.061,,,,0.188,,,,0.188,-0.032,,-0.032,,,0.01,,,,-0.114,,,,,-0.016,,,,-0.018,,,,-0.026,,,,-0.107,,,,-0.008,,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.008,,,,-0.689,,,,,0.019,,,,0.004,,,,-0.008,,,,-0.017,,,,-0.053,,,
