fact_unit,2012-08-10,2012-10-31,2013-03-08,2013-05-08,2013-08-07,2013-11-04,2014-02-28,2014-05-07,2014-08-07,2014-11-05,2015-02-27,2015-05-07,2015-08-06,2015-11-04,2016-02-25,2016-05-06,2016-08-03,2016-11-04,2017-02-28,2017-05-05,2017-08-08,2017-11-06,2018-02-28,2018-05-08,2018-08-08,2018-11-07,2019-02-27,2019-05-03,2019-08-06,2019-10-25,2020-02-20,2020-04-30,2020-07-30,2020-10-29,2021-02-12,2021-04-29,2021-07-29,2021-10-28,2022-02-03,2022-04-28,2022-07-28,2022-10-27,2023-01-31,2023-04-27,2023-07-27,2023-10-26,2024-01-25,2024-05-06,2024-07-25,2024-10-24,2025-01-30,2025-04-23,2025-07-24,2025-10-30
AccountsPayableCurrent / USD,9411000.0,9411000.0,9411000.0,9604000.0,9604000.0,9604000.0,9604000.0,7405000.0,7405000.0,7405000.0,7405000.0,17829000.0,17829000.0,17829000.0,17829000.0,37369000.0,37369000.0,37369000.0,37369000.0,38080000.0,38080000.0,38080000.0,38080000.0,32109000.0,32109000.0,32109000.0,32109000.0,30733000.0,30733000.0,30733000.0,30733000.0,52960000.0,52960000.0,52960000.0,52960000.0,34000000.0,34000000.0,34000000.0,34000000.0,89000000.0,89000000.0,89000000.0,89000000.0,274000000.0,274000000.0,274000000.0,274000000.0,126000000.0,126000000.0,126000000.0,126000000.0,68000000.0,68000000.0,68000000.0
AccountsReceivableNetCurrent / USD,,44860000.0,,,,,,,,,108339000.0,,,,159171000.0,203333000.0,203333000.0,203333000.0,203333000.0,322757000.0,322757000.0,322757000.0,322757000.0,437051000.0,437051000.0,437051000.0,437051000.0,574810000.0,574810000.0,574810000.0,574810000.0,835279000.0,835279000.0,835279000.0,835279000.0,1009000000.0,1009000000.0,1009000000.0,1009000000.0,1390000000.0,1390000000.0,1390000000.0,1390000000.0,1725000000.0,1725000000.0,1725000000.0,1725000000.0,2036000000.0,2036000000.0,2036000000.0,2036000000.0,2240000000.0,2240000000.0,2240000000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000000.0,,,
AccruedLiabilitiesCurrent / USD,25608000.0,25608000.0,25608000.0,48059000.0,48059000.0,48059000.0,48059000.0,68130000.0,68130000.0,68130000.0,68130000.0,79497000.0,79497000.0,79497000.0,79497000.0,101264000.0,101264000.0,101264000.0,101264000.0,171636000.0,171636000.0,171636000.0,171636000.0,253257000.0,253257000.0,253257000.0,253257000.0,330246000.0,330246000.0,330246000.0,330246000.0,461403000.0,461403000.0,461403000.0,461403000.0,668000000.0,668000000.0,668000000.0,668000000.0,850000000.0,850000000.0,850000000.0,850000000.0,975000000.0,975000000.0,975000000.0,975000000.0,1365000000.0,1365000000.0,1365000000.0,1365000000.0,1369000000.0,1369000000.0,1369000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,-4181000.0,4181000.0,4181000.0,16394000.0,16394000.0,16394000.0,16394000.0,38107000.0,38107000.0,38107000.0,38107000.0,67253000.0,67253000.0,67253000.0,67253000.0,101363000.0,101363000.0,101363000.0,101363000.0,150743000.0,150743000.0,150743000.0,150743000.0,235113000.0,235113000.0,235113000.0,235113000.0,338613000.0,338613000.0,338613000.0,338613000.0,457366000.0,457366000.0,457366000.0,457366000.0,632000000.0,632000000.0,632000000.0,632000000.0,825000000.0,825000000.0,825000000.0,825000000.0,995000000.0,995000000.0,995000000.0,995000000.0,1285000000.0,1285000000.0,1285000000.0,1285000000.0,1508000000.0,1508000000.0,1508000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,899000.0,899000.0,899000.0,-36000.0,-36000.0,-36000.0,-36000.0,-476000.0,-476000.0,-476000.0,-476000.0,-12113000.0,-12113000.0,-12113000.0,-12113000.0,-16882000.0,-16882000.0,-16882000.0,-16882000.0,-21133000.0,-21133000.0,-21133000.0,-21133000.0,5767000.0,5767000.0,5767000.0,5767000.0,-4035000.0,-4035000.0,-4035000.0,-4035000.0,25255000.0,25255000.0,25255000.0,25255000.0,94000000.0,94000000.0,94000000.0,94000000.0,34000000.0,34000000.0,34000000.0,34000000.0,-102000000.0,-102000000.0,-102000000.0,-102000000.0,-37000000.0,-37000000.0,-37000000.0,-37000000.0,-68000000.0,-68000000.0,-68000000.0
AdditionalPaidInCapitalCommonStock / USD,9793000.0,9793000.0,9793000.0,348803000.0,348803000.0,348803000.0,348803000.0,573791000.0,573791000.0,573791000.0,573791000.0,799221000.0,799221000.0,799221000.0,799221000.0,1140545000.0,1140545000.0,1140545000.0,1140545000.0,1405317000.0,1405317000.0,1405317000.0,1405317000.0,1731367000.0,1731367000.0,1731367000.0,1731367000.0,2093834000.0,2093834000.0,2093834000.0,2093834000.0,2454741000.0,2454741000.0,2454741000.0,2454741000.0,2974000000.0,2974000000.0,2974000000.0,2974000000.0,3665000000.0,3665000000.0,3665000000.0,3665000000.0,4796000000.0,4796000000.0,4796000000.0,4796000000.0,6131000000.0,6131000000.0,6131000000.0,6131000000.0,7402000000.0,7402000000.0,7402000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,12795000.0,,,,12795000.0,,,,12795000.0,,,,119914000.0,85617000.0,154573000.0,221267000.0,182127000.0,139470000.0,247620000.0,330792000.0,281061000.0,126000000.0,239000000.0,361000000.0,410000000.0,191000000.0,315000000.0,457000000.0,509000000.0,150000000.0,241000000.0,352000000.0,612000000.0,112000000.0,206000000.0,333000000.0,427000000.0,215000000.0,352000000.0,525000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,545000.0,,,,2954000.0,,,,28067000.0,,,,65694000.0,,,,154539000.0,,,,258074000.0,,,,318325000.0,121709000.0,257521000.0,403152000.0,394680000.0,157469000.0,329267000.0,492352000.0,545805000.0,189000000.0,406000000.0,626000000.0,663000000.0,256000000.0,538000000.0,828000000.0,874000000.0,324000000.0,675000000.0,1036000000.0,1130000000.0,381000000.0,778000000.0,1191000000.0,1400000000.0,422000000.0,866000000.0,1292000000.0
AdvertisingExpense / USD,,,,,,,,,,,,,,,21000000.0,,,,17200000.0,,,,26000000.0,,,,32000000.0,,,,43300000.0,,,,65000000.0,,,,115000000.0,,,,172000000.0,,,,198000000.0,,,,201000000.0,,,
