fact_unit,2012-04-12,2013-03-27,2014-02-28,2015-03-06,2016-02-26,2017-03-03,2018-04-11,2019-03-01,2019-10-29,2020-02-27,2020-04-28,2020-07-28,2020-10-27,2021-02-25,2021-04-27,2021-08-03,2021-11-02,2022-02-24,2022-05-03,2022-07-26,2022-11-01,2023-03-01,2023-05-02,2023-07-25,2023-11-07,2024-02-22,2024-04-30,2024-07-23,2024-11-05,2025-02-20,2025-04-29,2025-07-24,2025-10-28
AccountsPayableCurrent / USD,593000000.0,455000000.0,562000000.0,544000000.0,729000000.0,1014000000.0,973000000.0,1146000000.0,999000000.0,999000000.0,944000000.0,944000000.0,944000000.0,944000000.0,991000000.0,991000000.0,991000000.0,991000000.0,1252000000.0,1252000000.0,1252000000.0,1252000000.0,1185000000.0,1185000000.0,1185000000.0,1185000000.0,1164000000.0,1164000000.0,1164000000.0,1164000000.0,1017000000.0,1017000000.0,1017000000.0
AccountsReceivableGrossCurrent / USD,,425000000.0,463000000.0,504000000.0,549000000.0,1048000000.0,1035000000.0,882000000.0,,795000000.0,,,,669000000.0,,,,767000000.0,,,,925000000.0,,,,961000000.0,,,,894000000.0,,,
AccountsReceivableNetCurrent / USD,396000000.0,,,,,1047000000.0,1033000000.0,879000000.0,792000000.0,792000000.0,667000000.0,667000000.0,667000000.0,667000000.0,765000000.0,765000000.0,765000000.0,765000000.0,923000000.0,923000000.0,923000000.0,923000000.0,960000000.0,960000000.0,960000000.0,960000000.0,894000000.0,894000000.0,894000000.0,894000000.0,1032000000.0,1032000000.0,1032000000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,286000000.0,286000000.0,,476000000.0,476000000.0,476000000.0,,467000000.0,467000000.0,467000000.0,,500000000.0,500000000.0,500000000.0,,371000000.0,371000000.0,371000000.0
AccruedEmployeeBenefitsCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,286000000.0,,,,476000000.0,,,,467000000.0,,,,500000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,975000000.0,1002000000.0,1033000000.0,2544000000.0,2560000000.0,2583000000.0,2314000000.0,2875000000.0,3299000000.0,3299000000.0,3742000000.0,3742000000.0,3742000000.0,3742000000.0,4237000000.0,4237000000.0,4237000000.0,4237000000.0,4676000000.0,4676000000.0,4676000000.0,4676000000.0,5214000000.0,5396000000.0,5214000000.0,5214000000.0,5660000000.0,5660000000.0,5660000000.0,5660000000.0,6145000000.0,6145000000.0,6145000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,538000000.0,399000000.0,538000000.0,323000000.0,210000000.0,181000000.0,34000000.0,177000000.0,123000000.0,123000000.0,75000000.0,75000000.0,75000000.0,75000000.0,117000000.0,117000000.0,117000000.0,117000000.0,48000000.0,48000000.0,48000000.0,48000000.0,76000000.0,76000000.0,76000000.0,76000000.0,90000000.0,90000000.0,90000000.0,90000000.0,-17000000.0,-17000000.0,-17000000.0
AdditionalPaidInCapitalCommonStock / USD,6006000000.0,6047000000.0,6090000000.0,6175000000.0,6300000000.0,15150000000.0,15679000000.0,15960000000.0,15460000000.0,15460000000.0,15184000000.0,15184000000.0,15184000000.0,15184000000.0,14133000000.0,14133000000.0,14133000000.0,14133000000.0,13727000000.0,13727000000.0,13727000000.0,13727000000.0,14091000000.0,14091000000.0,14091000000.0,14091000000.0,14501000000.0,14501000000.0,14501000000.0,14501000000.0,14962000000.0,14962000000.0,14962000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,28000000.0,12000000.0,31000000.0,52000000.0,88000000.0,125000000.0,218000000.0,336000000.0,68000000.0,281000000.0,87000000.0,87000000.0,87000000.0,311000000.0,108000000.0,108000000.0,108000000.0,356000000.0,91000000.0,91000000.0,91000000.0,384000000.0,92000000.0,92000000.0,92000000.0,341000000.0,101000000.0,101000000.0,101000000.0,364000000.0,118000000.0,118000000.0,118000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,4000000.0,4000000.0,3000000.0,3000000.0,1000000.0,2000000.0,3000000.0,,3000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,,1000000.0,,,,0.0,,,
