fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,74101000.0,100461000.0,123082000.0,124112000.0,120625000.0,128974000.0,122909000.0,186685000.0,208446000.0,228150000.0,221685000.0,204625000.0,260347000.0,280459000.0,326745000.0,416080000.0,437730000.0,465113000.0,450117000.0,485159000.0,501360000.0,497168000.0,510290000.0,552026000.0,621826000.0,790874000.0,792313000.0
CapitalExpendituresIncurredButNotYetPaid / USD,118000.0,27000.0,49000.0,179000.0,1803000.0,88000.0,1687000.0,928000.0,945000.0,3490000.0,813000.0,2590000.0,6624000.0,701000.0,1487000.0,694000.0,1968000.0,1944000.0,10200000.0,11315000.0,12842000.0,9252000.0,2421000.0,16611000.0,8934000.0,6766000.0,1837000.0,17852000.0,29577000.0,5907000.0,5214000.0,3033000.0,5938000.0,2166000.0,3135000.0,37927000.0,10217000.0
CapitalizedComputerSoftwareAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,3857000.0,,,,6285000.0,,,,15432000.0,,,
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,5000000.0,,,,7000000.0,,,
CapitalizedComputerSoftwareGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,18191000.0,,,,24829000.0,,,,32333000.0,,,
CapitalizedComputerSoftwareImpairments1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
CapitalizedComputerSoftwareNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,14334000.0,,,,18544000.0,,,,16901000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,17315000.0,6365000.0,4047000.0,4047000.0,4047000.0,17315000.0,133400000.0,133400000.0,133400000.0,4047000.0,155950000.0,155950000.0,155950000.0,133400000.0,207232000.0,207232000.0,130876000.0,130876000.0,437353000.0,437353000.0,437353000.0,437353000.0,754154000.0,754154000.0,754154000.0,754154000.0,1030506000.0,1030506000.0,1030506000.0,1030506000.0,895129000.0,895129000.0,895129000.0,895129000.0,1369463000.0,1369463000.0,1369463000.0
CashCashEquivalentsAndShortTermInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,958779000.0,958779000.0,1446586000.0,1446586000.0,1446586000.0,1446586000.0,1380288000.0,1380288000.0,1380288000.0,1380288000.0,1921489000.0,1921489000.0,1921489000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,207232000.0,155950000.0,130876000.0,130876000.0,130876000.0,207232000.0,437353000.0,437353000.0,437353000.0,130876000.0,754154000.0,754154000.0,754154000.0,437353000.0,1030506000.0,1030506000.0,1030506000.0,754154000.0,895129000.0,895129000.0,895129000.0
