fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
IncreaseDecreaseInAccountsReceivable / USD,49016000.0,53315000.0,-22981000.0,45054000.0,82322000.0,114170000.0,-59190000.0,6853000.0,95215000.0,187736000.0,-42387000.0,50348000.0,44736000.0,224636000.0,-127232000.0,-4987000.0,2739000.0,239901000.0,-210552000.0,-293577000.0,-21063000.0,331369000.0,-208847000.0,-49802000.0,48637000.0,418054000.0,-259483000.0,-112345000.0,-24905000.0,444342000.0,-258165000.0,35368000.0,130650000.0,291747000.0,-238147000.0,49321000.0,125711000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,-22852000.0,-14790000.0,35446000.0,-8688000.0,-22190000.0,-18778000.0,7596000.0,-4309000.0,399000.0,18439000.0,8168000.0,-104000.0,-9989000.0,8846000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,2908000.0,527000.0,3717000.0,2112000.0,2425000.0,3040000.0,5017000.0,11643000.0,7296000.0,2675000.0,775000.0,2702000.0,10597000.0,5033000.0,6580000.0,11960000.0,19024000.0,10551000.0,15791000.0,31368000.0,23919000.0,19597000.0,16180000.0,6812000.0,-20627000.0,66655000.0,-23743000.0,-29018000.0,-42913000.0,-1648000.0,5481000.0,3659000.0,11370000.0,-50655000.0,-3331000.0,52064000.0,68490000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014000.0,371000.0,751000.0,1125000.0
InterestIncomeExpenseNet / USD,,,,,,,-364000.0,-777000.0,-1290000.0,,-156000.0,-124000.0,113000.0,-1698000.0,997000.0,2283000.0,3763000.0,333000.0,817000.0,975000.0,740000.0,4719000.0,-45000.0,-239000.0,-556000.0,656000.0,-1076000.0,-420000.0,1321000.0,-1030000.0,14423000.0,31930000.0,49556000.0,12755000.0,16661000.0,34478000.0,53886000.0
InterestIncomeExpenseNonoperatingNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12755000.0,16661000.0,34478000.0,53886000.0
InterestPaidNet / USD,559000.0,487000.0,,,,895000.0,,,,1696000.0,,,,1320000.0,,,,817000.0,,,,412000.0,,,,1554000.0,,,,518000.0,,,,995000.0,,,
InvestmentIncomeNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16769000.0,17032000.0,35229000.0,55011000.0
LeaseCost / USD,,,,,,,,,,,5605000.0,12050000.0,21471000.0,30966000.0,5605000.0,12050000.0,21471000.0,30966000.0,9598000.0,21285000.0,33033000.0,45519000.0,14539000.0,27843000.0,41614000.0,45519000.0,14273000.0,29394000.0,44307000.0,55775000.0,14876000.0,29774000.0,45433000.0,60236000.0,16959000.0,34651000.0,54634000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,225016000.0,225016000.0,225016000.0,225016000.0,351055000.0,356461000.0,357808000.0,325329000.0,,,,318461000.0,,,,290248000.0,,,,321488000.0,,,,662284000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,119109000.0,119109000.0,119109000.0,119109000.0,161160000.0,165087000.0,,152361000.0,,,,96113000.0,,,,63193000.0,,,,51173000.0,,,,258258000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,13419000.0,13419000.0,13419000.0,13419000.0,,,52334000.0,14770000.0,,,,53990000.0,,,,59406000.0,,,,62412000.0,,,,46378000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,20902000.0,20902000.0,20902000.0,20902000.0,33305000.0,35570000.0,,32310000.0,,,,35397000.0,,,,33811000.0,,,,44059000.0,,,,94818000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,23786000.0,23786000.0,23786000.0,23786000.0,42304000.0,44102000.0,37035000.0,38310000.0,,,,39020000.0,,,,36415000.0,,,,48503000.0,,,,103919000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,29054000.0,29054000.0,29054000.0,29054000.0,46390000.0,48120000.0,45603000.0,42056000.0,,,,43740000.0,,,,44051000.0,,,,56200000.0,,,,70560000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,18746000.0,18746000.0,18746000.0,18746000.0,49466000.0,51049000.0,49788000.0,45522000.0,,,,50201000.0,,,,53372000.0,,,,59141000.0,,,,88351000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,15029000.0,17402000.0,47036000.0,46498000.0,45319000.0,43164000.0,41487000.0,46498000.0,,,,33614000.0,,,,25890000.0,,,,22255000.0,,,,42817000.0,,,
Liabilities / USD,171885000.0,171885000.0,373216000.0,373216000.0,373216000.0,373216000.0,551581000.0,551581000.0,551581000.0,551581000.0,723305000.0,723305000.0,723305000.0,723305000.0,1116244000.0,1116244000.0,1116244000.0,1116244000.0,1740500000.0,1740500000.0,1740500000.0,1740500000.0,2050034000.0,2050034000.0,2050034000.0,2050034000.0,2265340000.0,2265340000.0,2265340000.0,2265340000.0,2724468000.0,2724468000.0,2724468000.0,2724468000.0,3162806000.0,3162806000.0,3162806000.0
LiabilitiesAndStockholdersEquity / USD,210231000.0,210231000.0,537596000.0,537596000.0,537596000.0,537596000.0,797164000.0,797164000.0,797164000.0,797164000.0,1117872000.0,1117872000.0,1117872000.0,1117872000.0,1728761000.0,1728761000.0,1728761000.0,1728761000.0,2753645000.0,2753645000.0,2753645000.0,2753645000.0,3577340000.0,3577340000.0,3577340000.0,3577340000.0,4380679000.0,4380679000.0,4380679000.0,4380679000.0,4888687000.0,4888687000.0,4888687000.0,4888687000.0,6111951000.0,6111951000.0,6111951000.0
LiabilitiesCurrent / USD,118900000.0,118900000.0,344136000.0,344136000.0,344136000.0,344136000.0,518532000.0,518532000.0,518532000.0,518532000.0,713991000.0,713991000.0,713991000.0,713991000.0,930373000.0,930373000.0,930373000.0,930373000.0,1474683000.0,1474683000.0,1474683000.0,1474683000.0,1803305000.0,1803305000.0,1803305000.0,1803305000.0,2029323000.0,2029323000.0,2029323000.0,2029323000.0,2510838000.0,2510838000.0,2510838000.0,2510838000.0,2873465000.0,2873465000.0,2873465000.0
NetCashProvidedByUsedInFinancingActivities / USD,,,,,,,,2948000.0,3203000.0,63543000.0,-26149000.0,-17321000.0,-13423000.0,7390000.0,8350000.0,21982000.0,25809000.0,-10130000.0,157585000.0,191275000.0,126889000.0,27280000.0,-4459000.0,18010000.0,22120000.0,44679000.0,10980000.0,34146000.0,31005000.0,31926000.0,-296764000.0,-318460000.0,-415402000.0,31992000.0,-141282000.0,-115363000.0,-117379000.0
NetCashProvidedByUsedInInvestingActivities / USD,,,,,,,,-8518000.0,-10836000.0,-9221000.0,-2656000.0,-9357000.0,-14723000.0,-16064000.0,-81452000.0,-119430000.0,-147868000.0,-25191000.0,-16026000.0,-44934000.0,-60906000.0,-163841000.0,-36327000.0,-63897000.0,-97676000.0,-143271000.0,-67103000.0,-93575000.0,-165757000.0,-93638000.0,-28613000.0,-61877000.0,-50542000.0,-304374000.0,-21119000.0,-37134000.0,-96330000.0
NetCashProvidedByUsedInOperatingActivities / USD,,,,,,,,-11971000.0,7031000.0,75031000.0,11807000.0,12409000.0,38545000.0,31224000.0,9711000.0,43791000.0,88273000.0,86603000.0,52776000.0,149127000.0,237512000.0,60205000.0,75070000.0,85441000.0,215119000.0,405069000.0,146192000.0,237958000.0,375254000.0,378513000.0,187573000.0,315662000.0,507202000.0,548734000.0,185472000.0,266731000.0,540055000.0
NetIncomeLoss / USD,10279000.0,5000.0,-1040000.0,6558000.0,10202000.0,15929000.0,4909000.0,23758000.0,33987000.0,20482000.0,9070000.0,9070000.0,9070000.0,50798000.0,10151000.0,10151000.0,10151000.0,88140000.0,24057000.0,24057000.0,24057000.0,108318000.0,22642000.0,22642000.0,22642000.0,242317000.0,-14598000.0,-14598000.0,-14598000.0,137762000.0,9326000.0,9326000.0,9326000.0,53385000.0,31660000.0,31660000.0,31660000.0
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
NonoperatingIncomeExpense / USD,-2812000.0,-1707000.0,-5264000.0,-6524000.0,-12611000.0,-8125000.0,-792000.0,-2095000.0,-4449000.0,-13684000.0,-700000.0,-1764000.0,-1922000.0,-5731000.0,-333000.0,1087000.0,2979000.0,-1586000.0,-417000.0,-611000.0,-834000.0,4024000.0,308000.0,-90000.0,-1560000.0,-305000.0,-281000.0,58000.0,1756000.0,-2781000.0,13700000.0,31954000.0,51277000.0,13716000.0,17376000.0,35148000.0,53845000.0
NumberOfOperatingSegments / Segment,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,
NumberOfOperatingSegments / segement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
NumberOfOperatingSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0
NumberOfReportableSegments / Segment,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,
NumberOfReportableSegments / segement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
NumberOfReportableSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0
OperatingIncomeLoss / USD,19995000.0,764000.0,3396000.0,18430000.0,33481000.0,37980000.0,1936000.0,21630000.0,40038000.0,57518000.0,9930000.0,36092000.0,58355000.0,69356000.0,5670000.0,37619000.0,59546000.0,107323000.0,10766000.0,-5006000.0,37776000.0,112196000.0,7784000.0,69732000.0,150178000.0,144208000.0,-17053000.0,-15310000.0,13494000.0,124817000.0,-23308000.0,18365000.0,56042000.0,113654000.0,28657000.0,123377000.0,231858000.0
OperatingLeaseCost / USD,,,,,,,,,,,5171000.0,10542000.0,19089000.0,28181000.0,5171000.0,10542000.0,19089000.0,28181000.0,9538000.0,20080000.0,30848000.0,42272000.0,13095000.0,25886000.0,38288000.0,42272000.0,12484000.0,25276000.0,38415000.0,50798000.0,11847000.0,24056000.0,36588000.0,51918000.0,12711000.0,26197000.0,41259000.0
OperatingLeaseLiability / USD,,,,,,,,,,,79616000.0,88521000.0,183606000.0,189450000.0,227215000.0,236941000.0,240143000.0,47000000.0,,,,47000000.0,,,,260957000.0,,,,235893000.0,,,,312215000.0,,,
OperatingLeaseLiabilityCurrent / USD,,,,,,,,,,,14448000.0,16822000.0,15938000.0,14577000.0,14577000.0,14577000.0,14577000.0,14577000.0,37868000.0,37868000.0,37868000.0,37868000.0,46149000.0,46149000.0,46149000.0,46149000.0,52430000.0,52430000.0,52430000.0,52430000.0,55524000.0,55524000.0,55524000.0,55524000.0,64492000.0,64492000.0,64492000.0
OperatingLeaseLiabilityNoncurrent / USD,,,,,,,,,,,65168000.0,71699000.0,167668000.0,174873000.0,174873000.0,174873000.0,174873000.0,174873000.0,254562000.0,254562000.0,254562000.0,254562000.0,238449000.0,238449000.0,238449000.0,238449000.0,208527000.0,208527000.0,208527000.0,208527000.0,180369000.0,180369000.0,180369000.0,180369000.0,247723000.0,247723000.0,247723000.0
OperatingLeasePayments / USD,,,,,,,,,,,3792000.0,7709000.0,12268000.0,16923000.0,3792000.0,7709000.0,12268000.0,16923000.0,4902000.0,10077000.0,17702000.0,16923000.0,15107000.0,27175000.0,39006000.0,27448000.0,14030000.0,28230000.0,42921000.0,52974000.0,15342000.0,30870000.0,44836000.0,57862000.0,15716000.0,33272000.0,48524000.0
OperatingLeaseRightOfUseAsset / USD,,,,,,,,,,,73508000.0,82711000.0,177276000.0,173449000.0,173449000.0,173449000.0,173449000.0,41000000.0,248143000.0,248143000.0,248143000.0,41000000.0,234091000.0,234091000.0,234091000.0,234091000.0,220396000.0,220396000.0,220396000.0,220396000.0,197732000.0,197732000.0,197732000.0,197732000.0,263761000.0,263761000.0,263761000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,0.046,0.046,0.045,0.045,,,,0.045,,,,0.034,,,,0.03,,,,0.031,,,,0.036,,,
OtherAssetsNoncurrent / USD,2633000.0,2633000.0,4636000.0,4636000.0,4636000.0,4636000.0,10587000.0,10587000.0,10587000.0,10587000.0,19843000.0,19843000.0,19843000.0,19843000.0,23129000.0,23129000.0,23129000.0,23129000.0,29154000.0,29154000.0,29154000.0,29154000.0,47500000.0,47500000.0,47500000.0,47500000.0,46879000.0,46879000.0,46879000.0,46879000.0,60730000.0,60730000.0,60730000.0,60730000.0,72186000.0,72186000.0,72186000.0
OtherLiabilitiesNoncurrent / USD,140000.0,1170000.0,3233000.0,3233000.0,3233000.0,3233000.0,6049000.0,6049000.0,6049000.0,6049000.0,9314000.0,9314000.0,9314000.0,9314000.0,10998000.0,10998000.0,10998000.0,10998000.0,11255000.0,11255000.0,11255000.0,11255000.0,8280000.0,8280000.0,8280000.0,8280000.0,27490000.0,27490000.0,27490000.0,27490000.0,33261000.0,33261000.0,33261000.0,33261000.0,41618000.0,41618000.0,41618000.0
OtherNoncashIncomeExpense / USD,-532000.0,-289000.0,-151000.0,-315000.0,-426000.0,-176000.0,274000.0,968000.0,1312000.0,-1160000.0,-359000.0,-2725000.0,-2396000.0,1303000.0,-379000.0,2056000.0,2945000.0,-2905000.0,-3484000.0,2372000.0,-1242000.0,1939000.0,-4905000.0,-9065000.0,-6730000.0,-2190000.0,-998000.0,-6630000.0,-3694000.0,-5803000.0,1310000.0,8423000.0,8312000.0,-622000.0,-1125000.0,4117000.0,11901000.0
PaymentsForRepurchaseOfCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,291534000.0,336494000.0,426684000.0,0.0,125280000.0,125280000.0,177428000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,29000.0,29000.0,1017000.0,361000.0,29000.0,29000.0,1017000.0,361000.0,544000.0,602000.0,1017000.0,1146000.0,3634000.0,4744000.0,6677000.0,4893000.0,7729000.0,14184000.0,19334000.0,17080000.0,29235000.0,38273000.0,53138000.0,13428000.0,23196000.0,37254000.0,56855000.0,15595000.0,31054000.0,55397000.0,48595000.0,26806000.0,58369000.0,97763000.0
PaymentsToAcquireBusinessesNetOfCashAcquired / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
PaymentsToAcquireInvestments / USD,,,,,,,,,,,73950000.0,122432000.0,178179000.0,212776000.0,73950000.0,122432000.0,178179000.0,212776000.0,35931000.0,90080000.0,127254000.0,212776000.0,89354000.0,164031000.0,233427000.0,230759000.0,121221000.0,233877000.0,379206000.0,278387000.0,144721000.0,316307000.0,448251000.0,553295000.0,159731000.0,317969000.0,486596000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,1463000.0,832000.0,384000.0,2036000.0,3516000.0,5128000.0,3602000.0,6707000.0,8357000.0,6884000.0,1798000.0,6585000.0,10383000.0,10110000.0,6085000.0,17002000.0,21659000.0,19795000.0,18310000.0,37720000.0,57721000.0,35693000.0,13120000.0,18499000.0,43920000.0,74061000.0,8401000.0,12541000.0,36394000.0,54804000.0,9156000.0,16556000.0,21594000.0,84160000.0,7224000.0,29339000.0,78048000.0
PaymentsToDevelopSoftware / USD,1236000.0,825000.0,545000.0,1092000.0,1796000.0,1799000.0,647000.0,1811000.0,2479000.0,2337000.0,858000.0,2772000.0,4340000.0,2954000.0,1417000.0,2420000.0,3849000.0,5396000.0,965000.0,2317000.0,4246000.0,4911000.0,1062000.0,2675000.0,3684000.0,6053000.0,1614000.0,3226000.0,4833000.0,5169000.0,1467000.0,3415000.0,6097000.0,7725000.0,1958000.0,4424000.0,6708000.0
PreferredStockParOrStatedValuePerShare / USD/shares,1e-06,1e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
PreferredStockSharesAuthorized / shares,0.0,0.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
PreferredStockSharesIssued / shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreferredStockSharesOutstanding / shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreferredStockValue / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrepaidExpenseAndOtherAssetsCurrent / USD,3812000.0,3812000.0,5763000.0,5763000.0,5763000.0,5763000.0,10298000.0,10298000.0,10298000.0,10298000.0,14527000.0,14527000.0,14527000.0,14527000.0,27857000.0,27857000.0,27857000.0,27857000.0,102170000.0,102170000.0,102170000.0,102170000.0,112150000.0,112150000.0,112150000.0,112150000.0,51836000.0,51836000.0,51836000.0,51836000.0,63353000.0,63353000.0,63353000.0,63353000.0,84626000.0,84626000.0,84626000.0
ProceedsFromRepaymentsOfBankOverdrafts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
ProceedsFromSaleMaturityAndCollectionsOfInvestments / USD,,,,,,,,,,,,22424000.0,55819000.0,89539000.0,39180000.0,22424000.0,55819000.0,89539000.0,39180000.0,85183000.0,128315000.0,89539000.0,62670000.0,116769000.0,192077000.0,167602000.0,64133000.0,154092000.0,252699000.0,253444000.0,126731000.0,274401000.0,425400000.0,338829000.0,147794000.0,314598000.0,475022000.0
ProceedsFromStockOptionsExercised / USD,71000.0,1000.0,61000.0,185000.0,433000.0,166000.0,275000.0,1124000.0,1768000.0,488000.0,1212000.0,3209000.0,7165000.0,2565000.0,9502000.0,16975000.0,21911000.0,10021000.0,19478000.0,41969000.0,54038000.0,29874000.0,12621000.0,26339000.0,39559000.0,76146000.0,24408000.0,31795000.0,42712000.0,61476000.0,10365000.0,27772000.0,45363000.0,47525000.0,10804000.0,38164000.0,127690000.0
ProceedsFromStockPlans / USD,,,,,,,,,,,,,7014000.0,,,,,,,,,,,22758000.0,22758000.0,21671000.0,,25547000.0,25547000.0,29229000.0,,21316000.0,21316000.0,33062000.0,,30122000.0,30122000.0
ProfitLoss / USD,,,,,,,,23758000.0,33987000.0,20482000.0,9070000.0,28413000.0,48705000.0,50798000.0,10151000.0,37951000.0,57373000.0,88140000.0,24057000.0,49168000.0,90415000.0,108318000.0,22642000.0,70339000.0,129723000.0,242317000.0,-14598000.0,-33671000.0,-17802000.0,137762000.0,9326000.0,42265000.0,81617000.0,53385000.0,31660000.0,116689000.0,210847000.0
PropertyPlantAndEquipmentGross / USD,,7890000.0,,,,18484000.0,,,,26308000.0,,,,48703000.0,,,,91353000.0,,,,158343000.0,,,,204746000.0,,,,279653000.0,,,,319959000.0,,,
PropertyPlantAndEquipmentNet / USD,6625000.0,6625000.0,14779000.0,14779000.0,14779000.0,14779000.0,17405000.0,17405000.0,17405000.0,17405000.0,33046000.0,33046000.0,33046000.0,33046000.0,64012000.0,64012000.0,64012000.0,64012000.0,115863000.0,115863000.0,115863000.0,115863000.0,135856000.0,135856000.0,135856000.0,135856000.0,173759000.0,173759000.0,173759000.0,173759000.0,161422000.0,161422000.0,161422000.0,161422000.0,209332000.0,209332000.0,209332000.0
ProvisionForDoubtfulAccounts / USD,,-144000.0,86000.0,296000.0,384000.0,542000.0,3347000.0,3460000.0,3943000.0,1890000.0,,1239000.0,1727000.0,4289000.0,224000.0,843000.0,1647000.0,2115000.0,1310000.0,2384000.0,2722000.0,2702000.0,203000.0,239000.0,520000.0,3149000.0,725000.0,2078000.0,2961000.0,1456000.0,316000.0,318000.0,1811000.0,3203000.0,40000.0,133000.0,837000.0
ResearchAndDevelopmentExpense / USD,8507000.0,7250000.0,4639000.0,10402000.0,17694000.0,12819000.0,10461000.0,22596000.0,35777000.0,27313000.0,17701000.0,37185000.0,59806000.0,52806000.0,25312000.0,54764000.0,83949000.0,83892000.0,36794000.0,76852000.0,117931000.0,116752000.0,53918000.0,107454000.0,163301000.0,166654000.0,71999000.0,155482000.0,235397000.0,226137000.0,93710000.0,192018000.0,309790000.0,319876000.0,107686000.0,217721000.0,335426000.0
RetainedEarningsAccumulatedDeficit / USD,13103000.0,13103000.0,-14818000.0,-14818000.0,-14818000.0,-14818000.0,35980000.0,35980000.0,35980000.0,35980000.0,124120000.0,124120000.0,124120000.0,124120000.0,232438000.0,232438000.0,232438000.0,232438000.0,474367000.0,474367000.0,474367000.0,474367000.0,612129000.0,612129000.0,612129000.0,612129000.0,665514000.0,665514000.0,665514000.0,665514000.0,196954000.0,196954000.0,196954000.0,196954000.0,354249000.0,354249000.0,354249000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,,,,,,,,126156000.0,205569000.0,202926000.0,85668000.0,198001000.0,316826000.0,308217000.0,120987000.0,280911000.0,445114000.0,477294000.0,160660000.0,300015000.0,516128000.0,661058000.0,219811000.0,499778000.0,800869000.0,836033000.0,315323000.0,692285000.0,1087058000.0,1196467000.0,382803000.0,847057000.0,1340323000.0,1577795000.0,491253000.0,1075803000.0,1703819000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,,,,,,,,,36474000.0,48610000.0,147682000.0,150467000.0,35015000.0,48610000.0,147682000.0,150467000.0,,45951000.0,52238000.0,150467000.0,,,,106833000.0,,,,25356000.0,3999000.0,16967000.0,25781000.0,29881000.0,16875000.0,58133000.0,94410000.0
SellingAndMarketingExpense / USD,18530000.0,14590000.0,8431000.0,19682000.0,31282000.0,26794000.0,12476000.0,26642000.0,42842000.0,46056000.0,16030000.0,36720000.0,60007000.0,61379000.0,22737000.0,53809000.0,89951000.0,87071000.0,34294000.0,71365000.0,116002000.0,132882000.0,55764000.0,117519000.0,176797000.0,174742000.0,70688000.0,160108000.0,245146000.0,249298000.0,97222000.0,208711000.0,321177000.0,337975000.0,121725000.0,255592000.0,395888000.0
ShareBasedCompensation / USD,251000.0,107000.0,159000.0,392000.0,1048000.0,374000.0,2322000.0,6513000.0,12406000.0,5056000.0,7283000.0,16541000.0,27958000.0,21317000.0,15869000.0,36926000.0,56368000.0,42210000.0,22965000.0,46899000.0,73751000.0,80758000.0,52354000.0,97551000.0,132010000.0,111775000.0,124895000.0,250108000.0,371111000.0,337413000.0,113470000.0,230553000.0,370186000.0,498642000.0,110620000.0,236960000.0,365470000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod / shares,,,,24000.0,28000.0,28000.0,,,,5000.0,,33000.0,40000.0,47000.0,9000.0,32000.0,51000.0,56000.0,27000.0,460000.0,575000.0,694000.0,266000.0,482000.0,827000.0,1006000.0,196000.0,704000.0,1090000.0,1524000.0,212000.0,426000.0,840000.0,1049000.0,287000.0,584000.0,1033000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue / USD/shares,,,,30.15,29.92,29.97,,,,83.1,,44.42,54.94,60.89,202.87,153.87,158.05,163.3,203.2,24.66,28.72,33.48,57.35,56.91,59.61,59.86,58.33,56.35,57.6,58.74,62.45,63.21,66.28,67.05,73.45,72.75,69.71
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod / shares,,,,105000.0,123000.0,307000.0,7000.0,121000.0,126000.0,239000.0,89000.0,102000.0,107000.0,188000.0,19000.0,315000.0,347000.0,379000.0,22000.0,1666000.0,2166000.0,2818000.0,884000.0,4478000.0,5586000.0,6746000.0,837000.0,5845000.0,6404000.0,6898000.0,396000.0,3979000.0,4493000.0,4966000.0,521000.0,6076000.0,6820000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue / USD/shares,,,,31.92,35.25,43.76,49.14,53.94,57.04,96.21,149.56,157.59,161.61,201.21,265.32,295.54,309.8,343.79,759.3,72.68,73.7,77.41,77.1,61.43,60.51,58.95,51.94,60.86,62.69,63.81,75.5,81.84,83.9,87.23,94.62,55.07,55.68
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber / shares,,,,193000.0,193000.0,193000.0,418000.0,418000.0,418000.0,418000.0,518000.0,518000.0,518000.0,518000.0,457000.0,457000.0,457000.0,457000.0,570000.0,5698000.0,5698000.0,5698000.0,5597000.0,5597000.0,5597000.0,5597000.0,8747000.0,8747000.0,8747000.0,8747000.0,10546000.0,10546000.0,10546000.0,10546000.0,10197000.0,10197000.0,10197000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue / USD/shares,,,,29.65,29.65,29.65,39.95,39.95,39.95,39.95,65.14,65.14,65.14,65.14,120.65,120.65,120.65,120.65,261.03,26.1,26.1,26.1,51.54,51.54,51.54,51.54,57.41,57.41,57.41,57.41,62.22,62.22,62.22,62.22,73.62,73.62,73.62
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod / shares,,,,1000.0,1000.0,54000.0,22000.0,35000.0,43000.0,134000.0,27000.0,70000.0,81000.0,202000.0,45000.0,73000.0,108000.0,210000.0,53000.0,1166000.0,1494000.0,2225000.0,518000.0,1125000.0,1716000.0,2590000.0,702000.0,1434000.0,2473000.0,3575000.0,1040000.0,2088000.0,3233000.0,4266000.0,1043000.0,2093000.0,3398000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue / USD/shares,,,,22.9,22.9,30.06,33.25,38.25,40.92,41.32,36.38,52.85,65.12,67.47,115.68,96.89,126.65,131.5,178.88,17.11,22.41,24.8,40.2,39.74,46.18,47.78,50.05,52.58,54.95,55.01,56.87,57.88,61.41,62.89,68.28,69.33,68.45
