fact_unit,2010-11-04,2011-02-08,2011-05-10,2011-08-12,2011-11-03,2012-02-07,2012-05-08,2012-08-09,2012-11-06,2013-02-07,2013-05-07,2013-08-08,2013-11-07,2014-02-06,2014-05-09,2014-08-07,2014-11-06,2015-02-05,2015-05-08,2015-08-07,2015-11-05,2016-02-04,2016-05-05,2016-08-09,2016-11-09,2017-02-08,2017-05-10,2017-08-10,2017-11-08,2018-02-08,2018-05-08,2018-08-07,2018-11-06,2019-02-07,2019-05-07,2019-08-06,2019-11-06,2020-01-31,2020-05-08,2020-08-11,2020-10-30,2021-02-02,2021-05-04,2021-08-12,2021-11-03,2022-02-01,2022-05-03,2022-08-12,2022-11-02,2023-02-02,2023-05-02,2023-08-08,2023-11-02,2024-02-01,2024-05-08,2024-08-06,2024-11-05,2025-01-31,2025-05-01,2025-08-05,2025-11-04
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671000000.0,671000000.0,671000000.0,,711700000.0,711700000.0,711700000.0,,829900000.0,829900000.0,829900000.0,,1102700000.0,1102700000.0,1102700000.0,1102700000.0,1114900000.0,1114900000.0,1114900000.0,1114900000.0,1019500000.0,1019500000.0,1019500000.0,1019500000.0,1194400000.0,1194400000.0,1194400000.0,1194400000.0,1112800000.0
AccountsPayableCurrent / USD,91300000.0,91300000.0,91300000.0,91300000.0,119000000.0,119000000.0,119000000.0,119000000.0,102200000.0,102200000.0,102200000.0,102200000.0,143100000.0,143100000.0,143100000.0,143100000.0,116300000.0,116300000.0,116300000.0,116300000.0,115900000.0,115900000.0,115900000.0,115900000.0,133200000.0,133200000.0,133200000.0,133200000.0,167200000.0,167200000.0,167200000.0,167200000.0,191800000.0,191800000.0,191800000.0,156200000.0,133700000.0,133700000.0,133700000.0,133700000.0,151800000.0,151800000.0,151800000.0,151800000.0,248900000.0,248900000.0,248900000.0,248900000.0,244900000.0,244900000.0,244900000.0,244900000.0,157300000.0,157300000.0,157300000.0,157300000.0,314000000.0,314000000.0,314000000.0,314000000.0,220300000.0
AccountsReceivableNet / USD,354300000.0,354300000.0,354300000.0,354300000.0,406600000.0,406600000.0,406600000.0,406600000.0,370700000.0,370700000.0,370700000.0,370700000.0,442400000.0,442400000.0,442400000.0,442400000.0,424800000.0,424800000.0,424800000.0,424800000.0,444500000.0,444500000.0,444500000.0,444500000.0,453400000.0,453400000.0,453400000.0,453400000.0,589500000.0,589500000.0,589500000.0,589500000.0,615000000.0,615000000.0,615000000.0,615000000.0,664000000.0,664000000.0,664000000.0,664000000.0,711300000.0,711300000.0,711300000.0,711300000.0,820300000.0,820300000.0,820300000.0,820300000.0,946900000.0,946900000.0,946900000.0,946900000.0,974000000.0,974000000.0,974000000.0,974000000.0,1065600000.0,1065600000.0,1065600000.0,1065600000.0,1077100000.0
AccruedIncomeTaxesCurrent / USD,,,,24300000.0,23700000.0,23700000.0,23700000.0,23700000.0,42900000.0,42900000.0,42900000.0,42900000.0,51800000.0,51800000.0,51800000.0,51800000.0,35000000.0,35000000.0,35000000.0,35000000.0,28500000.0,,,,49900000.0,49900000.0,49900000.0,,80200000.0,80200000.0,80200000.0,,25300000.0,25300000.0,25300000.0,,68900000.0,68900000.0,68900000.0,,38500000.0,38500000.0,38500000.0,,42600000.0,42600000.0,42600000.0,,40900000.0,40900000.0,40900000.0,40900000.0,69700000.0,69700000.0,69700000.0,69700000.0,112500000.0,112500000.0,112500000.0,112500000.0,60100000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease / USD,,,,,,,,,,,,14800000.0,,,,30900000.0,,,,-14000000.0,,,,-1900000.0,,,,-24200000.0,,,,-91700000.0,,,,40300000.0,,,,32800000.0,,,,33900000.0,,,,-15600000.0,,,,-7600000.0,,,,-4300000.0,,,,-3700000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-1400000.0,-1400000.0,-1400000.0,6900000.0,16100000.0,16100000.0,16100000.0,-1400000.0,3500000.0,3500000.0,3500000.0,3500000.0,4200000.0,4200000.0,4200000.0,16100000.0,4200000.0,4200000.0,4200000.0,3500000.0,10300000.0,10300000.0,10300000.0,-20900000.0,-38200000.0,-38200000.0,-38200000.0,-38200000.0,-55800000.0,-55800000.0,-55800000.0,-55800000.0,-51900000.0,-51900000.0,-51900000.0,-51900000.0,-71200000.0,-71200000.0,-71200000.0,-71200000.0,-100400000.0,-100400000.0,-100400000.0,-100400000.0,9200000.0,9200000.0,9200000.0,9200000.0,-226300000.0,-226300000.0,-226300000.0,-226300000.0,-284700000.0,-284700000.0,-284700000.0,-284700000.0,-331700000.0,-331700000.0,-331700000.0,-331700000.0,-272900000.0
AdditionalPaidInCapital / USD,587800000.0,587800000.0,587800000.0,587800000.0,667400000.0,667400000.0,667400000.0,667400000.0,739400000.0,739400000.0,739400000.0,739400000.0,783000000.0,783000000.0,783000000.0,783000000.0,810700000.0,810700000.0,810700000.0,810700000.0,855500000.0,855500000.0,855500000.0,855500000.0,901200000.0,901200000.0,901200000.0,901200000.0,987600000.0,987600000.0,987600000.0,987600000.0,1048500000.0,1048500000.0,1048500000.0,1048500000.0,1109300000.0,1109300000.0,1109300000.0,1109300000.0,1178500000.0,1178500000.0,1178500000.0,1178500000.0,1245500000.0,1245500000.0,1245500000.0,1245500000.0,1344700000.0,1344700000.0,1344700000.0,1344700000.0,1436800000.0,1436800000.0,1436800000.0,1436800000.0,1552500000.0,1552500000.0,1552500000.0,1552500000.0,1663000000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58300000.0,,,,60600000.0,,,,58200000.0,15600000.0,36300000.0,56900000.0,67800000.0,15900000.0,35700000.0,55300000.0,72000000.0,14100000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34500000.0,,18600000.0,19600000.0,24200000.0,,18200000.0,21900000.0,26700000.0,31300000.0,20700000.0,27300000.0,33900000.0,42100000.0,8700000.0,40600000.0,51300000.0,35000000.0,28800000.0,31000000.0,33900000.0,60300000.0,37600000.0,45800000.0,69900000.0,43200000.0,17900000.0
AllocatedShareBasedCompensationExpense / USD,,,,,6200000.0,14900000.0,23200000.0,,,,,,4500000.0,12900000.0,21100000.0,28300000.0,4800000.0,14700000.0,25000000.0,,8400000.0,19600000.0,29900000.0,,9000000.0,22200000.0,34500000.0,,8800000.0,22800000.0,34700000.0,,8500000.0,24700000.0,39200000.0,,10700000.0,29400000.0,46800000.0,,11800000.0,30300000.0,47600000.0,,10400000.0,28700000.0,46400000.0,,13600000.0,36200000.0,54800000.0,,15600000.0,36500000.0,57400000.0,,16400000.0,36900000.0,57100000.0,73100000.0,14900000.0
