fact_unit,2014-06-10,2014-08-13,2014-11-12,2015-03-20,2015-05-12,2015-08-11,2015-11-10,2016-02-29,2016-05-10,2016-08-09,2016-11-07,2017-02-27,2017-05-08,2017-08-07,2017-11-06,2018-03-01,2018-05-07,2018-08-06,2018-11-05,2019-02-26,2019-05-06,2019-08-01,2019-11-06,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-25,2021-05-06,2021-08-09,2021-11-05,2022-02-28,2022-05-09,2022-08-05,2022-11-07,2023-02-24,2023-05-08,2023-08-03,2023-11-06,2024-02-27,2024-05-09,2024-08-07,2024-11-08,2025-02-27,2025-05-12,2025-08-08,2025-11-06
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,618000.0,-1182000.0,-1386000.0,-1386000.0,-1386000.0,-1386000.0,-1386000.0,-4619000.0,,-4619000.0,-4619000.0,-8939000.0,-8939000.0,-8939000.0,-8939000.0,-4208000.0,-4208000.0,-4208000.0,-4208000.0,-8524000.0,-8524000.0,-8524000.0,-8524000.0,-6047000.0,-6047000.0,-6047000.0,-6047000.0,483000.0,483000.0,483000.0,483000.0,-1855000.0,-1855000.0,-1855000.0,-1855000.0,-14986000.0,-14986000.0,-14986000.0,-14986000.0,-5630000.0,-5630000.0,-5630000.0,-5630000.0,-17757000.0,-17757000.0,-17757000.0
AdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,,,,0.0,326007000.0,326007000.0,326007000.0,326007000.0,525244000.0,525244000.0,525244000.0,525244000.0,1043669000.0,1043669000.0,1043669000.0,1043669000.0,1913559000.0,1913559000.0,1913559000.0,1913559000.0,1970754000.0,1970754000.0,1970754000.0,1970754000.0,2391036000.0,2391036000.0,2391036000.0,2391036000.0,2936794000.0,2936794000.0,2936794000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,51189000.0,,,,,22499000.0,28545000.0,8638000.0,17828000.0,25875000.0,18615000.0,14718000.0,33231000.0,51012000.0,30478000.0,20694000.0,42840000.0,66365000.0,37258000.0,20694000.0,20694000.0,20694000.0,68187000.0,27004000.0,27004000.0,27004000.0,88414000.0,32557000.0,32557000.0,32557000.0,96954000.0,55649000.0,55649000.0,55649000.0,122986000.0,53602000.0,53602000.0,53602000.0,237191000.0,69078000.0,69078000.0,69078000.0,200106000.0,92422000.0,92422000.0,92422000.0
AllocatedShareBasedCompensationExpense / USD,,12672000.0,21377000.0,52035000.0,5339000.0,63138000.0,63138000.0,28837000.0,7921000.0,,,63138000.0,9173000.0,18709000.0,27185000.0,32244000.0,15089000.0,34006000.0,52097000.0,39065000.0,21087000.0,43594000.0,67534000.0,69711000.0,27552000.0,51581000.0,73974000.0,89724000.0,32557000.0,61240000.0,91576000.0,97691000.0,55649000.0,125153000.0,191144000.0,122986000.0,53650000.0,,,237191000.0,,,,,92422000.0,180654000.0,266267000.0
AmortizationOfIntangibleAssets / USD,,,,8700000.0,8800000.0,15500000.0,,34400000.0,,,,,,14400000.0,,,,,,,,6600000.0,7800000.0,17900000.0,,,,9000000.0,,,,,,,,,,,101500000.0,133600000.0,33600000.0,64000000.0,95000000.0,133600000.0,29200000.0,58200000.0,87100000.0
Assets / USD,1000.0,24521607000.0,25142148000.0,24495877000.0,22035501000.0,21592330000.0,22015235000.0,23705384000.0,4321408000.0,4321408000.0,4321408000.0,21638992000.0,5829712000.0,5829712000.0,5829712000.0,4321408000.0,8563522000.0,8563522000.0,8563522000.0,5829712000.0,10154692000.0,10154692000.0,10154692000.0,8563522000.0,12014196000.0,12014196000.0,12014196000.0,12014196000.0,15168992000.0,15168992000.0,15168992000.0,15168992000.0,21605164000.0,21605164000.0,21605164000.0,21605164000.0,22002839000.0,22002839000.0,22002839000.0,22002839000.0,24730500000.0,24730500000.0,24730500000.0,24730500000.0,24884308000.0,24884308000.0,24884308000.0
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69200000.0,68000000.0,68700000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,342861000.0,120498000.0,247220000.0,152203000.0,118929000.0,1167673000.0,138384000.0,868752000.0,110247000.0,609872000.0,582906000.0,295704000.0,138384000.0,346042000.0,252867000.0,361500000.0,343655000.0,272249000.0,276827000.0,311827000.0,389987000.0,346331000.0,284445000.0,350138000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,-223932000.0,10251000.0,136973000.0,41956000.0,-8682000.0,1029289000.0,751656000.0,730368000.0,28137000.0,70060000.0,43094000.0,-244108000.0,401428000.0,2387000.0,-90788000.0,17845000.0,-196157000.0,-117738000.0,-113160000.0,-78160000.0,46332000.0,-1943000.0,-63829000.0,1864000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,0.24,0.49,0.18,0.42,0.24,0.49,,0.42,0.2,0.35,0.63,0.88,0.28,0.41,0.72,0.13,0.4,0.77,1.05,1.13,0.32,0.4,0.4,0.4,0.47,0.47,0.47,0.47,0.61,0.61,0.61,0.61,0.77,,,,0.93,,0.93,0.93,1.12,1.12,1.12
